语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：喜
2023/1/20 16:08:46

序号	语句	书名	朝代
1	二十有六年春，王二月辛卯，卫宁 [喜] 弑其君剽。		《榖梁传》__春秋战国
2	殖也立之， [喜] 也君之，正也。		《榖梁传》__春秋战国
3	晋人执卫宁 [喜] 。		《榖梁传》__春秋战国
4	卫杀其大夫宁 [喜] 。		《榖梁传》__春秋战国
5	宁 [喜] 弑君，其以累上之辞言之何也？		《榖梁传》__春秋战国
6	宁 [喜] 由君弑君，而不以弑君之罪罪之者，恶献公也。		《榖梁传》__春秋战国
7	专， [喜] 之徒也。		《榖梁传》__春秋战国
8	专之为 [喜] 之徒何也？		《榖梁传》__春秋战国
9	君赂不入乎 [喜] 而杀 [喜] ，是君不直乎 [喜] 也。		《榖梁传》__春秋战国
10	 [喜] 之也。		《榖梁传》__春秋战国
11	致君者，殆其往而 [喜] 其反，此致君之意义也。		《榖梁传》__春秋战国
12	嘻， [喜] 悲反。		《周易》__周
13	因乱以入，则必 [喜] 乱， [喜] 乱必怠德。		《国语》__春秋战国
14	是哀乐 [喜] 怒之节易也，何以导民？		《国语》__春秋战国
15	《象》曰：“往蹇，来反”，内 [喜] 之也。		《周易》__周
16	夫长国者，唯知哀乐 [喜] 怒之节，是以导民。		《国语》__春秋战国
17	六四，损其疾，使遄有 [喜] ，无咎。		《周易》__周
18	夫义人者，固庆其 [喜] 而吊其忧，况畏而服焉？		《国语》__春秋战国
19	展禽使乙 [喜] 以膏沐犒师，曰：“寡君不佞，不能事疆埸之司，使君盛怒，以暴露于弊邑之野，敢犒舆师。”		《国语》__春秋战国
20	故子华子曰：“厚而不博，敬守一事，正性是 [喜] 。		《吕氏春秋》__春秋战国
21	乃歌曰：“股肱 [喜] 哉！		《尚书》__周
22	醉而怒，醒而 [喜] ，庸何伤？		《国语》__春秋战国
23	我以为必忠信之士 [喜] 。		《墨子》__春秋战国
24	我以为必能射御之士 [喜] 。		《墨子》__春秋战国
25	叔虞 [喜] ，以告周公。		《吕氏春秋》__春秋战国
26	《象》曰：九二之孚，有 [喜] 也。		《周易》__周
27	于是葬死者，问伤者，养生者，吊有忧，贺有 [喜] ，宋往者，迎来者，去民之所恶，补民之不足。		《国语》__春秋战国
28	又一年，王召范蠡而问焉，曰：“吾与子谋吴，子曰‘未可也’，今吴王因于乐而忘其百姓，乱民功，逆天时；信谗 [喜] 优，憎辅远弼，圣人不出，忠臣解骨；皆曲相御，莫适相非，上下相偷。		《国语》__春秋战国
29	无义而谓之有义则 [喜] 。		《墨子》__春秋战国
30	司马 [喜] 难墨者师於中山王前以非攻，曰：“先生之所术非攻夫？”		《吕氏春秋》__春秋战国
31	司马 [喜] 曰：“然。”		《吕氏春秋》__春秋战国
32	司马 [喜] 无以应。		《吕氏春秋》__春秋战国
33	王 [喜] ，令起贾为孟卬求司徒於魏王。		《吕氏春秋》__春秋战国
34	壮男过壮女之军，则男贵女，而奸民有从谋，而国亡； [喜] 与，其恐有蚤闻，勇民不战。		《商君书》__春秋战国
35	承汝俾汝惟 [喜] 康共，非汝有咎比于罚。		《尚书》__周
36	妇或赐之饮食衣服布帛佩、 ぇ兰，则受而献诸舅姑，舅姑受之则 [喜] ，如新受赐，若反赐之则辞，不得命，如 更受赐，藏以待乏。		《礼记》__春秋战国
37	故民之 [喜] 农而乐战也，见上之尊农战之士，而下辩说技艺之民，而贱游学之人也。		《商君书》__春秋战国
38	子罕谓宋君曰：“夫庆赏赐予者，民之所 [喜] 也，君自行之；杀戮刑罚者，民之所恶也，臣请当之。”		《韩非子》__春秋战国
39	制度时，则国俗可化，而民从制；治法明，则官无邪；国务壹，则民应用；事本抟，则民 [喜] 农而乐战。		《商君书》__春秋战国
40	愚者固欲治而恶其所以治，皆恶危而 [喜] 其所以危者。		《韩非子》__春秋战国
41	夫严刑重罚者，民之所恶也，而国之所以治也；哀怜百姓轻刑罚者，民之所 [喜] ，而国之所以危也。		《韩非子》__春秋战国
42	五曰贪愎 [喜] 利，则灭国杀身之本也。		《韩非子》__春秋战国
43	平公大说，坐者皆 [喜] 。		《韩非子》__春秋战国
44	且 若以治国之能夸物，欲以说辞乱我之心，荣禄 [喜] 我之意，不亦鄙而可怜哉！		《列子》__春秋战国
45	襄子迎孟谈而再拜之，且恐且 [喜] 。		《韩非子》__春秋战国
46	其曰来归， [喜] 之也。		《榖梁传》__春秋战国
47	黄帝即位十有五年， [喜] 天五戴己，养正命，娱耳目，供鼻口，焦然肌色< 皮 干>黣，昏然五情爽惑。		《列子》__春秋战国
48	民不能 [喜] 酣☆，则农不慢。		《商君书》__春秋战国
49	孙叔敖三为令尹而不 [喜] ，三去令尹而不忧。		《吕氏春秋》__春秋战国
50	一阴进乎二阳之上， [喜] 之见乎外也。		《周易》__周
51	 [喜] 淫辞而不 周於法，好辩说而不求其用，滥於文丽而不顾其功者，可亡也。		《韩非子》__春秋战国
52	九四，商兑未宁，介疾有 [喜] 。		《周易》__周
53	如此则有 [喜] 矣。		《周易》__周
54	《象》曰：九四之 [喜] ，有庆也。		《周易》__周
55	凡顺之则 [喜] ，逆之则怒，此有血气者之性也。		《列子》__春秋战国
56	然 [喜] 怒岂妄发 哉？		《列子》__春秋战国
57	亦不顺之使 [喜] 也。		《列子》__春秋战国
58	夫 [喜] 之复也必 怒，怒之复也常 [喜] ，皆不中也。		《列子》__春秋战国
59	 [喜] 之，则多事；恶之，则生怨。		《韩非子》__春秋战国
60	故去 [喜] 去恶，虚心以为道舍。		《韩非子》__春秋战国
61	王 [喜] ，以告召公，曰：“吾能弭谤矣！”		《吕氏春秋》__春秋战国
62	厥之谏我也，必於无人之所；铎之谏我也， [喜] 质我於人中，必使我丑。”		《吕氏春秋》__春秋战国
63	君子貧窮而志廣，富貴而體恭，安燕而血氣不惰，勞倦而容貌不枯，怒不過奪， [喜] 不過予。		《荀子》__春秋战国
64	君子小人之反也∶君子大心則敬天而道，小心則畏義而節；知則明通而類，愚則端愨而法；見由則恭而止，見閉則敬而齊； [喜] 則和而理，憂則靜而理；通則文而明，窮則約而詳。		《荀子》__春秋战国
65	众狙皆伏而 [喜] 。		《列子》__春秋战国
66	名实不亏，使其 [喜] 怒哉。		《列子》__春秋战国
67	倍卫三十里，闻甯 [喜] 之难作，右宰谷臣死之，还车而临，三举而归。		《吕氏春秋》__春秋战国
68	于俏而不昧然，则不骇外祸，不 [喜] 内福；随时动，随时止， 智不能知也。		《列子》__春秋战国
69	於是国人皆 [喜] ，相与诵之曰：“吾君好正，段干木之敬；吾君好忠，段干木之隆。”		《吕氏春秋》__春秋战国
70	馌彼南亩，田畯至 [喜] 。		《诗经》__周
71	馌彼南亩，田畯至 [喜] 。		《诗经》__周
72	式燕且 [喜] 。		《诗经》__周
73	左右曰：“一朝而两城下，此人之所 [喜] 也；今君有忧色，何也？”		《列子》__春秋战国
74	夫忧者 所以为昌也， [喜] 者所以为亡也。		《列子》__春秋战国
75	戎寇当至，幽王击鼓，诸侯之兵皆至，褒姒大说， [喜] 之。		《吕氏春秋》__春秋战国
76	梁北有黎丘部，有奇鬼焉， [喜] 效人之子侄昆弟之状，邑丈人有之市而醉归者。		《吕氏春秋》__春秋战国
77	郑公子 [喜] 帅师伐许。		《榖梁传》__春秋战国
78	郑公孙 [喜] 帅师侵宋。		《榖梁传》__春秋战国
79	皆非道所 [喜] 。		《老子想尔注》__春秋战国
