语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：嘴
2023/1/20 15:19:40

序号	语句	书名	朝代
1	有浮胡鱼，形似且， [嘴] 如鹦鹉，有八足。		《北史》__魏晋六朝
2	轻毛坫（沾）雪翅开霜，红觜（ [嘴] ）能深练尾长。		《敦煌变文》__隋唐五代
3	箭毛鬼喽喽窜窜，铜 [嘴] 鸟咤咤叫唤。		《敦煌变文》__隋唐五代
4	美舌甜唇 [嘴] 		《寒山诗》__隋唐五代
5	安乐初出降武延秀，蜀川献单丝碧罗笼裙，缕金为花鸟，细如丝发，鸟子大如黍米，眼鼻 [嘴] 甲俱成，明目者方见之。		《旧唐书》__隋唐五代
6	有鸟一足，集其殿庭，以 [嘴] 画地成文，曰：“独足上高台，盛		《南史卷十》__隋唐五代
7	未胜无丹 [嘴] ，何劳事绿衣。		《全唐诗》__隋唐五代
8	阳乌有二类， [嘴] 白者名慈。		《全唐诗》__隋唐五代
9	白云锁峰腰，红叶暗溪 [嘴] 。		《全唐诗》__隋唐五代
10	春风吹蚕细如蚁，桑芽才努青鸦 [嘴] 。		《全唐诗》__隋唐五代
11	色白还应及雪衣， [嘴] 红毛绿语仍奇。		《全唐诗》__隋唐五代
12	见时谈谑乐，四座尽角 [嘴] 。		《全唐诗》__隋唐五代
13	 [嘴] 红涧鸟啼芳草，		《全唐诗》__隋唐五代
14	画榼倒悬鹦鹉 [嘴] ，		《全唐诗》__隋唐五代
15	避笼交翠尾，罅 [嘴] 静新毛。		《全唐诗》__隋唐五代
16	有浮胡鱼，其形似且， [嘴] 如鹦鹉，有八足。		《隋书》__隋唐五代
17	《山鹊》云：“一番春雨吹巢冷，半朵山花咽 [嘴] 香。”		《唐才子传》__隋唐五代
18	有鹦鹉数千，丹 [嘴] 翠衣，尾长二三尺，翱翔其间，相呼姓字，音旨清越。		《玄怪录》__隋唐五代
19	十娘忽见鸭头铛子，因咏曰：“ [嘴] 长非为嗍，项曲不由攀。		《游仙窟》__隋唐五代
20	有野鸟如山鹊，赤 [嘴] ，集于册书之上，鸺鹠鸟鸣于殿。		《隋书》__隋唐五代
21	又陈未亡时，有一足鸟集于殿庭，以 [嘴] 画地成文，曰：“独足上高台，盛草变成灰。”		《隋书》__隋唐五代
22	老兄既不计较，但乍失为郡之乐，而有桂玉之困，又却不见使者 [嘴] 面，得失相乘除，亦略相当也。		《东坡文集》__宋
23	关西湖南还曾见长 [嘴] 鸟说禅麽。		《古尊语录》__宋
24	本处有个李吉员外，所生一女，小字翠莲，年方二八，姿容出众，女红针指，书史百家，无所不通，只是口 [嘴] 快些。		《话本)》__宋
25	员外妈妈并哥嫂一齐起来，大怒曰∶“这早晚东方将亮了，还不梳妆完，尚兀子调 [嘴] 弄舌!”		《话本)》__宋
26	当初只说娶个良善女子，不想讨了个五量店中过卖来家，终朝四言八句，弄 [嘴] 弄舌，成何以看!”		《话本)》__宋
27	妈妈道∶“他见你，一定不敢调 [嘴] 。”		《话本)》__宋
28	束着脚，拳着腿，合着眼儿闭着 [嘴] 。		《话本)》__宋
29	近前来，分付你，又叉手砧着莫弄 [嘴] 。		《话本)》__宋
30	 [嘴] 落轻毛散，严距往往伤。		《乐府诗集》__宋
31	长 [嘴] 饱满，短 [嘴] 饥。		《乐府诗集》__宋
32	燕 [嘴] 泥融。		《全宋词》__宋
33	洲 [嘴] 沙斜照暖，睡鸳鸯。		《全宋词》__宋
34	师曰：“同别且置，汝道瓶 [嘴] 里甚麽物出来入去？”		《五灯会元》__宋
35	争似莲枝，摘来满把，莺 [嘴] 平分破。		《全宋词》__宋
36	驴唇马 [嘴] ，夸我解问十转五转话。		《五灯会元》__宋
37	直到如今，真有术的亚觋已失其传，无过是些乡里村夫游 [嘴] 老妪，男称太保，女称师娘，假说降神召鬼，哄骗愚人。		《初刻拍案惊奇》__元明
38	岂知费了拜见钱，并无甚术法得传，只教得些游 [嘴] 门面的话头，就是祖传来辈辈相授的秘诀，习熟了打点开场施行。		《初刻拍案惊奇》__元明
39	名称师兄师妹，其实暗地里当做夫妻，两个一正一副，花 [嘴] 骗舌，哄动乡民不消说。		《初刻拍案惊奇》__元明
40	牛黑子还自喳喳 [嘴] 强，推着杜郎道：“既约的是他，不干我事。”		《初刻拍案惊奇》__元明
41	元来那王尼有一身奢嘛的本事：第一件一张花 [嘴] ，数黄道白，指东话西，专一在官室人家打踅，那女眷们没一个不被他哄得投机的。		《初刻拍案惊奇》__元明
42	正说话间，有个阊门陆小闲，将一只红 [嘴] 绿鹦哥来献与指挥。		《二刻拍案惊奇》__元明
43	那尼姑也是个花 [嘴] 骗舌之人，平素只贪些风月，庵里收拾下两个后生徒弟，多是通同与他做些不伶俐勾当的。		《初刻拍案惊奇》__元明
44	因他上来送茶，他自道年幼不避忌，软 [嘴] 塌舌，甚是可爱。		《初刻拍案惊奇》__元明
45	吴氏一见他标致，动火久了，只是还嫌他小些，而今却长得好了，见他说风话，不觉有意，便一手勾他拢来做一个 [嘴] ，伸手去模，太素此物翘然，却待要扯到床上干那话儿，不匡黄知观见太素不来，又叫太清来寻他，到堂中叫唤。		《初刻拍案惊奇》__元明
46	智圆就势抱住，亲了个 [嘴] 。		《初刻拍案惊奇》__元明
47	不晓得是老和尚走来，跳上床去，杜氏只道是智圆，一把抱来亲个 [嘴] ，老和尚骨头多酥了，直等做起事来，杜氏才晓得不是了，骂道：“又是你这老厌物，只管缠我做甚么？”		《初刻拍案惊奇》__元明
48	知观前行，吴氏又与太素抢手抢脚的暗中抱了一抱，又做了一个 [嘴] ，方才放了去，关了门进来。		《初刻拍案惊奇》__元明
49	他是个小厮家，就到人家去处绰着 [嘴] 闲话，带着眼瞧科，人都不十分疑心的。		《初刻拍案惊奇》__元明
50	老和尚见他说得倔强，心下好些着恼，又不敢冲撞他， [嘴] 骨都的，彼此不快活。		《初刻拍案惊奇》__元明
51	小牛即今便可去约石丢儿、安不着、褚偏 [嘴] 、朱百简一班兄弟，明日在陈林家取齐。		《初刻拍案惊奇》__元明
52	赛儿连忙去出盒子时，顾不得钱氏，被钱氏走到门首，见陈林把 [嘴] 一努，仍又忙走入来。		《初刻拍案惊奇》__元明
53	知州道：“还要 [嘴] 强！		《二刻拍案惊奇》__元明
54	谁知孙氏大娘虽是女流，却是一身好本事，撒开手一顿拳头，把四个家人只打得鼻塌 [嘴] 歪，东倒西跌，站立不住，一齐跑出，口中骂道：“贱人！		《粉妆楼》__元明
55	这等坏 [嘴] 乱骂，你敢让我搜么？”		《粉妆楼》__元明
56	见那锦上天被众人打得鼻肿 [嘴] 歪，抱着头蹲着哼，沈廷芳看见又好笑又好气，忙令家人捧一盆热水，前来洗去了鼻中血迹，穿好衣衫，也不睡了，假意拿住了家人骂了一顿，说道：“快快备早汤来吃，向锦大爷陪礼。”		《粉妆楼》__元明
57	郑家随来的仆人也说道：“他原是个游 [嘴] 光棍，这篦头赞礼，多是近新来学了撺哄过日子的，毕竟他有缘故，去还不远，我们追去。”		《二刻拍案惊奇》__元明
58	孙小官按不住欲心如火，腾地跳上身去，分开两股，将铁一般硬的玉茎对着牝门，用些唾津润了，弄将进去，抽拽起来， [嘴] 对着 [嘴] ，恣意亲咂。		《二刻拍案惊奇》__元明
59	众人打的打，推的推，喝道：“且拿这游 [嘴] 光棍到家里拷问他出来！”		《二刻拍案惊奇》__元明
60	怎知道行事多不便：腮是皱面颊，做 [嘴] 是白须髯。		《二刻拍案惊奇》__元明
61	太守只叫：“拿 [嘴] ！”		《初刻拍案惊奇》__元明
62	卜良淫兴如火，先去亲个 [嘴] ，巫娘子一些不知。		《初刻拍案惊奇》__元明
63	那儿子是个孝心的人，听了这些话头，没个来历，直摆布得夫妻两口终日合 [嘴] 合舌，甚不相安。		《初刻拍案惊奇》__元明
64	众人不由分说，夹 [嘴] 夹面只是打，骂道：“贼秃！		《初刻拍案惊奇》__元明
65	婵玉闻脑后鸾铃响处，忙取五光石回手一下，正中高兰英面上，只打得 [嘴] 脣青肿，掩面而回。		《封神演义》__元明
66	不知此花狐貂乃是杨戩变化的，隐在豹皮囊里，礼寿把手来拿此物，不知杨戩把口张着，等魔礼寿的手往花狐貂 [嘴] 里来，被花狐貂一口，把魔礼寿的手咬将下来。		《封神演义》__元明
67	锤钻安天下，獠牙 [嘴] 上安，一怒无庶挡，飞来势若鸾。		《封神演义》__元明
68	叫我也不好替你讨得 [嘴] 。”		《二刻拍案惊奇》__元明
69	颈子上也是刀刃之伤， [嘴] 儿边却有须髯之覆。		《二刻拍案惊奇》__元明
70	那杨古月再没二话，按住那个“十全大补汤”的陈方，一帖药吃将下去，不特驴唇对不着马 [嘴] ，且是无益而反害之。		《粉妆楼》__元明
71	只见孔宣撒去了准提道人，只是睁着眼，张着 [嘴] ，须臾间，顶上盔，身上袍甲，纷纷粉碎，连马压在地下，只听得孔宣五色光里一声雷响，现出一尊圣像来，十八只手，二十四首，执定璎珞伞盖，花罐鱼肠，加持神杵、宝锉、金铃、金弓、银戟、幡旗等件。		《封神演义》__元明
72	恐怕他们见笑，没脸 [嘴] 见他。		《二刻拍案惊奇》__元明
73	杵棍并举，未及数合，陈奇见土行孙往来小巧便宜，急切不能取胜，陈奇忙把杵一摆，飞虎兵齐奔前来，陈奇对着土行孙把 [嘴] 一张，喷出一道黄气。		《封神演义》__元明
74	陈奇不防邓婵玉在对面，见拿了他丈夫，发出一塊五光石来，正中陈奇 [嘴] 上，打得脣绽齿落，“哎哟”一声，掩面而走。		《封神演义》__元明
75	丘引看见陈奇鼻青 [嘴] 绽，袍带皆松，忙问其故。		《封神演义》__元明
76	只他比你不同，他把 [嘴] 一张，口内喷出一道黄气来，其人自倒，比你那鼻中哼出白气来大不相同，觉他的便宜。		《封神演义》__元明
77	声若轰雷 [嘴] 若针，穿衾度幔更难禁。		《封神演义》__元明
78	梁尚宾听得这句，好似青天里闻了个霹雷，正要硬着 [嘴] 分辨，只见御史教门子把银钟、首饰与他认赃，问道∶“这些东西那里来的?”		《话本)》__元明
79	只见葫芦里边一道黑烟冒出，化开如网罗，大小黑烟中有“噫哑”之声，遮天映日飞来，乃是铁 [嘴] 神鹰，张开口，劈面突来。		《封神演义》__元明
80	坐下马早被神鹰把眼一 [嘴] 伤了，那马跳将起来，把苏全忠跌了个金冠倒躅，铠甲离鞍，撞下马来。		《封神演义》__元明
81	少时，令至帐前，见一人身高一丈六尺，顶生双角，卷 [嘴] ，尖耳，金		《封神演义》__元明
82	陈奇把 [嘴] 一张，太鸾依旧落马，被众人擒拿进关见丘引。		《封神演义》__元明
83	那妇人每日打发武大出门，只在帘子下磕瓜子儿，一径把那一对小金莲故露出来，勾引浮浪子弟，日逐在门前弹胡博词，撒谜语，叫唱：“一块好羊肉，如何落在狗 [嘴] 里？”		《金瓶梅》__元明
84	老门公拦阻不住，一时间家中大小都聚集来，七 [嘴] 八张，好不热闹。		《话本)》__元明
85	老店官见妇人口 [嘴] 利害，再不敢言语。		《话本)》__元明
86	听信你兄弟说，空生着卵鸟 [嘴] ，也不怕别人笑耻！”		《金瓶梅》__元明
87	我想老人 [嘴] 极毒，想将起来可恶。”		《封神演义》__元明
88	忙把背后一红葫芦顶揭开了，里边一阵黑烟冒出，烟里隐有千只铁 [嘴] 神鹰。		《封神演义》__元明
89	翅打蜈蜂成粉烂， [嘴] 啄蜈蜂化水晶。		《封神演义》__元明
90	且说高继能蜈蜂尽被黑虎铁 [嘴] 神鹰翅打 [嘴] 吞，一时吃了个干干净净。		《封神演义》__元明
91	绿耳金眼五色毛，翅如钢剑 [嘴] 如刀。		《封神演义》__元明
