语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：噬
2023/1/20 15:21:36

序号	语句	书名	朝代
1	六五，悔亡，厥宗 [噬] 肤，往何咎？		《周易》__周
2	 [噬] ，市制反。		《周易》__周
3	 [噬] 肤，言易合。		《周易》__周
4	《象》曰：“厥宗 [噬] 肤”，往有庆也。		《周易》__周
5	雄雌在前，孳尾成群，异类杂居，不相搏 [噬] 也。		《列子》__春秋战国
6	彼君子兮， [噬] 肯适我？		《诗经》__周
7	彼君子兮， [噬] 肯来游？		《诗经》__周
8	民，聚天下之货，交易而退，各得其所，盖取诸《 [噬] 嗑》。		《周易》__周
9	日中为市，上明而下动，又借 [噬] 为市，嗑为合		《周易》__周
10	!此释《 [噬] 嗑》初九爻义。		《周易》__周
11	此释《 [噬] 嗑》上九爻义。		《周易》__周
12	可观而后有所合，故受之以《 [噬] 嗑》。		《周易》__周
13	《 [噬] 嗑》，食也，《贲》，无色也。		《周易》__周
14	可观而后有所合，故受之以《 [噬] 嗑》。		《周易》__周
15	日中为市，致天下之民，聚天下之货，交易而退，各得其所，盖取诸《 [噬] 嗑》。		《周易》__周
16	诸搏攫柢 [噬] 之兽，其用齿角爪牙也，必托於卑微隐蔽，此所以成胜。		《吕氏春秋》__春秋战国
17	21.  [噬] 嗑（卦二十一）		《周易》__周
18	《 [噬] 嗑》：亨。		《周易》__周
19	《彖》曰：颐中有物曰 [噬] 嗑。		《周易》__周
20	 [噬] 嗑而亨，刚柔分，动而明，雷电合而章。		《周易》__周
21	《象》曰：雷电， [噬] 嗑。		《周易》__周
22	六二， [噬] 肤灭鼻，无咎。		《周易》__周
23	《象》曰：“ [噬] 肤灭鼻”，乘刚也。		《周易》__周
24	六三， [噬] 腊肉遇毒，小吝，无咎。		《周易》__周
25	九四，“ [噬] 干胏，得金矢。		《周易》__周
26	六五， [噬] 干肉得黄金。		《周易》__周
27	《 [噬] 嗑》，食也。		《周易》__周
28	厥宗 [噬] 肤，往何咎？		《周易》__周
29	《象》曰：“厥宗 [噬] 肤”，往有庆也。		《周易》__周
30	人有酤酒者，为器甚洁清，置表甚长，而酒酸不售，问之里人其故，里人云：‘公狗之猛，人挈器而入，且酤公酒，狗迎而 [噬] 之，此酒所以酸而不售也。		《晏子春秋》__春秋战国
31	以卦变言之，本自《困》卦九来居初，又自《 [噬] 嗑》九来居五，而自《未		《周易》__周
32	 [噬] 嗑：亨，利用狱。		《周易》__周
33	 [噬] ，市利反。		《周易》__周
34	! [噬] ，啮也。		《周易》__周
35	下两阳而中虚，颐口之象，九四一阳，间于其中，必啮之而后合，故为 [噬] 嗑。		《周易》__周
36	《彖》曰：颐中有物，曰 [噬] 嗑。		《周易》__周
37	 [噬] 嗑而亨，刚柔分，动而明，雷电合而章。		《周易》__周
38	《象》曰：雷电， [噬] 嗑；先王以明罚敕法。		《周易》__周
39	六二， [噬] 肤灭鼻，无咎。		《周易》__周
40	祭有肤鼎，盖肉之柔脆， [噬] 而易嗑者。		《周易》__周
41	六二中正，故其所治如 [噬] 肤之易。		《周易》__周
42	《象》曰：“ [噬] 肤灭鼻”，乘刚也。		《周易》__周
43	六三， [噬] 腊肉，遇毒，小吝，无咎。		《周易》__周
44	中正，治人而人不服，为 [噬] 腊遇毒之象。		《周易》__周
45	占虽小吝，然时当 [噬] 嗑，于义为无咎也。		《周易》__周
46	九四， [噬] 乾胏，得金矢，利艰贞，吉。		《周易》__周
47	言所 [噬] 愈坚，而得听讼之宜也。		《周易》__周
48	六五， [噬] 干肉，得黄金，贞厉，无咎。		《周易》__周
49	 [噬] 乾肉，难于肤而易于腊胏者也。		《周易》__周
50	兄有 [噬] 犬，弟何欲？		《楚辞》__春秋战国
51	故狐有牙而不敢以 [噬] ，豲有蚤而不敢以撅。		《逸周书》__春秋战国
52	曰：始皇方虎而枭磔， [噬] 士犹腊肉也。		《法言》__汉
53	始皇方虎而枭磔， [噬] 士犹腊肉也。		《法言》__汉
54	虎者，阳物，百兽之长也，能执搏挫锐， [噬] 食鬼魅。		《风俗通义》__汉
55	若不早图，后君 [噬] 齐。		《左传》__春秋战国
56	是故鞭 [噬] 狗，策蹄马，		《淮南子》__汉
57	使入大麓之野，虎狼不搏，蝮蛇不 [噬] ；逢烈风疾雨，行不迷惑。		《论衡》__汉
58	凡有血气之虫，含牙带角，前爪后距，有角者触，有齿者 [噬] ，有 毒者螫，有蹄者趹。		《淮南子》__汉
59	有司致法将军请狱治，朕惟 [噬] 肤之恩未忍，其上票骑将军印绶，罢归就第。”		《汉书》__汉
60	故良将之卒，若虎之牙，若兕之角， 若鸟之羽，若蚈之足，可以行，可以举，可以 [噬] ，可以触。		《淮南子》__汉
61	蜂虿螫指而神不能忄詹，蚊虻 [噬] 肤而知不能平。		《淮南子》__汉
62	夫飞鸟之挚也，俯其首；猛兽之攫也，匿 其爪；虎豹不外其爪，而 [噬] 不见齿。		《淮南子》__汉
63	将军不敢骑白马，亡者不敢夜揭炬，保者不敢畜 [噬] 狗。		《淮南子》__汉
64	乳狗之 [噬] 虎也，伏鸡之搏狸也，恩之所加，不量其力。		《淮南子》__汉
65	孟贲探鼠穴，鼠无时死，必  [噬] 其指，失其势也。		《淮南子》__汉
66	其後，吕后出，见苍犬， [噬] 其左腋，怪而卜之，赵王如意为祟，遂病腋伤，不愈而死。		《论衡》__汉
67	故诸物相贼相利，含血之虫相胜服、相啮 [噬] 、相啖食者，皆五行气使之然也。”		《论衡》__汉
68	动於林泽之中，遭虎搏 [噬] 之时，禀性狂勃，贪叨饥饿，触自来之人，安能不食？		《论衡》__汉
69	好入山林，穷幽测深，涉虎窟寝，虎搏 [噬] 之，何以为变？		《论衡》__汉
70	他物小大连相啮 [噬] ，不谓之灾，独谓虫食谷物为应政事，失道理之实，不达物气之性也。		《论衡》__汉
71	月精明，星辰不失其行，风雨时节，五谷登孰，虎狼不妄 [噬] ，鸷鸟不塾搏，凤皇		《淮南子》__汉
72	藏其螫毒，无有攫 [噬] 之心。		《淮南子》__汉
73	苍犬 [噬] 吕后，吕后且死，妖象犬形也。		《论衡》__汉
74	今人死，手臂朽败，不能复持刃，爪牙堕落，不能复啮 [噬] ，安能害人？		《论衡》__汉
75	一说，古者野居露宿，恙， [噬] 人蟲也，故人相恤云“得无恙乎”。		《史记》__汉
76	狗恶之，当门而 [噬] 之。		《战国策》__汉
77	然而使公孙子与徐子斗，徐子之狗，犹时攫公孙子之腓而 [噬] 之也。		《战国策》__汉
78	若乃得去不肖者，而为贤者狗，岂特攫其腓而 [噬] 之耳哉？”		《战国策》__汉
79	对曰：“齐大夫诸子有犬，犬猛不可叱，叱之必 [噬] 人。		《战国策》__汉
80	客有请叱之者，寄视而徐叱之，犬不动；复叱之，犬遂无 [噬] 人之心。		《战国策》__汉
81	蕞尔高丽，僻居荒裔；鸱张狠 [噬] ，侮慢不恭；抄窃我边垂，侵逼我城镇。		《北史》__魏晋六朝
82	其夜，晓衣冠为鼠 [噬] ，不成行而免。		《北史》__魏晋六朝
83	抱朴子曰：虎豹不能搏 [噬] 于波涛之中，☆蛇不能登凌于不雾之日，挚雉兔则鸾凤不及鹰鹞，引耕犁则龙麟不逮双峙。		《抱朴子》__魏晋六朝
84	内侍帷幄，外吐丝纶；威厉风霜，志回天日；虐人害物，搏 [噬] 无厌；卖狱鬻官，溪壑难满。		《北史》__魏晋六朝
85	而祸生肘腋，衅起萧墙；白武 [噬] 骖，苍鹰集殿；幽辱神器，弑酷乘舆；冤结生灵，毒流宇县。		《北史》__魏晋六朝
86	上谓太子曰：“古人云：‘酤酒酸而不售者，为 [噬] 犬耳。		《北史》__魏晋六朝
87	泽中有茅屋，将奔入，有狗自屋中出 [噬] 之，鹰兔俱死。		《北史》__魏晋六朝
88	不图厥始，而求忧其终， [噬] 脐之恨，悔将何及。		《北史》__魏晋六朝
89	山中多毒虫猛兽，法和授其禁戒，不复 [噬] 蜇。		《北史》__魏晋六朝
90	晚虽将兵，犹禁诸军渔捕，有窃违者，中夜猛兽必来欲 [噬] 之，或亡其船缆。		《北史》__魏晋六朝
91	今揣其情，欲一死决，有同狾犬，或能 [噬] 人。		《北史》__魏晋六朝
92	居家，忽闻门有客声，出无所见，还至庭中，为家群犬所 [噬] ，卒。		《北史》__魏晋六朝
93	武夫崛起，不解书计，唯可彍弩前驱，指踪捕 [噬] 而已。		《北史》__魏晋六朝
94	是以一犬所 [噬] ，旨酒贸其甘酸；一手所摇，嘉树变其生死。		《梁书》__魏晋六朝
95	况闻负杖行歌，便已狼顾犬 [噬] ，于名无所成，于义无所取，不蹈忠臣之迹，自陷叛人之地。		《梁书》__魏晋六朝
96	如复傅翼，增其搏 [噬] ，一何悖哉！		《梁书》__魏晋六朝
97	卿又云：“乃追恨所取为少，如复傅翼，增其搏 [噬] ，一何悖哉。”		《梁书》__魏晋六朝
98	取其搏 [噬] 之用，不能得不重更任，彼亦非为朝廷为之傅翼。		《梁书》__魏晋六朝
99	狼子野心，终无驯狎之性；养虎之喻，必见饥 [噬] 之祸。		《梁书》__魏晋六朝
100	孝绰怨之，尝谓人曰：“犬啮行路，览 [噬] 家人。”		《梁书》__魏晋六朝
101	好裸人，画为兽状，纵犬 [噬] 而食之。		《北史》__魏晋六朝
102	况昆季此名，表能 [噬] 物，日露久矣，始信斯言。”		《北史》__魏晋六朝
103	登不为动容，徐喻之曰；“登见曹公言：‘待将军譬如养虎，当饱其肉，不饱则将 [噬] 人。		《三国志》__魏晋六朝
104	是以效之齐、楚之路，以逞千里之任；试之狡兔之捷，以验搏 [噬] 之用。		《三国志》__魏晋六朝
105	昔汉氏历世常患匈奴，朝臣谋士早朝晏罢，介胄之将则陈征伐，搢绅之徒咸言和亲，勇奋之士思展搏 [噬] 。		《三国志》__魏晋六朝
106	 [噬] 不尽厓，牵麋掎鹿。		《宋书》__魏晋六朝
107	景仁对亲旧叹曰：“引之令入，入便 [噬] 人。”		《宋书》__魏晋六朝
108	苻坚将问晋鼎，既已狼 [噬] 梁、岐，又虎视淮阴矣。		《世说新语》__魏晋六朝
109	然归死难图，兽困则 [噬] ，是以爰整其旅，用为过防。		《宋书》__魏晋六朝
110	夫转祸贵速，后机则凶，遂使王师临郊，雷电皆至， [噬] 脐之恨，亦将何及。		《宋书》__魏晋六朝
111	及沈攸之作逆，事切戎机，臣暗于知人，冀其搏 [噬] ，遣统前锋，竟不接刃。		《宋书》__魏晋六朝
112	诏曰：“黄回擢自凡竖，夙负疵衅，贳以宪纲，收基搏 [噬] 。		《宋书》__魏晋六朝
113	若摄兵还反，复南秦之国，则诸军同罢，好穆如初；若距我义言，很愎遂往，败国亡身，必成 [噬] 齐之悔。		《宋书》__魏晋六朝
114	自灵祚南迁，祸缠神土，二京失统，豹狼纵毒，苍元蹈犬 [噬] 之悲，旧都哀荼蓼之痛。		《宋书》__魏晋六朝
115	休仁乃令左右先饮竟，犹不甚信，乃僶俯 [噬] 之，裁进一合许。		《宋书》__魏晋六朝
116	泰始开辟，网漏吞舟，略其凶险，取其搏 [噬] ，故得阶乱获全，因祸保福。		《宋书》__魏晋六朝
