语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：国
2022/11/6 16:21:14

序号	语句	书名	朝代
1	自己一想，可见宦海无定，食路有方，天命早已安排在那里了，倒不如听命由天的闯着作去，或者就这条路上立起一番事业，上不负 [国] 恩，下不负所学，也不见得。		《儿女英雄》__清
2	价钱统通付清，机器不日可到，洋人那 [国] 是万万不肯退的。		《官场现形》__清
3	奈徐 [国] 公家请我，去迟了些，被他百般凌辱，因此一口气同师兄落发修行，今已六七年了。		《风流悟》__清
4	只因他一时奋起一片英雄心，不许波斯匿 [国] 那些婆罗门外道扰害众生，妄干 [国] 事，自己割舍了储君的尊严富贵，立地削发出家，明心见性，修成个无声无色、无臭无味、无触无法的不坏金身。		《儿女英雄》__清
5	波斯匿 [国]  [国] 王才落得个 [国] 治身尊，波斯匿 [国] 众生才落得个安居乐业。		《儿女英雄》__清
6	与 [国] 同休的先数近支远派的宗室觉罗，再就是随龙进关的满洲、蒙古、汉军八旗， 内务府三旗， 连上那十七省的文武大小汉官，何止千门万户！		《儿女英雄》__清
7	第二回 贾夫人仙逝扬州城 冷子兴演说荣 [国] 府		《红楼梦(上)》__清
8	第六回 贾宝玉初试云雨情 刘姥姥一进荣 [国] 府		《红楼梦(上)》__清
9	第十七回 大观园试才题对额 荣 [国] 府归省庆元宵		《红楼梦(上)》__清
10	第五十三回 宁 [国] 府除夕祭宗祠 荣 [国] 府元宵开夜宴		《红楼梦(上)》__清
11	琼船撞入玻璃 [国] ，琪树瑶林不用栽。		《风流悟》__清
12	第二回 贾夫人仙逝扬州城 冷子兴演说荣 [国] 府		《红楼梦(上)》__清
13	子兴笑道：“荣 [国] 贾府中，可也不玷辱老先生的门楣了！”		《红楼梦(上)》__清
14	若论荣 [国] 一支，却是同谱。		《红楼梦(上)》__清
15	街东是宁 [国] 府，街西是荣 [国] 府，二宅相连，竟将大半条街占了。		《红楼梦(上)》__清
16	又往西不远，照样也是三间大门，方是“荣 [国] 府”，却不进正门，只由西角门而进。		《红楼梦(上)》__清
17	进入堂屋，抬头迎面先见一个赤金九龙青地大匾，匾上写着斗大三个字，是“荣禧堂”；后有一行小字：“某年月日书赐荣 [国] 公贾源”，又有“万几宸翰”之宝。		《红楼梦(上)》__清
18	可怜辜负好时光，于 [国] 于家无望。		《红楼梦(上)》__清
19	这李氏亦系金陵名宦之女，父名李守中，曾为 [国] 子祭酒；族中男女无不读诗书者。		《红楼梦(上)》__清
20	虽是皇商，一应经纪世事全然不知，不过赖祖父旧日的情分，户部挂个虚名支领钱粮，其馀事体，自有伙计老家人等措办，寡母王氏乃现任京营节度王子腾之妹，与荣 [国] 府贾政的夫人王氏是一母所生的姊妹，今年方五十上下，只有薛蟠一子。		《红楼梦(上)》__清
21	薛蟠素闻得都中乃第一繁华之地，正思一游，便趁此机会，一来送妹待选，二来望亲，三来亲自入部销算旧帐，再计新支，——其实只为游览上 [国] 风光之意。		《红楼梦(上)》__清
22	薛蟠见母亲如此说，情知扭不过，只得吩咐人夫，一路奔荣 [国] 府而来。		《红楼梦(上)》__清
23	越王教妾歌舞，送到吴 [国] 。		《风流悟》__清
24	殆吴 [国] 既亡，妾身亦投湖而死。		《风流悟》__清
25	后禄山叛，不说禄山为吾兄杨 [国] 忠所激而成，反说妾与有染，实思媾妾，岂非极冤之事。”		《风流悟》__清
26	第六回 贾宝玉初试云雨情 刘老老一进荣 [国] 府		《红楼梦(上)》__清
27	想当初我和女儿还去过一遭，他家的二小姐着实爽快会待人的，倒不拿大，如今现是荣 [国] 府贾二老爷的夫人。		《红楼梦(上)》__清
28	因扶余 [国] 作乱，要弟同兵部官领兵赍诏去招安他，刻不可缓，星夜起身前去。”		《风流悟》__清
29	山左玉同兵部官收拾行李，下了海鳅船，一程竟到扶余 [国] 去。		《风流悟》__清
30	知 [国] 王已绝，他即领几千渔船，各执器械，占了此 [国] ，竟不服王化。		《风流悟》__清
31	不日兵船到了扶余 [国] ， [国] 王大惊，集众倭臣商议，众臣道：“我 [国] 僻处海隅，堂堂天朝，恐难抵敌，不如归顺讨封，乃为上策。”		《风流悟》__清
32	山左玉见王如此有礼，即请上船，与他相见道：“贵 [国] 若不失来王之礼，及时贡献，我当力奏封汝，使汝 [国] 永安，长享富贵。”		《风流悟》__清
33	扶余 [国] 中，以天使到来，尽 [国] 男子妇人俱拥挤观看，不道惊动了 [国] 王爱女，名唤珠莹，年方一十六岁，尚未有配，也是海外的绝色。		《风流悟》__清
34	谁知过了两天，张 [国] 柱哭丧着面孔，咳声叹气的走了进来，说∶“老天爷同我作对，连着这一点点孝心都不叫我尽!		《官场现形》__清
35	当时张 [国] 柱也没有说甚么，只在肚皮里打主意。		《官场现形》__清
36	有人就把这话传到张 [国] 柱耳朵里去。		《官场现形》__清
37	张 [国] 柱披麻带孝，叫两个人搀着出来给客人磕头；拿着哭丧棒，嘴里干号着，居然很有个孝子模样。		《官场现形》__清
38	看看动身的日子一天近似一天，张 [国] 柱就在庙里开了一天吊。		《官场现形》__清
39	不要他具名，竟替他写信给所属各府州、县替他张罗，居然也弄到将近二千银子，统通交给张 [国] 柱。		《官场现形》__清
40	张 [国] 柱听了，也只好答应。		《官场现形》__清
41	那人见三位姨太太怔住不响，晓得她们见疑，忙从靴子里取出一沓子信来，一面翻信，一面说道∶“我的名字叫 [国] 柱，还是那年黄军门要替我谋保举，写信给老人家，叫老人家替我题的名字。		《官场现形》__清
42	张 [国] 柱道∶“无论先君有无遗资，总之，这些事情，在小侄都是义不容辞的。		《官场现形》__清
43	张 [国] 柱并不隐瞒，竟说明自己是“先君弃妾所生”。		《官场现形》__清
44	按下张 [国] 柱拿了银子，随同三位老姨太太伴送张军门夫妻两具灵柩，回籍安葬不表。		《官场现形》__清
45	且说这里芜湖道过了两天果然因为别事晋省，带着替张军门请恤典，替张 [国] 柱谋差使。		《官场现形》__清
46	张 [国] 柱听了这话，立刻请安，谢老师的栽培。		《官场现形》__清
