语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：图
2022/7/10 23:01:36

序号	语句	书名	朝代
1	洪惟 [图] 天之命，弗永寅念于祀，惟帝降格于夏。		《尚书》__周
2	厥 [图] 帝之命，不克开于民之丽，乃大降罚，崇乱有夏。		《尚书》__周
3	乃惟尔辟以尔多方大淫， [图] 天之命屑有辞。		《尚书》__周
4	乃惟有夏 [图] 厥政，不集于享，天降时丧，有邦间之。		《尚书》__周
5	乃惟尔商后王逸厥逸， [图] 厥政不蠲烝，天惟降时丧。		《尚书》__周
6	尔乃不大宅天命，尔乃屑播天命，尔乃自作不典， [图] 忱于正。		《尚书》__周
7	尔勿忧，吾将 [图] 之。”		《国语》__春秋战国
8	若不胜狄，虽济其罪，可也；若胜狄，则善用众矣，求必益广，乃可厚 [图] 也。		《国语》__春秋战国
9	且君其 [图] 之，自桓叔以来，孰能爱亲？		《国语》__春秋战国
10	君若不 [图] ，难将至矣！”		《国语》__春秋战国
11	若惠于父而远于死，惠于众而利社稷，其可以 [图] 之乎？		《国语》__春秋战国
12	子盍尽国以赂外内，无爱虚以求入，既入而后 [图] 聚。”		《国语》__春秋战国
13	时不可失，丧不可久，公子其 [图] 之！”		《国语》__春秋战国
14	伯氏苟出而 [图] 吾君，申生受赐以至于死，虽死何悔！”		《国语》__春秋战国
15	夫二国士之所 [图] ，无不遂也。		《国语》__春秋战国
16	既不忠信，而留外寇，寇知其衅而归 [图] 焉。		《国语》__春秋战国
17	今子 [图] 远以让邑，必常立矣。”		《国语》__春秋战国
18	日，民献有十夫予翼，以于敉宁、武 [图] 功。		《尚书》__周
19	义尔邦君越尔多士、尹氏、御事绥予曰：‘无毖于恤，不可不成乃宁考 [图] 功！		《尚书》__周
20	天閟毖我成功所，予不敢不极卒宁王 [图] 事。		《尚书》__周
21	肆予大化诱我友邦君，天棐忱辞，其考我民，予曷其不于前宁人 [图] 功攸终？		《尚书》__周
22	知夫苟中心 [图] 民，智虽弗及，必将至焉。”		《国语》__春秋战国
23	大玉、夷玉、天球、河 [图] ，在东序。		《尚书》__周
24	王曰：“不谷之国家，蠡之国家也，蠡其 [图] 之！”		《国语》__春秋战国
25	今君王其 [图] 不谷，不谷请复会稽之和。”		《国语》__春秋战国
26	夫吴，君王之吴也，王若蚤 [图] 之，其事又将未可知也。”		《国语》__春秋战国
27	使人谓世子曰：“尔其 [图] 之！”		《榖梁传》__春秋战国
28	予小子新命于三王，惟永终是 [图] ；兹攸俟，能念予一人。”		《尚书》__周
29	有夺，有予，有不予，王无蚤 [图] 。		《国语》__春秋战国
30	王乃步就王孙雒曰：“先之， [图] 之将若何？”		《国语》__春秋战国
31	 [图] 厥政，莫或不艰，有废有兴，出入自尔师虞，庶言同则绎。		《尚书》__周
32	后若有事，吾与子 [图] 之。”		《国语》__春秋战国
33	后若有事，吾与子 [图] 之。”		《国语》__春秋战国
34	古我先王，亦惟 [图] 任旧人共政。		《尚书》__周
35	臣窃愿陛下之幸熟 [图] 之！		《韩非子》__春秋战国
36	予视天下愚夫愚妇一能胜予，一人三失，怨岂在明，不见是 [图] 。		《尚书》__周
37	城固守，则秦必须与兵而围王一都，道不能，则难必谋，其势不救，左右计之者不用，愿陛下熟悉 [图] 之。		《韩非子》__春秋战国
38	秦王饮食不甘，游观不乐，意专在 [图] 赵，使臣斯来言，顺得身见，因急与陛下有计也。		《韩非子》__春秋战国
39	今使臣不通，则韩之信未可知也，夫秦必释赵之患而移兵于韩，愿陛下幸复察 [图] 之，而赐臣报决。		《韩非子》__春秋战国
40	慎乃俭德，惟怀永 [图] 。		《尚书》__周
41	既往背师保之训，弗克于厥初，尚赖匡救之德， [图] 惟厥终。”		《尚书》__周
42	君其 [图] 之。”		《韩非子》__春秋战国
43	思其艰以 [图] 其易，民乃宁。		《尚书》__周
44	曹翙按剑当两陛之间曰：“且二君将改 [图] ，毋或进者！”		《吕氏春秋》__春秋战国
45	彼君臣有间而后可 [图] 也。”		《韩非子》__春秋战国
46	颜涿聚曰：“君游海而乐之，奈臣有 [图] 国者何？		《韩非子》__春秋战国
47	伻来以 [图] 及献卜。”		《尚书》__周
48	数至能人之门，不一至主之廷；百虑私家之便，不一 [图] 主之国。		《韩非子》__春秋战国
49	宋公肉袒执牺，委服告病，曰：“大国若宥 [图] 之，唯命是听。”		《吕氏春秋》__春秋战国
50	绿 [图] 幡薄，从此生矣。		《吕氏春秋》__春秋战国
51	令尹子常曰：“是吾罪也，敢不良 [图] ？”		《吕氏春秋》__春秋战国
52	 [图] 难於其易，为大於其细。		《老子》__春秋战国
53	锐者，心方欲 [图] 恶。		《老子想尔注》__春秋战国
54	此言天地之数，阳奇阴偶，即所谓《河 [图] 》者也。		《周易》__周
55	 [图] 》中宫天五乘地十而得之，至用以筮，则又止用四十有九。		《周易》__周
56	!凡此策数生于四象，盖《河 [图] 》四面，太阳居一而连九，少阴居二而连八，少阳居三而连七，太阴居四而连六。		《周易》__周
57	犹则疏之毋使人 [图] 之犹疏则数之毋使人曲之此所以为之也，		《管子》__春秋战国
58	是故天生神物，圣人则之，天地变化，圣人效之，天垂象，见吉凶，圣人象之，河出《 [图] 》，洛出		《周易》__周
59	《河 [图] 》、《洛书》，详见《启蒙》。		《周易》__周
60	若有事必 [图] 国家遍发挥，		《管子》__春秋战国
61	君其 [图] 之！”		《吕氏春秋》__春秋战国
62	狂或之人， [图] 欲纂弑，天必煞之，不可为也。“		《老子想尔注》__春秋战国
63	请问有时而变乎是故天子之为国 [图] 具其树物也。		《管子》__春秋战国
64	为善至诚而已，不得依兵 [图] 恶以自彊。“		《老子想尔注》__春秋战国
65	设当时佐帝王 [图] 兵，当不得已而有。		《老子想尔注》__春秋战国
66	不可量则众强不能 [图] 不可数则为诈不敢乡，		《管子》__春秋战国
67	强国众合强以攻弱以 [图] 霸，		《管子》__春秋战国
68	子曰：“凤鸟不至，河不出 [图] ，吾已矣夫！”		《论语》__春秋战国
69	阴内辩士使 [图] 其计内勇士使高其气内人他国使倍其约绝其使拂其意，		《管子》__春秋战国
70	旻天疾威，弗虑弗 [图] 。		《诗经》__周
71	君毋 以小谋大，毋以远言近，毋以内 [图] 外，则大臣不怨，迩臣不疾，而远臣不蔽矣。		《礼记》__春秋战国
72	《大雅》曰：“德如毛，民 鲜克举之，我仪 [图] 之，惟仲山甫举之，爱莫助之。”		《礼记》__春秋战国
73	故观其志意，为度数，乃以揣说 [图] 事，尽圆方，齐短长。		《鬼谷子》__春秋战国
74	是故天生神物，圣人则之；天地变化，圣人效之；天垂象，见吉凶，圣人象之；河出 [图] ，洛出书，圣人则之。		《周易》__周
75	是究是 [图] ，亶其然乎？		《诗经》__周
76	子在齐闻《韶》，三月不知肉味，曰：“不 [图] 为乐之至于斯也！”		《论语》__春秋战国
77	不若私许复曹、卫以携之，执宛春以怒楚，既战而后 [图] 之。”		《国语》__春秋战国
78	敢私布于吏，唯君 [图] 之！”		《国语》__春秋战国
79	 [图] 之进退，愿由今日。”		《国语》__春秋战国
80	使令狐文子佐之，曰：“昔克潞之役，秦来 [图] 败晋功，魏颗以其身却退秦师于辅氏，亲止杜回，其勋铭于景锺。		《国语》__春秋战国
81	鄢之役，晋人欲争郑，范文子不欲，曰：“吾闻之，为人臣者，能内睦而后 [图] 外，不睦内而 [图] 外，必有内争，盍姑谋睦乎！		《国语》__春秋战国
82	君弗蚤 [图] ，卫而在讨。		《国语》__春秋战国
83	谓谒者曰：“沐则心覆，心覆则 [图] 反，宜吾不得见也。		《国语》__春秋战国
84	君其 [图] 之，”襄公从之，赠以马二十乘。		《国语》__春秋战国
85	晏子对曰：“君之所尊举而富贵，入所以与 [图] 身，出所与 [图] 国，及左右逼迩，皆同于君之心者也。		《晏子春秋》__春秋战国
86	崔子谓晏子曰：“子变子言，则齐国吾与子共之；子不变子言，戟既在☆，剑既在心，维子 [图] 之也。”		《晏子春秋》__春秋战国
87	穷困无以 [图] 之，布唇枯舌，焦心热中，今君不辱而临之，愿君 [图] 之。”		《晏子春秋》__春秋战国
88	又不 [图] 也，乃遂奔晋，晋人又用之矣。		《国语》__春秋战国
89	我 [图] 尔居，莫如南土。		《诗经》__周
90	我仪 [图] 之，维仲山甫举之。		《诗经》__周
91	庄公阖门而 [图] 莒，国人以为有乱也，皆操长兵而立于闾。		《晏子春秋》__春秋战国
92	公召睢休相而问曰：“寡人阖门而 [图] 莒，国人以为有乱，皆标长兵而立于衢闾，奈何？”		《晏子春秋》__春秋战国
93	今王非越是 [图] ，而齐、鲁以为忧。		《国语》__春秋战国
94	不修方城之内，逾诸夏而 [图] 东国，三岁于沮、汾以服吴、越。		《国语》__春秋战国
95	公曰：“子实 [图] 之。”		《国语》__春秋战国
96	对曰：“ [图] 在明训，明训在威权，威权在君。		《国语》__春秋战国
97	若爱栾盈，则明逐群贼，而以国伦数而遣之，厚箴戒 [图] 以待之。		《国语》__春秋战国
98	庄公 [图] 莒国人扰绐以晏子在乃止第十五                                 515		《晏子春秋》__春秋战国
99	君不此忧耻，而惟 [图] 耳目之乐，不修先君之功烈，而惟饰驾御之伎，则公不顾民而忘国甚矣。		《晏子春秋》__春秋战国
100	’此离树别党，倾国之道也，婴不敢受命，愿君 [图] 之！”		《晏子春秋》__春秋战国
101	辞曰：“吾为主 [图] ，非为子也。		《国语》__春秋战国
