语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：均
2023/1/20 16:04:54

序号	语句	书名	朝代
1	神飨而民听，民神无怨，故明神降之，观其政德而 [均] 布福焉。		《国语》__春秋战国
2	管子对曰：“相地而衰征，则民不移；政不旅旧，则民不偷；山泽各致其时，则民不苟；陆阜陵☆井田畴 [均] ，则民不憾；无夺民时，则百姓富；牺牲不略，则牛羊遂。”		《国语》__春秋战国
3	是以君子必当因其所同，推以度物，使彼我之间各得分愿，则上下四旁 [均] 齐方正，而天下平矣。		《大学中庸》__春秋战国
4	对曰：“童谣有之曰：‘丙之晨，龙尾伏辰， [均] 服振振，取虢之☆。		《国语》__春秋战国
5	帝喾能序三辰以固民，尧能单 [均] 刑法以仪民，舜勤民事而野死，鲧障洪水而殛死，禹能以德修鲧之功，契为司徒而民辑，冥勤其官而水死，汤以宽治民而除其邪，稷勤百谷而山死，文王以文昭，武王去民之秽。		《国语》__春秋战国
6	分财不敢不 [均] 居处不敢怠慢。		《墨子》__春秋战国
7	王命大夫曰：“食土不 [均] ，地之不修，内有辱于国，是子也；军士不死，外有辱，是我也。		《国语》__春秋战国
8	 [均] 如贵人之计，则秦必为天下兵质矣。		《韩非子》__春秋战国
9	楚国之民，齐疾而 [均] ，速若飘风；宛钜铁☆，利若蜂虿；胁鲛犀兕，坚若金石；江、汉以为池，汝、颖以为限；隐以邓林，缘以方城。		《商君书》__春秋战国
10	配主，谓四，旬， [均] 也，谓皆阳也。		《周易》__周
11	阴阳常调，日月常明，四时常若，风雨常 [均] ，字育常时， 年谷常丰；而土无札伤，人无夭恶，物无疵厉，鬼无灵响焉。		《列子》__春秋战国
12	其罪惟 [均] ，其审克之！		《尚书》__周
13	冢宰掌邦治，统百官， [均] 四海。		《尚书》__周
14	甘露，民莫之令而自 [均] 。		《老子》__春秋战国
15	聽其言則辭辯而無統，用其身則多詐而無功，上不足以順明王，下不足以和齊百姓，然而口舌之 [均] ，譫唯則節，足以為奇偉偃卻之屬，夫是之謂奸人之雄，聖王起，所以先誅也，然後盜賊次之。		《荀子》__春秋战国
16	墨子大有天下，小有一國，將少人徒，省官職，上功勞苦，與百姓 [均] 事業，齊功勞。		《荀子》__春秋战国
17	故國君長民者，欲趨時遂功，則和調累解，速乎急疾；忠信 [均] 辨，說乎慶賞矣；必先修正其在我者，然後徐責其在人者，威乎刑罰。		《荀子》__春秋战国
18	 [均] ，天下之至理也，连于形物亦然。		《列子》__春秋战国
19	 [均] 发 [均] 县轻重而发绝，发不 [均] 也。		《列子》__春秋战国
20	 [均] 也， 其绝也，莫绝。		《列子》__春秋战国
21	用心专，动手 [均] 也。		《列子》__春秋战国
22	若换汝之心，则 [均] 于 善矣。”		《列子》__春秋战国
23	祭之时上贤者也故君臣掌君臣掌则上下 [均] 此以知上贤无益也其亡兹适上贤者亡而役贤者昌，		《管子》__春秋战国
24	出若入若，天下莫不 [均] 平，莫不治辨。		《荀子》__春秋战国
25	耦世接俗，说义调 [均] ，以适主心，子不如我也。		《吕氏春秋》__春秋战国
26	曰∶以禮分施， [均] 遍而不偏。		《荀子》__春秋战国
27	故君子之於禮，敬而安之；其於事也，徑而不失；其於人也，寡怨寬裕而無阿；其為身也，謹修飾而不危；其應變故也，齊給便捷而不惑；其於天地萬物也，不務說其所以然，而致善用其材；其於百官之事伎藝之人也，不與之爭能，而致善用其功；其待上也，忠順而不懈；其使下也， [均] 遍而不偏；其交游也，緣類而有義；其居鄉里也，容而不亂。		《荀子》__春秋战国
28	民莫之令而自 [均] 。”		《老子想尔注》__春秋战国
29	聞鼓聲而進，聞金聲而退，順命為上，有功次之；令不進而進，猶令不退而退也，其罪惟 [均] 。		《荀子》__春秋战国
30	是以德之润泽 [均] 加于万物，		《管子》__春秋战国
31	又一说曰，道人宁施人勿为人所施，宁避人勿为人所避，宁教人为善勿为人所教，宁为人所怒勿怒人，分 [均] 宁与人多勿为人所与多。		《老子想尔注》__春秋战国
32	明诏期前后农夫以时 [均] 修焉，		《管子》__春秋战国
33	民不惮劳苦故不 [均] 之为恶也，		《管子》__春秋战国
34	故曰 [均] 地分力使民知时，		《管子》__春秋战国
35	人民鸟兽草木之生物虽甚多皆有 [均] 焉而未尝变也谓之则，		《管子》__春秋战国
36	陵陆丘井田畴 [均] 则民不惑，		《管子》__春秋战国
37	庄公抽剑其怀早鲁国之境去国五十里亦无不死而已左桓公右自承曰 [均] 之死也戮死于君前，		《管子》__春秋战国
38	坤为地，为母，为布，为釜，为吝啬，为 [均] ，为子母牛，为大舆，为文，为众，为柄。		《周易》__周
