语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：坐
2022/7/10 23:04:44

序号	语句	书名	朝代
1	索讼者三禁而不可上下， [坐] 成以束矢。		《国语》__春秋战国
2	而其人 [坐] 其下		《墨子》__春秋战国
3	有入者，则司射 [坐] 而释一焉。		《礼记》__春秋战国
4	多少视其 [坐] 。		《礼记》__春秋战国
5	赙者既致命， [坐] 委之，摈者举之。		《礼记》__春秋战国
6	受立，授立不 [坐] 。		《礼记》__春秋战国
7	侍 [坐] 弗使，不执琴瑟，不画地，手无容，不た也。		《礼记》__春秋战国
8	寝则 [坐] 而将命。		《礼记》__春秋战国
9	执君之乘车则 [坐] 。		《礼记》__春秋战国
10	侍 [坐] 于君子，君子欠伸，运笏，泽剑首，还屦，问日蚤莫，虽请退可也。		《礼记》__春秋战国
11	为尸 [坐] ，则不手拜，肃拜。		《礼记》__春秋战国
12	取俎进俎不 [坐] 。		《礼记》__春秋战国
13	小子走而不趋，举爵则 [坐] 祭立饮。		《礼记》__春秋战国
14	饮酒者，礻几者、醮者、有折俎不  [坐] 。		《礼记》__春秋战国
15	其有折俎者，取祭肺，反之，不 [坐] ，燔亦如之。		《礼记》__春秋战国
16	尸则 [坐] 。		《礼记》__春秋战国
17	桓公秦逆之于郊，而与之 [坐] 而问焉，曰：“昔吾先君襄公筑台以为高位，田狩毕弋，不听国政，卑圣侮士，而唯女是崇。		《国语》__春秋战国
18	孔某与其门弟子闲 [坐] 曰。		《墨子》__春秋战国
19	既正尸，子 [坐] 于东方，卿大夫父兄子姓 立于东方；有司、庶士哭于堂下，北面；夫人 [坐] 于西方，内命妇姑姊妹子姓立于 西方，外命妇率外宗哭于堂上北面。		《礼记》__春秋战国
20	大夫之丧，主人 [坐] 于东方，主妇 [坐] 于西方， 其有命夫命妇则 [坐] ，无则皆立。		《礼记》__春秋战国
21	士之丧，主人父兄子姓皆 [坐] 于东方，主妇姑姊妹 子姓皆 [坐] 于西方。		《礼记》__春秋战国
22	董褐将还，王称左畸曰：“摄少司马兹与王士五人， [坐] 于王前。”		《国语》__春秋战国
23	王遂出，大夫送王不出檐，乃阖左阖，填之以土，侧席而 [坐] ，不扫。		《国语》__春秋战国
24	王遂出，夫人送王，不出屏，乃阖左阖，填之以土，去笄侧席而 [坐] ，不扫。		《国语》__春秋战国
25	其 [坐] 起恭敬，言必先信，行必中正；道涂不争险易之利，冬 夏不争阴阳之和；爱其死以有待也，养其身以有为也。		《礼记》__春秋战国
26	父母舅姑将 [坐] ，奉席请何乡？		《礼记》__春秋战国
27	少者执床与 [坐] ，御者 举几，敛席与簟，县衾箧枕，敛簟而礻蜀之。		《礼记》__春秋战国
28	其相授，则女受以篚，其无篚， 则皆 [坐] 奠之而后取之。		《礼记》__春秋战国
29	舅姑若使介妇，毋敢敌耦于冢妇，不敢并行，不敢并命， 不敢并 [坐] 。		《礼记》__春秋战国
30	终夜 [坐] ，不自快。		《吕氏春秋》__春秋战国
31	八十，拜君命，一 [坐] 再至， 瞽亦如之，九十者使人受。		《礼记》__春秋战国
32	凡父母在，子虽老 不 [坐] ，有虞氏养国老于上庠，养庶老于下庠；夏后氏养国老于东序，养庶老于西 序；殷人养国老于右学，养庶老于左学；周人养国老于东胶，养庶老于虞庠，虞 庠在国之西郊，有虞氏皇而祭，深衣而养老；夏后氏收而祭，燕衣而养老；殷人 而祭，缟衣而养老；周人冕而祭，玄衣而养老。		《礼记》__春秋战国
33	伊尹乃言曰：“先王昧爽丕显， [坐] 以待旦。		《尚书》__周
34	胜敌而草不荒，富强之功可 [坐] 而致也。		《商君书》__春秋战国
35	乃召师涓，令 [坐] 师旷之旁，援琴鼓之。		《韩非子》__春秋战国
36	汤与桀战于鸣条之野，武王与纣战于牧野之中，大破九军，卒裂土封诸侯，士卒 [坐] 陈者，里有书社。		《商君书》__春秋战国
37	平公大说， [坐] 者皆喜。		《韩非子》__春秋战国
38	故曰：百里之君，而封侯其臣，大其旧；自士卒 [坐] 陈者，里有书社；赏之所加，宽于牛马者；何也？		《商君书》__春秋战国
39	 [坐] 者散走，平公恐惧伏于廊室之间。		《韩非子》__春秋战国
40	周谚曰：“田父可 [坐] 杀。		《列子》__春秋战国
41	七年之后，从心之所念，念庚无 是非；从口之所言，庚无利害，夫子始一引吾并席而 [坐] 。		《列子》__春秋战国
42	明日，又与之见壶子，出而谓列子曰：“子之先生 [坐] 不斋，吾无得而相焉。		《列子》__春秋战国
43	舍其 [坐] 		《诗经》__周
44	既见君子，并 [坐] 鼓瑟。		《诗经》__周
45	既见君子，并 [坐] 鼓簧。		《诗经》__周
46	故立天子、置三公，虽有拱璧以先驷马，不如 [坐] 进此道。		《老子》__春秋战国
47	於是将归矣，使人谓公子曰：“归未有时相见，愿与公子 [坐] 而相去别也。”		《吕氏春秋》__春秋战国
48	公子不听，遂相与 [坐] 。		《吕氏春秋》__春秋战国
49	中 [坐] 有献鱼雁者，田氏视之，乃叹曰：“天之于 民厚矣！		《列子》__春秋战国
50	谦不敢犯恶，若客 [坐] 主人堂也。“		《老子想尔注》__春秋战国
51	举而得其人 [坐] 而收其福不可胜收也官不胜任奔走而秦其败事不可胜救也，		《管子》__春秋战国
52	短兵待远矢与 [坐] 而待死者同实，		《管子》__春秋战国
53	既寤，所 [坐] 犹向者之处，侍御犹向者之人。		《列子》__春秋战国
54	百都百县轨谷 [坐] 长十倍，		《管子》__春秋战国
55	宋阳里华子中年病忘，朝取而夕忘，夕与而朝忘；在途则忘行，在室而忘 [坐] ； 今不识先，后不识今。		《列子》__春秋战国
56	宛春曰：“公衣狐裘， [坐] 熊席，陬隅有灶，是以不寒。		《吕氏春秋》__春秋战国
57	至于家，入门左，升自西阶， 殡东西面 [坐] ，哭尽哀，括发袒，降堂东即位，西乡哭，成踊，袭于序东，绞带。		《礼记》__春秋战国
58	妇人奔丧，升自东阶，殡东西面 [坐] ，哭尽哀，东ヮ，即位，与主人拾踊。		《礼记》__春秋战国
59	奔丧者不及殡，先之墓，北面 [坐] ，哭尽哀。		《礼记》__春秋战国
60	夫子始一引吾并席而 [坐] 。		《列子》__春秋战国
61	至于眾賓，升受、 [坐] 祭、立飲，不酢而降；隆殺之義辨矣。		《荀子》__春秋战国
62	降，說屨升 [坐] ，修爵無數。		《荀子》__春秋战国
63	 [坐] 於室而見四海，處於今而論久遠。		《荀子》__春秋战国
64	齐必变食，居必迁 [坐] 。		《论语》__春秋战国
65	席不正，不 [坐] 。		《论语》__春秋战国
66	桓公因与癸乙管子宁戚相与四 [坐] ，		《管子》__春秋战国
67	大夫不 [坐] 羊，士不 [坐]  犬。		《礼记》__春秋战国
68	君之栈台之职亦 [坐] 长什倍，		《管子》__春秋战国
69	姑姊妹女子，子已嫁而反，男子不与同席而 [坐] 。		《礼记》__春秋战国
70	蘧伯玉使人于孔子，孔子与之 [坐] 而问焉，曰：“夫子何为？”		《论语》__春秋战国
71	故 [坐] 而言之，起而可設，張而可施行。		《荀子》__春秋战国
72	無辨合符驗， [坐] 而言之，起而不可設，張而不可施行，豈不過甚矣哉！		《荀子》__春秋战国
73	今使涂 [坐] 者，以其可以知之質，可以能之具，本夫仁義法正之可知可能之理，然則其可以為禹明矣。		《荀子》__春秋战国
74	四面之 [坐] ，象四时也。		《礼记》__春秋战国
75	主人者尊宾，故 [坐] 宾于西北，而 [坐] 介于西南以辅宾，宾者，接人以义者也， 故 [坐] 于西北。		《礼记》__春秋战国
76	主人者，接人以德厚者也，故 [坐] 于东南。		《礼记》__春秋战国
77	而 [坐] 亻巽于东北，以辅主 人也。		《礼记》__春秋战国
78	乡饮酒之礼，六十者 [坐] ，五十者立侍，以听政役，所以明尊长也。		《礼记》__春秋战国
79	至于众 宾升受， [坐] 祭，立饮，不酢而降。		《礼记》__春秋战国
80	降，说屦升 [坐] ，修爵无数。		《礼记》__春秋战国
81	 [坐] 視膝，立視足，應對言語視面。		《荀子》__春秋战国
82	故其行效，其立效，其 [坐] 效，其置顏色、出辭氣效。		《荀子》__春秋战国
83	宾牟贾侍 [坐] 于孔子，孔子与之言及乐，曰：“夫武之备戒之已久，何也？”		《礼记》__春秋战国
84	“《武》 [坐] 致右宪左，何也？”		《礼记》__春秋战国
85	对曰：“非《武》 [坐] 也。”		《礼记》__春秋战国
86	《武》乱皆 [坐] ，周召之治也。		《礼记》__春秋战国
87	《宥 [坐] 》篇第二十八		《荀子》__春秋战国
88	守廟者曰∶「此蓋為宥 [坐] 之器。」		《荀子》__春秋战国
89	孔子曰∶「吾聞宥 [坐] 之器者，虛則欹，中則正，滿則覆。」		《荀子》__春秋战国
90	孔子侍 [坐] 于哀公，哀公曰：“敢问人道谁为大。”		《礼记》__春秋战国
91	皆 [坐] ，子告之曰：“某在斯，某在斯。”		《论语》__春秋战国
92	是正 [坐] 於夕室也，其所谓正乃不正矣。		《吕氏春秋》__春秋战国
93	子路、曾皙、冉有、公西华侍 [坐] 。		《论语》__春秋战国
94	左之右之， [坐] 之起 之，以观其习变也。		《礼记》__春秋战国
95	故妇人无爵，从夫之爵， [坐]  以夫之齿。		《礼记》__春秋战国
96	诏祝于室， [坐] 尸于堂，用牲于庭，升首于室。		《礼记》__春秋战国
97	古者，尸无事则立，有事而后 [坐]  也。		《礼记》__春秋战国
98	对曰：“齐人也， [坐] 盗。”		《晏子春秋》__春秋战国
99	晏子 [坐] ，酌者奉觞进之，曰；“君命浮子。”		《晏子春秋》__春秋战国
100	客退，晏子直席而 [坐] ，废朝移时。		《晏子春秋》__春秋战国
101	君子之居恒当户，寝恒东首，若有疾风迅雷甚雨，则必变，虽夜必兴，衣服 冠而 [坐] 。		《礼记》__春秋战国
102	侍 [坐] ，则必退席，不退，则必引而去君之党，登席不由前，为躐席。		《礼记》__春秋战国
103	徒 [坐] 不 尽席尺，读书，食，则齐，豆去席尺。		《礼记》__春秋战国
104	景公畋于梧丘，夜犹早，公姑 [坐] 睡，而梦有五丈夫北面韦庐，称无罪焉。		《晏子春秋》__春秋战国
105	退则 [坐] 取履，隐辟而 后履， [坐] 左纳右， [坐] 右纳左。		《礼记》__春秋战国
106	晏子对曰：“事亲孝，无悔往行，事君忠，无悔往辞；和于兄弟，信于朋友，不谄过，不责得；言不相 [坐] ，行不相反；在上治民，足以尊君，在下莅修，足以变人，身无所咎，行无所创；可谓荣矣。”		《晏子春秋》__春秋战国
107	足 容重，手容恭，目容端，口容止，声容静，头容直，气容肃，立容德，色容庄，  [坐] 如尸，燕居告温温。		《礼记》__春秋战国
108	遂袒免， [坐] ，枕君尸而哭，兴，三踊而出。		《晏子春秋》__春秋战国
109	庄公不说晏子晏子 [坐] 地讼公而归第一		《晏子春秋》__春秋战国
110	晏子入 [坐] ，乐人三奏，然後知其谓己也。		《晏子春秋》__春秋战国
111	晏子对曰：“婴闻讼夫 [坐] 地，今婴将与君讼，敢毋 [坐] 地乎？		《晏子春秋》__春秋战国
112	公曰：“夫子从席，曷为 [坐] 地？”		《晏子春秋》__春秋战国
113	含者 [坐] 委于殡东南，有苇席；既葬，蒲席。		《礼记》__春秋战国
114	宰夫朝服，即丧屦升自西阶，西面， [坐] 取璧，降自西阶以东。		《礼记》__春秋战国
115	陈乘 稽颡， [坐] 委于殡东南黄大路于中庭，北。		《礼记》__春秋战国
116	西面而 [坐] ，委之。		《礼记》__春秋战国
117	升自西阶，西面， [坐] 取之，降自西阶。		《礼记》__春秋战国
118	卒敛，宰告子，冯之踊，夫人东面 [坐] ，冯之兴踊。		《礼记》__春秋战国
119	庐，垩室之中，不与人 [坐] 焉。		《礼记》__春秋战国
120	景公筑长☆之台，晏这侍 [坐] 。		《晏子春秋》__春秋战国
121	何不求四乡之学士可者而与 [坐] ？”		《晏子春秋》__春秋战国
122	婴恶得学士之可者而与之 [坐] ？		《晏子春秋》__春秋战国
123	婴未尝闻为人君而自 [坐] 其民者也。”		《晏子春秋》__春秋战国
124	景公 [坐] 于路寝，曰：“美哉其室！		《晏子春秋》__春秋战国
125	景公 [坐] 路寝曰谁将有此晏子谏第十                                     454		《晏子春秋》__春秋战国
126	周公思兼三王，以施四事；其有不合者，仰而思之，夜以继日；幸而得之， [坐] 以待旦。”		《孟子》__春秋战国
127	庄公不说晏子晏子 [坐] 地讼公而归第一                                   294		《晏子春秋》__春秋战国
128	天之高也，星辰之远也，苟求其故，千岁之日至，可 [坐] 而致也。”		《孟子》__春秋战国
129	曰：“臣闻之胡龁曰，王 [坐] 于堂上，有牵牛而过堂下者，王见之，曰：‘牛何之？		《孟子》__春秋战国
130	其适来班贡，不俟馨香嘉味，故 [坐] 诸门外，而使舌人体委与之。		《国语》__春秋战国
131	景公猎休 [坐] 地晏子席而谏第九                                         119		《晏子春秋》__春秋战国
132	伍子胥说之半，王子光举帷，搏其手而与之 [坐] ；说毕，王子光大说。		《吕氏春秋》__春秋战国
133	宰乃承王中升自客阶，作策执策，从中宰 [坐] 尊中于大正之前，太祝以王命作策，策告太宗。		《逸周书》__春秋战国
134	太史乃降，大正 [坐] ，举书，乃中降，再拜稽首。		《逸周书》__春秋战国
135	公不说，曰：“寡人不席而 [坐] 地，二三子莫席，而子独搴草而 [坐] 之，何也？”		《晏子春秋》__春秋战国
136	晏子对曰：“臣闻介胄 [坐] 陈不席，狱讼不席，尸 [坐] 堂上不席，三者皆忧也。		《晏子春秋》__春秋战国
137	景公猎休， [坐] 地而食，晏子後至，左右灭葭而席。		《晏子春秋》__春秋战国
138	经界既正，分田制禄可 [坐] 而定也。		《孟子》__春秋战国
139	楚巫微导裔款以见景公，侍 [坐] 三日，景公说之。		《晏子春秋》__春秋战国
140	公与晏子入 [坐] 饮酒，致堂上之乐，酒酣，晏子作歌曰：“穗乎不得获，秋风至兮殚零落。		《晏子春秋》__春秋战国
141	晏子至，已复事，公延 [坐] ，饮酒乐。		《晏子春秋》__春秋战国
142	贾人西面 [坐] 启椟，取圭垂缫，不起而授宰。		《仪礼》__春秋战国
143	贾人北面， [坐] 拭圭，遂执展之。		《仪礼》__春秋战国
144	贾人东面 [坐] 启椟，取圭垂缫，不起而授上介。		《仪礼》__春秋战国
145	子产相郑，往见壶丘子林，与其弟子 [坐] 必以年，是倚其相於门也。		《吕氏春秋》__春秋战国
146	士受皮者自后右客；宾出，当之 [坐] 摄之。		《仪礼》__春秋战国
147	降筵，北面，以柶兼诸觯，尚擸， [坐] 啐醴。		《仪礼》__春秋战国
148	摈者 [坐] 取币出，有司二人牵马以従，出门，西面于东塾南。		《仪礼》__春秋战国
149	楚王与凡君 [坐] ，少焉，楚王左右曰“凡亡”者三。		《庄子》__春秋战国
150	颠蹶之请， [坐] 拜之谒，虽得则薄矣。		《吕氏春秋》__春秋战国
151	宰自公左受币，有司二人 [坐] 举皮以东。		《仪礼》__春秋战国
152	士三人，东上， [坐] 取币，立。		《仪礼》__春秋战国
153	抽蒲兮陈 [坐] ，援芙蕖兮为盖。		《楚辞》__春秋战国
154	思与乡人处，如以朝衣朝冠 [坐] 于涂炭也。		《孟子》__春秋战国
155	如秦者立而至，有车也；适越者 [坐] 而至，有舟也。		《吕氏春秋》__春秋战国
156	秦、越，远涂也，竫立安 [坐] 而至者，因其械也。		《吕氏春秋》__春秋战国
157	老受摈者币于中庭，士三人 [坐] 取群币以従之。		《仪礼》__春秋战国
158	晋平公之于亥唐也，入云则入， [坐] 云则 [坐] ，食云则食；虽蔬食菜羹，未尝不饱，盖不敢不饱也。		《孟子》__春秋战国
159	宾东面 [坐] 奠献，再拜稽首。		《仪礼》__春秋战国
160	摈者东面 [坐] 取献，举以入告，出礼请受。		《仪礼》__春秋战国
161	南荣囗（“趄”字以“朱”代“且”音ｃｈｕ２）蹴然正 [坐] 曰：“		《庄子》__春秋战国
162	主人 [坐] 取爵于篚，降洗。		《仪礼》__春秋战国
163	主人 [坐] 奠爵于阶前，辞。		《仪礼》__春秋战国
164	主人 [坐] 取爵，兴，适洗，南面 [坐] ，奠爵于篚下，盥洗，宾进东，北面辞洗。		《仪礼》__春秋战国
165	主人 [坐] 奠爵于篚，兴对。		《仪礼》__春秋战国
166	主人 [坐] 取爵，沃洗者西北面。		《仪礼》__春秋战国
