语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：堪
2022/7/10 22:58:23

序号	语句	书名	朝代
1	天惟求尔多方，大动以威，开厥顾天；惟尔多方，罔 [堪] 顾之。		《尚书》__周
2	惟我周王灵承于旅，克 [堪] 用德，惟典神天。		《尚书》__周
3	公仪伯曰：“臣之力能折春螽之股，  [堪] 秋蝉之翼。”		《列子》__春秋战国
4	女折春螽之股， [堪] 秋蝉之翼，而力闻天下，何也？”		《列子》__春秋战国
5	然故 [堪] 材习士间识博学之人不可乱也，		《管子》__春秋战国
6	维予小子，未 [堪] 家多难。		《诗经》__周
7	未 [堪] 家多难，予又集于蓼。		《诗经》__周
8	怨在小丑，犹不可 [堪] ，而况在侈卿乎？		《国语》__春秋战国
9	若承命不违，守业不懈，宽于死而远于忧，则可以上下无隙矣，其何任不 [堪] ，上任事而彻，下能 [堪] 其任，所以为令闻长世也。		《国语》__春秋战国
10	且夫人臣而侈，国家弗 [堪] ，亡之道也。”		《国语》__春秋战国
11	’王又章辅祸乱，将何以 [堪] 之？		《国语》__春秋战国
12	众以美物归女，而何德以 [堪] 之，王犹不 [堪] ，况尔小丑乎？		《国语》__春秋战国
13	虽谓之挟，而猾以齿牙，口弗 [堪] 也，其与几何？		《国语》__春秋战国
14	 [堪] 士不可以骄恣屈也。		《吕氏春秋》__春秋战国
15	今钟瓠矣，王心弗 [堪] ，其能久乎？”		《左传》__春秋战国
16	对曰：“某之子不教，唯恐弗 [堪] 。		《仪礼》__春秋战国
17	唯恐弗 [堪] ，不敢忘命。”		《仪礼》__春秋战国
18	刘向以为，先是前将军萧望之、光禄大夫击 [堪] 辅政，为佞臣石显、许章等所谮，望之自杀， [堪] 废黜。		《汉书》__汉
19	刘向以为，先是上复征用周 [堪] 为光禄勋，及 [堪] 弟子张猛为太中大夫，石显等复谮毁之，皆出外迁。		《汉书》__汉
20	是岁，上复征 [堪] 领尚书，猛给事中，石显等终欲害之。		《汉书》__汉
21	后 [堪] 希得进见，因显言事，事决显口。		《汉书》__汉
22	 [堪] 病不能言。		《汉书》__汉
23	呜呼，惟尔天子嗣文武业，惟尔执政小子同先王之臣昏行□顾道，王不若，专利作威，佐乱进祸，民将弗 [堪] 。		《逸周书》__春秋战国
24	下民胥怨，财力单竭，手足靡措，弗 [堪] 上，不其乱而。		《逸周书》__春秋战国
25	周 [堪] 字少卿，齐人也。		《汉书》__汉
26	 [堪] 译官令，论于石渠，经为最高，后为太子少傅，而孔霸以太中大夫授太子。		《汉书》__汉
27	及元帝即位， [堪] 为光禄大夫，与萧望之并领尚书事，为石显等所谮，皆免官。		《汉书》__汉
28	望之自杀，上愍之，乃擢 [堪] 为光禄勋，语在《刘向传》。		《汉书》__汉
29	 [堪] 授牟卿及长安许商长伯。		《汉书》__汉
30	吾子为鲁宗卿，而任其大政，不慎举，何以 [堪] 之？		《左传》__春秋战国
31	其细已甚，民弗 [堪] 也，是其先亡乎！”		《左传》__春秋战国
32	今一岁四巡，道路万里，春秋尊，非E05F干肉之所能 [堪] 。		《汉书》__汉
33	书士縠， [堪] 其事也。		《左传》__春秋战国
34	初，梁伯好土功，亟城而弗处，民罢而弗 [堪] ，则曰：“某寇将至。”		《左传》__春秋战国
35	君欲已甚，其何以 [堪] 之？”		《左传》__春秋战国
36	其细已甚，民弗 [堪] 也。		《汉书》__汉
37	弟实隽德，不患无位，而徒☆茸，何所 [堪] 施，强推毂之，乱仪千度。		《风俗通义》__汉
38	高辛氏有才子八人，伯奋、仲 [堪] 、叔献、季仲、伯虎、仲熊、叔豹、季狸，忠肃共懿，宣慈惠和，天下之民谓之八元。		《左传》__春秋战国
39	吾何以 [堪] 之？”		《左传》__春秋战国
40	民弗 [堪] 也，将何以终？		《左传》__春秋战国
41	尔有乱心，无厌，国不女 [堪] 。		《左传》__春秋战国
42	有死罪三，何以 [堪] 之？		《左传》__春秋战国
43	元帝初即位，太傅萧望之为前将军，少傅周 [堪] 为诸吏光禄大夫，皆领尚书事，甚见尊任，更生年少于望之、 [堪] ，然二人重之，荐更生宗室忠直，明经有行，擢为散骑、宗正给事中，与侍中金敞拾遗于左右。		《汉书》__汉
44	望之、 [堪] 、更生议，欲白罢退之。		《汉书》__汉
45	未白而语泄，遂为许、史及恭、显所谮诉， [堪] 、更生下狱，及望之皆免官。		《汉书》__汉
46	秋，征 [堪] 、向，欲以为谏大夫，恭、显白皆为中郎。		《汉书》__汉
47	劾更生前为九卿，坐与望之、 [堪] 谋排车骑将军高、许、史氏侍中者，毁离亲戚，欲退去之，而独专权。		《汉书》__汉
48	天子甚悼恨之，乃擢周 [堪] 为光禄勋， [堪] 弟子张猛光禄大夫、给事中，大见信任。		《汉书》__汉
49	更生见 [堪] 、猛在位，BCB8已得复进，惧其倾危，乃上封事谏曰：		《汉书》__汉
50	民之不处，其谁 [堪] 之？		《左传》__春秋战国
51	 [堪] 性公方，自见孤立，遂直道而不曲。		《汉书》__汉
52	是岁夏寒，日青无光，恭、显及许、史皆言 [堪] 、猛用事之咎。		《汉书》__汉
53	上内重 [堪] ，又患众口之浸润，无所取信。		《汉书》__汉
54	时长安令杨兴以材能幸，常称誉 [堪] 。		《汉书》__汉
55	兴者，倾巧士，谓上疑 [堪] ，因顺指曰：“ [堪] 非独不可于朝廷，自州里亦不可也。		《汉书》__汉
56	臣见众人闻 [堪] 前与刘更生等谋毁骨肉，以为当诛，故臣前言 [堪] 不可诛伤，为国养恩也。”		《汉书》__汉
57	会城门校尉诸葛丰亦言 [堪] 、猛短，上因发怒免丰。		《汉书》__汉
58	又曰：“丰言 [堪] 、猛贞信不立，联闵而不治，又惜其材能未有所效，其左迁 [堪] 为河东太守，猛槐里令。”		《汉书》__汉
59	于是上召诸前言日变在 [堪] 、猛者责问，皆稽首谢。		《汉书》__汉
60	乃因下诏曰：“河东太守 [堪] ，先帝贤之，命而傅联。		《汉书》__汉
61	 [堪] 出之后，大变仍臻，众亦嘿然。		《汉书》__汉
62	 [堪] 治未期年，而三老官属有识之士咏颂其美，使者过郡，靡人不称。		《汉书》__汉
63	今 [堪] 年衰岁幕，恐不得自信，排于异人，将安究之哉？		《汉书》__汉
64	其征 [堪] 诣行在所。”		《汉书》__汉
65	 [堪] 希得见，常因显白事，事决显口。		《汉书》__汉
66	会 [堪] 疾D627，不能言而卒。		《汉书》__汉
67	及宣帝寝疾，选大臣可属者，引外属侍中乐陵侯史高、太子太傅望之、少傅周 [堪] 至禁中，拜高为大司马车骑将军，望之为前将军光禄勋， [堪] 为光禄大夫，皆受遗诏辅政，领尚书事。		《汉书》__汉
68	望之、 [堪] 本以师傅见尊重，上即位，数宴见，言治乱，陈王事。		《汉书》__汉
69	望之、 [堪] 数荐名儒茂才以备谏官。		《汉书》__汉
70	章视周 [堪] ， [堪] 白令朋待诏金马门。		《汉书》__汉
71	朋与大司农史李官俱待诏， [堪] 独白宫为黄门郎。		《汉书》__汉
72	朋，楚士，怨恨，更求入许、史，推所言许、史事曰：“皆周 [堪] 、刘更生教我，我关东人，何以知此？”		《汉书》__汉
73	龙者，宣帝时与张子蟜等待诏，以行污秽不进，欲入 [堪] 等， [堪] 等不纳，故与朋相结。		《汉书》__汉
74	恭、显奏：“望之、 [堪] 、更生朋党相称举，数谮诉大臣，毁离亲戚，欲以专擅权势，为臣不忠，诬上不道，请谒者召致廷尉。”		《汉书》__汉
75	后上召 [堪] 、更生，曰系狱。		《汉书》__汉
76	其赦望之罪，收前将军光禄勋印绶，及 [堪] 、更生皆免为庶人。”		《汉书》__汉
77	子刚王 [堪] 嗣，十二年薨。		《汉书》__汉
78	御史大夫内承本朝之风化，外佐丞相统理天下，任重职大，非庸材所能 [堪] 。		《汉书》__汉
79	今豆有加，下臣弗 [堪] ，无乃戾也。”		《左传》__春秋战国
80	芋尹无宇断之，曰：“一国两君，其谁 [堪] 之？”		《左传》__春秋战国
81	诏招摇与泰阴兮，伏钩陈使当兵，属 [堪] 舆以壁垒兮，梢夔、F22B而抶DA71狂。		《汉书》__汉
82	臣莽伏自惟，爵为新都侯，号为安汉公，官为宰衡、太傅、大司马，爵贵、号尊、官重，一身蒙大宠者五，诚非鄙臣所能 [堪] 。		《汉书》__汉
83	延寿自以身无功德，何以能久 [堪] 先人大国，数上书让减户邑，又因弟阳都侯彭祖口陈至诚，天子以为有让，乃徙封平原，并一国，户口如故，而租税减半。		《汉书》__汉
84	以故道路无盗贼之迹，深幽迥绝无劫夺之奸，以危为宁，以困为通，五帝、三王，孰能 [堪] 斯哉？		《论衡》__汉
85	初元中，前将军萧望之及光禄大夫周 [堪] 、宗正刘更生皆给事中。		《汉书》__汉
86	后皆害焉，望之自杀， [堪] 、更生废锢，不得复进用，语在《望之传》。		《汉书》__汉
87	此岂家人子所能 [堪] 邪！”		《汉书》__汉
88	天之去人万里余也，仰察之，日光眩耀，火光盛明，不能 [堪] 也。		《论衡》__汉
89	霸为人谦退，不好权势，常称爵位泰过，何德以 [堪] 之！		《汉书》__汉
90	笃行三者，乃可以长 [堪] 重任，久享盛宠。		《汉书》__汉
91	则夫家富财饶，筋力劲强者能 [堪] 之。		《论衡》__汉
92	曰：臭闻於天，多藏食物，腐朽猥发，人不能 [堪] 毒愤，而未为怪也。		《论衡》__汉
93	夫以千钟百牛、百觚十羊言之，文王之身如防风之君，孔子之体如长狄之人，乃能 [堪] 之。		《论衡》__汉
94	一郡修行之能， [堪] 州从事。		《论衡》__汉
95	有子四人，长子伯霜，中子仲雪，次子叔 [堪] ，○索隐一作“湛”。		《史记》__汉
96	仲雪死；叔 [堪] 亡，避难於濮；◇集解杜预曰：“建宁郡南有濮夷。”		《史记》__汉
97	自孔甲以来而诸侯多畔夏，桀不务德而武伤百姓，百姓弗 [堪] 。		《史记》__汉
98	居辰为厌日，厌日不可以举百事， [堪] 舆徐行，雄以音知雌，故为奇辰。		《淮南子》__汉
99	《 [堪] 舆金匮》十四卷。		《汉书》__汉
100	唯御史大夫郑私、光禄大夫周 [堪] 初言不可，后善之。		《汉书》__汉
101	 [堪] 舆历，历上诸神非一，圣人不言，诸子不传，殆无其实。		《论衡》__汉
102	上徙丰为城门校尉，丰上书告光禄勋周 [堪] 、光禄大夫张猛。		《汉书》__汉
103	上不直丰，乃制诏御史：“城门校尉丰，前与光禄勋 [堪] 、光禄大夫猛在朝之时，数称言 [堪] 、猛之美。		《汉书》__汉
104	而反怨 [堪] 、猛，以求报举，告案无证之辞，暴扬难验之罪，毁誉恣意，不顾前言，不信之大者也。		《汉书》__汉
105	君欲已甚，何以 [堪] 之！”		《史记》__汉
106	谓荐彼细微之人，言 [堪] 大用，则疑其挟诈而卖我之权也。		《史记》__汉
107	○索隐左所运用 [堪] 为人之准绳，右所举动必应规矩也。		《史记》__汉
108	湣王自矜，百姓弗 [堪] 。		《史记》__汉
109	○索隐左传：“高辛氏有才子八人，伯奋、仲 [堪] 、叔献、季仲、伯虎、仲熊、叔豹、季貍。”		《史记》__汉
110	五行家曰可， [堪] 舆家曰不可，建除家曰不吉，丛辰家曰大凶，历家曰小凶，天人家曰小吉，太一家曰大吉。		《史记》__汉
111	今案：大颜云“北山青石肌理密， [堪] 为碑椁，至今犹然。		《史记》__汉
112	正义任，入针反， [堪] 也。		《史记》__汉
113	角湲，◇集解郭璞曰：“角湲，音端，似猪，角在鼻上， [堪] 作弓。		《史记》__汉
114	众以美物归女，而何德以 [堪] 之？		《史记》__汉
115	太后以明帝冲幼，未 [堪] 亲祭，欲傍《周礼》夫人与君交献之义，代行祭礼。		《北史》__魏晋六朝
116	起工移徙，入新屋舍，皆不复按 [堪] 舆星历，而不避太岁太阴将军，月建煞耗之神，年命之忌，终不复值殃咎也。		《抱朴子》__魏晋六朝
117	余数见断谷人三年、二年者多，皆身轻色好， [堪] 风寒暑湿，大都无肥者耳。		《抱朴子》__魏晋六朝
118	’其服术及饵黄精，又禹余粮丸，日再服三者，令人多气力， [堪] 负提远行，身轻不困。		《抱朴子》__魏晋六朝
119	凡酒客但饮酒食脯而不食谷，皆自 [堪] 半岁、一岁而不蹙顿矣，未名绝谷耳。		《抱朴子》__魏晋六朝
120	景帝问之：‘可复 [堪] 几时？		《抱朴子》__魏晋六朝
121	或服太阳酒，或服紫石英朱漆散，或服雄丸一、后服雌丸二，亦可 [堪] 一日一夕不寒。		《抱朴子》__魏晋六朝
122	世间或有欲试修长生之道者，而不肯谦下于 [堪] 师者，直尔蹴迮，从求至要，宁可得乎？		《抱朴子》__魏晋六朝
123	令狐延保兼资文武，才 [堪] 统御，若使为将，蔑不济矣。”		《北史》__魏晋六朝
124	抱朴子曰：才学之士 [堪] 秀、孝者，已不可多得矣。		《抱朴子》__魏晋六朝
125	汝等 [堪] 立功效，不得以我在东，遂亏臣节也，”乃挥涕而诀。		《北史》__魏晋六朝
126	诏兗州刺史举部内士人 [堪] 军国及守宰政绩者，具以名闻。		《北史》__魏晋六朝
127	背荣华而独往，求神仙于幽漠，岂所 [堪] 哉！		《抱朴子》__魏晋六朝
128	若以香华      供养汝者      汝於今日      则能 [堪] 受		《北凉译经》__魏晋六朝
129	徒患体虚气少者，不能 [堪] 之，故为所中耳。		《抱朴子》__魏晋六朝
130	周文以有谋略， [堪] 委边任，乃表行建州事。		《北史》__魏晋六朝
131	但成周歔脊，弗 [堪] 胥宇。		《北史》__魏晋六朝
132	诸在家及见入学者，若有笃志好古，耽典悦礼，学行优敏， [堪] 膺时务，所在采访，具以名闻。		《北史》__魏晋六朝
133	百姓求捕之，网罗被水陆，禽兽有 [堪] 氈毦之用者，殆无遗类。		《北史》__魏晋六朝
134	则宕人水居，梁母火化，子伯耐至热，仲都 [堪] 酷寒，左慈兵解而不死，甘始休粮以经岁，范轶见斫而不入，鳖令流尸而更生，少长执百鬼，长房缩地脉，仲甫假形于晨凫，张楷吹嘘起云雾。		《抱朴子》__魏晋六朝
135	才 [堪] 将略，则拔之以御侮；力有骁壮，则任之以爪牙。		《北史》__魏晋六朝
136	辛亥，诏诸郡学业该通，才艺优洽；膂力骁壮，超绝等伦；在官勤奋， [堪] 理政事；立性正直，不避强御：四科举人。		《北史》__魏晋六朝
137	后数载，下弼狱，上谓曰：“我以高颎、杨素为宰相，汝每昌言此二人唯 [堪] 啖饭耳，是何意也？”		《北史》__魏晋六朝
138	广尝欲早朝，假寐，忽惊觉，谓其妻曰：“吾向似睡非睡，忽见一人出吾身中，语云：‘君用心过苦，非精神所 [堪] ，今辞君去。		《北史》__魏晋六朝
139	非其才而妄授，非所 [堪] 而虚任，犹冰碗之盛沸汤，葭莩之包烈火，缀万钧于腐索，加倍载于扁舟。		《抱朴子》__魏晋六朝
140	今恶子孙已为百姓黜屏，好子孙足 [堪] 负荷大业。		《北史》__魏晋六朝
