语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：复
2022/11/6 16:15:11

序号	语句	书名	朝代
1	乐工采歌谣以配声，文多不可通，《铙歌》声词混填，不可 [复] 解是也。		《钝吟杂录》__清
2	但我父母谓尔我已陷入死亡，无 [复] 再生之理，不可骤归，不若妾与君同去晦迹山林，待守清贫何如？”		《风流悟》__清
3	后来张士诚破了苏州，文世高家业尽散，无 [复] 顾恋，因慕西湖，仍同秀英小姐归于断桥旧居，逍遥快乐，受用湖山佳景。		《风流悟》__清
4	照这案情，大约没有个不开 [复] 的，只不晓得老翁任所打算得出许多银子来不能？		《儿女英雄》__清
5	同时那个藩台又 [复] 一个电报给王道台，叫他仍向陶委员划付。		《官场现形》__清
6	既然不肯赐教，兄弟也只得实氢实禀 [复] 上头，将来休要怪弟不留面情!”		《官场现形》__清
7	竟其不能重新上堂禀 [复] 。		《官场现形》__清
8	且说胡统领接到信，翻来 [复] 去看了两遍，一声不响，众随员瞧看也摸不着头脑，周老爷却已		《官场现形》__清
9	那女子又 [复] 一笑，说；“只有你说的还有个伙伴在后的这句话，倒是句实话。		《儿女英雄》__清
10	第八十五回 贾存周报升郎中任 薛文起 [复] 惹放流刑		《红楼梦(上)》__清
11	第一○七回 散余资贾母明大义  [复] 世职政老沐天恩		《红楼梦(上)》__清
12	 [复] 可破一时之闷，醒同人之目，不亦宜乎？”		《红楼梦(上)》__清
13	 [复] 身转到丈人家里，只见丈人乱嚷乱罗，把阿舅打做一团，我走去反与他劝了好一回。		《风流悟》__清
14	后来既受天地精华， [复] 得甘露滋养，遂脱了草木之胎，幻化人形，仅仅修成女体，终日游于离恨天外，饥餐秘情果，渴饮灌愁水。		《红楼梦(上)》__清
15	雨村吟罢，因又思及平生抱负，苦未逢时，乃又搔首对天长叹， [复] 高吟一联云：玉在椟中求善价，钗于奁内待时飞。		《红楼梦(上)》__清
16	说着便同士隐 [复] 过这边书院中来了。		《红楼梦(上)》__清
17	若论起来，寒族人丁却自不少，东汉贾 [复] 以来，支派繁盛，各省皆有，谁能逐细考查？		《红楼梦(上)》__清
18	偶因风荡，或被云摧，略有摇动感发之意，一丝半缕误而逸出者，值灵秀之气适过，正不容邪，邪 [复] 妒正，两不相下；如风水雷电地中既遇，既不能消，又不能让，必致搏击掀发。		《红楼梦(上)》__清
19	臣闻报后，夙夜图谋，万难控御，外既无兵，内 [复] 无饷，无兵可以应敌？		《风流悟》__清
20	各乡大家富室，听这一片言语，就同推张静芳 [复] 为主考。		《风流悟》__清
21	但事关人命，蒙皇上隆恩起 [复] 委用，正竭力图报之时，岂可因私枉法，是实不忍为的。”		《红楼梦(上)》__清
22	是日来，又 [复] 阅了梅花、桃花两社，所定的鼎甲。		《风流悟》__清
23	是以巫山之会，云雨之欢，皆由既悦其色、 [复] 恋其情所致。		《红楼梦(上)》__清
24	且等门生回去同几位庶母商量商量，当再来禀 [复] 。		《官场现形》__清
25	且等门生回去同几位庶母商量商量，当再来禀 [复] 。		《官场现形》__清
26	一会儿才得回来， [复] 又出去。		《儿女英雄》__清
27	外还 [复] 增亏累不少，等等，伏乞海涵。		《官场现形》__清
28	此时督、抚两宪俱已开 [复] 处分，而且一齐又交部		《官场现形》__清
29	宝玉又 [复] 进来坐在镜台旁边，只见紫鹃翠缕进来伏侍梳洗。		《红楼梦(上)》__清
30	一日，大姐毒尽癍回，十二日后送了“娘娘”，合家祭天祀祖，还愿焚香，庆贺放赏已毕，贾琏仍 [复] 搬进卧室。		《红楼梦(上)》__清
31	原来那些丫头老婆见贾琏出了门，又 [复] 睡了，不打量这会子回来，原不曾预备，平儿便把温过的拿了来。		《红楼梦(下)》__清
32	说罢，四人仍 [复] 如旧。		《红楼梦(上)》__清
33	焦首朝朝还暮暮，煎心日日 [复] 年年。		《红楼梦(上)》__清
34	郭道台就替他洗刷清楚，说了些“事出有因，查无实据”的话头，禀 [复] 了制台。		《官场现形》__清
35	这日安老爷收到乌大爷的帮项，即日把文书备妥，如数交纳，照例开 [复] 。		《儿女英雄》__清
36	也最可怜的是，他见过乌大人之后，不曾等安老爷交官项，早替他虚出通关，连夜发了折子奏请开 [复] ，想在钦差跟前作个大大的情面。		《儿女英雄》__清
