语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：夕
2023/1/20 15:16:19

序号	语句	书名	朝代
1	骊姬曰：“以皋落狄之朝 [夕] 苛我边鄙，使无日以牧田野，君之仓廪固不实，又恐削封疆。		《国语》__春秋战国
2	骊姬以君命命申生曰：“今 [夕] 君梦齐姜，必速祠而归福。”		《国语》__春秋战国
3	赵氏 [夕] 亡我朝从之诗曰。		《墨子》__春秋战国
4	罕见曰：“闻名”，亟见曰“朝 [夕] ”。		《礼记》__春秋战国
5	’夫署，所以以朝 [夕] 虔君命也。		《国语》__春秋战国
6	温恭朝 [夕] ，执事有恪。		《国语》__春秋战国
7	士朝受业，昼而讲贯， [夕] 而习复，夜而计过无憾，而后即安。		《国语》__春秋战国
8	是故天子大采朝日，与三公、九卿祖识地德；日中考政，与百官之政事，师尹维旅、牧、相宣序民事；少采 [夕] 月，与大史、司载纠虔天刑；日入监九御，使洁风☆、郊之粢盛，而后即安。		《国语》__春秋战国
9	卿大夫朝考其职，昼讲其庶政， [夕] 序其业，夜庀其家事，而后即安。		《国语》__春秋战国
10	今我，寡也，尔又在下位，朝 [夕] 处事，犹恐忘先人之业。		《国语》__春秋战国
11	吾冀而朝 [夕] 修我曰：‘必无废先人。		《国语》__春秋战国
12	诸侯朝修天子之业命，昼考其国职， [夕] 省其典刑，夜儆百工，使无☆淫，而后即安。		《国语》__春秋战国
13	非以求远也，以鲁之密迩于齐，而又小国也；齐朝驾则 [夕] 极于鲁国，不敢惮其患，而与晋共其忧，亦曰：‘庶几有益于鲁国乎！		《国语》__春秋战国
14	我以为虽有朝 [夕] 之辩。		《墨子》__春秋战国
15	譬犹立朝 [夕] 于员钧之上也。		《墨子》__春秋战国
16	其侍御仆従，罔匪正人，以旦 [夕] 承弼厥辟，出入起居，罔有不钦；发号施令，罔有不臧。		《尚书》__周
17	厥诰毖庶邦庶士越少正御事，朝 [夕] 曰：‘祀兹酒。		《尚书》__周
18	今 [夕] 必挑战，以广民心。		《国语》__春秋战国
19	将由夫患 邪淫之人与，则彼朝死而 [夕] 忘之，然而从之，则是曾鸟兽之不若也，夫焉与相与 群居而不乱乎？		《礼记》__春秋战国
20	昧爽而朝，兹以旨甘，日出而退，各从其事，日 入而 [夕] ，慈以旨甘。		《礼记》__春秋战国
21	父母在，朝 [夕] 恒食，子妇佐，既 食恒，父没母存，冢子御食，群子妇佐如初。		《礼记》__春秋战国
22	夫圣人之立法、化俗，而使民朝 [夕] 从事于农也，不可不变也。		《商君书》__春秋战国
23	妻不在，妾御莫敢当 [夕] 。		《礼记》__春秋战国
24	十年，出就外傅，居宿于外，学 书计，衣不帛襦裤，礼帅初，朝 [夕] 学幼仪，请肄简谅。		《礼记》__春秋战国
25	若假之道，则虢朝亡而虞 [夕] 从之矣。		《韩非子》__春秋战国
26	子纳侨之言，则朝自悔 而 [夕] 食禄矣。”		《列子》__春秋战国
27	命之曰：“朝 [夕] 纳诲，以辅台德。		《尚书》__周
28	君 [夕] 出令，明日，仓不容粟，府无积钱。		《韩非子》__春秋战国
29	病非一朝一 [夕] 之故，其所由来渐矣，弗可已也。”		《列子》__春秋战国
30	乐酒今 [夕] ，君子维宴。		《诗经》__周
31	今 [夕] 何 [夕] ，见此良人？		《诗经》__周
32	今 [夕] 何 [夕] ，见此邂逅？		《诗经》__周
33	今 [夕] 何 [夕] ，见此粲者？		《诗经》__周
34	日之 [夕] 矣，羊牛下来。		《诗经》__周
35	所居之人皆仙圣之种；一日一 [夕] 飞相往来者， 不可数焉。		《列子》__春秋战国
36	日之 [夕] 矣，羊牛下括。		《诗经》__周
37	二曰承影，将旦昧爽之交，日 [夕] 昏明之际，北 面而察之，淡淡焉若有物存，莫识其状。		《列子》__春秋战国
38	宋阳里华子中年病忘，朝取而 [夕] 忘， [夕] 与而朝忘；在途则忘行，在室而忘坐； 今不识先，后不识今。		《列子》__春秋战国
39	骥、骜、绿耳背日而西走，至乎 [夕] 则日在其前矣。		《吕氏春秋》__春秋战国
40	丈夫妇人之待之也，皆如 朝 [夕] 哭，位无变也。		《礼记》__春秋战国
41	季冬之 [夕] 君自听朝论罚罪刑杀，		《管子》__春秋战国
42	秋出补人之不足者谓之 [夕] ，		《管子》__春秋战国
43	温恭朝 [夕] ，执事有恪，顾予烝尝，汤孙之将。		《诗经》__周
44	曾子曰：“夫孝，置之而塞乎天地，溥之而横乎四海，施诸后世而无朝 [夕] ， 推而放诸东海而准，推而放诸西海而准，推而放诸南海而准，推而放诸北海而准。		《礼记》__春秋战国
45	然後月朝卜日，月 [夕] 卜宅，然後葬也。		《荀子》__春秋战国
46	將由夫愚陋淫邪之人與，則彼朝死而 [夕] 忘之；然而縱之，則是曾鳥獸之不若也，彼安能相與群居而無亂乎！		《荀子》__春秋战国
47	偕偕士子，朝 [夕] 从事。		《诗经》__周
48	飲酒之節，朝不廢朝，莫不廢 [夕] 。		《荀子》__春秋战国
49	今病在於朝 [夕] 之中，臣奚能言？”		《吕氏春秋》__春秋战国
50	絷之维之，以永今 [夕] 。		《诗经》__周
51	邦君诸侯，莫肯朝 [夕] 。		《诗经》__周
52	朝 [夕] 之所于齐地者五分之一非谷之所生也，		《管子》__春秋战国
53	饮酒之节，朝不废朝，莫不废 [夕] 。		《礼记》__春秋战国
54	子曰：“朝闻道， [夕] 死可矣。”		《论语》__春秋战国
55	九三：君子终日乾乾， [夕] 惕若。		《周易》__周
56	九三曰“君子终日乾乾， [夕] 惕若，厉无咎”，何谓也？		《周易》__周
57	臣弑其君，子弑其父，非一朝一 [夕] 之故，其所由来者渐矣，由辩之不早辩也。		《周易》__周
58	孔子曰∶「《詩》云∶『溫恭朝 [夕] ，執事有恪。』		《荀子》__春秋战国
59	今 [夕] 荧惑其徙三舍，君延年二十一岁。”		《吕氏春秋》__春秋战国
60	是 [夕] 荧惑果徙三舍。		《吕氏春秋》__春秋战国
61	是正坐於 [夕] 室也，其所谓正乃不正矣。		《吕氏春秋》__春秋战国
62	哀我征夫，朝 [夕] 不暇。		《诗经》__周
63	晏子朝，公曰：“ [夕] 者梦与二日斗，而寡人不胜，我其死乎？”		《晏子春秋》__春秋战国
64	晏子对曰：“古之立国者，南望南斗，北戴枢星，彼安有朝 [夕] 哉！		《晏子春秋》__春秋战国
65	然而以今之 [夕] 者，周之建国，国之西方，以尊周也。”		《晏子春秋》__春秋战国
66	景公新成柏寝之台，使师开鼓琴，师开左抚宫，右弹商，曰：“室 [夕] 。”		《晏子春秋》__春秋战国
67	公召大匠曰：“室何为 [夕] ？”		《晏子春秋》__春秋战国
68	于是召司空曰：“立宫何为 [夕] ？”		《晏子春秋》__春秋战国
69	明日，晏子朝公，公曰：“先君太公以营丘之封，立城，曷为 [夕] ？”		《晏子春秋》__春秋战国
70	又朝服以食，特牲三俎祭肺， [夕] 深衣，祭牢肉，朔月少牢，五俎四簋，子卯 稷食菜羹。		《礼记》__春秋战国
71	文王处岐事纣，冤侮雅逊，朝 [夕] 必时，上贡必适，祭祀必敬。		《吕氏春秋》__春秋战国
72	朝玄端， [夕] 深衣。		《礼记》__春秋战国
73	鲁道有荡，齐子发 [夕] 。		《诗经》__周
74	’若是而又使以象梦旁求四方之贤，得傅说以来，升以为公，而使朝 [夕] 规谏，曰：‘若金，用女作砺。		《国语》__春秋战国
75	既得以为辅，又恐其荒失遗忘，故使朝 [夕] 规诲箴谏，曰：‘必交修余，无余弃也。		《国语》__春秋战国
76	昔卫武公年数九十有五矣，犹箴儆于国，曰：‘自卿以下至于师长士，苟在朝者，无谓我老耋而舍我必恭恪于朝，朝 [夕] 以交戒我；闻一二之言，必诵志而纳之，以训导我。		《国语》__春秋战国
77	朝 [夕] 哭，不帷。		《礼记》__春秋战国
78	其下，朝不食， [夕] 不食，饥饿不能出门户，君闻之，曰：‘吾大者不能行其道，又不能从其言也，使饥饿于我土地，吾耻之。		《孟子》__春秋战国
79	对曰：“昔先大夫子囊违王之命谥；子 [夕] 嗜芰，子木有羊馈而无芰荐。		《国语》__春秋战国
80	祥，主人之除也，于 [夕] 为期，朝服，祥因其故服。		《礼记》__春秋战国
81	国禁哭，则止朝 [夕] 之奠。		《礼记》__春秋战国
82	成王闻子文之朝不及 [夕] 也，于是乎每朝设脯一束、☆一筐，以羞子文。		《国语》__春秋战国
83	又有左史倚相，能道训典，以叙百物，以朝 [夕] 献善败于寡君，使寡君无忘先王之业；又能上下说于鬼神，顺道其欲恶，使神无有怨痛于楚国。		《国语》__春秋战国
84	今吾闻夫差好罢民力以成私好，纵过而翳谏，一 [夕] 之宿，台榭陂池必成，六畜玩好必从。		《国语》__春秋战国
85	且小人之近市，朝 [夕] 得所求，小人之利也。		《晏子春秋》__春秋战国
86	夫阖庐口不贪嘉味，耳不乐逸声，目不淫于色，升不怀于安，朝 [夕] 勤志，恤民之羸，闻一善若惊，得一士若赏，有过必悛，有不善必惧，是故得民以济其志。		《国语》__春秋战国
87	赵文子为室，斫其椽而砻之，张老 [夕] 焉而见之，不谒而归。		《国语》__春秋战国
88	文子视日曰：“朝 [夕] 不相及，谁能俟五！”		《国语》__春秋战国
89	叔向闻之， [夕] ，君告之。		《国语》__春秋战国
90	昔者吾有訾☆也，吾朝 [夕] 顾焉，以相晋国，且为吾家，今吾观女也，专则不能，谋则无与也，将若之何？”		《国语》__春秋战国
91	彻田为粮，度其 [夕] 阳。		《诗经》__周
92	智襄子为室美，士茁 [夕] 焉。		《国语》__春秋战国
93	景公成柏寝而师开言室 [夕] 晏子辨其所以然第五                           379		《晏子春秋》__春秋战国
94	夫事君者，谏过而赏善，荐可而替否，献能而进贤，择材而荐之，朝 [夕] 诵善败而纳之。		《国语》__春秋战国
95	吾朝 [夕] 儆惧，曰：‘其何德之修，而少光王室，以逆天休？		《国语》__春秋战国
96	单子朝 [夕] 不忘成王之德，可谓不忝前哲矣。		《国语》__春秋战国
97	出遇士☆，曰：“今 [夕] 君寝不寐，必为翟☆也。		《国语》__春秋战国
98	及夏之衰也，弃稷不务，我先王不☆用失其官，而自窜于戎、狄之间，不敢怠业，时序其德，纂修其绪，修其训典，朝 [夕] 恪勤，守以敦笃，奉以忠信，奕世载德，不忝前人。		《国语》__春秋战国
99	旦徘徊於长阪兮， [夕] 彷徨而独宿。		《楚辞》__春秋战国
100	公曰：“今 [夕] 吾梦二丈夫立而怒，不知字所言，其怒甚盛，吾犹识其状，识其声。”		《晏子春秋》__春秋战国
