语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：大
2022/11/6 19:43:39

序号	语句	书名	朝代
1	那金朝奉是个 [大] 富之家，与妈妈程氏，见他礼不丰厚，虽然不甚喜欢，为是点绣女头里，只得收了，回盘甚是整齐。		《初刻拍案惊奇》__元明
2	只见一个长须 [大] 面的，把李乙的头发揪住，一刀砍死，竟不抢东西，登时散了。		《初刻拍案惊奇》__元明
3	蒋氏却在床下，看得亲切，战抖抖的走将出来，穿了衣服，向丈夫尸首嚎啕 [大] 哭。		《初刻拍案惊奇》__元明
4	那王甲原是仇人，又且长须 [大] 面，虽然搽墨，却是认得出的。		《初刻拍案惊奇》__元明
5	思量无计，自忖道：“这里有个讼师，叫做邹老人，极是奸滑，与我相好，随你十恶 [大] 罪，与他商量，便有生路。		《初刻拍案惊奇》__元明
6	常见 [大] 人家强梁潼仆，每每借着势力，动不动欺打小民，到得做出事来，又是家主失了体面。		《初刻拍案惊奇》__元明
7	却说王生当日见客人闷倒，吃了一 [大] 惊，把酒意都惊散了。		《初刻拍案惊奇》__元明
8	周四道：“下昼时节，是有一个湖州姓吕的客人，叫我的船过渡，到得船中，痰火病 [大] 发。		《初刻拍案惊奇》__元明
9	直到数日之后，同伴中说出实话来，却是胡阿虎一路饮酒沉醉，失去请帖，故此直挨至次日方回，遭此一场 [大] 谎。		《初刻拍案惊奇》__元明
10	刘氏一闻此信，便如失去了三魂， [大] 哭一声，望后便倒，未知性命如何？		《初刻拍案惊奇》__元明
11	况且 [大] 狱未决，不知死活如何，虽是有人殷勤送衣送饭，到底不免受些饥寒之苦，身体日渐嬴瘠了。		《初刻拍案惊奇》__元明
12	那些家僮见了那人，仔细看了一看， [大] 叫道：“有鬼！		《初刻拍案惊奇》__元明
13	吕客人上前唱了个喏，说道：“ [大] 娘听禀，老汉湖州姜客吕 [大] 是也。		《初刻拍案惊奇》__元明
14	刘氏与吕 [大]  [大] 声叫屈，递上诉词。		《初刻拍案惊奇》__元明
15	知县又叫吕 [大] 起来问，吕 [大] 也将被殴始未，卖绢根由，一一说了。		《初刻拍案惊奇》__元明
16	吕 [大] 叩头道：“爷爷，小的虽是湖州人，在此为客多年，也多有相识的在这里，如何瞒得老爷过？		《初刻拍案惊奇》__元明
