语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：夫
2023/1/20 15:07:05

序号	语句	书名	朝代
1	 [夫] 以学校之设，其广如此，教之之术，其次第节目之详又如此，而其所以为教，则又皆本之人君躬行心得之余，不待求之民生日用彝伦之外，是以当世之人无不学。		《大学中庸》__春秋战国
2	其它权谋术数，一切以就功名之说，与 [夫] 百家众技之流，所以惑世诬民、充塞仁义者，又纷然杂出乎其闲。		《大学中庸》__春秋战国
3	 [夫] 神壹不远徙迁，若由是观之，其丹朱之神乎？”		《国语》__春秋战国
4	且 [夫] 胜狄，诸侯惊惧，吾边鄙不儆，仓廪盈，四邻服，封疆信，君得其赖，又知可否，其利多矣。		《国语》__春秋战国
5	“惟时羲和颠覆厥德，沈乱于酒，畔官离次，俶扰天纪，遐弃厥司，乃季秋月朔，辰弗集于房，瞽奏鼓，啬 [夫] 驰，庶人走，羲和尸厥官罔闻知，昏迷于天象，以干先王之诛，《政典》曰：‘先时者杀无赦，不及时者杀无赦。		《尚书》__周
6	且是衣也，狂 [夫] 阻之衣也。		《国语》__春秋战国
7	公曰：“ [夫] 岂惠其民而不惠于其父乎？”		《国语》__春秋战国
8	虽欲爱君，惑不释也，今 [夫] 以君为纣，若纣有良子，而先丧纣，无章其恶而厚其败。		《国语》__春秋战国
9	旦而里克见丕郑，曰：“ [夫] 史苏之言将及矣！		《国语》__春秋战国
10	父父、子子、兄兄、弟弟、 [夫]  [夫] 、妇妇，而家道正，		《周易》__周
11	上父初子，五三 [夫] ，四二妇，五兄三弟，以卦画推之，又有此象。		《周易》__周
12	 [夫] 为人子者，惧不孝，不惧不得。		《国语》__春秋战国
13	天王杀其弟佞 [夫] 。		《榖梁传》__春秋战国
14	 [夫] 是，故民皆勉为善。		《国语》__春秋战国
15	天王杀其弟佞 [夫] ，甚之也。		《榖梁传》__春秋战国
16	程子曰：“ [夫] 爱其内助，妇爱其刑家。”		《周易》__周
17	九四，睽孤，遇元 [夫] ，交孚，厉无咎。		《周易》__周
18	 [夫] ，如字。		《周易》__周
19	遇元 [夫] ，谓得初九。		《周易》__周
20	桓公问曰：“ [夫] 军令则寄诸内政矣，七国寡甲兵，为之若何？”		《国语》__春秋战国
21	反其侵地柴 [夫] 、吠狗，使海于有蔽，渠弭于有渚，环山于有牢。”		《国语》__春秋战国
22	且 [夫] 玩好在耳目之前，而患在一国之后，此中知以上乃能虑之，臣料虞君中知以下也。”		《榖梁传》__春秋战国
23	秦穆公许诺，反使者，乃召大 [夫] 子明及公孙枝，曰：“ [夫] 晋国之乱，吾谁使先，若 [夫] 二公子而立之？		《国语》__春秋战国
24	 [夫] 坚树在始，始不固本，终必槁落。		《国语》__春秋战国
25	 [夫] 固国者，在亲众而善邻，在因民而顺之。		《国语》__春秋战国
26	孔子曰：“ [夫] 民之父母乎！		《礼记》__春秋战国
27	 [夫] 长国者，唯知哀乐喜怒之节，是以导民。		《国语》__春秋战国
28	’ [夫] 谓之辱者，非此之谓也。		《吕氏春秋》__春秋战国
29	 [夫] 治身与治国，一理之术也。		《吕氏春秋》__春秋战国
30	废义则利不立，厚贪则怨生， [夫] 孺子岂获罪于民？		《国语》__春秋战国
31	 [夫] 名多不当其实，而事多不当其用者，故人主不可以不审名分也。		《吕氏春秋》__春秋战国
32	 [夫] 齐、楚道远而望大，不可以困往。		《国语》__春秋战国
33	 [夫] 狄近晋而不通，愚陋而多怨，走之易达。		《国语》__春秋战国
34	 [夫] 说以智通，而实以过悗；誉以高贤，而充以卑下；赞以洁白，而随以污德；任以公法，而处以贪枉；用以勇敢，而堙以罢怯。		《吕氏春秋》__春秋战国
35	且 [夫] 偕出偕入难，聚居异情恶，不若走梁。		《国语》__春秋战国
36	故得道忘人，乃大得人也， [夫] 其非道也？		《吕氏春秋》__春秋战国
37	知德忘知，乃大得知也， [夫] 其非德也？		《吕氏春秋》__春秋战国
38	 [夫] 其不明也，大明不小事，假乃理事也， [夫] 其不假也？		《吕氏春秋》__春秋战国
39	莫人不能，全乃备能也， [夫] 其不全也？		《吕氏春秋》__春秋战国
40	亦可以见人心之所同，而不可使有一 [夫] 之不获矣。		《大学中庸》__春秋战国
41	则 [夫] 好攻伐之君又饰其说。		《墨子》__春秋战国
42	彼同有是心而兴起焉者，又岂有一 [夫] 之不获哉。		《大学中庸》__春秋战国
43	 [夫] 齐侯将施惠如出责，是以不果奉，而暇晋是皇，虽后之会，将在东矣。		《国语》__春秋战国
44	 [夫] 国岂特为车哉？		《吕氏春秋》__春秋战国
45	 [夫] 一能应万，无方而出之务者，唯有道者能之。		《吕氏春秋》__春秋战国
46	 [夫] 二国士之所图，无不遂也。		《国语》__春秋战国
47	克闻之， [夫] 义者，利之足也；贪者，怨之本也。		《国语》__春秋战国
48	 [夫] 国非忠不立，非信不固。		《国语》__春秋战国
49	 [夫] 齐侯好示，务施与力而不务德，故轻致诸侯而重遣之，使至者劝而叛者慕。		《国语》__春秋战国
50	 [夫] 苦成叔家欲任两国而无大德，其不存也，亡无日矣。		《国语》__春秋战国
51	且 [夫] 耳目知巧固不足恃，惟修其数行其理为可。		《吕氏春秋》__春秋战国
