语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：头
2023/1/20 15:19:06

序号	语句	书名	朝代
1	不去斧锧，殁 [头] 乎王廷。		《吕氏春秋》__春秋战国
2	为人臣者，譬之若手，上以修 [头] ，下以修足；清暖寒热，不得不救；镆铘传体，不敢弗搏慼，无私贤哲之臣，无私事能之士。		《韩非子》__春秋战国
3	惠子曰：“今有人於此，欲必击其爱子之 [头] ，石可以代之－－”匡章曰：“公取之代乎？		《吕氏春秋》__春秋战国
4	子 [头] ，所重也；石，所轻也。		《吕氏春秋》__春秋战国
5	今可以王齐王而寿黔首之命，免民之死，是以石代爱子 [头] 也，何为不为？”		《吕氏春秋》__春秋战国
6	意之所属著，其行足踬株埳， [头] 抵植木，而 不自知也。		《列子》__春秋战国
7	今齐西之粟釜百泉则二十也齐东之粟釜十泉则二钱也请以令籍人三十泉得以五谷菽粟决其籍若此则齐西出三 [头] 而决其籍齐东出三釜而决其籍，		《管子》__春秋战国
8	郁处 [头] 则为肿、为风，处耳则为挶、为聋，处目则为蔑、为盲，处鼻则为鼽、为窒，处腹则为张、为疛，处足则为痿、为蹶。		《吕氏春秋》__春秋战国
9	方见国之必侵，不若死，请以 [头] 托白晏子也。”		《晏子春秋》__春秋战国
10	因谓其友曰：“盛吾 [头] 于笥中，奉以托。”		《晏子春秋》__春秋战国
11	晏子对曰：“昔者先君灵公畋，五丈夫☆而骇兽，故杀之，断其 [头] 而葬之。		《晏子春秋》__春秋战国
12	文公之出也，竖 [头] 须，守藏者也，不从。		《国语》__春秋战国
13	公令人掘而求之，则五 [头] 同穴而存焉。		《晏子春秋》__春秋战国
14	足 容重，手容恭，目容端，口容止，声容静， [头] 容直，气容肃，立容德，色容庄， 坐如尸，燕居告温温。		《礼记》__春秋战国
15	戎容暨暨，言语讠各讠各，色容厉肃，视容清明，立容辨，卑毋讠阎， [头]  颈必中，山立时行，盛气颠实，扬休玉色。		《礼记》__春秋战国
16	故死而操金椎以葬，曰：“下见六王、五伯，将敲其 [头] 矣！”		《吕氏春秋》__春秋战国
