语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：夺
2022/7/10 23:07:21

序号	语句	书名	朝代
1	其不日，子 [夺] 父政，是谓夷之。		《榖梁传》__春秋战国
2	管子对曰：“相地而衰征，则民不移；政不旅旧，则民不偷；山泽各致其时，则民不苟；陆阜陵☆井田畴均，则民不憾；无 [夺] 民时，则百姓富；牺牲不略，则牛羊遂。”		《国语》__春秋战国
3	不知乘物，而自怙恃， [夺] 其智能，多其教诏，而好自以，若此则百官恫扰，少长相越，万邪并起。		《吕氏春秋》__春秋战国
4	将以骊姬之惑蛊君而诬国人，谗群公子而 [夺] 之利使君迷乱，信而亡之，杀无罪以为诸侯笑，使百姓莫不有藏恶于其心中，恐其如壅大川，溃而不可救御也。		《国语》__春秋战国
5	今嘉其梦侈必展，是天 [夺] 之鉴而益其疾也。		《国语》__春秋战国
6	外本内末，争民施 [夺] 。		《大学中庸》__春秋战国
7	外本内末故财聚，争民施 [夺] 故民散，反是则有德而有人矣。		《大学中庸》__春秋战国
8	八音克谐，无相 [夺] 伦，神人以和。”		《尚书》__周
9	吕氏曰：“国无游民，则生者众矣；朝无幸位，则食者寡矣；不 [夺] 农时，则为之疾矣；量入为出，则用之舒矣。		《大学中庸》__春秋战国
10	故有道之主，因而不为，责而不诏，去想去意，静虚以待，不伐之言，不 [夺] 之事，督名审实，官使自司，以不知为道，以柰何为实。		《吕氏春秋》__春秋战国
11	财者末也，外本内末，争民施 [夺] 。		《大学中庸》__春秋战国
12	尽其阳节、盈吾阴节而 [夺] 之，宜为人客，刚强而力疾；阳节不尽，轻而不可取。		《国语》__春秋战国
13	有 [夺] ，有予，有不予，王无蚤图。		《国语》__春秋战国
14	王若今起师以会， [夺] 之利，无使夫悛。		《国语》__春秋战国
15	 [夺] 之货财则寡人必将厚罚之。		《墨子》__春秋战国
16	此其所以弱不 [夺] 三晋民者，爱爵而重复也。		《商君书》__春秋战国
17	若此而不服，秦能取其地，而不能 [夺] 其民也。		《商君书》__春秋战国
18	儒有今人与居，古人与稽；今世行之，后世以为楷；适弗逢世，上弗援，下 弗推，谗谄之民，有比党而危之者，身可危也，而志不可 [夺] 也，虽危起居，竟信 其志，犹将不忘百姓之病也。		《礼记》__春秋战国
19	此令奸恶大起、人主 [夺] 威势、亡国灭社稷之道也。		《商君书》__春秋战国
20	隔，然终不能 [夺] 其正也。		《周易》__周
21	王曰：“若古有训，蚩尤惟始作乱，延及于平民，罔不寇贼，鸱义，奸宄， [夺] 攘，矫虔。		《尚书》__周
22	惟时苗民匪察于狱之丽，罔择吉人，观于五刑之中；惟时庶威 [夺] 货，断制五刑，以乱无辜，上帝不蠲，降咎于苗，苗民无辞于罚，乃绝厥世。”		《尚书》__周
23	讥 [夺] 正也。		《榖梁传》__春秋战国
24	昔者纣之亡，周之卑，皆从诸候之博大也；晋也分也，齐之 [夺] 也，皆以群臣之太富也。		《韩非子》__春秋战国
25	散其党，收其余，闭其门， [夺] 其辅，国乃无虎。		《韩非子》__春秋战国
26	简子可谓好从谏矣，听十士而无侵小 [夺] 弱之名。		《吕氏春秋》__春秋战国
27	王为建取妻於秦而美，无忌劝王 [夺] 。		《吕氏春秋》__春秋战国
28	王已 [夺] 之，而疏太子。		《吕氏春秋》__春秋战国
29	小人而乘君子之器，盗思 [夺] 之矣。		《周易》__周
30	求生之人，与不谢， [夺] 不恨，不随俗转移。		《老子想尔注》__春秋战国
31	如以予人财者不如无 [夺] 时如以予人食者不如无 [夺] 其事，		《管子》__春秋战国
32	恐人闻之而 [夺] 己也，遽掩其耳。		《吕氏春秋》__春秋战国
33	故见予之形不见 [夺] 之理，		《管子》__春秋战国
34	名教通于天下而 [夺] 于其下，		《管子》__春秋战国
35	人非道言恶，天辄 [夺] {下}。		《老子想尔注》__春秋战国
36	民予则喜 [夺] 则怒人情皆然，		《管子》__春秋战国
37	此言不 [夺] 难能不与下试也，		《管子》__春秋战国
38	彼王者不 [夺] 民时故五谷与丰，		《管子》__春秋战国
39	将 [夺] 之，必固与之。”		《老子想尔注》__春秋战国
40	先得後必 [夺] 也。“		《老子想尔注》__春秋战国
41	知则副道也，道人畏翕弱废 [夺] ，故造行先自翕自弱自废自 [夺] ，然后乃得其吉。		《老子想尔注》__春秋战国
42	使 [夺] 之宅，残其州。		《吕氏春秋》__春秋战国
43	子曰：“恶紫之 [夺] 硃也，恶郑声之乱雅乐也，恶利口之覆邦家者。”		《论语》__春秋战国
44	内 [夺] 民用士劝于能力乱之本也，		《管子》__春秋战国
45	子曰：“三军可 [夺] 帅也，匹夫不可 [夺] 志也。”		《论语》__春秋战国
46	《传》曰：“君子不  [夺] 人之丧，亦不可 [夺] 丧也。”		《礼记》__春秋战国
47	民 [夺] 之则怒予之则喜民情固然，		《管子》__春秋战国
48	故见予之形不见 [夺] 之理，		《管子》__春秋战国
49	 [夺] 伯氏骈邑三百，饭疏食，没齿无怨言。”		《论语》__春秋战国
50	外本内末，争民施 [夺] 。		《礼记》__春秋战国
