语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：奇
2022/7/10 22:59:23

序号	语句	书名	朝代
1	君赐之 [奇] ， [奇] 生怪，怪生无常，无常不立。		《国语》__春秋战国
2	是故赐我 [奇] 服，而告我权。		《国语》__春秋战国
3	公曰：“宫之 [奇] 存焉，必不使受之也。”		《榖梁传》__春秋战国
4	荀息曰：“宫之 [奇] 之为人也，达心而懦，又少长于君，达心则其言略，懦则不能强谏，少长于君则君轻之。		《榖梁传》__春秋战国
5	宫之 [奇] 谏曰：“晋国之使者，其辞卑而币重，必不便于虞。”		《榖梁传》__春秋战国
6	宫之 [奇] 谏曰：“语曰：‘脣亡则齿寒。		《榖梁传》__春秋战国
7	二为纯，一纯以取，一为 [奇] 。		《礼记》__春秋战国
8	遂 以 [奇] 告曰：某贤于某若干纯。		《礼记》__春秋战国
9	 [奇] 则曰 [奇] ，钧则曰左右钧。		《礼记》__春秋战国
10	宫之 [奇] 谏而不听，出，谓其子曰：“虞将亡矣！		《国语》__春秋战国
11	宫之 [奇] 谏曰：”不可许。		《韩非子》__春秋战国
12	君其出令，令民自遗三年之食，有馀粟者入之仓；遗三年之用，有馀钱者入之府；遗有 [奇] 人者使治城郭之缮。”		《韩非子》__春秋战国
13	非滨之东，夷秽之乡，大解、陵鱼、其、鹿野、摇山、扬岛、大人之居，多无君；扬、汉之南，百越之际，敝凯诸、夫风、馀靡之地，缚娄、阳禺、驩兜之国，多无君；氐、羌、呼唐、离水之西，僰人、野人、篇笮之川，舟人、送龙、突人之乡，多无君；雁门之北，鹰隼、所鸷、须窥之国，饕餮、穷 [奇] 之地，叔逆之所，儋耳之居，多无君。		《吕氏春秋》__春秋战国
14	今世俗之亂君，鄉曲之儇子，莫不美麗姚冶， [奇] 衣婦飾，血氣態度擬於女子；婦人莫不愿得以為夫，處女莫不愿得以為士，棄其親家而欲奔之者，比肩并起；然而中君羞以為臣，中父羞以為子，中兄羞以為弟，中人羞以為友；俄則束乎有司，而戮乎大市，莫不呼天啼哭，苦傷其今，而後悔其始，是非容貌之患也，聞見之不眾，論議之卑爾！		《荀子》__春秋战国
15	聽其言則辭辯而無統，用其身則多詐而無功，上不足以順明王，下不足以和齊百姓，然而口舌之均，譫唯則節，足以為 [奇] 偉偃卻之屬，夫是之謂奸人之雄，聖王起，所以先誅也，然後盜賊次之。		《荀子》__春秋战国
16	57.以正治国，以 [奇] 用兵，以无事取天下。		《老子》__春秋战国
17	人多伎巧 [奇] 物泫起。		《老子》__春秋战国
18	正复为 [奇] ，善复为妖。		《老子》__春秋战国
19	梁北有黎丘部，有 [奇] 鬼焉，喜效人之子侄昆弟之状，邑丈人有之市而醉归者。		《吕氏春秋》__春秋战国
20	是必夫 [奇] 鬼也！		《吕氏春秋》__春秋战国
21	若使民常畏死，而为 [奇] 者，吾得执而杀之，孰敢。		《老子》__春秋战国
22	虞用宫之 [奇] 、吴用伍子胥之言，此二国者，虽至於今存可也。		《吕氏春秋》__春秋战国
23	此言天地之数，阳 [奇] 阴偶，即所谓《河图》者也。		《周易》__周
24	天数五者，一、三、五、七、九皆 [奇] 也，地数五者，二、四、六、八、十皆偶也。		《周易》__周
25	二十有五者，五 [奇] 之积也。		《周易》__周
26	大衍之数五十，其用四十有九，分而为二，以象两，挂一以象三，揲之以四以象四时，归 [奇] 于		《周易》__周
27	 [奇] ，纪宜反。		《周易》__周
28	 [奇] ，所揲四数之余也。		《周易》__周
29	凡四为 [奇] ，凡八为偶， [奇] 圆围三，偶方围四。		《周易》__周
30	盖余三 [奇] 则九，而其揲亦九，策亦四九三十六，是		《周易》__周
31	余二 [奇] 一偶则八，而其揲亦八，策亦四八三十二，是为居二之少阴。		《周易》__周
32	二偶一 [奇] 则七，而其揲亦		《周易》__周
33	分二挂一揲四归 [奇] 也。		《周易》__周
34	此谓上文乾、坤所示之理，爻之 [奇] 		《周易》__周
35	阳卦 [奇] ，阴卦偶。		《周易》__周
36	 [奇] ，纪宜反。		《周易》__周
37	定纶理胜定死生胜定成败胜定依 [奇] 胜定实虚胜定盛衰胜，		《管子》__春秋战国
38	合此五者，以治天下之礼也，虽有 [奇] 邪，而不治者则微矣。		《礼记》__春秋战国
39	!天圆地方，圆者一而围三，三各一 [奇] ，		《周易》__周
40	数皆倚此而起，故揲蓍三变之末，其余三 [奇] 则三三		《周易》__周
41	若夫非分是非，非治曲直，非辨治亂，非治人道，雖能之無益於人，不能無損於人；案直將治怪說，玩 [奇] 辭，以相撓滑也；案強鉗而利口，厚顏而忍詬，無正而恣睢，妄辨而幾利；不好辭讓，不敬禮節，而好相推擠，此亂世奸人之說也，則天下之治說者，方多然矣。		《荀子》__春秋战国
42	故其民莫敢托為 [奇] 辭以亂正名，故其民愨，愨則易使，易使則公。		《荀子》__春秋战国
43	其民莫敢托為 [奇] 辭以亂正名，故壹於道法而謹於循令矣。		《荀子》__春秋战国
44	今聖王沒，名守慢， [奇] 辭起，名實亂，是非之形不明，則雖守法之吏、誦數之儒，亦皆亂也。		《荀子》__春秋战国
45	阳卦 [奇] ，阴卦耦。		《周易》__周
46	 [奇] 革而邪化令往而民移，		《管子》__春秋战国
47	 [奇] 术技术之人莫敢高言孟行以过其情以过其主矣，		《管子》__春秋战国
48	三仪者，曰上、曰中、曰下，参以立焉，以生 [奇] ； [奇] 不知其所壅；始於古之所从。		《鬼谷子》__春秋战国
49	正不如 [奇] ； [奇] 流而不止者也。		《鬼谷子》__春秋战国
50	有利焉，去其利，则不受也； [奇] 之所托。		《鬼谷子》__春秋战国
51	故说人主者，必与之言 [奇] ；说人臣者，必与之言私。		《鬼谷子》__春秋战国
52	分而为二以象两，挂一以象三，揲之以四以象四时，归 [奇] 于扐以象闰；五岁再闰，故再扐而后挂。		《周易》__周
53	鼎俎 [奇] 而笾豆偶，阴阳之义也。		《礼记》__春秋战国
54	鼎俎 [奇] 而笾豆偶，阴阳之义也。		《礼记》__春秋战国
55	昔虞不用宮之 [奇] 而晉并之，萊不用子馬而齊并之， 紂刳王子比干而武王得之。		《荀子》__春秋战国
56	衣冠无不中，故朝无 [奇] 僻之服；所言无不义，故下无伪上之报；身行顺，治事公，故国无阿党之义。		《晏子春秋》__春秋战国
57	 [奇] 干善芳，善芳者，头若雄鸡，佩之令人不昧。		《逸周书》__春秋战国
58	四葛：一葛其农时不移，二费其土虑不化，三正赏罚、狱无矜 [奇] ，四葛其戎谋，族乃不罚。		《逸周书》__春秋战国
59	四蠹：一美好怪 [奇] 以治之，三淫言流说以服之，三群巧仍兴以力之，四神巫灵宠以惑之。		《逸周书》__春秋战国
60	卦虽不同，所同者 [奇] 、耦；爻虽不		《周易》__周
61	—”者， [奇] 也，阳之数也。		《周易》__周
62	阴阳有 [奇] 耦之数，故画一 [奇] 以象阳，画一耦以象阴。		《周易》__周
63	见阳之性健，而其成形之大者为天，故三 [奇] 之卦，名之曰乾，而拟之于天也。		《周易》__周
64	此卦六画皆 [奇] ，上下皆乾，则阳之纯而		《周易》__周
65	虞公滥於宝与马而欲许之，宫之 [奇] 谏曰：“不可许也。		《吕氏春秋》__春秋战国
66	凡诸侯之适子誓於天子，摄 [奇] 牸，则下其君之礼一等。		《周礼》__春秋战国
67	辨九拜，一曰稽首，二曰顿首，三曰空首，四曰振动，五曰吉拜，六曰凶拜，七曰 [奇] 拜，八曰褒拜，九日肃拜，以享右、祭祀。		《周礼》__春秋战国
68	余幼好此 [奇] 服兮，年既老而不衰。		《楚辞》__春秋战国
69	五家相受相和亲，有辠 [奇] 邪，则相及。		《周礼》__春秋战国
70	靥辅 [奇] 牙，宜笑嘕只。		《楚辞》__春秋战国
71	闵 [奇] 思之不通兮，将去君而高翔。		《楚辞》__春秋战国
72	 [奇] 傅说之讬辰星兮，羡韩众之得一。		《楚辞》__春秋战国
73	被文服纤，丽而不 [奇] 些。		《楚辞》__春秋战国
74	晋杀其大夫郤钅 [奇] 、郤州、郤至。		《公羊传》__春秋战国
75	一算为 [奇] ， [奇] 则又缩诸纯下。		《仪礼》__春秋战国
76	以纯数告；若有 [奇] 者，亦曰 [奇] 。		《仪礼》__春秋战国
77	辨外、内而时禁，稽其功绪，纠其德行，几其出入，均其稍食，去其淫怠，与其 [奇] 衮之民，会其什伍而教之道艺。		《周礼》__春秋战国
78	以阴礼教六宫，以阴礼教九嫔，以妇职之法教九御，使各有属，以作二事，正其服，禁其 [奇] 邪，展其功绪。		《周礼》__春秋战国
79	丧服、凶器不入宫，潜服、贼器不入宫， [奇] 服、怪民不入宫。		《周礼》__春秋战国
80	虽然宫之 [奇] 存焉，如之何？”		《公羊传》__春秋战国
81	荀息曰：“宫之 [奇] 知则知矣。		《公羊传》__春秋战国
82	宫之 [奇] 果谏：“记曰：‘唇亡则齿寒。		《公羊传》__春秋战国
83	始乎治，常卒乎乱，泰至则多 [奇] 乐。		《庄子》__春秋战国
84	而商贾大者积贮倍息，小者坐列贩卖，操其 [奇] 赢，日游都市，乘上之急，所卖必倍。		《汉书》__汉
85	一筭为 [奇] ， [奇] 则又缩诸纯下。		《仪礼》__春秋战国
86	以纯数告；若有 [奇] 者，亦曰 [奇] 。		《仪礼》__春秋战国
