语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：妇
2023/1/20 15:07:58

序号	语句	书名	朝代
1	父父、子子、兄兄、弟弟、夫夫、 [妇]  [妇] ，而家道正，		《周易》__周
2	上父初子，五三夫，四二 [妇] ，五兄三弟，以卦画推之，又有此象。		《周易》__周
3	九三，家人嗃嗃，悔厉吉， [妇] 子嘻嘻，终吝。		《周易》__周
4	 [妇] 子嘻嘻”，失家节也。		《周易》__周
5	程子曰：“夫爱其内助， [妇] 爱其刑家。”		《周易》__周
6	哀姜至，公使大夫、宗 [妇] 觌用币。		《国语》__春秋战国
7	今 [妇] 执币，是男女无别也。		《国语》__春秋战国
8	二三 [妇] 之辱共先者祀，请无瘠色，无洵涕，无☆膺，无忧容，有降服，无加服。		《国语》__春秋战国
9	仲尼闻之曰：“女知莫如 [妇] ，男知莫如夫。		《国语》__春秋战国
10	仲尼闻之曰：“季氏之 [妇] 可谓知礼矣。		《国语》__春秋战国
11	男主必使同姓， [妇] 主必使异姓。		《礼记》__春秋战国
12	 [妇] 当丧而出，则除之。		《礼记》__春秋战国
13	“王后亲织玄☆，公侯之夫人加之以☆、☆，卿之内子为大带，命 [妇] 成祭服，列士之妻加之以朝服，自庶士以下，皆衣其夫。		《国语》__春秋战国
14	仲尼闻之曰：“弟子志之，季氏之 [妇] 不淫矣。”		《国语》__春秋战国
15	 [妇] 之丧，虞，卒哭，其夫若子主之，祔		《礼记》__春秋战国
16	 [妇] 祔于		《礼记》__春秋战国
17	令壮者无取劳 [妇] ，令老者无取壮妻。		《国语》__春秋战国
18	适 [妇] 不为舅后者，则姑为之小功。		《礼记》__春秋战国
19	果行，国人皆劝，父勉其子，兄勉其弟， [妇] 勉其夫，曰：“孰是君也，而可无死乎？”		《国语》__春秋战国
20	君夫人卒于路寝，大夫世 [妇] 卒于适寝，内子未命，则死于下室，迁尸 于寝，士之妻皆死于寝。		《礼记》__春秋战国
21	君以 卷，夫人以屈狄，大夫以玄，世 [妇] 以礻衣，士以爵弁，士妻以税衣。		《礼记》__春秋战国
22	既正尸，子坐于东方，卿大夫父兄子姓 立于东方；有司、庶士哭于堂下，北面；夫人坐于西方，内命 [妇] 姑姊妹子姓立于 西方，外命 [妇] 率外宗哭于堂上北面。		《礼记》__春秋战国
23	大夫之丧，主人坐于东方，主 [妇] 坐于西方， 其有命夫命 [妇] 则坐，无则皆立。		《礼记》__春秋战国
24	夫人为寄公夫人出，命 [妇] 为夫人之命出，士妻不当敛，则为命 [妇] 出。		《礼记》__春秋战国
25	夫人亦拜寄公夫人于堂上， 大夫内子士妻特拜，命 [妇] 汜拜众宾于堂上。		《礼记》__春秋战国
26	哭尸 于堂上，主人在东方，由外来者在西方，诸 [妇] 南乡。		《礼记》__春秋战国
27	君子丧三日，子、夫人杖，五日既殡，授大夫世 [妇] 杖。		《礼记》__春秋战国
28	子、大夫寝门之外杖、 寝门之内辑之；夫人世 [妇] 在其次则杖，即位则使人执之。		《礼记》__春秋战国
29	大夫有君命则去杖，大夫之命则辑杖； 内子为夫人之命去杖，为世 [妇] 之命授人杖。		《礼记》__春秋战国
30	于君命夫人之命如大夫，于大夫世 [妇] 之命如大夫。		《礼记》__春秋战国
31	莫一溢米，食之无算；士疏食水饮，食之无算；夫人世 [妇] 诸妻皆疏食水饮， 食之无算。		《礼记》__春秋战国
32	君将大敛，子弁，即位于序端，卿大夫即位于堂廉楹西，北面东上，父兄 堂下北面，夫人命 [妇] 尸西东面，外宗房中南面。		《礼记》__春秋战国
33	君抚大夫，抚内命 [妇] ，大夫抚室老，抚至娣。		《礼记》__春秋战国
34	君于臣抚之，父母于子执之，子于父母冯之， [妇] 于舅姑 奉之，舅姑于 [妇] 抚之，妻于夫拘之，夫于妻子昆弟执之。		《礼记》__春秋战国
35	君于大夫，世 [妇] 大敛焉，为之赐，则小敛焉。		《礼记》__春秋战国
36	于外命 [妇] ，既加盖而君至。		《礼记》__春秋战国
37	夫人于世 [妇] ，大敛焉；为之赐，则小敛焉。		《礼记》__春秋战国
38	于大夫外命 [妇] ，既殡而往。		《礼记》__春秋战国
39	若有君命，命夫 命 [妇] 之命，四邻宾客，其君后主人而拜。		《礼记》__春秋战国
40	惠子出，白圭告人曰：“人有新取 [妇] 者， [妇] 至，宜安矜烟视媚行。		《吕氏春秋》__春秋战国
41	宋荡伯姬来逆 [妇] 。		《榖梁传》__春秋战国
42	宋荡伯姬来逆 [妇] ，非正也。		《榖梁传》__春秋战国
43	其曰 [妇] 何也？		《榖梁传》__春秋战国
44	 [妇] 事舅姑，如事父母。		《礼记》__春秋战国
45	父母在，朝夕恒食，子 [妇] 佐，既 食恒，父没母存，冢子御食，群子 [妇] 佐如初。		《礼记》__春秋战国
46	子 [妇] 孝者敬者，父母舅姑之命，勿逆勿怠。		《礼记》__春秋战国
47	子 [妇] 有勤劳之事，虽甚爱之，姑纵之，而宁数休之。		《礼记》__春秋战国
48	子 [妇] 未孝未敬，勿庸疾 怨，姑教之；若不可教，而后怒之；不可怒，子放 [妇] 出，而不表礼焉。		《礼记》__春秋战国
49	子行夫  [妇] 之礼焉，没身不衰。		《礼记》__春秋战国
50	舅没则姑老，冢 [妇] 所祭祀宾客，每事必请于姑，介 [妇] 请于冢 [妇] 。		《礼记》__春秋战国
51	舅姑使冢 [妇]  毋怠，不友无礼于介 [妇] 。		《礼记》__春秋战国
52	舅姑若使介 [妇] ，毋敢敌耦于冢 [妇] ，不敢并行，不敢并命， 不敢并坐。		《礼记》__春秋战国
