语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：委
2022/7/10 23:09:14

序号	语句	书名	朝代
1	阳谷之会，桓公 [委] 、端、搢笏而朝诸侯，诸侯皆谕乎桓公之志。		《榖梁传》__春秋战国
2	赙者既致命，坐 [委] 之，摈者举之。		《礼记》__春秋战国
3	其禽加于一双，则执一双以将命， [委] 其余。		《礼记》__春秋战国
4	大夫种来而复往，曰：“请 [委] 管钥属国家，以身随之，君王制之。”		《国语》__春秋战国
5	范蠡乃左提鼓，右援☆，以应使者曰：“昔者上天降祸于越， [委] 制于吴，而吴不受。		《国语》__春秋战国
6	范蠡曰：“君王已 [委] 制于执事之人矣。		《国语》__春秋战国
7	上天降祸于越， [委] 制于吴。		《国语》__春秋战国
8	曰：“昔不☆先 [委] 制于越君，君告孤请成，男女服从。		《国语》__春秋战国
9	儒有 [委] 之以货财，淹之以乐好，见利不亏其义；劫之以众，沮之以兵，见死 不更其守；鸷虫攫搏不程勇者，引重鼎不程其力；往者不悔，来者不豫；过言不 再，流言不极；不断其威，不习其谋。		《礼记》__春秋战国
10	周宣王文牧正有役人梁鸯者，能养野禽兽， [委] 食于园庭之内，虽虎狼雕鹗之 类，无不柔驯者。		《列子》__春秋战国
11	 [委] 军而争利，则辎重捐。		《孙子》__春秋战国
12	是故军无辎重则亡，无粮食则亡，无 [委] 积则亡。		《孙子》__春秋战国
13	贤者之为人臣，北面 [委] 质，无有二心。		《韩非子》__春秋战国
14	宋公肉袒执牺， [委] 服告病，曰：“大国若宥图之，唯命是听。”		《吕氏春秋》__春秋战国
15	囚者之子走告封人子高曰：生能活臣父之死，愿 [委] 之先生。”		《吕氏春秋》__春秋战国
16	故曰尧之容若 [委] 衣裘，以言少事也。		《吕氏春秋》__春秋战国
17	彼王者則不然∶致賢而能以救不肖，致強而能以寬弱， 戰必能殆之而羞與之鬭， [委] 然成文，以示之天下，而暴國安自化矣。		《荀子》__春秋战国
18	水平而不流无源则竭云平而雨不甚无 [委] 云雨则已，		《管子》__春秋战国
19	 [委]  [委] 佗佗，如山如河。		《诗经》__周
20	数也则彼安有自还之大夫独 [委] 之，		《管子》__春秋战国
21	退食自公， [委] 蛇 [委] 蛇。		《诗经》__周
22	 [委] 蛇 [委] 蛇，自公退食。		《诗经》__周
23	 [委] 蛇 [委] 蛇，退食自公。		《诗经》__周
24	曰：“是天地之 [委] 形也。		《列子》__春秋战国
25	生非汝有，是天地 之 [委] 和也。		《列子》__春秋战国
26	性命非汝有，是天地之 [委] 顺也。		《列子》__春秋战国
27	孙子非汝有，是天地之 [委] 蜕也。		《列子》__春秋战国
28	妇顺者，顺于舅姑， 和于室人，而后当于夫，以成丝麻布帛之事，以审守 [委] 积盖藏。		《礼记》__春秋战国
29	以给…乡…至于国都善者因其轻重守其 [委] 庐，		《管子》__春秋战国
30	则内可以为国 [委] 外可以益农夫之事，		《管子》__春秋战国
31	诸臣之 [委] 室而徒退者，将与几人？		《国语》__春秋战国
32	魯哀公問於孔子曰∶「紳、 [委] 、章甫，有益於仁乎？		《荀子》__春秋战国
33	 [委] 貌，周道也。		《礼记》__春秋战国
34	子叔昭伯曰：“臣受命于君曰：‘诸侯相见，交让，争处其卑，礼之文也；交 [委] 多，争受少，行之实也。		《晏子春秋》__春秋战国
35	三王之祭川也，皆先河而后海，或源也，或 [委] 也。		《礼记》__春秋战国
36	 [委] 武玄缟而后蕤。		《礼记》__春秋战国
37	含者坐 [委] 于殡东南，有苇席；既葬，蒲席。		《礼记》__春秋战国
38	 [委] 衣于 殡东。		《礼记》__春秋战国
39	陈乘 稽颡，坐 [委] 于殡东南黄大路于中庭，北。		《礼记》__春秋战国
40	西面而坐， [委] 之。		《礼记》__春秋战国
41	句践用帅二三之老，亲 [委] 重罪，顿颡于边。		《国语》__春秋战国
42	及臣之长也，端 [委] ☆带以随宰人，民无二心。		《国语》__春秋战国
43	臣闻之， [委] 质为臣，无有二心， [委] 质而策死，古之法也。		《国语》__春秋战国
44	对曰：“臣 [委] 质于狄之鼓，未 [委] 质于晋之鼓也。		《国语》__春秋战国
45	 [委] 土可以为师保，吾何为不增？		《国语》__春秋战国
46	愿夫子幸存寡人，寡人请奉齐国之粟米财货， [委] 之百姓，多寡轻重，惟夫子之令。”		《晏子春秋》__春秋战国
47	晏子乃返，命禀巡氓，家有布缕之本而绝食者，使有终月之 [委] ；绝本之家，使有期年之食，无 [委] 积之氓，与之薪☆，使足以毕霖雨。		《晏子春秋》__春秋战国
48	其次昧财之失守， [委] 而不以分人者，百姓必进自分也。		《晏子春秋》__春秋战国
49	于是令勿 [委] 坏，余财勿收，斩板而去之。		《晏子春秋》__春秋战国
50	吏所 [委] 发廪出粟，以予贫民者三千锺，公所身见癃老者七十人，(p.241)振赡之，然後归也。		《晏子春秋》__春秋战国
51	 [委] 质为弟子者三千人，达徒七十人。		《吕氏春秋》__春秋战国
52	孰契契而 [委] 栋兮，日晻晻而下颓。		《楚辞》__春秋战国
53	盖上世尝有不葬其亲者，其亲死，则举而 [委] 之于壑。		《孟子》__春秋战国
54	及期命于武宫，设桑主，布☆筵，太宰莅之，晋侯端 [委] 以入。		《国语》__春秋战国
55	枉玉衡於炎火兮， [委] 两饣官于咸唐。		《楚辞》__春秋战国
56	愍余命兮遭六极， [委] 玉质兮於泥涂。		《楚辞》__春秋战国
57	 [委] 皮南面；执币者西面北上。		《仪礼》__春秋战国
58	余悲兮兰生， [委] 积兮从横。		《楚辞》__春秋战国
59	曰：“是天地之 [委] 形也		《庄子》__春秋战国
60	；生非汝有，是天地之 [委] 和也；性命非汝有，是天地之 [委] 顺也；子孙		《庄子》__春秋战国
61	非汝有，是天地之 [委] 蜕也。		《庄子》__春秋战国
62	宝金兮 [委] 积，美玉兮盈堂。		《楚辞》__春秋战国
63	抱关击柝，孔子尝为 [委] 吏矣，曰：‘会计当而已矣。		《孟子》__春秋战国
64	城非不高也，池非不深也，兵革非不坚利也，米粟非不多也， [委] 而去之，是地利不如人和也。		《孟子》__春秋战国
65	凡献，执一双， [委] 其余于面。		《仪礼》__春秋战国
66	材朴 [委] 积兮，莫知余之所有。		《楚辞》__春秋战国
67	之，居不知所为，与物 [委] 蛇而同其波。		《庄子》__春秋战国
68	 [委] 人，中士二人、下士四人、府二人、史四人、徒四十人。		《周礼》__春秋战国
69	大宾客，令野修道、 [委] 积。		《周礼》__春秋战国
70	小宾客，令野修道、 [委] 积。		《周礼》__春秋战国
71	大夫则如介礼，有诸公，则辞加席， [委] 于席端，主人不彻；无诸公，则大夫辞加席，主人对，不去加席。		《仪礼》__春秋战国
72	欿愁悴而 [委] 惰兮，老冉冉而逮之。		《楚辞》__春秋战国
73	遗人掌邦之 [委] 积，以待施惠。		《周礼》__春秋战国
