语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：子
2023/1/20 16:21:19

序号	语句	书名	朝代
1	初，昆莫有十余 [子] ，中 [子] 大禄强，善将，将众万余骑别居。		《汉书》__汉
2	大禄兄太 [子] ，太 [子] 有 [子] 曰岑陬。		《汉书》__汉
3	岑陬胡妇 [子] 泥靡尚小，岑陬且死，以国与季父大禄 [子] 翁归靡，曰：“泥靡大，以国归之。”		《汉书》__汉
4	未出塞，闻乌孙昆弥翁归靡死，乌孙贵人共从本约，立岑陬 [子] 泥靡代为昆靡，号狂王。		《汉书》__汉
5	汉使卫司马魏和意、副侯任昌送侍 [子] ，公主言狂王为乌孙所患苦，易诛也。		《汉书》__汉
6	其 [子] 细沈瘦会兵围和意、昌及公主于赤谷城。		《汉书》__汉
7	初，肥王翁归靡胡妇 [子] 乌就屠，狂五伤时惊，与诸翕侯俱去，居北山中，扬言母家匈奴兵来，故众归之。		《汉书》__汉
8	元贵靡 [子] 星靡代为大昆弥，弱，冯夫人上书，愿使乌孙镇抚星靡。		《汉书》__汉
9	星靡死， [子] 雌栗靡代。		《汉书》__汉
10	 [子] 拊离代立，为弟日贰所杀。		《汉书》__汉
11	汉没入小昆弥侍 [子] 在京师者。		《汉书》__汉
12	绛宾死，其 [子] 丞德自谓汉外孙，成、哀帝时往来尤数，汉遇之亦甚亲密。		《汉书》__汉
13	车师王更立 [子] 乌贵为太 [子] 。		《汉书》__汉
14	校尉开门击鼓收吏士，良等随人，遂杀校尉刀护及 [子] 男四人、诸昆弟 [子] 男，独遗妇女小兒。		《汉书》__汉
15	自是之后，明珠、文甲、通犀、翠羽之珍盈于后宫，薄梢、龙文、鱼目、汗血之马充于黄门，巨象、师 [子] 、猛犬、大雀之群食于外囿。		《汉书》__汉
16	尧命四 [子] 以“敬授民时”，舜命后稷以“黎民祖饥”，是为政首。		《汉书》__汉
17	董仲舒、刘向以为十五年王札 [子] 杀召伯、毛伯，天 [子] 不能诛。		《汉书》__汉
18	一曰，三家亲而亡礼，犹宣公杀 [子] 赤而立。		《汉书》__汉
19	董仲舒以为成居丧亡哀戚心，数兴兵战伐，故天灾其父庙，示失 [子] 道，不能奉宗庙也。		《汉书》__汉
20	其《诗》曰：“四之日举止，同我妇 [子] ，馌彼南亩。”		《汉书》__汉
21	又曰：“十月蟋蟀，入我床下”，“嗟我妇 [子] ，聿为改岁，入此室处。”		《汉书》__汉
22	刘向以为先是宋公听谗而杀大 [子] 座，应火不炎上之罚也。		《汉书》__汉
23	是月，余 [子] 亦在于序室。		《汉书》__汉
24	故孔 [子] 曰：“道千乘之国，敬事而信，节用而爱人，使民以时。”		《汉书》__汉
25	孔 [子] 曰：“苟有用我者，期月而已可也，三年有成”，成此功也。		《汉书》__汉
26	高祖乃令民得卖 [子] ，就食蜀、汉。		《汉书》__汉
27	失时不雨，民且狼顾；岁恶不入，请卖爵、 [子] 。		《汉书》__汉
28	兵旱相乘，天下大屈，有勇力者聚徒而衡击，罢夫赢老易 [子] 而咬其骨。		《汉书》__汉
29	夫腹饥不得食，肤寒不得衣，虽慈父不能保其 [子] ，君安能以有其民哉！		《汉书》__汉
30	’ [子] 产问其故，对曰：‘陈，水属也。		《汉书》__汉
31	禁有大志，不修廉隅，好酒色，多取傍妻，凡有四女八男；长女君侠，次即元后政君，次君力，次君弟；长男凤孝卿，次曼元卿，谭 [子] 元，崇少 [子] ，商 [子] 夏，立 [子] 叔，根稚卿，逢时委卿，唯凤、崇与元后政君同母。		《汉书》__汉
32	五凤中，献政君，年十八矣，入掖庭为家人 [子] 。		《汉书》__汉
33	久之，宣帝闻太 [子] 恨过诸娣妾，欲顺适其意，乃令皇后择后宫家人 [子] 可以虞侍太 [子] 者，政君与在其中。		《汉书》__汉
34	先是者，太 [子] 后宫娣妾以十数，御幸久者七八年，莫有 [子] ，及王妃一幸而有身。		《汉书》__汉
35	长 [子] 凤嗣侯，为卫尉侍中，皇后自有 [子] 后，希复进见。		《汉书》__汉
36	左右常荐光禄大夫刘向少 [子] 歆通达有异材。		《汉书》__汉
37	上谓共王：“我未有 [子] ，人命不讳，一朝有它，且不复相见。		《汉书》__汉
38	又凤知其小妇弟张美人已尝适人，于礼不宜配御至尊，托以为宜 [子] ，内之后宫，苟以私其妻弟。		《汉书》__汉
39	且羌胡尚杀首 [子] 以荡肠正世，况于天 [子] 而近已出之女也！		《汉书》__汉
40	时太后从弟长乐卫尉弘 [子] 侍中音独侧听，具知章言，以语凤。		《汉书》__汉
41	上使尚书劾奏章：“知野王前以王舅出补吏，而私荐之，欲令在朝阿附诸侯；又知张美人体御至尊，而妄称引羌胡杀 [子] 荡肠，非所宜言。”		《汉书》__汉
42	初，谭倨，不肯事凤，而音敬凤，卑恭如 [子] ，故荐之。		《汉书》__汉
43	 [子] 襄嗣侯，为卫尉。		《汉书》__汉
44	久之，平阿侯谭薨，谥曰安侯， [子] 仁嗣侯。		《汉书》__汉
45	太后怜弟曼蚤死，独不封，曼寡妇渠供养东宫， [子] 莽幼孤不及等比，常以为语。		《汉书》__汉
46	久之，上复下诏追封曼为新都哀侯，而 [子] 莽嗣爵为新都侯。		《汉书》__汉
47	后又封太后姊 [子] 淳天长为定陵侯。		《汉书》__汉
48	 [子] 舜嗣侯，为太仆侍中。		《汉书》__汉
49	商薨，吊赠如大将军故事，谥曰景成侯， [子] 况嗣侯。		《汉书》__汉
50	高平侯逢时无材能名称，是岁薨，谥曰戴侯， [子] 买之嗣侯。		《汉书》__汉
51	及根兄 [子] 成都侯况幸得以外亲继父为列侯侍中，不思报厚恩，亦聘取故掖庭贵人以为妻，皆无人臣礼，大不敬不道。”		《汉书》__汉
52	明年，哀帝崩，无 [子] ，太皇太后以莽为大司马，与共征立中山王奉哀帝后，是为平帝。		《汉书》__汉
53	赐立谥曰荒侯， [子] 柱嗣，仁谥曰刺侯， [子] 术嗣。		《汉书》__汉
54	平帝崩，无 [子] ，莽征宣帝玄孙选最少者广戚侯 [子] 刘婴，年二岁，托以卜相为最吉。		《汉书》__汉
55	予伏念皇天命予为 [子] ，更命太皇太后为‘新室文母太皇太后’，协于新、故交代之际，信于汉氏。		《汉书》__汉
56	莽于是鸩杀王谏，而封张永为贡符 [子] 。		《汉书》__汉
57	初，红阳侯立就国南阳，与诸刘结恩，立少 [子] 丹为中山太守。		《汉书》__汉
58	上闵之，封丹 [子] 泓为武桓侯，至今。		《汉书》__汉
59	孔 [子] 曰：“导之以政，齐之以刑，民免而无耻；导之以德，齐之以礼，有耻且格。”		《汉书》__汉
60	太后问：“有 [子] 、兄弟为官者乎？”		《汉书》__汉
61	以捕按太后外孙脩成 [子] 中，上以为能，迁为河内都尉。		《汉书》__汉
62	田广明字 [子] 公，郑人也。		《汉书》__汉
63	田延年字 [子] 宾，先齐诸田也，徙阳陵。		《汉书》__汉
64	当废昌邑王时，非田 [子] 宾之言大事不成。		《汉书》__汉
65	延年为人短小精悍，敏捷于事，虽 [子] 贡、冉有通艺于政事，不能绝也。		《汉书》__汉
66	我不意当老见壮 [子] 被刑戮也！		《汉书》__汉
67	尹赏字 [子] 心，巨鹿杨氏人也。		《汉书》__汉
68	乃部户曹掾史，与乡吏、亭长、里正、父老、伍人，杂举长安中轻薄少年恶 [子] ，无市籍商贩作务，而鲜衣凶服被铠扞持刀兵者，悉籍记之，得数百人。		《汉书》__汉
69	长安中歌之曰：“安所求 [子] 死？		《汉书》__汉
70	赏所置皆其魁宿，或故吏善家 [子] 失计随轻黠愿自改者，财数十百人，皆贳其罪，诡令立功以自赎。		《汉书》__汉
71	赏四 [子] 皆至郡守，长 [子] 立为京兆尹，皆尚威严，有治办名。		《汉书》__汉
72	由是疏太 [子] 而爱淮阳王，曰：“淮阳王明察好法，宜为吾 [子] 。”		《汉书》__汉
73	五年春正月，以周 [子] 南君为周承休侯，位次诸侯王。		《汉书》__汉
74	赐宗室 [子] 有属籍者马一匹至二驷，三老、孝者帛，人五匹，弟者、力田三匹，鳏、寡、孤、独二匹，吏民五十户牛、酒。”		《汉书》__汉
75	九月戊 [子] ，罢卫思后园及戾园。		《汉书》__汉
76	秋七月庚 [子] ，复太上皇寝庙园、原庙，昭灵后、武哀王、昭哀后、卫思后园。		《汉书》__汉
77	推诸加时，以十二乘小余为实，各盈分母为法，数起于 [子] ，算外，则所加辰也。		《汉书》__汉
78	时周景王老，刘 [子] 、单 [子] 事王 [子] 猛，尹氏、召伯、毛伯事王 [子] 晁。		《汉书》__汉
79	 [子] 晁，楚之出也。		《汉书》__汉
80	天戒若曰，不救周，反从楚，废世 [子] ，立不正，以害王室，明同罪也。		《汉书》__汉
81	定公即位，既不能诛季氏，又用其邪说，淫于女乐，而退孔 [子] 。		《汉书》__汉
82	哀公又以季氏之故不用孔 [子] 。		《汉书》__汉
83	孔 [子] 在陈闻鲁灾，曰：“其桓、B341之宫乎！”		《汉书》__汉
84	一曰，天生孔 [子] ，非为定、哀也，盖失礼不明，火灾应之，自然象也。		《汉书》__汉
85	惠帝四年十月乙亥，未央宫凌室灾；丙 [子] ，织室灾。		《汉书》__汉
86	其后，皇后亡 [子] ，后宫美人有男，太后使皇后名之，而杀其母。		《汉书》__汉
87	惠帝崩，嗣 [子] 立，有怨言，太后废之，更立吕氏 [子] 弘为少帝。		《汉书》__汉
88	欲知太岁，以六十除积次，余不盈者，数从丙 [子] 起，算尽之外，则太岁日也。		《汉书》__汉
89	四月壬 [子] ，高园便殿火。		《汉书》__汉
90	按《春秋》鲁定公、哀公时，季氏之恶已孰，而孔 [子] 之圣方盛。		《汉书》__汉
