语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：存
2022/7/10 22:55:22

序号	语句	书名	朝代
1	及孟子没而其传泯焉，则其书虽 [存] ，而知者鲜矣！		《大学中庸》__春秋战国
2	于今可见古人为学次第者，独赖此篇之 [存] ，而论、孟次之。		《大学中庸》__春秋战国
3	公曰：“宫之奇 [存] 焉，必不使受之也。”		《榖梁传》__春秋战国
4	心有不 [存] ，则无以检其身，是以君子必察乎此而敬以直之，然后此心常 [存] 而身无不修也。		《大学中庸》__春秋战国
5	盖意诚则真无恶而实有善矣，所以能 [存] 是心以检其身。		《大学中庸》__春秋战国
6	然或但知诚意，而不能密察此心之 [存] 否，则又无以直内而修身也。		《大学中庸》__春秋战国
7	以吾 [存] 也，且必告悔，是吾免也。”		《国语》__春秋战国
8	有天下者，能 [存] 此心而不失，则所以絜矩而与民同欲者，自不能已矣。		《大学中庸》__春秋战国
9	此 [存] 乎王公大人有丧者。		《墨子》__春秋战国
10	师 [存] 侍，曰：“藏罟不如置里革欲侧之不忘也。”		《国语》__春秋战国
11	夫苦成叔家欲任两国而无大德，其不 [存] 也，亡无日矣。		《国语》__春秋战国
12	盖<广勤> 有 [存] 者。		《礼记》__春秋战国
13	及孟子没而其传泯焉，则其书虽 [存] ，而知者鲜矣！		《大学中庸》__春秋战国
14	故治天下之要， [存] 乎除奸；除奸之要， [存] 乎治官；治官之要， [存] 乎治道；治道之要， [存] 乎知性命。		《吕氏春秋》__春秋战国
15	穷而不知其穷，其患又将反以自多，是之谓重塞之主，无 [存] 国矣。		《吕氏春秋》__春秋战国
16	赖此篇之 [存] ，而论、孟次之。		《大学中庸》__春秋战国
17	入国而不 [存] 其士则亡国矣。		《墨子》__春秋战国
18	佑贤辅德，显忠遂良，兼弱攻昧，取乱侮亡，推亡固 [存] ，邦乃其昌。		《尚书》__周
19	曷为为恭，有天子之 [存] ，则诸侯不得专地也。		《公羊传》__春秋战国
20	今虞、夏、殷、周无 [存] 者，皆不知反诸己也。		《吕氏春秋》__春秋战国
21	云可以重之 [存] 焉，尊之也。		《榖梁传》__春秋战国
22	是一主 [存] 者以问所 [存] 。		《墨子》__春秋战国
23	于一有吞焉有不知焉说在 [存] 。		《墨子》__春秋战国
