语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：孝
2022/7/10 23:11:39

序号	语句	书名	朝代
1	桓公又闻焉，曰：“于子之乡，有不慈 [孝] 于父母、不长惕于乡里、骄躁淫暴、不用上令者，有则以告。		《国语》__春秋战国
2	为人君，止于仁；为人臣，止于敬；为人子，止于 [孝] ；为人父，止于慈；与国人交，止于信。		《大学中庸》__春秋战国
3	君亲问焉，曰：“于子之乡，有居处好学、慈 [孝] 于父母、聪慧质仁、发闻于乡里者，有则以告。		《国语》__春秋战国
4	桓公又问焉，曰：“于子之属，有不慈 [孝] 于父母、不长惕于乡里、骄躁淫暴、不用上令者，有则以告。		《国语》__春秋战国
5	桓公又亲问焉，曰：“于子之属，有居处为义好学、慈 [孝] 于父母、聪慧质仁、发闻于乡里者，有则以告。		《国语》__春秋战国
6	尹文曰：“今有人於此，事亲则 [孝] ，事君则忠，交友则信，居乡则悌。		《吕氏春秋》__春秋战国
7	故君子不出家而成教于国： [孝] 者，所以事君也；弟者，所以事长也；慈者，所以使众也。		《大学中庸》__春秋战国
8	身修，则家可教矣； [孝] 、弟、慈，所以修身而教于家者也；然而国之所以事君事长使众之道不外乎此。		《大学中庸》__春秋战国
9	意不忠亲之利而害为 [孝] 乎。		《墨子》__春秋战国
10	所谓平天下在治其国者：上老老而民兴 [孝] ，上长长而民兴弟，上恤孤而民不倍，是以君子有絜矩之道也。		《大学中庸》__春秋战国
11	为人子必 [孝] 为人兄必友。		《墨子》__春秋战国
12	各致齐敬于其皇祖，昭 [孝] 之至也。		《国语》__春秋战国
13	公罔之裘扬觯而语曰：“幼壮 [孝] 弟，耆耋好礼， 不从流俗，修身以俟死者，不，在此位也。”		《礼记》__春秋战国
14	岳曰：“瞽子，父顽，母嚣，象傲；克谐以 [孝] ，烝烝乂，不格奸。”		《尚书》__周
15	齐 [孝] 公来伐鲁，臧文仲欲以辞告，病焉，问于展禽。		《国语》__春秋战国
16	 [孝] ；为人父，止于慈；与国人交，止于信。		《大学中庸》__春秋战国
17	故君子不出家而成教于国： [孝] 		《大学中庸》__春秋战国
18	“令夫士，群萃而州处，闲燕则父与父言义，子与子言 [孝] ，其事君者言敬，其幼者言弟。		《国语》__春秋战国
19	所谓平天下在治其国者：上老老而民兴 [孝] ，上长长而民兴弟，上恤孤而民不倍，是以君		《大学中庸》__春秋战国
20	有庙”，致 [孝] 享也。“		《周易》__周
21	， [孝] 养厥父母，厥父母庆，自洗腆，致用酒。		《尚书》__周
22	王若曰：“君陈，惟尔令德 [孝] 恭。		《尚书》__周
23	惟 [孝] 友于兄弟，克施有政。		《尚书》__周
24	尔尚盖前人之愆，惟忠惟 [孝] ；尔乃迈迹自身，克勤无怠，以垂宪乃后；率乃祖文王之遗训，无若尔考之违王命。		《尚书》__周
25	秋，八月乙未，葬齐 [孝] 公。		《榖梁传》__春秋战国
26	子妇 [孝] 者敬者，父母舅姑之命，勿逆勿怠。		《礼记》__春秋战国
27	子妇未 [孝] 未敬，勿庸疾 怨，姑教之；若不可教，而后怒之；不可怒，子放妇出，而不表礼焉。		《礼记》__春秋战国
28	父母有过，下气怡色柔声以谏，谏若不入，起敬起 [孝] ，说则复谏，不说，与 其得罪于乡党州闾，宁孰谏。		《礼记》__春秋战国
29	父母怒不说，而挞之流血，不敢疾怨，起敬起 [孝] 。		《礼记》__春秋战国
30	正法枉必死，父犯法而不忍，王赦之而不肯，石渚之为人臣也，可谓忠且 [孝] 矣。		《吕氏春秋》__春秋战国
31	二十而冠，始学礼，可以衣裘帛，舞大夏，忄享行 [孝] 弟，博学不教，内而不 出。		《礼记》__春秋战国
32	奉先思 [孝] ，接下思恭。		《尚书》__周
33	商君说秦 [孝] 公以变法易俗而明公道，赏告奸、困末作而利本事。		《韩非子》__春秋战国
34	 [孝] 公不听，遂行商君之法。		《韩非子》__春秋战国
35	汤得伊尹，以百里之地立为天子；桓公得管仲，立为五霸主，九合诸候，一匡天下； [孝] 公得商君，地以广，兵以强。		《韩非子》__春秋战国
