语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：孰
2022/7/10 23:00:46

序号	语句	书名	朝代
1	且君其图之，自桓叔以来， [孰] 能爱亲？		《国语》__春秋战国
2	凡民利是生，杀君而厚利众，众 [孰] 沮之？		《国语》__春秋战国
3	杀亲无恶于人，人 [孰] 去之？		《国语》__春秋战国
4	苟交利而得宠，志行而众悦，欲其甚矣， [孰] 不惑焉？		《国语》__春秋战国
5	方乱以扰， [孰] 适御我？		《国语》__春秋战国
6	大夫无常，苟众所置， [孰] 能勿从？		《国语》__春秋战国
7	父死在堂而求利，人 [孰] 仁我？		《国语》__春秋战国
8	人实有之，我以徼☆，人 [孰] 信我？		《国语》__春秋战国
9	 [孰] 是人斯，而有是臭也？		《国语》__春秋战国
10	忍父而求好人，人 [孰] 好之？		《国语》__春秋战国
11	杀父以求利人，人 [孰] 利之？		《国语》__春秋战国
12	未详 [孰] 是。		《大学中庸》__春秋战国
13	吴起曰：“治四境之内，成训教，变习俗，使君臣有义，父子有序，子与我 [孰] 贤？”		《吕氏春秋》__春秋战国
14	子与我 [孰] 贤？”		《吕氏春秋》__春秋战国
15	曰：“士马成列，马与人敌，人在马前，援桴一鼓，使三军之士乐死若生，子与我 [孰] 贤？”		《吕氏春秋》__春秋战国
16	申向曰：“向则不肖，虽然公子年二十而相，见老者而使之战，请问 [孰] 病哉？”		《吕氏春秋》__春秋战国
17	果行，国人皆劝，父勉其子，兄勉其弟，妇勉其夫，曰：“ [孰] 是君也，而可无死乎？”		《国语》__春秋战国
18	非大人其 [孰] 能之？		《周易》__周
19	公曰：“ [孰] 可使？”		《榖梁传》__春秋战国
20	今吾道路修远，无会而归，与会而先晋， [孰] 利？”		《国语》__春秋战国
21	与其杀是人也，宁其得此国也，其 [孰] 利乎？”		《国语》__春秋战国
22	 [孰] 灭之？		《榖梁传》__春秋战国
23	魏敬谓王曰：“以河内 [孰] 与梁重？”		《吕氏春秋》__春秋战国
24	为人君而弃其师，其民 [孰] 以为君哉！		《榖梁传》__春秋战国
25	又曰：“梁 [孰] 与身重？”		《吕氏春秋》__春秋战国
26	汤曰：“ [孰] 可？”		《吕氏春秋》__春秋战国
27	汤曰：“ [孰] 可？”		《吕氏春秋》__春秋战国
28	父母有过，下气怡色柔声以谏，谏若不入，起敬起孝，说则复谏，不说，与 其得罪于乡党州闾，宁 [孰] 谏。		《礼记》__春秋战国
29	捣珍：取牛羊麋鹿之肉必灰，每物与牛若一捶，反侧之，去其饵， [孰] 出 之，去其<皮>，柔其肉。		《礼记》__春秋战国
30	本不坚，则民如飞鸟禽兽，其 [孰] 能制之？		《商君书》__春秋战国
31	凡生之难遇，而死之易及；以难遇之生，俟易及之死，可 [孰] 念哉？		《列子》__春秋战国
32	邓析曰：“子与真人居而不知也， [孰] 谓子智者乎？		《列子》__春秋战国
