语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：宜
2022/7/10 23:03:06

序号	语句	书名	朝代
1	陈针 [宜] 咎出奔楚。		《榖梁传》__春秋战国
2	《象》曰：“往蹇，来誉”， [宜] 待也。		《周易》__周
3	晓占者 [宜] 如是也。		《周易》__周
4	若无所往，则 [宜] 来复其所而安静。		《周易》__周
5	若尚有所往，则 [宜] 早		《周易》__周
6	诗云：“桃之夭夭，其叶蓁蓁；之子于归， [宜] 其家人。”		《大学中庸》__春秋战国
7	 [宜] 其家人，而后可以教国人。		《大学中庸》__春秋战国
8	 [宜] ，犹善也。		《大学中庸》__春秋战国
9	诗云：“ [宜] 兄 [宜] 弟。”		《大学中庸》__春秋战国
10	 [宜] 兄 [宜] 弟，而后可以教国人。		《大学中庸》__春秋战国
11	其味深长，最 [宜] 潜玩。		《大学中庸》__春秋战国
12	仪，诗作 [宜] 。		《大学中庸》__春秋战国
13	是 [宜] 动者静， [宜] 静者动也。		《吕氏春秋》__春秋战国
14	当决之时，居下任壮，不胜 [宜] 矣。		《周易》__周
15	今无故而加典，非政之 [宜] 也。		《国语》__春秋战国
16	诗云：“桃之夭夭，其叶蓁蓁；之子于归， [宜] 其家人。”		《大学中庸》__春秋战国
17	 [宜] 其家人，而后可以教国人。		《大学中庸》__春秋战国
18	诗云：“ [宜] 兄 [宜] 弟。”		《大学中庸》__春秋战国
19	 [宜] 兄 [宜] 弟，而后可以教国人。		《大学中庸》__春秋战国
20	武王有闳夭秦颠南宫括散 [宜] 生。		《墨子》__春秋战国
21	自若以处，以度天下，待其来者而正之，因时之所 [宜] 而定之。		《国语》__春秋战国
22	且然不可正而不害用工说在 [宜] 欧。		《墨子》__春秋战国
23	 [宜] 为人主，安徐而重固；阴节不尽，柔而不可迫。		《国语》__春秋战国
24	酒食，人之所欲，然醉饱过 [宜] ，则是反为所困矣。		《周易》__周
25	尽其阳节、盈吾阴节而夺之， [宜] 为人客，刚强而力疾；阳节不尽，轻而不可取。		《国语》__春秋战国
26	今天动威以彰周公之德，惟朕小子其新逆，我国家礼亦 [宜] 之。”		《尚书》__周
27	然不若此其 [宜] 也。		《吕氏春秋》__春秋战国
28	惠子出，白圭告人曰：“人有新取妇者，妇至， [宜] 安矜烟视媚行。		《吕氏春秋》__春秋战国
29	则莫 [宜] 之此鼎矣。”		《吕氏春秋》__春秋战国
30	惟文王尚克修和我有夏；亦惟有若虢叔，有若闳夭，有若散 [宜] 生，有若泰颠，有若南宫括。”		《尚书》__周
31	楚人使 [宜] 申来献捷。		《榖梁传》__春秋战国
32	孟卬太息曰：“ [宜] 矣王之制於秦也！		《吕氏春秋》__春秋战国
33	譬之若钓者，鱼有小大，饵有 [宜] 适，羽有动静。		《吕氏春秋》__春秋战国
34	子甚 [宜] 其妻，父母不说，出。		《礼记》__春秋战国
35	故圣人之为国也，观俗立法则治，察国事本则 [宜] 。		《商君书》__春秋战国
36	长久之於主，必 [宜] 内反於心不惭然後动。		《吕氏春秋》__春秋战国
37	牛 [宜] 余，羊 [宜] 黍，豕 [宜] 稷，犬 [宜] 梁，雁 [宜] 麦，鱼 [宜] {艹瓜}。		《礼记》__春秋战国
38	春 [宜] 羔、豚， 膳膏芗，夏 [宜] 居、肃，膳膏臊；秋 [宜] 犊、は，膳膏腥；冬  [宜] 鲜、羽膳，膏膻。		《礼记》__春秋战国
39	楚杀其大夫 [宜] 申。		《榖梁传》__春秋战国
40	丰：亨，王假之，勿忧， [宜] 日中。		《周易》__周
41	圣人以为徒忧无益，但能守常，不至于过盛则可矣，故戒以勿忧， [宜] 日		《周易》__周
42	勿忧， [宜] 日中”，		《周易》__周
43	 [宜] 照天下也。		《周易》__周
44	戒占者 [宜] 如是也。		《周易》__周
45	礼、法以时而定；制、令各顺其 [宜] ；兵甲器备各便其用。		《商君书》__春秋战国
46	之，则有以济其所不及，而得所 [宜] 矣。		《周易》__周
47	阴柔无应，承乘皆刚， [宜] 有悔也。		《周易》__周
48	夫物者有所 [宜] ，材者有所施，各处其 [宜] ，故上下无为。		《韩非子》__春秋战国
49	!九而居二， [宜] 有悔也，然当涣之时，来而不穷，能亡其悔者也，故		《周易》__周
50	莫 [宜] 乎许叔，其曰入何也？		《榖梁传》__春秋战国
51	 [宜] 於時通，利以處窮，禮信是也。		《荀子》__春秋战国
52	詩曰∶「左之左之，君子 [宜] 之；右之右之，君子有之。」		《荀子》__春秋战国
53	飞鸟遗之音，不 [宜] 上， [宜] 下，大吉。		《周易》__周
54	上，故能致飞鸟遗音之应，则 [宜] 下而大吉，亦不可大事之类也。		《周易》__周
55	音，不 [宜] 上， [宜] 下，大吉”，上逆而下顺也。		《周易》__周
56	《彖》所谓可小事而 [宜] 下者也。		《周易》__周
57	飞鸟遗音，不 [宜] 上， [宜] 下”，故其象		《周易》__周
58	遇之，言弗过于刚而适合其 [宜] 也。		《周易》__周
59	言当随时之 [宜] ，不		《周易》__周
60	之君， [宜] 得行其志。		《周易》__周
61	故先王案為之制禮義以分之，使有貴賤之等，長幼之差，知愚能不能之分，皆使人載其事，而各得其 [宜] 。		《荀子》__春秋战国
62	左之，君子 [宜] 之。		《诗经》__周
63	君子万年，福禄 [宜] 之。		《诗经》__周
64	 [宜] 其遐福。		《诗经》__周
65	其霸也， [宜] 哉！		《荀子》__春秋战国
66	若夫譎德而定次，量能而授官，使賢不肖皆得其位，能不能皆得其官，萬物得其 [宜] ，事變得其應，慎墨不得進其談，惠施、鄧析不敢竄其察，言必當理，事必當務，是然後君子之所長也。		《荀子》__春秋战国
67	夫两者各得所欲，大者 [宜] 为下。		《老子》__春秋战国
68	圣人有以见天下之赜，而拟诸其形容，象其物 [宜] ，是故谓之象。		《周易》__周
69	衣服有制，宮室有度，人徒有數，喪祭械用皆有等 [宜] 。		《荀子》__春秋战国
70	此简本在第十章之首，程子曰 [宜] 在		《周易》__周
71	群道當，則萬物皆得其 [宜] ，六畜皆得其長，群生皆得其命。		《荀子》__春秋战国
72	衍”之后，今按 [宜] 在此。		《周易》__周
73	奇，纪 [宜] 反。		《周易》__周
74	萬物同宇而異體，無 [宜] 而有用為人，數也。		《荀子》__春秋战国
75	越之东有 辄沐之国，其长子生，则鲜而食之，谓之 [宜] 弟。		《列子》__春秋战国
76	左右皆曰：“乡之死者 [宜] 矣。”		《吕氏春秋》__春秋战国
77	国贫而鄙富 [宜] 美于朝市国国富而鄙贫莫尽如市，		《管子》__春秋战国
78	其霸西戎，岂不 [宜] 哉？		《吕氏春秋》__春秋战国
79	属，或恐是错简， [宜] 在第八章之末。		《周易》__周
80	若夫貫日而治平，權物而稱用，使衣服有制，宮室有度，人徒有數，喪祭械用皆有等 [宜] ，以是用挾於萬物，尺寸尋丈，莫得不循乎制度數量然後行，則是官人使吏之事也，不足數於大君子之前，故君人者，立隆政本朝而當，所使要百事者誠仁人也，則身佚而國治，功大而名美，上可以王，下可以霸。		《荀子》__春秋战国
81	是故夫象，圣人有以见天下之赜，而拟诸其形容，象其物 [宜] ，是故谓之象。		《周易》__周
82	主之赏罚爵禄之所加者 [宜] ，则亲疏远近贤不肖皆尽其力而以为用矣。		《吕氏春秋》__春秋战国
83	象服是 [宜] 。		《诗经》__周
84	古者包牺氏之王天下也，仰则观象于天，俯则观法于地，观鸟兽之文，与地之 [宜] ，近取诸身，		《周易》__周
