语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：家
2022/11/6 16:06:42

序号	语句	书名	朝代
1	郭茂倩《乐府诗集》为诗而作，删诸 [家] 乐志作序，甚明而无遣误，作歌行乐府者，不可不读。		《钝吟杂录》__清
2	子美独构新格，自制题目，元、白辈祖述之，后人遂为新例，陈、隋、初唐诸 [家] ，渐澌灭矣。		《钝吟杂录》__清
3	太白、子美二 [家] 之外，后人蔑以加矣。		《钝吟杂录》__清
4	只如西汉人为五言者二 [家] ，班婕妤《怨诗》，亦乐府也。		《钝吟杂录》__清
5	只这刀法、枪法、弹弓、袖箭、拳脚，却是老人 [家] 口传心授。		《儿女英雄》__清
6	我 [家] 原是历代书香，我自幼也曾读书识字。		《儿女英雄》__清
7	自从我祖父手里就了武职，便讲究些兵法阵图，练习各般武备，因此我父亲得了 [家] 学真传。		《儿女英雄》__清
8	便情愿破业倾 [家] ，要把我母女请到他 [家] 里奉养。		《儿女英雄》__清
9	又承他的推情， 那里村中众人的仗义， 每日倒有三五个村庄妇女轮流服侍，老人 [家] 颇不寂寞。		《儿女英雄》__清
10	只是我一个女孩儿 [家] ，除了计黹女工，那是我生财之道？		《儿女英雄》__清
11	这 [家] 英雄现年八十余岁，真算得个不读诗书的圣贤，不怕势利的豪杰！		《儿女英雄》__清
12	正说着，两个骡夫回来，又备说那褚一官不能前来，请我今晚就在他 [家] 去住的话。		《儿女英雄》__清
13	因指着张老夫妻二位向他道∶“你看，这二位老人 [家] 可是一介平民，你可是个贵 [家] 公子，他们就不应同你一处坐，何况叫你同他叙礼。		《儿女英雄》__清
14	我听见说，你们居乡的人儿都是从小儿就说婆婆 [家] ，还有十一二岁就给人 [家] 童养去的，怎么妹妹的大事还没定呢？”		《儿女英雄》__清
15	只见他不容再问， 但长吁了口气， 眼圈儿一红，说道∶“你们要知我的来历，我也是个好人 [家] 的儿女，我父亲也作过朝庭的二品大员。”		《儿女英雄》__清
16	那姑娘先向张老说道∶“老人 [家] ，劳动你先把这一桌子的酒菜 [家] 伙捡开，擦干净了桌子，大 [家] 好说话。”		《儿女英雄》__清
17	再讲那十三妹这番解橐赠金，又了却一桩心事，便要商议打发他两 [家] 男女上路的话。		《儿女英雄》__清
18	那张金凤虽是个乡村女子，却天生得不落小 [家] 气象，且此时一心只有个十三妹姐姐，余事都不在心上，不过远远的看了一看，暗暗的敬服十三妹，略无多言。		《儿女英雄》__清
19	即如这三千金，成全了你一片孝心，老人 [家] 半世清名，这就不叫作虚花枉费。		《儿女英雄》__清
20	一则，是这位姑娘生性豪爽，一片天真，从不会学那小 [家] 女子遮遮掩掩，扭扭捏捏；二则，两个女孩儿在一处，本没有甚么避讳；三则，姑娘的这泡尿大约也是憋急了，这叫作“风火事儿，斯文不来”。		《儿女英雄》__清
21	因回头向张老夫妻道∶“这事得求你二位老人 [家] 。”		《儿女英雄》__清
22	张老也连忙站起来道∶“我小老儿倒有一句拙笨话∶也不用讲这个那个，只我们两 [家] 六条性命，都是姑娘你救的。		《儿女英雄》__清
23	安公子他为官作宦，怎么样也报了恩了；只是我们两口儿是一对老朽无用的乡老儿，女儿又是个女孩儿 [家] ，你这样大恩，今生今世怎生答报的了！”		《儿女英雄》__清
24	十三妹把手一摆，说∶“老人 [家] ，快休如此说。		《儿女英雄》__清
25	要说你两 [家] 性命不是我十三妹救的，这话也是欺人。		《儿女英雄》__清
26	他两个既不曾到褚 [家] 去，褚 [家] 这话从何而来？		《儿女英雄》__清
27	听起来，老人 [家] 又是位一尘不染、两袖皆空的。		《儿女英雄》__清
28	问问店 [家] ，他合我言语支离，推说不知去向；及至问到他无话可支了，他才说是两个骡夫请你到褚 [家] 住歇去了。		《儿女英雄》__清
29	如今安公子的性命保住了，资财保住了，他的二位老人 [家] 可保无事了。		《儿女英雄》__清
30	我这妹子的性命保住了，身子保住了，你二位老人 [家] 可保无事了。		《儿女英雄》__清
31	只见十三妹笑向大 [家] ，指着张老夫妻道∶“他二位老人 [家] 罢了，你们两个枉有这等个聪明样子，怎么也恁般呆气！		《儿女英雄》__清
32	你看，这等的深更半夜，古庙荒山，虽说救了你两 [家] 性命，这个所在被我闹得血溅长空，尸横遍地，请问，就这样撂下走了，叫你们两 [家] 四个无依无靠的人怎么处？		《儿女英雄》__清
33	又听得里面说∶“来了，你老人 [家] 别忙啊！		《儿女英雄》__清
34	你还记得临出京的时候，你父亲说过∶‘只要得个相貌端庄、性情贤慧、持得 [家] 、吃得苦的孩子，那怕南山里、北村里的，都使得。		《儿女英雄》__清
35	列公，打拳的这 [家] 武艺，却与厮杀械斗不同，有个 [家] 数，有个规矩，有个架式。		《儿女英雄》__清
36	讲 [家] 数，为头数武当拳、少林拳两 [家] 。		《儿女英雄》__清
37	武当拳是明太祖洪武爷留下的，叫作内 [家] ；少林拳是姚广孝姚少师留下的，叫作外 [家] 。		《儿女英雄》__清
38	如今他见这女子方才的一个反巴掌有些 [家] 数，不觉得技痒起来；又欺他是个女子，故此把左手拢着右拳，让他先打进来，自己再破出去。		《儿女英雄》__清
39	于是满面堆下笑来，把眼儿只顾睃他，那敬山本是许 [家] 幸童出身，又是□妇人的班头，竟来挨肩擦背。		《风流悟》__清
