语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：寐
2022/7/10 23:04:54

序号	语句	书名	朝代
1	则必不能夙与夜 [寐] 纺绩织。		《墨子》__春秋战国
2	今也妇人之所以夙与夜 [寐] 。		《墨子》__春秋战国
3	东 郭先生闻之曰：“北宫子之 [寐] 久矣，一言而能寤，易悟也哉！”		《列子》__春秋战国
4	尚 [寐] 无吪。		《诗经》__周
5	尚 [寐] 无觉。		《诗经》__周
6	尚 [寐] 无聪。		《诗经》__周
7	独 [寐] 寤言，永矢弗谖。		《诗经》__周
8	独 [寐] 寤歌，永矢弗过。		《诗经》__周
9	独 [寐] 寤宿，永矢弗告。		《诗经》__周
10	予季行役，夙夜无 [寐] 。		《诗经》__周
11	一觉一 [寐] ， 以为觉之所为者实，梦之所见者妄。		《列子》__春秋战国
12	昼则呻呼而即事，夜则昏惫而熟 [寐] 。		《列子》__春秋战国
13	尹氏心营世事，虑钟家业，心形俱疲，夜亦昏惫而 [寐] 。		《列子》__春秋战国
14	窈窕淑女，寤 [寐] 求之。		《诗经》__周
15	求之不得，寤 [寐] 思服。		《诗经》__周
16	《诗》云：“明发不 [寐] ，有怀二 人。”		《礼记》__春秋战国
17	祭之明日，明发不 [寐] ，飨而致之，又从而思之。		《礼记》__春秋战国
18	寤 [寐] 无为，涕泗滂沱。		《诗经》__周
19	寤 [寐] 无为，中心忄肙々。		《诗经》__周
20	明发不 [寐] ，有怀二人。		《诗经》__周
21	子路問於孔子曰∶「有人於此，夙興夜 [寐] ，耕耘樹藝，手足胼胝，以養其親，然而無孝之名，何也？」		《荀子》__春秋战国
22	今夙興夜 [寐] ，耕耘樹藝，手足胼胝，以養其親，無此三者，則何為而無孝之名也？		《荀子》__春秋战国
23	孟子曰：“吾闻之，喜而不 [寐] 。”		《孟子》__春秋战国
24	“然则奚为喜而不 [寐] ？”		《孟子》__春秋战国
25	王 [寐] ，畴枕王以☆而去之。		《国语》__春秋战国
26	耿耿不 [寐] ，如有隐忧。		《诗经》__周
27	终风且曀，不日有曀，寤言不 [寐] ，愿言则嚏。		《诗经》__周
28	曀曀其阴，虺虺其雷，寤言不 [寐] ，愿言则怀。		《诗经》__周
29	出遇士☆，曰：“今夕君寝不 [寐] ，必为翟☆也。		《国语》__春秋战国
30	献公田，见翟☆之氛，归寝不 [寐] 。		《国语》__春秋战国
31	魂茕茕兮不遑 [寐] ，目眽々兮寤终朝。		《楚辞》__春秋战国
32	言未卒，啮缺睡 [寐] 。		《庄子》__春秋战国
33	夜炯炯而不 [寐] 兮，怀隐忧而历兹。		《楚辞》__春秋战国
34	幽独转而不 [寐] 兮，惟烦懑而盈匈。		《楚辞》__春秋战国
35	独申旦而不 [寐] 兮，哀蟋蟀之宵征。		《楚辞》__春秋战国
36	夜耿耿而不 [寐] 兮，魂营营而至曙。		《楚辞》__春秋战国
37	其 [寐] 也魂交，其觉也		《庄子》__春秋战国
38	献公朝诸大夫而问焉，曰：“寡人夜者寝而不 [寐] ，其意也何？”		《公羊传》__春秋战国
39	吾之自 [寐] 邪		《庄子》__春秋战国
40	成然 [寐] ，蘧然觉。		《庄子》__春秋战国
41	使骊龙而 [寐] ，子尚奚微之有哉！		《庄子》__春秋战国
42	而 [寐] ，子为赍粉夫。”		《庄子》__春秋战国
43	昔不 [寐] 矣。		《庄子》__春秋战国
44	师旷见太子，称曰：“吾闻王子之语，高于泰山，夜寝不 [寐] ，昼居不安，不远长道，而求一言。”		《逸周书》__春秋战国
45	既过幸于非位兮，窃庶几乎嘉时，每寤 [寐] 而累息兮，申佩离以自思，陈女图以镜监兮，顾女史而问诗。		《汉书》__汉
46	时，数有灾异，丞相司直何武上封事曰：“虞有宫之奇，晋献不 [寐] ；卫青在位，淮南寝谋。		《汉书》__汉
47	读军书倦，因凭几 [寐] ，不复就枕矣。		《汉书》__汉
48	今朕获奉宗庙，夙兴以求，夜 [寐] 以思，若涉渊水，未知所济。		《汉书》__汉
49	向为人简易无威仪，廉靖乐道，不交接世俗，专积思于经术，昼诵书传，夜观星宿，或不 [寐] 达旦。		《汉书》__汉
50	’”王揖而入，馈不食，寝不 [寐] ，数日，不能自克，以及于难。		《左传》__春秋战国
51	虽然，夜半有力者负而趋， [寐] 者不		《淮南子》__汉
52	是故其 [寐] 不梦，其觉不忧。		《淮南子》__汉
53	魂茕茕与神交兮，精诚发于宵 [寐] ，梦登山而迥眺兮，觌幽人之仿佛，揽葛EB65而授余兮，眷峻谷曰勿隧。		《汉书》__汉
