语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：寝
2022/7/10 23:05:00

序号	语句	书名	朝代
1	优施出，里克辟奠，不飧而 [寝] 。		《国语》__春秋战国
2	宣公夏滥于泗渊，里革断其罟而弃之，曰：“古者大寒降，土蛰发，水虞于是乎讲☆☆，取名鱼，登川禽，而尝之 [寝] 庙，行诸国，助宣气也。		《国语》__春秋战国
3	昼 [寝] 。		《吕氏春秋》__春秋战国
4	 [寝] 则坐而将命。		《礼记》__春秋战国
5	天子及诸侯合民事于外朝，合神事于内朝；自卿以下，合官职于外朝，合家事于内朝； [寝] 门之内，妇人治其业焉。		《国语》__春秋战国
6	公父文伯之母如季氏，康子在其朝，与之言，弗应，从之及 [寝] 门，弗应而入。		《国语》__春秋战国
7	 [寝] 东首于北牖下。		《礼记》__春秋战国
8	君夫人卒于路 [寝] ，大夫世妇卒于适 [寝] ，内子未命，则死于下室，迁尸 于 [寝] ，士之妻皆死于 [寝] 。		《礼记》__春秋战国
9	晋襄公使人於周曰：“弊邑寡君 [寝] 疾，卜以守龟，曰：‘三涂为祟。		《吕氏春秋》__春秋战国
10	大夫于君命，迎于 [寝] 门外，使者升堂致命，主人拜于下；士于大夫亲吊则 与之哭，不逆于门外。		《礼记》__春秋战国
11	妇人迎客送客不下堂，下堂 不哭；男子出 [寝] 门见人不哭。		《礼记》__春秋战国
12	其无女主，则男主拜女宾于 [寝] 门内；其无男主，则 女主拜男宾于阼阶下。		《礼记》__春秋战国
13	子、大夫 [寝] 门之外杖、  [寝] 门之内辑之；夫人世妇在其次则杖，即位则使人执之。		《礼记》__春秋战国
14	父母之丧，居倚庐、不涂， [寝] 苫枕＿，非丧事不言。		《礼记》__春秋战国
15	礻覃而从御，吉祭而 复 [寝] 。		《礼记》__春秋战国
16	不 [寝] 苫。		《礼记》__春秋战国
17	斩衰苴杖，居倚庐，食粥， [寝] 苫枕块，所以为至痛饰也。		《礼记》__春秋战国
18	孺子蚤 [寝] 晏起，唯所欲，食无时。		《礼记》__春秋战国
19	外内不共井，不共氵浴，不通 [寝] 席，不通乞假。		《礼记》__春秋战国
20	二国行之，兵则少 [寝] 。		《商君书》__春秋战国
21	五十异长，六十宿肉，七十贰膳，八十常珍，九十 饮食不违 [寝] ，膳饮从于游可也。		《礼记》__春秋战国
22	曾子曰：“孝子之养老也，乐其心不违其志，乐其耳目，安其 [寝] 处，以其饮 食忠养之，孝子之身终，终身也者，非终父母之身，终其身也。		《礼记》__春秋战国
23	昔者韩昭候醉而 [寝] ，典冠者见君之寒也，故加衣于君之上，觉 [寝] 而说，问左右曰：“谁加衣者？”		《韩非子》__春秋战国
24	三日，卜士负之，吉者宿齐朝服  [寝] 门外，诗负之，射人以桑弧蓬矢六，射天地四方，保受乃负之，宰醴负子，赐 之束帛，卜士之妻，大夫之妾，使食子。		《礼记》__春秋战国
25	子师辩告诸妇诸母名， 妻遂适 [寝] 。		《礼记》__春秋战国
26	适子庶子见于外 [寝] ，抚其首咳而名之，礼帅初，无辞。		《礼记》__春秋战国
27	子生三月之末，漱浣夙齐，见于内 [寝] ， 礼之如始入室，君已食，彻焉，使之特，遂入御。		《礼记》__春秋战国
28	桓公渴馁而死南门之 [寝] 、公守之室，身死三月不收，虫出于户。		《韩非子》__春秋战国
29	于是放万机，舍宫 [寝] ，去直待，彻钟县。		《列子》__春秋战国
30	昼 [寝] 而梦，游于华胥氏 之国。		《列子》__春秋战国
31	乘空如履实， [寝] 虚若处床。		《列子》__春秋战国
32	故游吾园者，不思高林旷泽； [寝] 吾庭者，不愿深山幽谷，理使然也。”		《列子》__春秋战国
33	君居其君之 [寝] ，而妻其君之妻；大夫居其大夫之 [寝] ，而妻其大夫之妻。		《榖梁传》__春秋战国
34	壬申，公薨于高 [寝] 。		《榖梁传》__春秋战国
35	高 [寝] ，非正也。		《榖梁传》__春秋战国
36	言念君子，载 [寝] 载兴。		《诗经》__周
37	楚越之间有 [寝] 丘者，此地不利而名甚恶。		《列子》__春秋战国
38	子辞而不受，请 [寝] 丘。		《列子》__春秋战国
39	今行者见大树，必解衣悬冠倚剑而 [寝] 其下。		《吕氏春秋》__春秋战国
40	己丑，公薨于路 [寝] 。		《榖梁传》__春秋战国
41	路 [寝] ，正也。		《榖梁传》__春秋战国
42	高子闻子以告中 [寝] 诸子，		《管子》__春秋战国
43	推路 [寝] 以居之，引三牲以进之，选女乐以娱之。		《列子》__春秋战国
44	藉带而  [寝] 则梦蛇；飞鸟衔发则梦飞。		《列子》__春秋战国
45	古之真人，其觉自忘，其 [寝] 不梦，几虚语 哉？”		《列子》__春秋战国
46	谷贾杆倍农夫夜 [寝] 蚤起力作而无止士半禄而死君不待见使，		《管子》__春秋战国
47	哭父之党于 庙，母妻之党于 [寝] ，师于庙门外，朋友于 [寝] 门外，所识于野张帷。		《礼记》__春秋战国
48	父母之丧，居倚庐， [寝] 苫枕块，不说带；齐衰之丧，屋垩室，{艹下}翦不 纳；大功之丧， [寝] 有席；小功缌麻，床可也。		《礼记》__春秋战国
49	父母之丧，既虞卒哭，柱楣翦屏，{艹下}翦不纳；期而小祥，居垩室， [寝] 有 席；又期而大祥，居复 [寝] ；中月而衤覃，衤覃而床。		《礼记》__春秋战国
50	子贡茫然自失，归 家淫思七日，不 [寝] 不食，以至骨立。		《列子》__春秋战国
51	反，执爵于太 [寝] ，三公、九卿、诸侯、大夫皆御，命曰“劳酒。”		《吕氏春秋》__春秋战国
52	 [寝] 庙必备。		《吕氏春秋》__春秋战国
53	天子乃献羔开冰，先荐 [寝] 庙。		《吕氏春秋》__春秋战国
54	必有 [寝] 衣，长一身有半。		《论语》__春秋战国
55	食不语， [寝] 不言。		《论语》__春秋战国
56	下莞上簟，乃安斯 [寝] 。		《诗经》__周
57	乃 [寝] 乃兴，乃占我梦。		《诗经》__周
58	乃生男子，载 [寝] 之床。		《诗经》__周
59	乃生女子，载 [寝] 之地。		《诗经》__周
60	 [寝] 不尸，居不容。		《论语》__春秋战国
61	或降于阿，或饮于池，或 [寝] 或讹。		《诗经》__周
62	荐鲔于 [寝] 庙，乃为麦祈实。		《吕氏春秋》__春秋战国
63	奕奕 [寝] 庙，君子作之。		《诗经》__周
64	宰予昼 [寝] 。		《论语》__春秋战国
65	天子乃以彘尝麦，先荐 [寝] 庙。		《吕氏春秋》__春秋战国
66	是月也，天子以雏尝黍，羞以含桃，先荐 [寝] 庙。		《吕氏春秋》__春秋战国
67	鱓乃偃 [寝] ，以其尾鼓其腹，其音英英。		《吕氏春秋》__春秋战国
68	灵公虐，赵宣子骤谏，公患之，使☆☆贼之，晨往，则 [寝] 门辟矣，盛服将朝，早而假寐。		《国语》__春秋战国
