语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：察
2022/7/10 22:54:28

序号	语句	书名	朝代
1	公曰：“余听狱虽不能 [察] ，必以情断之。”		《国语》__春秋战国
2	然一有之而不能 [察] ，则欲动情胜，而其用之所行，或不能不失其正矣。		《大学中庸》__春秋战国
3	心有不存，则无以检其身，是以君子必 [察] 乎此而敬以直之，然后此心常存而身无不修也。		《大学中庸》__春秋战国
4	然或但知诚意，而不能密 [察] 此心之存否，则又无以直内而修身也。		《大学中庸》__春秋战国
5	 [察] 乘物之理，则四极可有。		《吕氏春秋》__春秋战国
6	故按其实而审其名，以求其情；听其言而 [察] 其类，无使方悖。		《吕氏春秋》__春秋战国
7	而将不可不 [察] 者此也。		《墨子》__春秋战国
8	子未 [察] 吾言之类未明其故者也。		《墨子》__春秋战国
9	故博闻之人、强识之士阙矣，事耳目、深思虑之务败矣，坚白之 [察] 、无厚之辩外矣。		《吕氏春秋》__春秋战国
10	有土之君，能 [察] 此言也，则灾无由至矣。		《吕氏春秋》__春秋战国
11	故君人者，不可不 [察] 此言也。		《吕氏春秋》__春秋战国
12	孟献子曰：“畜马乘不 [察] 于鸡豚，伐冰之家不畜牛羊，百乘之家不畜聚敛之臣，与其有聚敛之臣，宁有盗臣。”		《大学中庸》__春秋战国
13	故不 [察] 尚贤为政之本也。		《墨子》__春秋战国
14	故小大、轻重、少多、治乱，不可不 [察] ，此祸福之门也。		《吕氏春秋》__春秋战国
15	君子 [察] 迩而迩修者也。		《墨子》__春秋战国
16	 [察] 天子之所以治天下者。		《墨子》__春秋战国
17	 [察] 乡长之所以治乡者。		《墨子》__春秋战国
18	“令夫商，群萃而州处， [察] 其四时，而监其乡之资，以知其市之贾，负、任、担、荷，服亲、轺马，以周四方，以其所有，易其所无，市贱鬻贵，旦暮从事于此，以饬其子弟，相语以利，相示以赖，相陈以知贾。		《国语》__春秋战国
19	 [察] 国之所以治者何也。		《墨子》__春秋战国
20	 [察] 天下之所以治者何世。		《墨子》__春秋战国
21	“令夫农，群萃而州处， [察] 其四时，权节其用，耒、耜、☆、芟，及寒，击☆除田，以待时耕；及耕，深改良而疾☆之，以待时雨。		《国语》__春秋战国
22	孟献子曰：“畜马乘不 [察] 于鸡豚，伐冰之家不畜牛羊，百乘之家不畜聚敛之臣，与其有		《大学中庸》__春秋战国
23	当若尚同之不可不 [察] 。		《墨子》__春秋战国
24	故不 [察] 尚贤为政之本也。		《墨子》__春秋战国
25	昭王有非其有，田诎不 [察] 。		《吕氏春秋》__春秋战国
26	胡不 [察] 尚贤为政之本也。		《墨子》__春秋战国
27	循所闻而得其意心之 [察] 也。		《墨子》__春秋战国
