语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：寡
2023/1/20 15:17:32

序号	语句	书名	朝代
1	 [寡] 人闻之，立太子之道三：身钧以年，年同以爱，爱疑决之以卜、筮。		《国语》__春秋战国
2	桓公择是 [寡] 功者而谪之，曰：“制地、分民如一，何故独 [寡] 功？		《国语》__春秋战国
3	公曰：“ [寡] 人有子而制焉，非子之忧也。”		《国语》__春秋战国
4	桓公问曰：“夫军令则寄诸内政矣，七国 [寡] 甲兵，为之若何？”		《国语》__春秋战国
5	乃使梁由靡告于秦穆公曰：“天降祸于晋国，谗言繁兴，延及 [寡] 君之绍续昆裔，隐悼播越，托在草莽，未有所依。		《国语》__春秋战国
6	又重之以 [寡] 君之不禄，丧乱并臻。		《国语》__春秋战国
7	乃使公子絷吊公子重耳于狄，曰：“ [寡] 君使絷☆公子之忧，又重之以丧。		《国语》__春秋战国
8	 [寡] 人闻之，得国常于丧，失国常于丧。		《国语》__春秋战国
9	尹文见齐王，齐王谓尹文曰： “ [寡] 人甚好士。”		《吕氏春秋》__春秋战国
10	大夫见侮而不斗，则是辱也，辱则 [寡] 人弗以为臣矣。”		《吕氏春秋》__春秋战国
11	王曰：“使 [寡] 人治信若是，则民虽不治， [寡] 人弗怨也。		《吕氏春秋》__春秋战国
12	杜原款将死，使小臣圉告于申生，曰：“款也不才， [寡] 智不敏，不能教导，以至于死。		《国语》__春秋战国
13	人民 [寡] 则从事乎众之。		《墨子》__春秋战国
14	是故盗贼众而治者 [寡] 。		《墨子》__春秋战国
15	是事上帝鬼神者 [寡] 也。		《墨子》__春秋战国
16	故至神逍遥倏忽，而不见其容；至圣变习移俗，而莫知其所从；离世别群，而无不同；君民孤 [寡] ，而不可障壅。		《吕氏春秋》__春秋战国
17	实可以富贫众 [寡] 定危治乱乎。		《墨子》__春秋战国
18	实不可以富贫众 [寡] 定危理乱乎。		《墨子》__春秋战国
19	公曰：“ [寡] 人实贪，非子之罪。”		《国语》__春秋战国
20	生财有大道，生之者众，食之者 [寡] ，为之者疾，用之者舒，则财恒足矣。		《大学中庸》__春秋战国
21	吕氏曰：“国无游民，则生者众矣；朝无幸位，则食者 [寡] 矣；不夺农时，则为之疾矣；量入为出，则用之舒矣。		《大学中庸》__春秋战国
22	此然杀人多必数于万 [寡] 必数于千。		《墨子》__春秋战国
23	对曰：“ [寡] 君使豹来继先君之好，君以诸侯之故，贶使臣以大礼。		《国语》__春秋战国
24	展禽使乙喜以膏沐犒师，曰：“ [寡] 君不佞，不能事疆埸之司，使君盛怒，以暴露于弊邑之野，敢犒舆师。”		《国语》__春秋战国
25	岂唯 [寡] 君与二三臣实受君赐，其周公、太公及百辟神祗实永飨而赖之！”		《国语》__春秋战国
26	是以天下之男多 [寡] 无妻。		《墨子》__春秋战国
27	君实欲民之众而恶其 [寡] 。		《墨子》__春秋战国
28	罔曰弗克，惟既厥心；罔曰民 [寡] ，惟慎厥事。		《尚书》__周
29	以大使小，以重使轻，以众使 [寡] ，此王者之所以家以完也。		《吕氏春秋》__春秋战国
30	于是乎有鳏 [寡] 孤疾，有军旅之出则征之，无则已。		《国语》__春秋战国
31	允蠢，鳏 [寡] 哀哉！		《尚书》__周
32	桓公曰：“夫管夷吾射 [寡] 人中钩，是以滨于死。”		《国语》__春秋战国
33	田骈以道术说齐，齐王应之曰：“ [寡] 人所有者，齐国也，愿闻齐国之政。”		《吕氏春秋》__春秋战国
34	鲍子对曰：“使人请诸鲁，曰：‘ [寡] 君有不令之臣在君之国，欲以戮之于群臣，故请之。		《国语》__春秋战国
35	庄公将杀管仲，齐使者请曰：“ [寡] 君欲亲以为戮，若不生得以戮于群臣，犹未得请也。		《国语》__春秋战国
36	生财有大道，生之者众，食之者 [寡] ，为之者疾，用之者舒，则财恒足矣。		《大学中庸》__春秋战国
37	孔思请行，鲁君曰：“天下主亦犹 [寡] 人也，将焉之？”		《吕氏春秋》__春秋战国
38	魏王惭曰： “固非 [寡] 人之志也，客请勿复言。”		《吕氏春秋》__春秋战国
39	魏昭王问於田诎曰：“ [寡] 人之在东宫之时，闻先生之议曰：‘为圣易。		《吕氏春秋》__春秋战国
40	赵惠王谓公孙龙曰：“ [寡] 人事偃兵十馀年矣，而不成，兵不可偃乎？”		《吕氏春秋》__春秋战国
41	今我， [寡] 也，尔又在下位，朝夕处事，犹恐忘先人之业。		《国语》__春秋战国
42	诽之可否不以众 [寡] 说在可非。		《墨子》__春秋战国
43	’ [寡] 人请死，余何面目以视于天下乎！”		《国语》__春秋战国
