语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：将
2022/11/4 21:57:43

序号	语句	书名	朝代
1	公孙黑晓得要看女婿，便浓妆艳服而来，又自卖弄富贵， [将] 那金银彩缎，排列一厅。		《初刻拍案惊奇》__元明
2	出场来， [将] 考卷誉写出来，请教了几个先达、几个朋友，无不叹赏。		《初刻拍案惊奇》__元明
3	只见背后一个人， [将] 子文忙忙的扯一把。		《初刻拍案惊奇》__元明
4	子文又寻个算命先生合一合婚，说道：“果是大吉，只是 [将] 婚之前，有些闲气。”		《初刻拍案惊奇》__元明
5	到期，子文 [将] 所积束修五十余金，粗粗的置几件衣服首饰，其余的都是现银，写着：“奉申纳市之敬，子婿韩师愈顿首百拜。”		《初刻拍案惊奇》__元明
6	果然依了子文之言， [将] 女儿的青丝细发，剪了一镂送来。		《初刻拍案惊奇》__元明
7	金朝奉道：“计 [将] 安出？”		《初刻拍案惊奇》__元明
8	告状人程元，为赖婚事，万恶金声，先年曾 [将] 亲女金氏许元子程寿为妻，六礼已备。		《初刻拍案惊奇》__元明
9	太守见他说得有些根据，就 [将] 状子当堂批准。		《初刻拍案惊奇》__元明
10	当初在下在徽州的时节，妻弟有个儿子，已 [将] 小女许嫁他，后来到贵府，正值点绣女事急，只为远水不救近火，急切里 [将] 来许了贵相知，原是二公为媒说合的。		《初刻拍案惊奇》__元明
11	不想如今妻弟到来，已 [将] 在下的姓名告在府间，如何处置？”		《初刻拍案惊奇》__元明
12	张、李二人便 [将] 上项的言语说了一遍。		《初刻拍案惊奇》__元明
13	当时就取过天平， [将] 两个元宝共兑了一百两之数，交与张、李二人收着，就要子文写退婚书，兼讨前日婚约、头发。		《初刻拍案惊奇》__元明
14	这都只为韩生贫穷，便起不良之心，要 [将] 女儿改适内侄。		《初刻拍案惊奇》__元明
15	判毕，便 [将] 吉帖、婚书、头发一齐付了韩子文。		《初刻拍案惊奇》__元明
16	韩子文经过了一番风波，恐怕又有甚么变卦，便疾忙 [将] 这一百两银子，备了些催装速嫁之类，择个吉日，就要成亲。		《初刻拍案惊奇》__元明
17	蒙正当年也困穷，休 [将] 肉眼看英雄！		《初刻拍案惊奇》__元明
18	只见十余个强人， [将] 红朱黑墨搽了脸，一拥的打 [将] 入来。		《初刻拍案惊奇》__元明
19	蒋氏却在床下，看得亲切，战抖抖的走 [将] 出来，穿了衣服，向丈夫尸首嚎啕大哭。		《初刻拍案惊奇》__元明
20	你 [将] 二三百两与我，待我往南京走走，寻个机会，定要设法出来。”		《初刻拍案惊奇》__元明
21	饮至更深时分，老人屏去众人，便 [将] 百两银子托出，献与徐公。		《初刻拍案惊奇》__元明
22	前边说的人命是 [将] 真作假的了，如今再说一个 [将] 假作真的。		《初刻拍案惊奇》__元明
23	走近前来，连打了几拳，一手推 [将] 去。		《初刻拍案惊奇》__元明
24	连忙喝叫扶进厅来眠了， [将] 茶汤灌 [将] 下去，不逾时苏醒转来。		《初刻拍案惊奇》__元明
25	若是王生有未卜先知的法术，慌忙向前拦腰抱住，扯 [将] 转来，就养他在家半年两个月，也是情愿，不到得惹出飞来横祸。		《初刻拍案惊奇》__元明
26	 [将] 次危了，告诉我道被相公打坏了。		《初刻拍案惊奇》__元明
27	只是买求船家，要他乘此暮夜 [将] 尸首设法过了，方可无事。”		《初刻拍案惊奇》__元明
28	王生便 [将] 碎银一包约有二十多两袖在手中，出来对船家说道：“家长不要声张，我与你从长计议。		《初刻拍案惊奇》__元明
29	王生 [将] 手中之物出来与他，船家嫌少道：“一条人命，难道只值得这些些银子？		《初刻拍案惊奇》__元明
30	王生只要完事，不敢违拗，点点头，进去了一会， [将] 着些现银及衣裳首饰之类，取出来递与周四道：“这些东西，约莫有六十金了。		《初刻拍案惊奇》__元明
31	拣一块空地，掘开泥土， [将] 尸首埋藏已毕，又一同上船回家里来。		《初刻拍案惊奇》__元明
32	当日既然买嘱船家， [将] 尸首载到坟上，只该聚起干柴，一把火焚了，无影无踪，却不干净？		《初刻拍案惊奇》__元明
33	王生便与刘氏说知，写下请帖，连夜唤 [将] 胡阿虎来，分付道：“你可五鼓动身，拿此请帖去请冯先生早来看痘。		《初刻拍案惊奇》__元明
34	王生闻得此言，一发怒从心上起，恶向胆边生，连忙教家僮扯 [将] 下去，一气打了五十多板，方才住手，自进去了。		《初刻拍案惊奇》__元明
35	不值得 [将] 我这般毒打。		《初刻拍案惊奇》__元明
