语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：少
2022/7/10 23:00:15

序号	语句	书名	朝代
1	若曲礼、 [少] 仪、内则、弟子职诸篇，固小学之支流余裔，而此篇者，则因小学之成功，以着大学之明法，外有以极其规模之大，而内有以尽其节目之详者也。		《大学中庸》__春秋战国
2	不如曰不信以疏之，亦固太子以携之，多为之故，以变其志，志 [少] 疏，乃可  也。		《国语》__春秋战国
3	伯姬之舍失火，左右曰：“夫人 [少] 辟火乎？”		《榖梁传》__春秋战国
4	左右又曰：“夫人 [少] 辟火乎？”		《榖梁传》__春秋战国
5	人与人相畴，家与家相畴，世同居， [少] 同游。		《国语》__春秋战国
6	荀息曰：“宫之奇之为人也，达心而懦，又 [少] 长于君，达心则其言略，懦则不能强谏， [少] 长于君则君轻之。		《榖梁传》__春秋战国
7	不知乘物，而自怙恃，夺其智能，多其教诏，而好自以，若此则百官恫扰， [少] 长相越，万邪并起。		《吕氏春秋》__春秋战国
8	夷吾之 [少] 也，不好弄戏，不过所复，怒不及色，及其长也弗改。		《国语》__春秋战国
9	诸以众强凌弱 [少] 及强奸人妇女。		《墨子》__春秋战国
10	夭夭， [少] 好貌。		《大学中庸》__春秋战国
11	其出弥远者，其知弥 [少] 。		《吕氏春秋》__春秋战国
12	苦成氏有三亡： [少] 德而多宠，位下而欲上政，无大功而欲大禄，皆怨府也。		《国语》__春秋战国
13	其容体比于礼， 其节比于乐，而中多者，得与于祭，其容体不比于礼，其节不比于乐，而中 [少] 者， 不得与于祭。		《礼记》__春秋战国
14	古之王者，其所为 [少] ，其所因多。		《吕氏春秋》__春秋战国
15	 [少] 仪第十七 (注疏本P1510 白文本P 816)		《礼记》__春秋战国
16	若曲礼、 [少] 仪、内		《大学中庸》__春秋战国
17	今圣有乐而 [少] 此亦无也。		《墨子》__春秋战国
18	若 [少] 安，恐无及也。”		《国语》__春秋战国
19	故小大、轻重、 [少] 多、治乱，不可不察，此祸福之门也。		《吕氏春秋》__春秋战国
20	非不能大也，其大不若小，其多不若 [少] 。		《吕氏春秋》__春秋战国
21	多实尊势，贤士制之，以遇乱世，王犹尚 [少] 。		《吕氏春秋》__春秋战国
22	有知小之愈於大、 [少] 之贤於多者，则知无敌矣。		《吕氏春秋》__春秋战国
23	其礼，大牢则以牛左肩臂折九个， [少] 牢则以羊左肩七个，直 豕则以豕左肩五个。		《礼记》__春秋战国
24	 [少] 而习焉，其心安焉，不见异物而迁焉。		《国语》__春秋战国
25	 [少] 而习焉，其心安焉，不见矣物而迁焉。		《国语》__春秋战国
26	 [少] 而习焉，其心安焉，不见异物而迁焉。		《国语》__春秋战国
27	 [少] 而习焉，其心安焉，不见异物而迁焉。		《国语》__春秋战国
28	世，变主 [少] 群臣相疑，黔首不定，属之子乎，属之我乎？”		《吕氏春秋》__春秋战国
29	吴起默然不对， [少] 选，曰： “与子。”		《吕氏春秋》__春秋战国
30	田多邑 [少] 称田，邑多田 [少] 称邑。		《公羊传》__春秋战国
31	是故天子大采朝日，与三公、九卿祖识地德；日中考政，与百官之政事，师尹维旅、牧、相宣序民事； [少] 采夕月，与大史、司载纠虔天刑；日入监九御，使洁风☆、郊之粢盛，而后即安。		《国语》__春秋战国
32	今夫差衣水犀之甲者亿有三千，不患其志行之 [少] 耻也，而患其众之不足也。		《国语》__春秋战国
33	鉴位景一 [少] 而易一大而击说。		《墨子》__春秋战国
34	句践既许之，乃致其众而誓之曰：“寡人闻古之贤君，不患其众之不足也，而患其志行之 [少] 耻也。		《国语》__春秋战国
35	则亲者多而疏者 [少] 矣。		《墨子》__春秋战国
36	吾年既 [少] ，未有恒常，出则禽荒，入则酒荒。		《国语》__春秋战国
37	数故战胜而不报，取地而不反，兵胜于外，福生于内，用力甚 [少] 而名声章明，种亦不如蠡也。”		《国语》__春秋战国
38	孔穿不应， [少] 选，辞而出。		《吕氏春秋》__春秋战国
39	厥诰毖庶邦庶士越 [少] 正御事，朝夕曰：‘祀兹酒。		《尚书》__周
40	董褐将还，王称左畸曰：“摄 [少] 司马兹与王士五人，坐于王前。”		《国语》__春秋战国
41	今公行，多者数百乘，步者数百人； [少] 者数十乘，步者数十人。		《吕氏春秋》__春秋战国
42	兑泽在上，离火在下，火然则水干，水决则火灭，中、 [少] 		《周易》__周
43	二女，合为一卦，而 [少] 上、中下，志不相得，故其卦为革也。		《周易》__周
44	七曰：白圭谓魏王曰：“市丘之鼎以烹鸡，多洎之则淡而不可食， [少] 洎之则焦而不熟，然而视之蝺焉美，无所可用。		《吕氏春秋》__春秋战国
45	白圭之论自悖，其 [少] 魏王大甚。		《吕氏春秋》__春秋战国
46	朝廷之吏， [少] 者不毁也，多者不损也，效功而取官爵，虽有辩言，不能以相先也，此谓以数治。		《商君书》__春秋战国
47	司马子反曰：“楚众我 [少] ，鼓险而击之，胜无幸焉。”		《榖梁传》__春秋战国
48	任功，则民 [少] 言；任善，则民多言。		《商君书》__春秋战国
49	子反曰：“楚众我 [少] ，击之，胜无幸焉。”		《榖梁传》__春秋战国
50	倍则攻，敌则战， [少] 则守。		《榖梁传》__春秋战国
51	孔子对曰：丘 [少] 居鲁，衣逢掖之 衣；长居宋，冠章甫之冠。		《礼记》__春秋战国
