语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：尚
2022/7/10 23:08:56

序号	语句	书名	朝代
1	今尔 [尚] 宅尔宅，畋尔田，尔曷不惠王熙天之命？		《尚书》__周
2	尔 [尚] 不忌于凶德，亦则以穆穆在乃位，克阅于乃邑谋介。		《尚书》__周
3	尔乃自时洛邑， [尚] 永力畋尔田，天惟畀矜尔，我有周惟其大介赉尔，迪简在王庭。		《尚书》__周
4	 [尚] 尔事，有服在大僚。”		《尚书》__周
5	尔众士同力王室， [尚] 弼予钦承天子威命。		《尚书》__周
6	六四，以柔正居暗地而 [尚] 浅，故犹可以得意于远去。		《周易》__周
7	是以其占不可大事，而小事 [尚] 有吉之道也。		《周易》__周
8	尔 [尚] 一乃心力，其克有勋。”		《尚书》__周
9	若 [尚] 有所往，则宜早		《周易》__周
10	唯能以 [尚] 同一义为政故也。		《墨子》__春秋战国
11	《象》曰：“已事遄往”， [尚] 合志也。		《周易》__周
12	 [尚] 、上通。		《周易》__周
13	人之有技，若己有之，人之彦圣，其心好之，不啻若自其口出，寔能容之，以能保我子孙黎民， [尚] 亦有利哉。		《大学中庸》__春秋战国
14	唯以 [尚] 同一义为政故也。		《墨子》__春秋战国
15	 [尚] ，庶几也。		《大学中庸》__春秋战国
16	大桡作甲子，黔如作虏首，容成作历，羲和作占日， [尚] 仪作占月，后益作占岁，胡曹作衣，夷羿作弓，祝融作市，仪狄作酒，高元作室，虞姁作舟，伯益作井，赤冀作臼，乘雅作驾，寒哀作御，王冰作服牛，史皇作图，巫彭作医，巫咸作筮。		《吕氏春秋》__春秋战国
17	故不察 [尚] 贤为政之本也。		《墨子》__春秋战国
18	何以知 [尚] 贤之为政本也。		《墨子》__春秋战国
19	是以知 [尚] 贤之为政体也。		《墨子》__春秋战国
20	 [尚] 欲祖述尧舜禹汤之道。		《墨子》__春秋战国
21	相与合力，然亦 [尚] 有危厉，不可安肆。		《周易》__周
22	又，当先治其私，而不可专 [尚] 威武，则利有所往也。		《周易》__周
23	中山 [尚] 染于魏义偃长。		《墨子》__春秋战国
24	不能以 [尚] 贤事能为政也。		《墨子》__春秋战国
25	伊尹、吕 [尚] 、管夷吾、百里奚，此霸王者之船骥也。		《吕氏春秋》__春秋战国
26	告自邑，不利即戎”，所 [尚] 乃穷也。“		《周易》__周
27	故小臣、吕 [尚] 听，而天下知殷、周之王也；管夷吾、百里奚听，而天下知齐、秦之霸也。		《吕氏春秋》__春秋战国
28	政贵有恒，辞 [尚] 体要，不惟好异。		《尚书》__周
29	笏、 书、修、苞苴、弓、茵、席、枕、几、、杖、琴、瑟、戈有刃者椟、荚、， 其执之皆 [尚] 左手。		《礼记》__春秋战国
30	军 [尚] 左，卒 [尚] 右。		《礼记》__春秋战国
31	多实尊势，贤士制之，以遇乱世，王犹 [尚] 少。		《吕氏春秋》__春秋战国
32	是以天下治夫既 [尚] 同乎天子。		《墨子》__春秋战国
33	以将罚下人之不 [尚] 同乎天者也。		《墨子》__春秋战国
34	唯能以 [尚] 同一义为政然后可矣。		《墨子》__春秋战国
35	之，人之彦圣，其心好之，不啻若自其口出，寔能容之，以能保我子孙黎民， [尚] 亦有利哉。		《大学中庸》__春秋战国
36	何以知 [尚] 同一义之治而为政于天下也。		《墨子》__春秋战国
37	当若 [尚] 同之不可不察。		《墨子》__春秋战国
38	唯能审以 [尚] 贤使能为政。		《墨子》__春秋战国
39	明乎以 [尚] 贤使能为政。		《墨子》__春秋战国
40	以审以 [尚] 贤使能为政。		《墨子》__春秋战国
41	且以 [尚] 贤为政之本者。		《墨子》__春秋战国
42	故不察 [尚] 贤为政之本也。		《墨子》__春秋战国
43	刑法之治也然而不识以 [尚] 贤为政其国家百姓。		《墨子》__春秋战国
44	本失 [尚] 贤为政之本也。		《墨子》__春秋战国
45	本失 [尚] 贤为政之本也。		《墨子》__春秋战国
46	则此方圣之不失以 [尚] 贤使能为政也。		《墨子》__春秋战国
47	示知以 [尚] 贤使能为政也。		《墨子》__春秋战国
48	尔乃 [尚] 有尔土，尔用 [尚] 宁干止，尔克敬，天惟畀矜尔；尔不克敬，尔不啻不有尔土，予亦致天之罚于尔躬！		《尚书》__周
49	不明乎以 [尚] 贤使能为政也。		《墨子》__春秋战国
50	故以 [尚] 贤使能为政而治者。		《墨子》__春秋战国
51	胡不察 [尚] 贤为政之本也。		《墨子》__春秋战国
52	今惟毋以 [尚] 贤为政其国家百姓。		《墨子》__春秋战国
53	尔 [尚] 明时朕言，用敬保元子钊弘济于艰难，柔远能迩，安劝小大庶邦。		《尚书》__周
54	子胡不 [尚] 考之乎商周虞夏之记。		《墨子》__春秋战国
55	以当务晦默，不可 [尚] 口，益取困穷。		《周易》__周
56	有言不信”， [尚] 口乃穷也。		《周易》__周
57	今其祸新民恐，其君臣上下，皆知其资财之不足以支长久也，必彼将同其力，致其死，犹 [尚] 殆。		《国语》__春秋战国
58	故人曰： “子 [尚] 可以见人乎？”		《吕氏春秋》__春秋战国
59	子墨子游公 [尚] 过于越。		《墨子》__春秋战国
60	丕惟曰尔克永观省，作稽中德，尔 [尚] 克羞馈祀。		《尚书》__周
61	遂为公 [尚] 过东车五十乘。		《墨子》__春秋战国
62	王曰：“封，我西土棐徂，邦君御事小子 [尚] 克用文王教，不腆于酒，故我至于今，克受殷之命。”		《尚书》__周
63	’ [尚] 式时周公之猷训，惟日孜孜，无敢逸豫。		《尚书》__周
64	今惠子之遇我 [尚] 新，其说我有大甚者。”		《吕氏春秋》__春秋战国
65	白圭曰：惠子之遇我 [尚] 新，其说我有大甚者。		《吕氏春秋》__春秋战国
66	惟文王 [尚] 克修和我有夏；亦惟有若虢叔，有若闳夭，有若散宜生，有若泰颠，有若南宫括。”		《尚书》__周
67	武王惟兹四人 [尚] 迪有禄。		《尚书》__周
68	尔 [尚] 盖前人之愆，惟忠惟孝；尔乃迈迹自身，克勤无怠，以垂宪乃后；率乃祖文王之遗训，无若尔考之违王命。		《尚书》__周
69	孟卬令秦得其所欲，秦亦令孟卬得其所欲，责以偿矣， [尚] 有何责？		《吕氏春秋》__春秋战国
70	儒有上不臣天子，下不事诸侯；慎静而 [尚] 宽，强毅以与人，博学以知服；近 文章，砥厉廉隅；虽分国如锱铢，不臣不仕。		《礼记》__春秋战国
