语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：居
2022/7/10 23:08:10

序号	语句	书名	朝代
1	君行，太子 [居] ，以监国也；君行，太子从，以抚军也。		《国语》__春秋战国
2	今君 [居] ，太子行，未有此也。”		《国语》__春秋战国
3	自契至于成汤八迁，汤始 [居] 亳，従先王 [居] 。		《尚书》__周
4	以刚 [居] 刚，又在明体之上，而屈于至暗之下，正与上六暗		《周易》__周
5	六四，以柔正 [居] 暗地而尚浅，故犹可以得意于远去。		《周易》__周
6	五以柔中 [居] 暗		《周易》__周
7	 [居] 至暗之地，近至暗之君，而能正其志，箕子之象也，贞之至也。		《周易》__周
8	以阴 [居] 坤之极，不明其德以至于晦。		《周易》__周
9	彭蠡既猪，阳鸟攸 [居] 。		《尚书》__周
10	!以刚 [居] 刚而不		《周易》__周
11	止， [居] 也，言物各有所当止之处也。		《大学中庸》__春秋战国
12	阳主义，阴主利，以阴 [居] 阴而在上位，能富其家者也。		《周易》__周
13	《管子·小匡》无“用”字）之，曰：“有人 [居] 我官，有功休德，惟慎端恪以待时，使民以劝，绥谤言，足以补官之不善政。”		《国语》__春秋战国
14	上九以刚 [居] 上，在卦之终，故言正家久远之道。		《周易》__周
15	桓公曰：“定民之 [居] 若何？”		《国语》__春秋战国
16	以卦变言之，则自《离》来者，柔进 [居] 三，自《中孚》来者，柔进 [居] 五，自《家人》来者兼		《周易》__周
17	而 [居] 睽之时，同德相		《周易》__周
18	 [居] 同乐，行同和，死同哀。		《国语》__春秋战国
19	二、五阴阳正应， [居] 睽之时，乖戾不合，必委曲相求而得会遇，乃为无咎，故其		《周易》__周
20	上九正应，而三 [居] 二阳之间，后为二所曳，前为四所掣，而当睽之时，上九猜很方深，故又有髡劓之伤。		《周易》__周
21	!以阴 [居] 阳，悔也。		《周易》__周
22	则往 [居] 五而得中，退则入于艮而不进。		《周易》__周
23	不 [居] 肉袒之体也，故为 之免以代之也”。		《礼记》__春秋战国
24	尹文曰：“今有人於此，事亲则孝，事君则忠，交友则信， [居] 乡则悌。		《吕氏春秋》__春秋战国
25	九五 [居] 尊，而有刚健中正之德，必有朋来而助之者。		《周易》__周
26	国斯无刑，偷 [居] ☆生。		《国语》__春秋战国
27	且其卦自《升》来，三往 [居] 四，		《周易》__周
28	入于坤体，二 [居] 其所，而又得中，故利于西南平易之地。		《周易》__周
29	人与骥俱走，则人不胜骥矣； [居] 於车上而任骥，则骥不胜人矣。		《吕氏春秋》__春秋战国
