语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：属
2022/7/10 23:00:49

序号	语句	书名	朝代
1	弱水既西，泾 [属] 渭汭，漆沮既従，沣水攸同。		《尚书》__周
2	三十家为邑，邑有司；十邑为卒，卒有卒帅；十卒为乡，乡有乡帅；三乡为县，县有县帅；十县为 [属] ， [属] 有大夫。		《国语》__春秋战国
3	五 [属] ，故立五大夫，各使治一 [属] 焉；立五正，各使听一 [属] 焉。		《国语》__春秋战国
4	是故正之政听 [属] ，牧政听县，下政听乡。”		《国语》__春秋战国
5	正月之朔，五 [属] 大夫复事。		《国语》__春秋战国
6	兵车之 [属] 六，乘车之会三，诸侯甲不解缧，兵不解翳，☆无弓，服无矢。		《国语》__春秋战国
7	桓公又问焉，曰：“于子之 [属] ，有拳勇股肱之力秀出于众者，有则以告。		《国语》__春秋战国
8	桓公又问焉，曰：“于子之 [属] ，有不慈孝于父母、不长惕于乡里、骄躁淫暴、不用上令者，有则以告。		《国语》__春秋战国
9	五 [属] 大夫于是退而修 [属] ， [属] 退而修县，县退而修乡，乡退而修卒，卒退而修邑，邑而退而修万。		《国语》__春秋战国
10	桓公又亲问焉，曰：“于子之 [属] ，有居处为义好学、慈孝于父母、聪慧质仁、发闻于乡里者，有则以告。		《国语》__春秋战国
11	司射、庭长，及冠士立者，皆 [属] 宾党； 乐人及使者、童子，皆 [属] 主党。		《礼记》__春秋战国
12	三 [属] 诸侯，存亡国三，以示之施。		《国语》__春秋战国
13	公曰：“吾 [属] 欲美之。”		《国语》__春秋战国
14	 [属] 従者，所従虽没也服。		《礼记》__春秋战国
15	世，变主少群臣相疑，黔首不定， [属] 之子乎， [属] 之我乎？”		《吕氏春秋》__春秋战国
16	大夫种来而复往，曰：“请委管钥 [属] 国家，以身随之，君王制之。”		《国语》__春秋战国
17	 [属] 纩以俟绝气。		《礼记》__春秋战国
18	言者谓之 [属] 也。		《吕氏春秋》__春秋战国
19	阙为深沟，通于商、鲁之间，北 [属] 之沂，西 [属] 之济，以会晋公午于黄池。		《国语》__春秋战国
20	君大棺八寸， [属] 六寸，卑四寸。		《礼记》__春秋战国
21	上大夫大棺八寸， [属] 六寸。		《礼记》__春秋战国
22	下大夫大棺六 寸， [属] 四寸士棺六寸。		《礼记》__春秋战国
23	凡生天地之间者，有血气之 [属] ，必有知，有知之 [属] ，莫不知爱 其类。		《礼记》__春秋战国
24	故有血气之 [属] 者，莫知于人，故人于其亲也，至死不穷。		《礼记》__春秋战国
25	为巧文之言，流行之辞，示之以利势，惧之以患害，施 [属] 虚辞以坏其主，此之谓“流行”。		《韩非子》__春秋战国
26	尔忱不 [属] ，惟胥以沈。		《尚书》__周
27	其象为雷，其 [属] 为长子。		《周易》__周
28	辩说 [属] 辞，饰非诈谋，以钓利于秦，而以韩利规陛下。		《韩非子》__春秋战国
29	我将 [属] 钜子於宋之田襄子。		《吕氏春秋》__春秋战国
30	曰：“今日二主朝而出，见臣而其色动，而视 [属] 臣。		《韩非子》__春秋战国
31	迂者不饰，代者不更，则官 [属] 少而民不劳。		《商君书》__春秋战国
32	太子尊显，徒  [属] 众强，多大国之交，而威势蚤具者，可亡也。		《韩非子》__春秋战国
33	墨罚之 [属] 千。		《尚书》__周
34	故圣人之为国也，入令民以 [属] 农，出令民以计战。		《商君书》__春秋战国
35	劓罚之 [属] 千，剕罚之 [属] 五百，宫罚之 [属] 三百，大辟之罚其 [属] 二百。		《尚书》__周
36	五刑之 [属] 三千。		《尚书》__周
37	诸侯之尊，弟兄不得以 [属] 通。		《榖梁传》__春秋战国
38	 [属] 数虽多，非所尊君也；百官虽具，非所以任国也。		《韩非子》__春秋战国
39	六卿分职，各率其 [属] ，以倡九牧，阜成兆民。		《尚书》__周
40	曰：‘无胥戕，无胥虐，至于敬寡，至于 [属] 妇，合由以容。		《尚书》__周
41	云，至于大病，则寡 人恶乎 [属] 国而可？”		《列子》__春秋战国
42	退而 [属] 其二三大夫曰：“夫人率其君与之行古人之道，二三子独率我而入夷狄之俗，何为？”		《榖梁传》__春秋战国
43	象者，日月星辰之 [属] 。		《周易》__周
44	形者，山川动植之 [属] 。		《周易》__周
45	盖凡物之 [属] 乎阴阳者，莫不如		《周易》__周
46	投隙抵时，应事无方， [属] 乎智。		《列子》__春秋战国
47	尽杀崔杼之妻子及枝 [属] ，烧其室屋，报崔杼曰：“吾已诛之矣。”		《吕氏春秋》__春秋战国
48	庆封以其 [属] 斗，不胜，走如鲁。		《吕氏春秋》__春秋战国
49	身为戮，支 [属] 不可以见，行忮之故也。		《吕氏春秋》__春秋战国
50	宋元召而使见其技，以双枝长倍其身， [属] 其胫， 并趋并驰，弄七剑，迭而跃之，五剑常在空中。		《列子》__春秋战国
51	公孙鞅以其私 [属] 与母归魏，襄疵不受，曰：“以君之反公子卬也，吾无道知君。”		《吕氏春秋》__春秋战国
52	或曰：上章以知 [属] 乎天，		《周易》__周
53	仁 [属] 乎地，与此不同，何也？		《周易》__周
54	数知来之谓占，通变之谓事，占，筮也，事之未定者， [属] 乎阳也。		《周易》__周
55	事，行事也，占之已决者， [属] 乎阴也。		《周易》__周
56	请与若等戮 力一志，率徒 [属] ，必灭其家为等伦。”		《列子》__春秋战国
57	夫子为天子，而天下已治矣，请 [属] 天下於夫子。”		《吕氏春秋》__春秋战国
58	当 [属] 《文言》，此盖重出。		《周易》__周
59	夫吴之与越也，接土邻境，壤交通 [属] ，习俗同，言语通，我得其地能处之，得其民能使之，越於我亦然。		《吕氏春秋》__春秋战国
60	使君亲之察同索 [属] 故也使人君不安者 [属] 际也，		《管子》__春秋战国
61	 [属] ，或恐是错简，宜在第八章之末。		《周易》__周
62	天下之数尺于轨出之 [属] 也，		《管子》__春秋战国
63	亿文复不足，竹素不胜矣，受故令 [属] 此道文，不在外书也，揲说其大略，可知之为乱原。“		《老子想尔注》__春秋战国
64	耶道与耶学甚远，道生耶死，死 [属] 地，生 [属] 天，故极远。“		《老子想尔注》__春秋战国
65	生故 [属] 天，恶死亦 [属] 地也。“		《老子想尔注》__春秋战国
66	泰秋国谷去参之一君下令谓郡县 [属] 大夫里邑皆籍粟入若干谷重一也以藏于上者国谷参分则二分在上矣，		《管子》__春秋战国
67	孔墨之弟子徒 [属] 充满天下，皆以仁义之术教导於天下，然而无所行。		《吕氏春秋》__春秋战国
68	 [属] 天清而散，  [属] 地浊而聚。		《列子》__春秋战国
69	毋事治职但力事 [属] 私王官私君事去非其人而人私行者圣王之禁也，		《管子》__春秋战国
70	遂行至者之日遂于庙致 [属] 吏皆受宪，		《管子》__春秋战国
71	遂于官致乡 [属] 及游宗皆受宪，		《管子》__春秋战国
72	其为人也温柔敦厚，《诗》教也；疏通知远， 《书》教也；广博易良，《乐》教也；静精微，《易》教也；恭俭庄敬，《礼》 教也； [属] 辞比事，《春秋》教也；。		《礼记》__春秋战国
73	 [属] 辞比事而不乱，则深于《春秋》者也。		《礼记》__春秋战国
74	宫室既 修，墙屋既设，百官既备，夫妇齐戒沐浴，盛服奉承而进之，洞洞乎， [属]  [属] 乎， 如弗胜，如将失之，其孝敬之心至也与！		《礼记》__春秋战国
75	孝子如执玉、如奉盈，洞洞 [属]  [属] 然，如弗胜，如将失之。		《礼记》__春秋战国
76	子舆曰：“吾笑龙之诒孔穿，言‘善射者，能令后镞中前括，发发相及， 矢矢相 [属] ；前矢造准而无绝落，后矢之括犹衔弦，视之若一焉。		《列子》__春秋战国
77	制五家为轨轨有长六轨为邑邑有司十邑为率率有长十率为乡乡有良人三乡为 [属]  [属] 有帅五 [属] 一大夫，		《管子》__春秋战国
78	夫祭有三重焉：献之 [属] ，莫重于裸，声莫重于升歌，舞莫重于武宿夜，此周 道也。		《礼记》__春秋战国
79	艮为山，为径路，为小石，为门阙，为果蓏，为阍寺，为指，为狗，为鼠，为黔喙之 [属] 。		《周易》__周
80	渍甚，国人弗讳，寡人将谁 [属] 国？”		《吕氏春秋》__春秋战国
81	月躔二十八宿，轸与角 [属] ，圜道也。		《吕氏春秋》__春秋战国
82	艮为山，为径路，为小石，为门阙，为果蓏，为阍寺，为指，为狗，为鼠，为黔喙之 [属] 。		《周易》__周
83	化转环 [属] ，各有形势，反覆相求，因事为制。		《鬼谷子》__春秋战国
84	若先，则恐国人之 [属] 耳目于我也，故不敢。”		《国语》__春秋战国
