语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：川
2023/1/20 16:05:05

序号	语句	书名	朝代
1	今周德若二代之季矣，其 [川] 源又塞，塞必竭。		《国语》__春秋战国
2	禹别九州，随山浚 [川] ，任土作贡。		《尚书》__周
3	禹敷土，随山刊木，奠高山大 [川] 。		《尚书》__周
4	九州攸同，四隩既宅，九山刊旅，九 [川] 涤源，九泽既陂，四海会同。		《尚书》__周
5	为大 [川] 广谷之不可济。		《墨子》__春秋战国
6	肇十有二州，封十有二山，浚 [川] 。		《尚书》__周
7	将以骊姬之惑蛊君而诬国人，谗群公子而夺之利使君迷乱，信而亡之，杀无罪以为诸侯笑，使百姓莫不有藏恶于其心中，恐其如壅大 [川] ，溃而不可救御也。		《国语》__春秋战国
8	夫君也者，民之 [川] 泽也。		《国语》__春秋战国
9	益：利有攸往，利涉大 [川] 。		《周易》__周
10	宣公夏滥于泗渊，里革断其罟而弃之，曰：“古者大寒降，土蛰发，水虞于是乎讲☆☆，取名鱼，登 [川] 禽，而尝之寝庙，行诸国，助宣气也。		《国语》__春秋战国
11	下震上巽，皆木之象，故其占利有所往，而利涉大 [川] 也。		《周易》__周
12	利涉大 [川] ”，木道乃行。		《周易》__周
13	予决九 [川] ，距四海，浚畎浍距 [川] ；暨稷播，奏庶艰食鲜食。		《尚书》__周
14	夫广 [川] 之鸟兽，恒知避其灾也。”		《国语》__春秋战国
15	今在予小子旦，若游大 [川] ，予往暨汝奭其济。		《尚书》__周
16	女子十年不出，姆教婉娩听从，执麻，治丝茧，织组纟 [川] ，学女事以 共衣服，观于祭祀，纳酒浆笾豆菹醢，礼相助奠。		《礼记》__春秋战国
17	背法而治，此任重道远而无马、牛，济大 [川] 而无船、揖也。		《商君书》__春秋战国
18	厎商之罪，告于皇天、后土、所过名山、大 [川] ，曰：‘惟有道曾孙周王发，将有大正于商。		《尚书》__周
19	非滨之东，夷秽之乡，大解、陵鱼、其、鹿野、摇山、扬岛、大人之居，多无君；扬、汉之南，百越之际，敝凯诸、夫风、馀靡之地，缚娄、阳禺、驩兜之国，多无君；氐、羌、呼唐、离水之西，僰人、野人、篇笮之 [川] ，舟人、送龙、突人之乡，多无君；雁门之北，鹰隼、所鸷、须窥之国，饕餮、穷奇之地，叔逆之所，儋耳之居，多无君。		《吕氏春秋》__春秋战国
20	涣：亨，王假有庙，利涉大 [川] ，利贞。		《周易》__周
21	又以巽木坎水，舟楫之象，故利涉大 [川] 。		《周易》__周
22	利涉大 [川] ”，乘木有功也。		《周易》__周
23	防民之口，甚於防 [川] 。		《吕氏春秋》__春秋战国
24	 [川] 壅而溃，败人必多。		《吕氏春秋》__春秋战国
25	是故治 [川] 者决之使导，治民者宣之使言。		《吕氏春秋》__春秋战国
