语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：巨
2023/1/20 16:05:36

序号	语句	书名	朝代
1	则此可谓不知利天下之 [巨] 务矣。		《墨子》__春秋战国
2	齐之清济蜀河，足以为限；长城 [巨] 防，足以为塞。		《韩非子》__春秋战国
3	鬯，以禾 [巨] 黍酒和郁金，所以灌		《周易》__周
4	名分定，则大诈贞信， [巨] 盗愿悫，而各自治也。		《商君书》__春秋战国
5	故乱国之使其民，不论人之性，不反人之情，烦为教而过不识，数为令而非不从， [巨] 为危而罪不敢，重为任而罚不胜。		《吕氏春秋》__春秋战国
6	黄鹄之飞，一举千里，有必飞之备也；丽丽、 [巨]  [巨] ，日走千里，有必走之势也；虎、豹、熊、罴，鸷而无敌，有必胜之理也。		《商君书》__春秋战国
7	 [巨] 涂則讓，小涂則殆，雖欲不謹，若云不使。		《荀子》__春秋战国
8	古者桀紂長 [巨] 姣美，天下之杰也。		《荀子》__春秋战国
9	陵上 [巨] 木，人以为期，易知故也。		《吕氏春秋》__春秋战国
10	高之下之，小之 [巨] 之，不外是矣。		《荀子》__春秋战国
11	帝恐流于西极，失群仙圣之居，乃命禺强使 [巨] 鳌十五举首而戴之。		《列子》__春秋战国
12	员峤二山流于 北极，沈于大海，仙圣之播迁者 [巨] 亿计。		《列子》__春秋战国
13	國者， [巨] 用之則大，小用之則小；綦大而王，綦小而亡，小 [巨] 分流者存。		《荀子》__春秋战国
14	 [巨] 用之者，先義而後利，安不恤親疏，不恤貴賤，唯誠能之求，夫是之謂 [巨] 用之。		《荀子》__春秋战国
15	 [巨] 用之者若彼，小用之者若此，小 [巨] 分流者，亦一若彼，一若此也。		《荀子》__春秋战国
16	驰驱千 里，至于 [巨] 蒐氏之国。		《列子》__春秋战国
17	 [巨] 蒐氏乃献白鹄之血以饮王，具牛马之湩以洗王之足， 及二乘之人。		《列子》__春秋战国
18	后稷生乎 [巨] 迹，伊尹生乎空桑。		《列子》__春秋战国
19	 [巨] 防容蝼，而漂邑杀人。		《吕氏春秋》__春秋战国
20	今 [巨] 楚縣吾前，大燕■吾後，勁魏鉤吾右，西壤之不絕若繩，楚人則乃有襄賁開陽以臨吾左，是一國作謀，則三國必起而乘我。		《荀子》__春秋战国
21	夫天地，空中之一细物， 有中之最 [巨] 者。		《列子》__春秋战国
22	 [巨] 者可与远举顾忧者可与致道，		《管子》__春秋战国
23	郊止乎天子，而社止於諸侯，道及士大夫，所以別尊者事尊，卑者事卑，宜大者 [巨] ，宜小者小也。		《荀子》__春秋战国
24	創 [巨] 者其日久，痛甚者其愈遲，三年之喪，稱情而立文，所以為至痛極也。		《荀子》__春秋战国
25	夏桀、殷纣作为侈乐，大鼓、钟、磬、管、箫之音，以 [巨] 为美，以众为观；俶诡殊瑰，耳所未尝闻，目所未尝见，务以相过，不用度量。		《吕氏春秋》__春秋战国
26	夫音亦有适：太 [巨] 则志荡，以荡听 [巨] 则耳不容，不容则横塞，横塞则振；太小则志嫌，以嫌听小则耳不充，不充则不詹，不詹则窕；太清则志危，以危听清则耳溪极，溪极则不鉴，不鉴则竭；太浊则志下，以下听浊则耳不收，不收则不抟，不抟则怒。		《吕氏春秋》__春秋战国
27	故太 [巨] 、太小、太清、太浊，皆非适也。		《吕氏春秋》__春秋战国
28	贵贱、长少、贤者不肖相与同，有 [巨] 有微而已矣。		《吕氏春秋》__春秋战国
29	此八者皆兵也，微 [巨] 之争也。		《吕氏春秋》__春秋战国
30	壮佼、老幼、胎卖之死者，大实平原，广堙深溪大谷，赴 [巨] 水，积灰填沟洫险阻。		《吕氏春秋》__春秋战国
31	燕之游士，有泯子午者，南见晏子于齐，言有文章，术有条理， [巨] 可以补国，细可以益晏子者，三百篇。		《晏子春秋》__春秋战国
32	田氏三量，皆登一焉，钟乃 [巨] 矣。		《晏子春秋》__春秋战国
33	故国广 [巨] ，兵强富，未必安也；尊贵高大，未必显也：在於用之。		《吕氏春秋》__春秋战国
