语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：币
2022/7/10 23:14:50

序号	语句	书名	朝代
1	管子对曰：“审吾疆埸，而反其侵地；正其封疆，无受其资；而重为之皮 [币] ，以骤聘眺于诸侯，以安四邻，则四邻之国亲我矣。		《国语》__春秋战国
2	皮 [币] 玩好，使民鬻之四方，以监其上下之所好，择其淫乱者而先征之。”		《国语》__春秋战国
3	公曰：“此晋国之宝也，如受吾 [币] 而不借吾道，则如之何？”		《榖梁传》__春秋战国
4	彼不借吾道，必不敢受吾 [币] 。		《榖梁传》__春秋战国
5	如受吾 [币] 而借吾道，则是我取之中府而藏之外府，取之中厩而置之外厩也。”		《榖梁传》__春秋战国
6	宫之奇谏曰：“晋国之使者，其辞卑而 [币] 重，必不便于虞。”		《榖梁传》__春秋战国
7	为游士八十人，奉之以车马、衣裘，多其资 [币] ，使周游于四方，以号召天下之贤士。		《国语》__春秋战国
8	虞公弗听，遂受其 [币] 而借之道。		《榖梁传》__春秋战国
9	赙马与其 [币] ，大白兵车，不入庙门。		《礼记》__春秋战国
10	不腆先君之 [币] 器，敢告滞积，以纾执事，以救弊邑，使能共职。		《国语》__春秋战国
11	哀姜至，公使大夫、宗妇觌用 [币] 。		《国语》__春秋战国
12	今妇执 [币] ，是男女无别也。		《国语》__春秋战国
13	出入受事之 [币] 以致君命者，亦有数矣。		《国语》__春秋战国
14	赞 [币] 自左，诏辞自右。		《礼记》__春秋战国
15	宾发 [币] 于大夫，及仲尼，仲尼爵之。		《国语》__春秋战国
16	外有以为皮 [币] 与四邻诸候交接。		《墨子》__春秋战国
17	王曰：“越国南则楚，西则晋，北则齐，春秋皮 [币] 、玉帛、子女以宾服焉，未尝敢绝，求以报吴。		《国语》__春秋战国
18	今贱臣之愚计：使人使荆，重 [币] 用事之臣，明赵之所以欺秦者；与魏质以安其心，从韩而伐赵，赵虽与齐为一，不足患也。		《韩非子》__春秋战国
19	宾称奉圭兼 [币] ，曰：“一二臣卫，敢执壤奠。”		《尚书》__周
20	公子遂如齐纳 [币] 。		《榖梁传》__春秋战国
21	若受吾 [币] 不假之道，将奈何？”		《韩非子》__春秋战国
22	王其趣发信臣，多其车，重其 [币] ，以奉韩曰：‘不谷之国虽小，卒已悉起，愿大国之信意于秦也。		《韩非子》__春秋战国
23	太保乃以庶邦冢君出取 [币] ，乃复入锡周公。		《尚书》__周
24	我非敢勤，惟恭奉 [币] ，用供王能祈天永命。”		《尚书》__周
25	夏，宋公使公孙寿来纳 [币] 。		《榖梁传》__春秋战国
26	夫物多则贱寡则贵散则轻聚则重人君知其然故视国之羡不足而御其财物谷贱则以 [币] 予食布帛贱则以 [币] 予衣视物之轻重而御之以准故贵贱可调而君得其利，		《管子》__春秋战国
27	械器不奉而诸候之皮 [币] 不衣于天下，		《管子》__春秋战国
28	资家假 [币] 皆以谷准 [币] 直 [币] 而庚之谷为下 [币] 为上，		《管子》__春秋战国
29	坏谷而应策国奉决谷反准赋轨 [币] 谷禀重有加十，		《管子》__春秋战国
30	高田抚间田不被谷十倍山田以君寄 [币] 振其不赡未淫失也，		《管子》__春秋战国
31	乡谷之若干请为子十减三谷为上 [币] 为下，		《管子》__春秋战国
32	田轨之有馀于其人食者谨寄公 [币] 焉大家众小家寡，		《管子》__春秋战国
33	人事有轨 [币] 有轨乡有轨县有轨，		《管子》__春秋战国
34	彼 [币] 轻而谷重 [币] 重而谷轻，		《管子》__春秋战国
35	巧 [币] 万物轻重皆在贾之，		《管子》__春秋战国
36	人君操谷 [币] 准衡而天下可定也，		《管子》__春秋战国
37	外诸候之皮 [币] 不衣于天下，		《管子》__春秋战国
38	财物在下 [币] 之九在大夫然则 [币] 谷羡在大夫也，		《管子》__春秋战国
39	一国之谷资在上 [币] 资在下，		《管子》__春秋战国
40	始取夫三夫之家方八里而一乘二十五人而奉一乘 [币] 乘马者方八里凡方八里用 [币] 若干，		《管子》__春秋战国
41	馀以国 [币] 谷准反行大夫无什于重，		《管子》__春秋战国
42	谷贾去上岁之分以 [币] 振之，		《管子》__春秋战国
43	以尔封内之财物国之所有为 [币] ，		《管子》__春秋战国
44	诸候以缦帛皮四介以为 [币] 齐以文锦虎貌皮报，		《管子》__春秋战国
45	故天下诸候以疲马犬羊为 [币] ，		《管子》__春秋战国
46	以臣则不而令人以重 [币] 使之，		《管子》__春秋战国
47	是月也，祀不用牺牲，用圭璧，更皮 [币] 。		《吕氏春秋》__春秋战国
48	鲁君闻颜阖得道之人也，使人以 [币] 先焉。		《吕氏春秋》__春秋战国
49	使者致 [币] ，颜阖对曰：“恐听缪而遗使者罪，不若审之。”		《吕氏春秋》__春秋战国
50	故先王善高下中 [币] 以制下上之用，		《管子》__春秋战国
51	吴越不朝请珠象而以为 [币] 乎，		《管子》__春秋战国
52	故苟入吾国食吾国之粟因吾国之 [币] ，		《管子》__春秋战国
53	而靡 [币] 之用日去千金之积，		《管子》__春秋战国
