语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：师
2022/11/6 19:39:45

序号	语句	书名	朝代
1	武当拳是明太祖洪武爷留下的，叫作内家；少林拳是姚广孝姚少 [师] 留下的，叫作外家。		《儿女英雄》__清
2	到了住宅，早有部里长班送信，告知老爷中在第几房，并房 [师] 的官衔、姓名、科分、住处。		《儿女英雄》__清
3	从次日起，便去拜房 [师] ，拜座 [师] ，认前辈，会同年，会同门，公请老 [师] ，赴老 [师] 请，刻齿录，刻朱卷。		《儿女英雄》__清
4	那房 [师] 、 座 [师] 见了都说∶ “一见你这本卷子，便知为老手宿儒，晚成大器，如今果然。		《儿女英雄》__清
5	倒是程 [师] 老爷替想想，行得行不得。		《儿女英雄》__清
6	我们小爷是不懂这些事情的，程 [师] 老爷，你老白替想想怎么样？”		《儿女英雄》__清
7	因向程 [师] 爷说∶“ [师] 老爷不知道，我们这位小爷只管像个女孩似的，马上可巴图鲁，从小儿就爱马，老爷也常教他骑，就是劣蹶些儿的马也骑得住。		《儿女英雄》__清
8	那 [师] 老爷说道∶“岂但白替想想，我承老爷的相待，我们又从幼就在一处，同亲弟兄一样，如今托我在家照料，我虽不能为力，难道连一句话也不肯说不成？		《儿女英雄》__清
9	那张老头儿说道∶“怎么惊动起 [师] 老爷来了？		《儿女英雄》__清
10	石头果然答道：“我 [师] 何必太痴！		《红楼梦(上)》__清
11	我 [师] 意为如何？”		《红楼梦(上)》__清
12	却说甄士隐俱听得明白，遂不禁上前施礼，笑问道：“二位仙 [师] 请了。”		《红楼梦(上)》__清
13	士隐因说道：“适闻仙 [师] 所谈因果，实人世罕闻者，但弟子愚拙，不能洞悉明白。		《红楼梦(上)》__清
14	为他祖母溺爱不明，每因孙辱 [师] 责子，我所以辞了馆出来的。		《红楼梦(上)》__清
15	其时先聘几个少年孀妇为房 [师] ，极美者为大主试。		《风流悟》__清
16	其时先精选定几个名妓为房 [师] ，以才色双绝的为大主考，亦各在尼姑庵里分房，先试外才，继试内才，俱无嫌了，然后送与大总裁，逐一再试。		《风流悟》__清
17	这次合城美女，到尼姑庵烧香，俱同了母亲及前两社的大主考房 [师] 来。		《风流悟》__清
18	其未入社之先，但凭旧房 [师] 主试，考试玩耍，所以吉光叮咛这句，不想三个少年心性，正要他们收去。		《风流悟》__清
