语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：干
2023/1/20 15:18:01

序号	语句	书名	朝代
1	“惟时羲和颠覆厥德，沈乱于酒，畔官离次，俶扰天纪，遐弃厥司，乃季秋月朔，辰弗集于房，瞽奏鼓，啬夫驰，庶人走，羲和尸厥官罔闻知，昏迷于天象，以 [干] 先王之诛，《政典》曰：‘先时者杀无赦，不及时者杀无赦。		《尚书》__周
2	厥贡羽、毛、齿、革惟金三品，杶、 [干] 、栝、柏，砺、砥、砮、丹惟菌簵、楛，三邦厎贡厥名。		《尚书》__周
3	罔违道以 [干] 百姓之誉，罔咈百姓以従己之欲。		《尚书》__周
4	帝曰：“皋陶，惟兹臣庶，罔或 [干] 予正。		《尚书》__周
5	帝乃诞敷文德，舞 [干] 羽于两阶，七旬有苗格。		《尚书》__周
6	遂 以奇告曰：某贤于某若 [干] 纯。		《礼记》__春秋战国
7	欲以 [干] 上帝鬼神之福。		《墨子》__春秋战国
8	尔乃尚有尔土，尔用尚宁 [干] 止，尔克敬，天惟畀矜尔；尔不克敬，尔不啻不有尔土，予亦致天之罚于尔躬！		《尚书》__周
9	今尔惟时宅尔邑，继尔居；尔厥有 [干] 有年于兹洛。		《尚书》__周
10	善[A156]乃甲胄，敿乃 [干] ，无敢不吊！		《尚书》__周
11	鲁人三郊三遂，峙乃桢 [干] 。		《尚书》__周
12	太保命仲桓、南宫毛俾爰齐侯吕伋，以二 [干] 戈、虎贲百人逆子钊于南门之外。		《尚书》__周
13	比 [干] 、苌弘以此死，箕子、商容以此穷，周公、召公以此疑，范蠡、子胥以此流，死生存亡安危，从此生矣。		《吕氏春秋》__春秋战国
14	食菜以醯酱，始食肉者先食 [干] 肉， 始饮酒者先饮醴酒。		《礼记》__春秋战国
15	夫诸侯无二君，而周无二王，君若无卑天子，以 [干] 其不祥，而曰吴公，孤敢不顺从君命长弟！		《国语》__春秋战国
16	兑泽在上，离火在下，火然则水 [干] ，水决则火灭，中、少		《周易》__周
17	惟口起羞，惟甲胄起戎，惟衣裳在笥，惟 [干] 戈省厥躬。		《尚书》__周
18	儒有忠信以为甲胄，礼义以为 [干] 橹；戴仁而行，抱义而处；虽有暴政，不更 其所。		《礼记》__春秋战国
19	荆之为四十二世矣，尝有 [干] 溪、白公之乱矣，尝有郑襄、州侯之避矣，而今犹为万乘之大国，其时有臣如子囊与！		《吕氏春秋》__春秋战国
20	为熬：捶之，去其<皮>，编萑布牛肉焉，屑桂与姜，以洒诸上而盐之，  [干] 而食之。		《礼记》__春秋战国
21	欲濡肉，则释而煎之以醢， 欲 [干] 肉，则捶而食之。		《礼记》__春秋战国
22	则法术之士欲 [干] 上者，非有所信爱之亲，习故之泽也，又将以法术之言矫人主阿辟之心，是与人主相反也。		《韩非子》__春秋战国
23	故法不察民之情而立之，则不成；治宜于时而行之，则不 [干] 。		《商君书》__春秋战国
24	夫君臣非有骨肉之亲，正直之道可以得利，则臣尽力以事主；正直之道不可以得安，则臣行私以 [干] 上。		《韩非子》__春秋战国
25	升歌清庙，下管象，朱 [干] 玉戚，冕而舞 大武，皮弁素积，裼而舞大夏。		《礼记》__春秋战国
26	吏明知民知法令也，故吏不敢以非法遇民，民不敢犯法以 [干] 法官也。		《商君书》__春秋战国
27	初六，鸿渐于 [干] ，小子厉，有言，无咎。		《周易》__周
28	 [干] ，水涯也。		《周易》__周
29	故文王说纣而纣囚之；翼候炙；鬼候腊，比 [干] 剖心；梅伯酸；夷吾束缚；而曹羁奔陈；伯里子道乞；传说转鬻；孙子膑脚于魏；吴起收泣于岸门，痛西河之为秦，卒枝解于楚；公叔痤言国器反为悖，公孙鞅奔秦；关龙逢斩；苌弘分胣；尹子罕于棘；司马子期死而浮于江；田明辜射；宓子贱、西门豹不斗而死人手；董安于死而陈于市；宰予不免于田常；范雎折协于魏。		《韩非子》__春秋战国
30	此夫差之所以自殁於 [干] 隧也。”		《吕氏春秋》__春秋战国
31	汤、武既破桀、纣，海内无害，天下大定，筑五库，藏五兵，偃武事，行文教，倒载 [干] 戈，☆笏，作为乐，以申其德。		《商君书》__春秋战国
32	行年六十，气 [干] 将衰，弃其家事，都散其 库藏、珍宝、车服、妾媵。		《列子》__春秋战国
33	段 [干] 生闻之，曰：“端 木叔达人也，德过其祖矣。		《列子》__春秋战国
34	释箕子囚，封比 [干] 墓，式商容闾。		《尚书》__周
35	白圭对曰：“文侯师子夏，友田子方，敬段 [干] 木，此名之所以过桓公也。		《吕氏春秋》__春秋战国
36	宁戚欲 [干] 齐桓公，穷困无以自进，於是为商旅将任车以至齐，暮宿於郭门之外。		《吕氏春秋》__春秋战国
37	颜涿聚曰：“昔桀杀关龙逢而纣杀王子比 [干] ，今君虽杀臣之身以三之可也。		《韩非子》__春秋战国
38	黄帝即位十有五年，喜天五戴己，养正命，娱耳目，供鼻口，焦然肌色< 皮  [干] >黣，昏然五情爽惑。		《列子》__春秋战国
39	三品者，一为 [干] 豆，一为宾客，一以充庖。		《周易》__周
40	心 凝形释骨肉都融；不觉形之所倚，足之所履，随风东西，犹木叶 [干] 壳。		《列子》__春秋战国
41	伊尹为宰，百里奚为虏，皆所以 [干] 其上也。		《韩非子》__春秋战国
42	荆有次非者，得宝剑于 [干] 遂。		《吕氏春秋》__春秋战国
43	四时之田用三焉，唯其所先得，一为 [干] 豆，二为宾客，三为充君之庖。		《榖梁传》__春秋战国
44	称尔戈，比尔 [干] ，立尔矛，予其誓。”		《尚书》__周
45	根 [干] 不革，则动泄不失矣。		《韩非子》__春秋战国
46	 [干] 、越、夷、貉之子，生而同聲，長而異俗，教使之然也。		《荀子》__春秋战国
47	西方有木焉，名曰射 [干] ，莖長四寸，生於高山之上，而臨百仞之淵，木莖非能長也，所立者然也。		《荀子》__春秋战国
48	子胥父诛于楚也，挟弓持矢而 [干] 阖庐。		《榖梁传》__春秋战国
49	天地不能犯，圣智不能 [干] ，鬼魅不能欺。		《列子》__春秋战国
50	魏文侯师卜子夏，友田子方，礼段 [干] 木，国治身逸。		《吕氏春秋》__春秋战国
51	魏文侯过段 [干] 木之闾而轼之，其仆曰：“君胡为轼？”		《吕氏春秋》__春秋战国
52	曰：“此非段 [干] 木之闾欤？		《吕氏春秋》__春秋战国
53	段 [干] 木盖贤者也，吾安敢不轼？		《吕氏春秋》__春秋战国
54	且吾闻段 [干] 木未尝肯以己易寡人也，吾安敢骄之？		《吕氏春秋》__春秋战国
55	段 [干] 木光乎德，寡人光乎地；段 [干] 木富乎义，寡人富乎财。”		《吕氏春秋》__春秋战国
56	於是君请相之，段 [干] 木不肯受。		《吕氏春秋》__春秋战国
57	於是国人皆喜，相与诵之曰：“吾君好正，段 [干] 木之敬；吾君好忠，段 [干] 木之隆。”		《吕氏春秋》__春秋战国
58	居无几何，秦兴兵欲攻魏，司马唐谏秦君曰：“段 [干] 木贤者也，而魏礼之，天下莫不闻，无乃不可加兵乎？”		《吕氏春秋》__春秋战国
59	禹於是疏河决江，为彭蠡之障， [干] 东土，所活者千八百国。		《吕氏春秋》__春秋战国
60	好学者以术 [干] 齐侯；齐侯纳之，以为 诸公子之傅。		《列子》__春秋战国
61	好兵者之楚，以法 [干] 楚王；王悦之，以为军正。		《列子》__春秋战国
62	孟氏之一子之秦，以术 [干] 秦王。		《列子》__春秋战国
63	其一子之 卫，以法 [干] 卫侯。		《列子》__春秋战国
64	宋有兰子者，以技 [干] 宋元。		《列子》__春秋战国
65	又有兰子 又能燕戏者，闻之，复以 [干] 元君。		《列子》__春秋战国
66	元君大怒曰：“昔有异技 [干] 寡人者，技无庸， 适值寡人有欢心，故赐金帛。		《列子》__春秋战国
67	周公曰∶「刳比 [干] 而囚箕子，飛廉、惡來知政，夫又惡有不可焉！」		《荀子》__春秋战国
68	玉人之所患，患石之似玉者；相剑者之所患，患剑之似吴 [干] 者；贤主之所患，患人之博闻辩言而似通者。		《吕氏春秋》__春秋战国
69	南海則有羽翮、齒革、曾青、丹 [干] 焉，然而中國得而財之。		《荀子》__春秋战国
70	狐援说齐湣王曰：“殷之鼎陈於周之廷，其社盖於周之屏，其 [干] 戚之音在人之游。		《吕氏春秋》__春秋战国
71	殷有比 [干] ，吴有子胥，齐有狐援。		《吕氏春秋》__春秋战国
72	中谷有蓷，其 [干] 矣。		《诗经》__周
73	作为璇室，筑为顷宫，剖孕妇而观其化，杀比 [干] 而视其心，不适也。		《吕氏春秋》__春秋战国
74	孔子闻之曰： “其窍通则比 [干] 不死矣。”		《吕氏春秋》__春秋战国
75	谓公扈齐婴曰： “汝曩之所疾，自外而 [干] 府藏者，固药石之所已。		《列子》__春秋战国
76	异，故子胥见说於阖闾，而恶乎夫差；比 [干] 生而恶於商，死而见说乎周。		《吕氏春秋》__春秋战国
77	纪昌遗一矢；既发，飞卫以棘刺之端扌 [干] 之，而无差焉。		《列子》__春秋战国
78	坎坎伐檀兮，置之河之 [干] 兮。		《诗经》__周
79	心不专善，无堤封；水必去，行善不积；源不通，水必燥 [干] ；决水溉野，渠如溪江。		《老子想尔注》__春秋战国
80	曰田若 [干] 人若 [干] 人众田不足食若 [干] 曰田若 [干] 馀食若 [干] ，		《管子》__春秋战国
81	乡谷之若 [干] 请为子十减三谷为上币为下，		《管子》__春秋战国
82	○ [干] 旄		《诗经》__周
83	孑孑 [干] 旄，在浚之郊。		《诗经》__周
84	孑孑 [干] 旟，在浚之都。		《诗经》__周
85	孑孑 [干] 旌，在浚之城。		《诗经》__周
86	泰为曰谷之存子者若 [干] ，		《管子》__春秋战国
87	泰秋国谷去参之一君下令谓郡县属大夫里邑皆籍粟入若 [干] 谷重一也以藏于上者国谷参分则二分在上矣，		《管子》__春秋战国
88	伊尹箕子可謂諫矣，比 [干] 子胥可謂爭矣，平原君之於崐趙可謂輔矣，信陵君之於魏可謂拂矣。		《荀子》__春秋战国
89	始取夫三夫之家方八里而一乘二十五人而奉一乘币乘马者方八里凡方八里用币若 [干] ，		《管子》__春秋战国
90	万堇不杀，漆淖水淖，合两淖则为蹇，湿之则为 [干] 。		《吕氏春秋》__春秋战国
91	或湿而 [干] ，或燔而淖，类固不必，可推知也？		《吕氏春秋》__春秋战国
92	木益枯则劲，涂益 [干] 则轻，以益劲任益轻，则不败。”		《吕氏春秋》__春秋战国
93	郡县上臾之坏守之若 [干] 间坏守之若 [干] ，		《管子》__春秋战国
94	兼是數國者，皆 [干] 賞蹈利之兵也，傭徒鬻賣之道也，未有貴上安制綦節之理也。		《荀子》__春秋战国
95	紂刳比 [干] ，囚箕子，為炮烙刑，殺戮無時，臣下懔然莫必其命，然而周師至，而令不行乎下，不能用其民，是豈令不嚴，刑不繁也哉！		《荀子》__春秋战国
96	始食肉者先食 [干]  肉。		《礼记》__春秋战国
97	赳赳武夫，公侯 [干] 城。		《诗经》__周
98	其有 介然之有，唯然之音，虽远在八荒之外，近在眉睫之内，来 [干] 我者，我必知之。		《列子》__春秋战国
99	禹湯之後也，而不得一人之與；刳比 [干] ，囚箕子，身死國亡，為天下之大戮，後世之言惡者必稽焉，是不容妻子之數也。		《荀子》__春秋战国
100	食三老五更于大学，天子袒而割牲，执酱而馈，执爵而，冕而总 [干] ，所以 教诸侯之弟也。		《礼记》__春秋战国
101	及入舞，君执 [干] 戚就舞位，君为东上，冕而总 [干] ，率其群臣，以乐皇尸。		《礼记》__春秋战国
102	冕而总 [干] ，率其群臣，以 乐皇尸，此与竟内乐之之义也。		《礼记》__春秋战国
103	乾，音 [干] 。		《周易》__周
104	夫大尝，升 歌《清庙》，下而管《象》，朱 [干] 玉戚，以舞《大武》八佾，以舞《大夏》，此 天子之乐也。		《礼记》__春秋战国
105	故聽其雅頌之聲，而志意得廣焉；執其 [干] 戚，習其俯仰屈伸， 而容貌得莊焉；行其綴兆，要其節奏，而行列得正焉，進退得齊焉。		《荀子》__春秋战国
106	昔者吴 [干] 战未不得入军门国子其齿遂入为 [干] 国多，		《管子》__春秋战国
