语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：幸
2022/7/10 23:09:29

序号	语句	书名	朝代
1	虽以熹之不敏，亦 [幸] 私淑而与有闻焉。		《大学中庸》__春秋战国
2	 [幸] 苟君之子，唯其索之也。		《国语》__春秋战国
3	吕氏曰：“国无游民，则生者众矣；朝无 [幸] 位，则食者寡矣；不夺农时，则为之疾矣；量入为出，则用之舒矣。		《大学中庸》__春秋战国
4	虽以熹之不敏，亦 [幸] 私淑而与有闻焉。		《大学中庸》__春秋战国
5	不可损益穷达赏罚 [幸] 否。		《墨子》__春秋战国
6	凡自行不可以 [幸] 为，必诚。		《吕氏春秋》__春秋战国
7	司马子反曰：“楚众我少，鼓险而击之，胜无 [幸] 焉。”		《榖梁传》__春秋战国
8	子反曰：“楚众我少，击之，胜无 [幸] 焉。”		《榖梁传》__春秋战国
9	臣窃愿陛下之 [幸] 熟图之！		《韩非子》__春秋战国
10	愿陛下 [幸] 察愚臣之计，无忽。		《韩非子》__春秋战国
11	若臣斯之所言有不应事实者，愿大王 [幸] 使得毕辞于前，乃就吏诛不晚也。		《韩非子》__春秋战国
12	今使臣不通，则韩之信未可知也，夫秦必释赵之患而移兵于韩，愿陛下 [幸] 复察图之，而赐臣报决。		《韩非子》__春秋战国
13	凡奸臣皆欲顺人主之心以取亲 [幸] 之势者也。		《韩非子》__春秋战国
14	此人臣之所以取信 [幸] 之道也。		《韩非子》__春秋战国
15	夫奸臣得乘信 [幸] 之势以毁誉进退群臣者，人主非有术数以御之也，非参验以审之也，必将以曩之合己信今之言，此 [幸] 臣之所以得欺主成私者也。		《韩非子》__春秋战国
16	余欲君之弃其妻也，因自伤其身以视君而泣，曰：“得为君之妾，甚 [幸] 。		《韩非子》__春秋战国
17	妾以赐死，若复 [幸] 於左右，愿君必察之，无为人笑。”		《韩非子》__春秋战国
18	行激节厉，忠臣 [幸] 於得察。		《吕氏春秋》__春秋战国
19	今昉知子党之诞我，我内藏猜虑，外矜观听，追 [幸] 昔日之不焦溺 也，怛然内热。		《列子》__春秋战国
20	明日，又与之见壶子，出而谓列子曰：“ [幸] 矣，子之先 生遇我也，有瘳矣。		《列子》__春秋战国
21	无道至则以为神，以为 [幸] 。		《吕氏春秋》__春秋战国
22	非神非 [幸] ，其数不得不然。		《吕氏春秋》__春秋战国
23	 [幸] 哉余未汝语也！		《列子》__春秋战国
24	非 [幸] 也，數也。		《荀子》__春秋战国
25	朝無 [幸] 位，民無 [幸] 生。		《荀子》__春秋战国
26	桓公避席再拜曰：“寡人与大夫能皆毋忘夫子之言，则齐国之社稷 [幸] 於不殆矣！”		《吕氏春秋》__春秋战国
27	故曰∶「朝無 [幸] 位，民無 [幸] 生。」		《荀子》__春秋战国
28	無其人而 [幸] 有其功，愚莫大焉。		《荀子》__春秋战国
29	隘而用之，得而後功之，功賞相長也，五甲首而隸五家，是最為眾強長久，多地以正，故四世有勝，非 [幸] 也，數也。		《荀子》__春秋战国
