语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：幼
2022/7/10 23:12:13

序号	语句	书名	朝代
1	孤者， [幼] 而无父之称。		《大学中庸》__春秋战国
2	公罔之裘扬觯而语曰：“ [幼] 壮孝弟，耆耋好礼， 不从流俗，修身以俟死者，不，在此位也。”		《礼记》__春秋战国
3	问国君之子长 [幼] ，长，则曰能从社稷之事矣； [幼] ，则曰能御，未能御。		《礼记》__春秋战国
4	问大 夫之子长 [幼] ，长，则曰能从乐人之事矣； [幼] ，则曰能正于乐人，未能正于乐人。		《礼记》__春秋战国
5	问士之子长 [幼] ，长，则曰能耕矣； [幼] ，则曰能负薪，未能负薪。		《礼记》__春秋战国
6	洪惟我 [幼] 冲人，嗣无疆大历服。		《尚书》__周
7	“令夫士，群萃而州处，闲燕则父与父言义，子与子言孝，其事君者言敬，其 [幼] 者言弟。		《国语》__春秋战国
8	子 [幼] 、则以衰抱之，人为之拜。		《礼记》__春秋战国
9	王曰：“越国之中，疾者吾问之，死者吾葬之，老其老，慈其 [幼] ，长其孤，问其病，求以报吴。		《国语》__春秋战国
10	汝无侮老成人，无弱孤有 [幼] 。		《尚书》__周
11	’汝万民乃不生生，暨予一人猷同心，先后丕降与汝罪疾，曰：‘曷不暨朕 [幼] 孙有比？		《尚书》__周
12	十年，出就外傅，居宿于外，学 书计，衣不帛襦裤，礼帅初，朝夕学 [幼] 仪，请肄简谅。		《礼记》__春秋战国
13	武王崩，成王 [幼]  弱，周公践天子之位，以治天下。		《礼记》__春秋战国
14	故其治国也，正明法，陈严刑，将以救群生之乱，去天下之祸，使强不陵弱，众不暴寡，耆老得遂， [幼] 孤得长，边境不侵，群臣相关，父子相保，而无死亡系虏之患，此亦功之至厚者也。		《韩非子》__春秋战国
15	故先王案為之制禮義以分之，使有貴賤之等，長 [幼] 之差，知愚能不能之分，皆使人載其事，而各得其宜。		《荀子》__春秋战国
16	人有三不祥∶ [幼] 而不肯事長，賤而不肯事貴，不肖而不肯事賢， 是人之三不祥也。		《荀子》__春秋战国
17	遇君則修臣下之義，遇鄉則修長 [幼] 之義，遇長則修子弟之義，遇友則修禮節辭讓之義，遇賤而少者則修告導寬容之義。		《荀子》__春秋战国
18	大儒之效∶武王崩，成王 [幼] ，周公屏成王而及武王，以屬天下， 惡天下之倍周也。		《荀子》__春秋战国
19	*禮者，貴賤有等；長 [幼] 有差，貧富輕重皆有稱者也。		《荀子》__春秋战国
20	君臣上下，貴賤長 [幼] ，至於庶人，莫不以是為隆正；然後皆內自省，以謹於分。		《荀子》__春秋战国
21	聖王財衍，以明辨異，上以飾賢良而明貴賤，下以飾長 [幼] 而明親疏。		《荀子》__春秋战国
22	先王之所以治天下者五：贵有德，贵贵，贵老，敬长，慈 [幼] 。		《礼记》__春秋战国
23	慈 [幼] ，为其近于子也。		《礼记》__春秋战国
