语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：引
2022/7/10 23:03:29

序号	语句	书名	朝代
1	凡传文，杂 [引] 经传，若无统纪，然文理接续，血脉贯通，深浅始终，至为精密。		《大学中庸》__春秋战国
2	结所 [引] 书，皆言自明己德之意。		《大学中庸》__春秋战国
3	 [引] 此而言圣人之止，无非至善。		《大学中庸》__春秋战国
4	 [引] 诗而释之，以明明明德者之止于至善。		《大学中庸》__春秋战国
5	此章内自 [引] 淇澳诗以下，旧本误在诚意章下。		《大学中庸》__春秋战国
6	 [引] 夫子之言，而言圣人能使无实之人不敢尽其虚诞之辞。		《大学中庸》__春秋战国
7	帝初于历山，往于田，日号泣于旻天，于父母，负罪 [引] 慝。		《尚书》__周
8	 [引] 此以明上文之意。		《大学中庸》__春秋战国
9	此 [引] 书而释之，又明立教之本不假强为，在识其端而推广之耳。		《大学中庸》__春秋战国
10	此三 [引] 诗，皆以咏叹上文之事，而又结之如此。		《大学中庸》__春秋战国
11	 [引] 诗而言此，以结上文两节之意。		《大学中庸》__春秋战国
12	自秦誓至此，又皆以申言好恶公私之极，以明上文所 [引] 南山有台、节南山之意。		《大学中庸》__春秋战国
13	牛则执纟 [引] ，马则执勺， 皆右之。		《礼记》__春秋战国
14	是以国家不日 [引] ，不月长。		《国语》__春秋战国
15	我闻曰：上帝 [引] 逸，有夏不适逸；则惟帝降格，向于时夏。		《尚书》__周
16	六二， [引] 吉，无咎，孚乃利用禴。		《周易》__周
17	《象》曰：“ [引] 吉，无咎”，中未变也。		《周易》__周
18	今按他书 [引] 此，亦多作		《周易》__周
19	凡封，用君去碑负 [引] 。		《礼记》__春秋战国
20	然则是一举而 霸王之名可成也，四邻诸候可朝也；而谋臣不为， [引] 军而退，复与荆人为和。		《韩非子》__春秋战国
21	然则是一举而霸王之名可成也，四 邻诸候可朝也；而谋臣不为， [引] 军而退，复与魏氏为和。		《韩非子》__春秋战国
22	拔邯郸，筦山东河间， [引] 军而去，西攻修武，逾是 羊肠，降上党。		《韩非子》__春秋战国
23	而谋 臣不为， [引] 军而退，复与赵氏为和。		《韩非子》__春秋战国
24	儒有委之以货财，淹之以乐好，见利不亏其义；劫之以众，沮之以兵，见死 不更其守；鸷虫攫搏不程勇者， [引] 重鼎不程其力；往者不悔，来者不豫；过言不 再，流言不极；不断其威，不习其谋。		《礼记》__春秋战国
25	军乃 [引] 而退复，并于李下，大王又并军而至，与战不 能克之也，又不能反，军罢而去，天下固量秦力三矣。		《韩非子》__春秋战国
26	凡三王养老皆 [引]  年，八十者，一子不从政，九十者，其家不从政，瞽亦如之。		《礼记》__春秋战国
27	夤， [引] 真反。		《周易》__周
28	壹 [引] 其纪，万目皆起；壹 [引] 其纲，万目皆张。		《吕氏春秋》__春秋战国
29	曰：“我不以货事上而求迁者，则如以狸饵鼠尔，必不冀矣；若以情事上而求迁者，则如 [引] 诸绝绳而求乘枉木也，愈不冀矣。		《商君书》__春秋战国
30	惠笃叙，无有遘自疾，万年厌于乃德，殷乃 [引] 考。		《尚书》__周
31	七年之后，从心之所念，念庚无 是非；从口之所言，庚无利害，夫子始一 [引] 吾并席而坐。		《列子》__春秋战国
32	夫旷日离久，而周泽既渥，深计而不疑， [引] 争而不罪，则明割利害以致其功，直指是非以饰其身，以此相持，此说之成也。		《韩非子》__春秋战国
33	列御寇为伯昏无人射， [引] 之盈贯，措杯水其肘上，发之，镝矢复沓，方矢复 寓。		《列子》__春秋战国
34	上六， [引] 兑。		《周易》__周
35	上六成说之主，以阴居说之极， [引] 下二阳相与为说，而不能必其从也。		《周易》__周
36	《象》曰：上六“ [引] 兑”，未光也。		《周易》__周
37	圣人无所不知， 无所不通，故得 [引] 而使之焉。		《列子》__春秋战国
38	‘ [引] 养 [引] 恬。		《尚书》__周
39	乃别播敷，造民大誉，弗念弗庸，瘝厥君，时乃 [引] 恶，惟朕憝。		《尚书》__周
40	 [引] 师而还，未至，而有伐其北鄙者矣。		《列子》__春秋战国
41	 [引] 席，王伏。		《吕氏春秋》__春秋战国
42	 [引] 而伸之，触类而长之，天下之能事毕矣。		《周易》__周
43	 [引] 取之也。		《榖梁传》__春秋战国
44	詹何以独茧丝为纶，芒针为钩， 荆筱为竿，剖粒为饵， [引] 盈车之鱼于百仞之渊、汨流之中，纶不绝，钩不伸，竿 不挠。		《列子》__春秋战国
45	其尝所用不过三石，以示左右，左右皆试 [引] 之，中关而止。		《吕氏春秋》__春秋战国
46	故用強齊，非以修禮義也，非以本政教也，非以一天下也，綿綿常以結 [引] 馳外為務。		《荀子》__春秋战国
47	推路寝以居之， [引] 三牲以进之，选女乐以娱之。		《列子》__春秋战国
48	服牛乘马， [引] 重致远，以利天下，盖		《周易》__周
49	此 [引] 《咸》九四爻辞而释之。		《周易》__周
50	夫子始一 [引] 吾并席而坐。		《列子》__春秋战国
51	 [引] 乌号之弓，綦卫之箭， 射其目。		《列子》__春秋战国
52	发 [引] 千 钧。		《列子》__春秋战国
53	及迎牲，君执纟 [引] ，卿大夫从士执刍。		《礼记》__春秋战国
54	发 [引] 千钧，势至等也。		《列子》__春秋战国
55	使乌获疾 [引] 牛尾，尾绝力勯，而牛不可行，逆也。		《吕氏春秋》__春秋战国
56	使五尺竖子 [引] 棬竖，而牛恣所以之，顺也。		《吕氏春秋》__春秋战国
57	子子孙孙，勿替 [引] 之！		《诗经》__周
58	小物 [引] 之，則其正外易，其心內傾，則不足以決粗理矣。		《荀子》__春秋战国
59	辟之以号令 [引] 之以徐疾也粟乎其归我若流水，		《管子》__春秋战国
