语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：弗
2023/1/20 15:13:43

序号	语句	书名	朝代
1	洪惟图天之命， [弗] 永寅念于祀，惟帝降格于夏。		《尚书》__周
2	恶之， [弗] 有也。		《榖梁传》__春秋战国
3	今至于尔辟， [弗] 克以尔多方享天之命，呜呼！”		《尚书》__周
4	未殁而亡政，不可谓武；有子而 [弗] 胜，不可谓威。		《国语》__春秋战国
5	“惟时羲和颠覆厥德，沈乱于酒，畔官离次，俶扰天纪，遐弃厥司，乃季秋月朔，辰 [弗] 集于房，瞽奏鼓，啬夫驰，庶人走，羲和尸厥官罔闻知，昏迷于天象，以干先王之诛，《政典》曰：‘先时者杀无赦，不及时者杀无赦。		《尚书》__周
6	皋陶曰：“帝德罔愆，临下以简，御众以宽；罚 [弗] 及嗣，赏延于世。		《尚书》__周
7	无稽之言勿听， [弗] 询之谋勿庸。		《尚书》__周
8	惟时有苗 [弗] 率，汝徂征。”		《尚书》__周
9	益赞于禹曰：“惟德动天，无远 [弗] 届。		《尚书》__周
10	虞公 [弗] 听，遂受其币而借之道。		《榖梁传》__春秋战国
11	忿， [弗] 粉反。		《大学中庸》__春秋战国
12	大夫见侮而不斗，则是辱也，辱则寡人 [弗] 以为臣矣。”		《吕氏春秋》__春秋战国
13	王曰：“使寡人治信若是，则民虽不治，寡人 [弗] 怨也。		《吕氏春秋》__春秋战国
14	夷吾之少也，不好弄戏，不过所复，怒不及色，及其长也 [弗] 改。		《国语》__春秋战国
15	慎徽五典，五典克従；纳于百揆，百揆时叙；宾于四门，四门穆穆；纳于大麓，烈风雷雨 [弗] 迷。		《尚书》__周
16	舜让于德， [弗] 嗣。		《尚书》__周
17	故可以为文，可以为武，可以摈相，可以治军旅，完且 [弗] 费，善衣之次也。		《礼记》__春秋战国
18	九二，利贞，征凶， [弗] 损益之。		《周易》__周
19	子叔声伯如晋谢季文子，☆☆欲予之邑， [弗] 受也。		《国语》__春秋战国
20	 [弗] 损益之，		《周易》__周
21	六五，或益之十朋之龟， [弗] 克违，元吉。		《周易》__周
22	上九， [弗] 损益之，无咎，贞吉，利有攸往，得臣无家。		《周易》__周
23	展禽曰：“夏父 [弗] 忌必有殃。		《国语》__春秋战国
24	《象》曰：“ [弗] 损益之”，大得志也。		《周易》__周
25	大国亦 [弗] 之众而爱利。		《墨子》__春秋战国
26	九载，绩用 [弗] 成。		《尚书》__周
27	六二，或益之十朋之龟， [弗] 克违，永贞吉，王用享于帝，吉。		《周易》__周
28	侍坐 [弗] 使，不执琴瑟，不画地，手无容，不た也。		《礼记》__春秋战国
29	启呱呱而泣，予 [弗] 子，惟荒度土功。		《尚书》__周
30	州十有二师，外薄四海，咸建五长，各迪有功，苗顽 [弗] 即工，帝其念哉！”		《尚书》__周
31	 [弗] 率训典，殊厥井疆，俾克畏慕。		《尚书》__周
32	夏父 [弗] 忌为宗，蒸将跻僖公。		《国语》__春秋战国
33	观君子之衣服，服剑，乘马， [弗] 贾。		《礼记》__春秋战国
34	罔曰 [弗] 克，惟既厥心；罔曰民寡，惟慎厥事。		《尚书》__周
35	用命，赏于祖； [弗] 用命，戮于社，予则孥戮汝。”		《尚书》__周
36	王若曰：“猷大诰尔多邦越尔御事， [弗] 吊天降割于我家，不少延。		《尚书》__周
37	 [弗] 造哲，迪民康，矧曰其有能格知天命！		《尚书》__周
38	若考作室，既底法，厥子乃 [弗] 肯堂，矧肯构？		《尚书》__周
39	厥父菑，厥子乃 [弗] 肯播，矧肯获？		《尚书》__周
40	厥考翼其肯曰：予有后 [弗] 弃基？		《尚书》__周
41	若兄考，乃有友伐厥子，民养其劝 [弗] 救？”		《尚书》__周
42	敢 [弗] 于従率宁人有指疆土？		《尚书》__周
43	知夫苟中心图民，智虽 [弗] 及，必将至焉。”		《国语》__春秋战国
44	臣之所不若夷吾者五：宽惠柔民， [弗] 若也；治国家不失其柄， [弗] 若也；忠信可结于百姓， [弗] 若也，制礼义可法于四方， [弗] 若也；执☆鼓立于军门，使百姓皆加勇焉， [弗] 若也。		《国语》__春秋战国
45	平丘之会，晋昭公使叔向辞昭公， [弗] 与盟。		《国语》__春秋战国
46	王若曰：“尔殷遗多士， [弗] 吊旻天，大降丧于殷，我有周佑命，将天明威，致王罚，敕殷命终于帝。		《尚书》__周
47	 [弗] 克庸帝，大淫泆有辞。		《尚书》__周
48	昔出公之後声氏为晋公，拘於铜鞮，大国 [弗] 怜也，而使弊邑存亡继绝，弊邑不敢当也。”		《吕氏春秋》__春秋战国
49	卫嗣君欲重税以聚粟，民 [弗] 安，以告薄疑曰：“民甚愚矣。		《吕氏春秋》__春秋战国
50	其在於民而君 [弗] 知，其不如在上也；其在於上而民 [弗] 知，其不如在民也。”		《吕氏春秋》__春秋战国
51	今天降疾，殆 [弗] 兴 [弗] 悟。		《尚书》__周
52	公父文伯之母如季氏，康子在其朝，与之言， [弗] 应，从之及寝门， [弗] 应而入。		《国语》__春秋战国
53	天时不作， [弗] 为人客；人事不起， [弗] 为之始。		《国语》__春秋战国
54	力不足知 [弗] 及而后已。		《墨子》__春秋战国
55	所知而 [弗] 能指说在春也。		《墨子》__春秋战国
56	桓公、管仲虽善匿， [弗] 能隐矣。		《吕氏春秋》__春秋战国
57	所知而 [弗] 能说在春说在春也逃臣。		《墨子》__春秋战国
58	口昬不言，以精相告，纣虽多心， [弗] 能知矣。		《吕氏春秋》__春秋战国
59	目视於无形，耳听於无声，商闻虽众， [弗] 能窥矣。		《吕氏春秋》__春秋战国
60	同恶同好，志皆有欲，虽为天子， [弗] 能离矣。		《吕氏春秋》__春秋战国
61	一则以宗庙临之，而后贬焉；一则以外之 [弗] 夫人，而见正焉。		《榖梁传》__春秋战国
62	凡厥正人，既富方谷，汝 [弗] 能使有好于而家，时人斯其辜。		《尚书》__周
63	白公 [弗] 得也。		《吕氏春秋》__春秋战国
64	平康，正直；强 [弗] 友，刚克；燮友，柔克。		《尚书》__周
65	绂，音 [弗] 。		《周易》__周
66	既克商二年，王有疾， [弗] 豫。		《尚书》__周
67	君子胜不逐奔拼函 [弗] 射。		《墨子》__春秋战国
68	齐有事人者，所事有难而 [弗] 死也。		《吕氏春秋》__春秋战国
69	周公乃告二公曰：“我之 [弗] 辟，我无以告我先王。”		《尚书》__周
70	昔公勤劳王家，惟予冲人 [弗] 及知。		《尚书》__周
71	、追亡人也，蹶而趋之，惟恐 [弗] 及。”		《国语》__春秋战国
72	王若曰：“伯冏，惟予 [弗] 克于德，嗣先人宅丕后，怵惕惟厉，中夜以兴，思免厥愆。		《尚书》__周
73	非人其吉，惟货其吉，若时，瘝厥官，惟尔大 [弗] 克祇厥辟，惟予汝辜。”		《尚书》__周
74	楚申包胥使于越，越王句践问焉，曰：“吴国为不道，求残我社稷宗庙，以为平原， [弗] 使血食。		《国语》__春秋战国
75	求之涂，见妇人衣缁衣，援而 [弗] 舍，欲取其衣，曰：“今者我亡缁衣。”		《吕氏春秋》__春秋战国
76	 [弗] 惟德馨香祀，登闻于天；诞惟民怨，庶群自酒，腥闻在上。		《尚书》__周
77	有斯明享，乃不用我教辞，惟我一人 [弗] 恤 [弗] 蠲，乃事时同于杀。”		《尚书》__周
78	今无其他，而欲为尧、舜、许由，故惠王布冠而拘于鄄，齐威王几 [弗] 受；惠子易衣变冠，乘舆而走，几不出乎魏境。		《吕氏春秋》__春秋战国
79	有 [弗] 若于汝政， [弗] 化于汝训，辟以止辟，乃辟。		《尚书》__周
80	围邯郸三年而 [弗] 能取，士民罢潞，国家空虚，天下之兵四至，众庶诽谤，诸侯不誉。		《吕氏春秋》__春秋战国
81	 [弗] 吊天降丧于殷，殷既坠厥命，我有周既受。		《尚书》__周
82	君已曰时我，我亦不敢宁于上帝命， [弗] 永远念天威越我民；罔尤违，惟人。		《尚书》__周
83	在我后嗣子孙，大 [弗] 克恭上下，遏佚前人光在家，不知天命不易，天难谌，乃其坠命， [弗] 克经历。		《尚书》__周
84	公孙龙曰：“窃意大王之 [弗] 为也。”		《吕氏春秋》__春秋战国
85	公孙龙曰：“日者大王欲破齐，诸天下之士其欲破齐者，大王尽养之；知齐之险阻要塞、君臣之际者，大王尽养之；虽知而 [弗] 欲破者，大王犹若 [弗] 养。		《吕氏春秋》__春秋战国
86	臣是以知大王之 [弗] 为也。		《吕氏春秋》__春秋战国
87	’天休兹至，惟时二人 [弗] 戡。		《尚书》__周
88	曰：称情而立文，因以饰群，则亲疏贵贱之节，而 [弗] 可损益 也。		《礼记》__春秋战国
89	曰：焉使 [弗] 及也。		《礼记》__春秋战国
90	王曰：“ [弗] 与也。”		《吕氏春秋》__春秋战国
91	秦索其下而王 [弗] 听，索其上而王听之，臣窃不取也。”		《吕氏春秋》__春秋战国
92	黩予祭祀，时谓 [弗] 钦。		《尚书》__周
93	纳者，内 [弗] 受也。		《榖梁传》__春秋战国
94	公追齐师，至巂， [弗] 及。		《榖梁传》__春秋战国
95	 [弗] 及者， [弗] 与也，可以及而不敢及也。		《榖梁传》__春秋战国
96	其侵也曰人，其追也曰师，以公之 [弗] 及大之也。		《榖梁传》__春秋战国
97	 [弗] 及，内辞也。		《榖梁传》__春秋战国
98	儒有今人与居，古人与稽；今世行之，后世以为楷；适 [弗] 逢世，上 [弗] 援，下  [弗] 推，谗谄之民，有比党而危之者，身可危也，而志不可夺也，虽危起居，竟信 其志，犹将不忘百姓之病也。		《礼记》__春秋战国
99	儒有澡身而浴德，陈言而伏，静而正之，上 [弗] 知也，粗而翘之，又不急为也； 不临深而为高，不加少而为多，世治不轻，世乱不沮；同 [弗] 与，异 [弗] 非也。		《礼记》__春秋战国
