语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：弥
2022/7/10 22:58:44

序号	语句	书名	朝代
1	太子遂行，克霍而反，谗言 [弥] 兴。		《国语》__春秋战国
2	其出 [弥] 远者，其知 [弥] 少。		《吕氏春秋》__春秋战国
3	若此则形性 [弥] 羸，而耳目愈精；百官慎职，而莫敢愉綖；人事其事，以充其名。		《吕氏春秋》__春秋战国
4	王者之封建也， [弥] 近 [弥] 大， [弥] 远 [弥] 小。		《吕氏春秋》__春秋战国
5	所用 [弥] 大，所欲 [弥] 易。		《吕氏春秋》__春秋战国
6	民之穷苦 [弥] 甚，王者之 [弥] 易。		《吕氏春秋》__春秋战国
7	久 [弥] 异时也宇 [弥] 异所也。		《墨子》__春秋战国
8	袂， [弥] 计反。		《周易》__周
9	此 [弥] 侈矣，而国之不服者三十三。		《韩非子》__春秋战国
10	此 [弥] 侈矣，而国之不服者五十三。		《韩非子》__春秋战国
11	君子皆知文章矣，而欲服者 [弥] 少。		《韩非子》__春秋战国
12	是故地日广，子孙 [弥] 隆。		《吕氏春秋》__春秋战国
13	是故地日削，子孙 [弥] 杀。”		《吕氏春秋》__春秋战国
14	昔者 [弥] 子瑕有宠於卫君。		《韩非子》__春秋战国
15	 [弥] 子瑕母病，人间往夜告 [弥] 子， [弥] 子矫驾君车以出。		《韩非子》__春秋战国
16	及 [弥] 子色衰爱弛，得罪於君，君曰：“是固尝矫驾吾车，又尝啖我以馀桃。”		《韩非子》__春秋战国
17	故 [弥] 子之行未变於初也，而以前之所以见贤而后获罪者，爱憎之变也。		《韩非子》__春秋战国
18	其出 [弥] 远，其知 [弥] 少。		《老子》__春秋战国
19	《易》与天地准，故能 [弥] 纶天地之道。		《周易》__周
20	 [弥] ，如 [弥] 缝之 [弥] ，有终		《周易》__周
21	民 [弥] 贫。		《老子》__春秋战国
22	邓林 [弥] 广数千 里焉。		《列子》__春秋战国
23	赵盾骤谏而不听，公恶之，乃使沮{鹿 [弥] }。		《吕氏春秋》__春秋战国
24	沮{鹿 [弥] }见之不忍贼，曰：“不忘恭敬，民之主也。		《吕氏春秋》__春秋战国
25	有老役夫筋力竭矣，而使之 [弥]  勤。		《列子》__春秋战国
26	乾余骨之沫为 斯 [弥] 。		《列子》__春秋战国
27	斯 [弥] 为食醯颐辂。		《列子》__春秋战国
28	上 [弥] 残苛而无解舍下愈覆势而不听从，		《管子》__春秋战国
29	使海于有蔽渠 [弥] 于有牢，		《管子》__春秋战国
30	二年国 [弥] 桓公又告管仲曰，		《管子》__春秋战国
31	瞻之在前，忽焉在后；用之 [弥]  满，六虚废之莫知其所。		《列子》__春秋战国
32	醮于客位，三加 [弥] 尊，加有成也。		《礼记》__春秋战国
33	其亏 [弥] 甚者也，其尊 [弥] 薄。		《吕氏春秋》__春秋战国
34	皆死久矣，从属 [弥] 众，弟子 [弥] 丰，充满天下。		《吕氏春秋》__春秋战国
35	其索之 [弥] 远者，其推之 [弥] 疏；其求之 [弥] 强者，失之 [弥] 远。		《吕氏春秋》__春秋战国
36	《易》与天地准，故能 [弥] 纶天地之道。		《周易》__周
37	文公问元帅于赵衰，对曰：“☆☆可，行年五十矣，守学 [弥] ☆。		《国语》__春秋战国
38	其妖孽有生如带，有鬼投其陴，有菟生雉，雉亦生鴳，有螟集其国，其音匈匈，国有游蛇西东，马牛乃言，犬彘乃连，有狼入於国，有人自天降，市有舞鸱，国有行飞，马有生角，雄鸡五足，有豕生而 [弥] ，鸡卵多毈，有社迁处，有豕生狗。		《吕氏春秋》__春秋战国
39	三加 [弥] 尊，喻其志也。		《礼记》__春秋战国
40	国 [弥] 大，家 [弥] 富，葬 [弥] 厚。		《吕氏春秋》__春秋战国
41	且死者 [弥] 久，生者 [弥] 疏；生者 [弥] 疏，则守者 [弥] 怠；守者 [弥] 怠而葬器如故，其势固不安矣。		《吕氏春秋》__春秋战国
42	其知 [弥] 精，其所取 [弥] 精；其知 [弥] 粗，其所取 [弥] 粗。		《吕氏春秋》__春秋战国
43	诞 [弥] 厥月，先生如达。		《诗经》__周
44	岂弟君子，俾尔 [弥] 尔性，似先公酋矣。		《诗经》__周
45	岂弟君子，俾尔 [弥] 尔性，百神尔主矣。		《诗经》__周
46	岂弟君子，俾尔 [弥] 尔性，纯嘏尔常矣。		《诗经》__周
47	其智 [弥] 觕者，其所同 [弥] 觕；其智 [弥] 精者，其所同 [弥] 精。		《吕氏春秋》__春秋战国
48	今天下 [弥] 衰，圣王之道废绝。		《吕氏春秋》__春秋战国
49	保民耆艾曰胡， [弥] 年寿考曰胡。		《逸周书》__春秋战国
50	秉，顺也；就，会也；忄寒，过也；锡，与也；典，常也；肆，放也；穅，虚也；澼圣也；惠，爱也；绥，安也；坚，长也；耆，强也；考，成也；周，至也；怀，思也；式，法也；布，施也；敏，疾也；捷，克也；载，事也； [弥] ，久也。		《逸周书》__春秋战国
51	’夫见乱而不惕，所残必多，其饰 [弥] 章。		《国语》__春秋战国
52	为诸侯之有疾病者，阼阶之南，祝淮氏、荣氏，次之慓瓚，次之皆西面， [弥] 宗旁之。		《逸周书》__春秋战国
53	中台之外，其右泰士，台右 [弥] 士。		《逸周书》__春秋战国
54	秽人前兒，前兒若 [弥] 猴，立行似小兒。		《逸周书》__春秋战国
55	悲故乡而发忿兮，去余邦之 [弥] 久。		《楚辞》__春秋战国
56	西施斥於北宫兮，仳倠倚於 [弥] 楹。		《楚辞》__春秋战国
