语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：彼
2023/1/20 15:07:33

序号	语句	书名	朝代
1	以众故不敢爱亲，众况厚之， [彼] 将恶始而美终，以晚盖者也。		《国语》__春秋战国
2	 [彼] 得政而行其欲，得其所索，乃其释君。		《国语》__春秋战国
3	今子曰中立，况固其谋也， [彼] 有成矣，难以得间。”		《国语》__春秋战国
4	诗云：“瞻 [彼] 淇澳，菉竹猗猗。		《大学中庸》__春秋战国
5	 [彼] 不借吾道，必不敢受吾币。		《榖梁传》__春秋战国
6	是以君子必当因其所同，推以度物，使 [彼] 我之间各得分愿，则上下四旁均齐方正，而天下平矣。		《大学中庸》__春秋战国
7	 [彼] 同有是心而兴起焉者，又岂有一夫之不获哉。		《大学中庸》__春秋战国
8	诗云：“节 [彼] 南山，维石岩岩，赫赫师尹，民具尔瞻。”		《大学中庸》__春秋战国
9	惟 [彼] 君道，得命之情，故任天下而不强，此之谓全人。		《吕氏春秋》__春秋战国
10	若夫不肖之人，则 [彼] 将安能以中。”		《礼记》__春秋战国
11	《诗》云：“发 [彼] 有的，以祈尔爵。”		《礼记》__春秋战国
12	 [彼] 为善之，小人之使为国家，菑害并至。		《大学中庸》__春秋战国
13	 [彼] 为善之”，此句上下，疑有阙文误字。		《大学中庸》__春秋战国
14	唯 [彼] 天符，不周而周。		《吕氏春秋》__春秋战国
15	诗云：“瞻 [彼] 淇澳，菉竹猗猗。		《大学中庸》__春秋战国
16	是故君子自难而易 [彼] 。		《墨子》__春秋战国
17	“节 [彼] 南山，维石岩岩，赫赫师尹，民具尔瞻。”		《大学中庸》__春秋战国
18	令 [彼] 在齐，则必长为鲁国忧矣。”		《国语》__春秋战国
19	 [彼] 为善之，小人之使为国家，菑害并至。		《大学中庸》__春秋战国
20	 [彼] 无亦置其同类以服东夷，而大攘诸夏，将天下是王，而何德于君，其予君也？		《国语》__春秋战国
21	不以其不敢于 [彼] 也害之。		《墨子》__春秋战国
22	 [彼] 来从我，固守勿与。		《国语》__春秋战国
23	今其祸新民恐，其君臣上下，皆知其资财之不足以支长久也，必 [彼] 将同其力，致其死，犹尚殆。		《国语》__春秋战国
24	 [彼] 其上将薄七德，民将尽其力，又使之往往而不得食，乃可以致天地之殛。		《国语》__春秋战国
25	虽然， [彼] 近其国，有迁；我绝虑，无迁。		《国语》__春秋战国
26	 [彼] 将不战而先我，我既执诸侯之柄，以岁之不获也，无有诛焉，而先罢之，诸侯必说。		《国语》__春秋战国
27	 [彼] 岂能与我行此危事也哉？		《国语》__春秋战国
28	击我则疾击 [彼] 则不疾于我。		《墨子》__春秋战国
29	将由夫患 邪淫之人与，则 [彼] 朝死而夕忘之，然而从之，则是曾鸟兽之不若也，夫焉与相与 群居而不乱乎？		《礼记》__春秋战国
30	 [彼] 土狭而民众，其宅参居而并处；其寡萌贾息民，上无通名，下无田宅，而恃奸务末作以处；人之复阴阳泽水者过半。		《商君书》__春秋战国
31	 [彼] 固亡国之形也，而不忧民萌，悉其士民军于长平 之下，以争韩上党。		《韩非子》__春秋战国
32	孔子曰：“丘尝与之言曰：‘诚乎此者刑乎 [彼] 。		《吕氏春秋》__春秋战国
33	其三曰：“惟 [彼] 陶唐，有此冀方。		《尚书》__周
34	 [彼] 不死，则我死矣！”		《榖梁传》__春秋战国
35	 [彼] 民不归其力于耕，即食屈于内；不归其节于战，则兵弱于外。		《商君书》__春秋战国
36	 [彼] 言说之势，愚智同学之，士学于言说之人，则民释实事而诵虚词。		《商君书》__春秋战国
37	 [彼] 能战者践富贵之门。		《商君书》__春秋战国
38	荀息曰：“ [彼] 不假我道，必不敢受我。		《韩非子》__春秋战国
39	吾常欲以此术而喻之，若反以 [彼] 术而教我哉？”		《列子》__春秋战国
40	 [彼] 来请地而弗与，则移兵于韩必矣。		《韩非子》__春秋战国
41	与之 [彼] 狃，又将请地他国。		《韩非子》__春秋战国
42	宣子欲勿与，赵葭谏曰：“ [彼] 请地于韩，韩与之。		《韩非子》__春秋战国
43	凡 [彼] 四圣者，生无一日之欢，死有万世之名。		《列子》__春秋战国
44	 [彼]  二凶也，生有纵欲之欢，死被愚暴之名。		《列子》__春秋战国
45	 [彼] 四圣虽美之所归，苦以至终，同于死矣。		《列子》__春秋战国
46	 [彼]  二凶虽恶之所归，乐以至终，亦同归于死矣。”		《列子》__春秋战国
47	 [彼] 君臣有间而后可图也。”		《韩非子》__春秋战国
48	 [彼] 显有所出事，而乃以成他故，说者不徒知所出而已矣，又知其所以为，如此者身危。		《韩非子》__春秋战国
49	 [彼] 有私急也，必以公义示而强之。		《韩非子》__春秋战国
50	九年之后，横心之所念， 横口之所言，亦不知我之是非利害欤，亦不知 [彼] 之是非利害欤；亦不知夫子之为 我师，若人之为我友：内外进矣。		《列子》__春秋战国
51	 [彼] 自多其力，则毋以其难概之也；自勇其断，则无以其谪怒之；自智其计，则毋以其败躬之。		《韩非子》__春秋战国
52	 [彼] 将处乎不深之度，而藏 乎无端之纪，游乎万物之所终始。		《列子》__春秋战国
53	 [彼] 得全于酒而犹若是，而况得全于天乎？		《列子》__春秋战国
54	因复指河曲之淫隈曰：“ [彼] 中有宝珠，泳可得也。”		《列子》__春秋战国
55	虚而待之， [彼] 自以之。		《韩非子》__春秋战国
56	商丘开信伪物犹不逆，况 [彼] 我皆诚哉？		《列子》__春秋战国
57	因而任之，使自事之；因而予之， [彼] 将自举之；正与处之，使皆自定之。		《韩非子》__春秋战国
58	 [彼] 自离之，吾因以知之；是非辐凑，上不与构。		《韩非子》__春秋战国
59	乃若夫没人之未尝见舟也而谡操之也， [彼] 视渊若陵，视舟之覆犹 其车郤也。		《列子》__春秋战国
60	欲为其国，必伐其聚；不伐其聚， [彼] 将聚众。		《韩非子》__春秋战国
61	 [彼] 求我予，假仇人斧；假之不可， [彼] 将用之以伐我。		《韩非子》__春秋战国
62	有道之君，不贵其臣；贵之富之， [彼] 将代之。		《韩非子》__春秋战国
63	魏文侯闻之，问子夏曰：“ [彼] 何人哉？”		《列子》__春秋战国
64	厥监惟不远，在 [彼] 夏王。		《尚书》__周
65	我武维扬，侵于之疆，取 [彼] 凶残。		《尚书》__周
66	而况万乘之主，身劳于国，而智尽于事； [彼] 将任我以事，而效我以功，吾 是以惊。”		《列子》__春秋战国
67	 [彼] 所小言，尽人毒也。		《列子》__春秋战国
68	 [彼] 止而待我，我行而就之，則亦或遲、或速、或先、或後，胡為乎其不可以同至也！		《荀子》__春秋战国
69	 [彼] 人之才性之相縣也，豈若跛■之與六驥足哉！		《荀子》__春秋战国
70	言懿德人之所好，故好爵虽我之所独有，而 [彼] 亦系恋之也。		《周易》__周
71	是以圣人，为腹不为目，故去 [彼] 取此。		《老子》__春秋战国
72	若是汝力之所能，柰何寿 [彼] 而夭此，穷圣 而达逆，贱贤而贵愚，贫善而富恶邪？”		《列子》__春秋战国
73	六五，密云不雨，自我西郊，公弋取 [彼] 在穴。		《周易》__周
74	终身<辶卣>然，不知荣辱之在 [彼] 也，在我也。		《列子》__春秋战国
75	為堯禹則常安榮，為桀跖則常危辱；為堯禹則常愉佚，為工匠農賈則常煩勞；然而人力為此，而寡為 [彼] ，何也？		《荀子》__春秋战国
76	然而人力為此，而寡為 [彼] ，何也？		《荀子》__春秋战国
77	如是者，豈非人之情，固可與如此，可與如 [彼] 也哉！		《荀子》__春秋战国
78	 [彼] 固為天下之大慮也，將為天下生民之屬，長慮顧後而保萬世也。		《荀子》__春秋战国
79	故去 [彼] 取此。		《老子》__春秋战国
80	信命者，于 [彼] 我无二心。		《列子》__春秋战国
81	于 [彼] 我而有二心者，不若掩目塞耳，背阪 面隍，亦不坠仆也。		《列子》__春秋战国
82	倬 [彼] 甫田，岁取十千。		《诗经》__周
83	馌 [彼] 南亩，田畯至喜。		《诗经》__周
84	 [彼] 後王者，天下之君也；舍後王而道上古，譬之是猶舍己之君，而之君也。		《荀子》__春秋战国
85	 [彼] 眾人者，愚而無說，陋而無度者也。		《荀子》__春秋战国
86	 [彼] 有不获稚，此有不敛穧， [彼] 有遗秉，此有滞穗，伊寡妇之利。		《诗经》__周
87	馌 [彼] 南亩，田畯至喜。		《诗经》__周
88	○瞻 [彼] 洛矣		《诗经》__周
89	瞻 [彼] 洛矣，维水泱泱。		《诗经》__周
90	瞻 [彼] 洛矣，维水泱泱。		《诗经》__周
91	瞻 [彼] 洛矣，维水泱泱。		《诗经》__周
92	 [彼] 交匪敖，万福来求。		《诗经》__周
93	如 [彼] 雨		《诗经》__周
94	 [彼] 誠可羞稱也。		《荀子》__春秋战国
95	 [彼] 固曷足稱乎大君子之門哉！		《荀子》__春秋战国
96	依 [彼] 平林，有集维鷮。		《诗经》__周
97	 [彼] 非本政教也，非致隆高也，非綦文理也，非服人之心也。		《荀子》__春秋战国
98	辰 [彼] 硕女，令德来教。		《诗经》__周
99	 [彼] 以讓飾爭，依乎仁而蹈利者也，小人之杰也， [彼] 固曷足稱乎大君子之門哉！		《荀子》__春秋战国
100	 [彼] 王者則不然∶致賢而能以救不肖，致強而能以寬弱， 戰必能殆之而羞與之鬭，委然成文，以示之天下，而暴國安自化矣。		《荀子》__春秋战国
