语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：征
2022/7/10 23:10:25

序号	语句	书名	朝代
1	夏书·胤 [征] 		《尚书》__周
2	羲和湎淫，废时乱日，胤往 [征] 之，作《胤 [征] 》。		《尚书》__周
3	羲和废厥职，酒荒于厥邑，胤后承王命徂 [征] 。		《尚书》__周
4	告于众曰：“嗟予有众，圣有谟训，明 [征] 定保，先王克谨天戒，臣人克有常宪，百官修辅，厥后惟明明，每岁孟春，遒人以木铎徇于路，官师相规，工执艺事以谏，其或不恭，邦有常刑。”		《尚书》__周
5	〖汤 [征] 〗		《尚书》__周
6	汤 [征] 诸侯，葛伯不祀，汤始 [征] 之，作《汤 [征] 》。		《尚书》__周
7	管子对曰：“相地而衰 [征] ，则民不移；政不旅旧，则民不偷；山泽各致其时，则民不苟；陆阜陵☆井田畴均，则民不憾；无夺民时，则百姓富；牺牲不略，则牛羊遂。”		《国语》__春秋战国
8	择天下之甚淫乱者而先 [征] 之。		《国语》__春秋战国
9	西 [征] 攘白狄之地，至于西河，方舟设☆，乘桴济河，至于石枕。		《国语》__春秋战国
10	惟时有苗弗率，汝徂 [征] 。”		《尚书》__周
11	政既成矣，以守则固，以 [征] 则强。		《国语》__春秋战国
12	皮币玩好，使民鬻之四方，以监其上下之所好，择其淫乱者而先 [征] 之。”		《国语》__春秋战国
13	则此禹之所以 [征] 有苗也。		《墨子》__春秋战国
14	九二，利贞， [征] 凶，弗损益之。		《周易》__周
15	九二刚中，志在自守，不肯妄进，故占者利贞，而 [征] 则凶也。		《周易》__周
16	舜生三十 [征] ，庸三十，在位五十载，陟方乃死。		《尚书》__周
17	昔者禹 [征] 有苗汤伐桀。		《墨子》__春秋战国
18	是以上能 [征] 下，下无奸慝。		《国语》__春秋战国
19	天子作师，公帅之，以 [征] 不德。		《国语》__春秋战国
20	越予小子考，翼不可 [征] ，王害不违卜？		《尚书》__周
21	于是乎有鳏寡孤疾，有军旅之出则 [征] 之，无则已。		《国语》__春秋战国
22	肆朕诞以尔东 [征] 。		《尚书》__周
23	乃葛伯仇饷，初 [征] 自葛，东 [征] ，西夷怨；南 [征] ，北狄怨，曰：‘奚独后予？		《尚书》__周
24	卞有罪而子 [征] 之，子之隶也，又何谒焉？”		《国语》__春秋战国
25	甲戌，我惟 [征] 徐戎。		《尚书》__周
26	桓公曰：“昭王南 [征] 不反。		《榖梁传》__春秋战国
27	昭王南 [征] 不反，我将问诸江！”		《榖梁传》__春秋战国
28	升：元亨，用见大人，勿恤；南 [征] ，吉。		《周易》__周
29	南 [征] ，前进也。		《周易》__周
30	南 [征] ，吉”，志行也。		《周易》__周
31	初一曰五行，次二曰敬用五事，次三曰农用八政，次四曰协用五纪，次五曰建用皇极，次六曰乂用三德，次七曰明用稽疑，次八曰念用庶 [征] ，次九曰向用五福，威用六极。		《尚书》__周
32	八、庶 [征] ：曰雨，曰旸，曰燠，曰寒，曰风。		《尚书》__周
33	曰休 [征] ；曰肃、时雨若；曰乂，时旸若；曰晰，时燠若；曰谋，时寒若；曰圣，时风若。		《尚书》__周
34	九二，困于酒食，朱绂方来，利用亨祀， [征] 凶，无咎。		《周易》__周
35	曰咎 [征] ：曰狂，恒雨若；曰僭，恒旸若；曰豫，恒燠若；曰急，恒寒若；曰蒙，恒风若。		《尚书》__周
36	而其占利以享祀，若 [征] 行则非其时，故凶，而于义为无咎也。		《周易》__周
37	天地未形，而先为之 [征] ，其事是以不成，杂受其刑。		《国语》__春秋战国
38	上六，困于葛藟，于臬危兀危，曰动悔有悔， [征] 吉。		《周易》__周
39	然物穷则变，故其占曰，若能有悔，则可以 [征] 而吉矣。		《周易》__周
40	吴王夫差既杀申胥，不稔于岁，乃起师北 [征] 。		《国语》__春秋战国
41	孤日夜相继，匍匐就君，君今非王室不平安是忧，亿负晋众庶，不式诸戎、狄、楚、秦；将不长弟，以力 [征] 一二兄弟之国。		《国语》__春秋战国
42	越灭吴，上 [征] 上国，宋、郑、鲁、卫、陈、蔡执玉之君皆入朝。		《国语》__春秋战国
43	六二，已日乃革之， [征] 吉，无咎。		《周易》__周
44	日然后革之，则 [征] 吉而无咎。		《周易》__周
45	古者被甲婴胄，非以兴国也，则以 [征] 无道也，岂曰以报其耻哉？		《榖梁传》__春秋战国
46	九三， [征] 凶，贞厉，革言三就，有孚。		《周易》__周
47	过刚不中，居离之极，躁动于革者也，故其占有 [征] 凶贞厉之戒。		《周易》__周
48	上六，君子豹变，小人革面， [征] 凶，居贞吉。		《周易》__周
49	以 [征] ，而居正则吉。		《周易》__周
50	故以王天下者并刑，力 [征] 诸侯者退德。		《商君书》__春秋战国
51	故神农教耕而王天下，师其知也；汤、武致强而 [征] 诸侯，服其力也。		《商君书》__春秋战国
52	务胜则争，力 [征] 则讼，讼而无正，则莫得其性也。		《商君书》__春秋战国
53	当此时也，民务胜而力 [征] 。		《商君书》__春秋战国
54	故神农教耕而王天下，师其知也；汤、武致强而 [征] 诸侯，服其力也。		《商君书》__春秋战国
55	上六，震索索，视矍矍， [征] 凶。		《周易》__周
56	食贵，籴食不利，而又加重 [征] ，则民不得无去其商贾、技巧而事地利矣。		《商君书》__春秋战国
