语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：徐
2022/7/10 23:02:43

序号	语句	书名	朝代
1	公孙敖帅师及诸侯之大夫救 [徐] 。		《春秋》__周
2	即位数年，东南多有淫乱者，莱、莒、 [徐] 夷、吴、越，一战帅服三十一国。		《国语》__春秋战国
3	 [徐] 人取舒。		《榖梁传》__春秋战国
4	鲁侯伯禽宅曲阜， [徐] 、夷并兴，东郊不开。		《尚书》__周
5	徂兹淮夷、 [徐] 戎并兴。		《尚书》__周
6	甲戌，我惟征 [徐] 戎。		《尚书》__周
7	胜书说周公旦曰：“延小人众， [徐] 言则不闻，疾言则人知之。		《吕氏春秋》__春秋战国
8	 [徐] 言乎，疾言乎？”		《吕氏春秋》__春秋战国
9	周公旦曰：“ [徐] 言。”		《吕氏春秋》__春秋战国
10	宜为人主，安 [徐] 而重固；阴节不尽，柔而不可迫。		《国语》__春秋战国
11	管仲曰：“君之揖朝也恭，而言也 [徐] ，见臣而有惭色，臣是以知之。”		《吕氏春秋》__春秋战国
12	九五，劓刖，困于赤绂，乃 [徐] 有说，利用祭祀。		《周易》__周
13	乃 [徐] 有说”，以中直也。“		《周易》__周
14	楚人伐 [徐] 。		《榖梁传》__春秋战国
15	公孙敖帅师及诸侯之大夫救 [徐] 。		《榖梁传》__春秋战国
16	善救 [徐] 也。		《榖梁传》__春秋战国
17	楚人败 [徐] 于娄林。		《榖梁传》__春秋战国
18	齐、宋、 [徐] 、夷曰：‘吴既败矣！		《国语》__春秋战国
19	十有七年春，齐人、 [徐] 人伐英氏。		《榖梁传》__春秋战国
20	其弟子 [徐] 弱谏孟胜曰：“死而有益阳城君，死之可矣；无益也，而绝墨者於世，不可。”		《吕氏春秋》__春秋战国
21	 [徐] 弱曰：“若夫子之言，弱请先死以除路。”		《吕氏春秋》__春秋战国
22	冬， [徐] 伐莒。		《榖梁传》__春秋战国
23	昔者楚灵王为申之会，宋太子后至，执而囚之；狎 [徐] 君；拘齐庆封。		《韩非子》__春秋战国
24	疾不必生， [徐] 不必死。		《吕氏春秋》__春秋战国
25	火过， [徐] 行而出，若无所经涉者，襄子怪而留之， [徐] 而察 之：形色七窍，人也；气息音声，人也。		《列子》__春秋战国
26	孰能浊以静之 [徐] 清。		《老子》__春秋战国
27	孰能安以动之 [徐] 生。		《老子》__春秋战国
28	且 [徐] 偃王之狀，目可瞻馬。		《荀子》__春秋战国
29	詩曰∶「 [徐] 方既同，天子之功。」		《荀子》__春秋战国
30	唯黄帝与容成子居空峒之上，同斋三月，心死形废； [徐] 以神视， 块然见之，若嵩山之阿； [徐] 以气听，砰然闻之，若雷霆之声。		《列子》__春秋战国
31	故國君長民者，欲趨時遂功，則和調累解，速乎急疾；忠信均辨，說乎慶賞矣；必先修正其在我者，然後 [徐] 責其在人者，威乎刑罰。		《荀子》__春秋战国
32	肫若浊，浊以静之 [徐] 清。”		《老子想尔注》__春秋战国
33	安以动之 [徐] 生。”		《老子想尔注》__春秋战国
34	安思其义，不犯道，乃 [徐] 施之，生道不去。“		《老子想尔注》__春秋战国
35	及秋而叩角弦，以激夹钟，温风 [徐] 回，草木发荣。		《列子》__春秋战国
36	耶道不信明圣人之言，故令千百岁大圣演真，涤 [徐] 耶文。		《老子想尔注》__春秋战国
37	詩曰∶「王猶允塞， [徐] 方既來。」		《荀子》__春秋战国
38	变化之极， [徐] 疾之间， 可尽模哉？”		《列子》__春秋战国
39	彼善为国者乘时疾 [徐] 而已矣谓之国会，		《管子》__春秋战国
40	彼善为国者乘时 [徐] 疾而已矣谓之国会，		《管子》__春秋战国
41	詩曰∶「王猶允塞， [徐] 方既來。」		《荀子》__春秋战国
42	安 [徐] 而静柔节先定虚心平意以待倾，		《管子》__春秋战国
43	公遵遁缪然远二子遂 [徐] 行而进，		《管子》__春秋战国
44	辟之以号令引之以 [徐] 疾也粟乎其归我若流水，		《管子》__春秋战国
45	王霸之不求于人而求之终始四时之高下令之 [徐] 疾而已矣，		《管子》__春秋战国
46	安 [徐] 正静，其被节先肉。		《鬼谷子》__春秋战国
47	日月星辰，或疾或 [徐] ，日月不同，以尽其行。		《吕氏春秋》__春秋战国
48	欲急疾捷先之道，在於知缓 [徐] 迟後而急疾捷先之分也。		《吕氏春秋》__春秋战国
49	今以木击木则拌，以水投水则散，以冰投冰则沈，以涂投涂则陷，以疾 [徐] 先後之势也。		《吕氏春秋》__春秋战国
50	保有凫绎，遂荒 [徐] 宅。		《诗经》__周
51	 [徐] 行后长者谓之弟，疾行先长者谓之不弟。		《孟子》__春秋战国
52	夫 [徐] 行者，岂人所不能哉？		《孟子》__春秋战国
53	君与尸行接武，大夫继武，士中武， [徐] 趋皆用是。		《礼记》__春秋战国
54	趋出，授绥而乘，其仆将驰，晏子抚其手曰：“ [徐] 之!		《晏子春秋》__春秋战国
55	疾不必生， [徐] 不必死，鹿生于野，命悬于厨，婴命有系矣。”		《晏子春秋》__春秋战国
56	戒我师旅，率彼淮浦，省此 [徐] 土。		《诗经》__周
57	 [徐] 方绎骚，震惊 [徐] 方。		《诗经》__周
58	如雷如霆， [徐] 方震惊。		《诗经》__周
59	不测不克，濯征 [徐] 国。		《诗经》__周
60	王犹允塞， [徐] 方既来。		《诗经》__周
61	 [徐] 方既同，天子之功。		《诗经》__周
62	四方既平， [徐] 方来庭。		《诗经》__周
63	 [徐] 方不回，王曰还归。		《诗经》__周
64	声亦如味：一气、二体、三类、四物、五声、六律、七音、八风、九歌，以相成也；清浊、大小、短长、疾 [徐] 、哀乐、刚柔、迟速、高下、出入、周流，以相济也。		《晏子春秋》__春秋战国
65	 [徐] 子曰：“仲尼亟称于水，曰：‘水哉，水哉！		《孟子》__春秋战国
66	九五，劓刖，困于赤绂，乃 [徐] 有说，利用祭祀。		《周易》__周
67	乃 [徐] 有说”，以中直也。“		《周易》__周
68	时疾时 [徐] ，灭腥去臊除膻，必以其胜，无失其理。		《吕氏春秋》__春秋战国
69	墨者夷之因 [徐] 辟而求见孟子。		《孟子》__春秋战国
70	 [徐] 子以告夷子。		《孟子》__春秋战国
71	 [徐] 子以告孟子。		《孟子》__春秋战国
72	 [徐] 徘徊於山阿兮，飘风来之汹汹。		《楚辞》__春秋战国
73	《庄子·杂篇· [徐] 无鬼第二十四》		《庄子》__春秋战国
74	 [徐] 无鬼因女商见魏武侯，武侯劳之曰：“先生病矣，苦于山林之劳		《庄子》__春秋战国
75	 [徐] 无鬼曰：“我则劳于君，君有何劳于我！		《庄子》__春秋战国
76	少焉， [徐] 无鬼曰		《庄子》__春秋战国
77	 [徐] 无鬼出，女商曰		《庄子》__春秋战国
78	 [徐] 无鬼曰：“吾直告之吾相狗马耳。”		《庄子》__春秋战国
79	 [徐] 无鬼见武侯，武侯曰：“先生居山林，食囗（上“艹”下“予”		《庄子》__春秋战国
80	 [徐] 无鬼曰：“无鬼生于贫贱，未尝		《庄子》__春秋战国
81	 [徐] 无鬼曰：“天地之养也		《庄子》__春秋战国
82	 [徐] 无鬼曰：“不可。		《庄子》__春秋战国
83	楚师还自 [徐] ，吴人败诸豫章，获其五帅。		《左传》__春秋战国
84	【经】十有六年春，齐侯伐 [徐] 。		《左传》__春秋战国
85	齐侯伐 [徐] 。		《左传》__春秋战国
86	 [徐] 人行成。		《左传》__春秋战国
87	 [徐] 子及郯人、莒人会齐侯，盟于蒲隧，赂以甲父之鼎。		《左传》__春秋战国
88	”右“页”音ｈｕｉ４），儒以金椎控其颐， [徐] 别其颊，无伤口中珠		《庄子》__春秋战国
89	偃王行其仁义兮，荆文寤而 [徐] 亡。		《楚辞》__春秋战国
90	邾人、郳人、 [徐] 人会宋公。		《左传》__春秋战国
91	分鲁公以大路，大旂，夏后氏之璜，封父之繁弱，殷民六族，条氏、 [徐] 氏、萧氏、索氏、长勺氏、尾勺氏。		《左传》__春秋战国
92	王奔郧，钟建负季羋以従，由于 [徐] 苏而従。		《左传》__春秋战国
93	 [徐] 风至而徘徊兮，疾风过之汤汤。		《楚辞》__春秋战国
94	清浊，小大，短长，疾 [徐] ，哀乐，刚柔，迟速，高下，出入，周疏，以相济也。		《左传》__春秋战国
95	路曼曼其修远兮， [徐] 弭节而高历。		《楚辞》__春秋战国
96	鲁人 [徐] 伤归父之无后也，于是使婴齐后之也。		《公羊传》__春秋战国
97	 [徐] 锄、丘弱、茅地曰：“道下，遇雨，将不出，是不归也。”		《左传》__春秋战国
98	三月癸未，败绩于 [徐] 吾氏。		《左传》__春秋战国
99	遂自 [徐] 关入。		《左传》__春秋战国
100	吴公子掩余奔 [徐] ，公子烛庸奔钟吾。		《左传》__春秋战国
101	司马弥牟为邬大夫，贾辛为祁大夫，司马乌为平陵大夫，魏戊为梗阳大夫，知 [徐] 吾为涂水大夫，韩固为马首大夫，孟丙为盂大夫，乐霄为铜鞮大夫，赵朝为平阳大夫，僚安为杨氏大夫。		《左传》__春秋战国
102	谓知 [徐] 吾、赵朝、韩固、魏戊，余子之不失职，能守业者也。		《左传》__春秋战国
103	吴始伐楚，伐巢、伐 [徐] 。		《左传》__春秋战国
104	冬十有二月，吴灭 [徐] ， [徐] 子章羽奔楚。		《左传》__春秋战国
105	吴子使 [徐] 人执掩余，使钟吾人执烛庸二公子奔楚，楚子大封，而定其徙。		《左传》__春秋战国
106	元始中，车师后王国有新道，出五船北，通玉门关，往来差近，戊己校尉 [徐] 普欲开以省道里半，避白龙堆之厄。		《汉书》__汉
107	 [徐] 人取舒。		《公羊传》__春秋战国
108	冬十二月，吴子执钟吴子，遂伐 [徐] ，防山以水之。		《左传》__春秋战国
109	己卯，灭 [徐] 。		《左传》__春秋战国
110	 [徐] 子章禹断其发，携其夫人，以逆吴子。		《左传》__春秋战国
111	楚沈尹戌帅师救 [徐] ，弗及，遂城夷，使 [徐] 子处之。		《左传》__春秋战国
112	御史大夫萧望之奏言：“故御史属 [徐] 宫家在东莱，言往年加海租，鱼不出。		《汉书》__汉
113	盖 [徐] 、莒胁之。		《公羊传》__春秋战国
114	曷为不言 [徐] 、莒胁之？		《公羊传》__春秋战国
115	楚人伐 [徐] 。		《公羊传》__春秋战国
116	公孙敖率师及诸侯之大夫救 [徐] 。		《公羊传》__春秋战国
117	楚人败 [徐] 于娄林。		《公羊传》__春秋战国
118	六鹢退飞，记见也，视之则六，察之则鹢， [徐] 而察之则退飞。		《公羊传》__春秋战国
119	春，齐人、 [徐] 人伐英氏。		《公羊传》__春秋战国
120	齐侯与之盟于 [徐] 关而复之。		《左传》__春秋战国
121	光禄勋 [徐] 自为曰：“悲夫！		《汉书》__汉
122	南阳有梅免、百政，楚有段中、杜少，齐有 [徐] 勃，燕、赵之间有坚卢、范主之属。		《汉书》__汉
123	冬， [徐] 伐莒。		《公羊传》__春秋战国
124	其行身也， [徐] 而不费，无为也而笑巧。		《庄子》__春秋战国
125	在辰曰执 [徐] 。		《汉书》__汉
126	斫轮， [徐] 则甘而不固，疾则苦而不		《庄子》__春秋战国
127	其气平者其行 [徐] 。		《汉书》__汉
128	夏，楚子、蔡侯、陈侯、郑伯、许男、 [徐] 子、滕子、顿子、胡子、沈子、小邾娄子、宋世子佐、淮夷会于申。		《公羊传》__春秋战国
129	楚人执 [徐] 子。		《公羊传》__春秋战国
130	多胜少，久胜亟，疾胜 [徐] 。		《汉书》__汉
131	冬，楚子、蔡侯、陈侯、许男、顿子、沈子、 [徐] 人、越人伐吴。		《公羊传》__春秋战国
132	楚子伐 [徐] 。		《公羊传》__春秋战国
133	春，齐侯伐 [徐] 。		《公羊传》__春秋战国
134	即墨 [徐] 万且、长安 [徐] 禹治《太初历》亦第一。		《汉书》__汉
135	周公立相，天子三叔及殷东 [徐] 奄及熊盈以略。		《逸周书》__春秋战国
136	冬十有二月，吴灭 [徐] ， [徐] 子章禹奔楚。		《公羊传》__春秋战国
137	大夫以君命出，闻丧 [徐] 行而不反。		《公羊传》__春秋战国
138	上为封祠器视群儒，群儒或曰“不与古同”， [徐] 偃又曰“太常诸生行礼不如鲁善”，周霸属图封事，于是上黜偃、霸，而尽罢诸儒弗用。		《汉书》__汉
139	祁祁、迟迟， [徐] 也。		《尔雅》__汉
140	 [徐] 行翔佯而归，绝学捐书		《庄子》__春秋战国
141	句黎湖单于立，汉使光禄勋 [徐] 自为出五原塞数百里，远者千里，筑城障列亭至卢朐，而使游击将军韩说、长平侯卫伉屯其旁，使强弩都尉路博德筑居延泽上。		《汉书》__汉
142	所见于薛公 [徐] 为，其功（攻）齐益疾。		《纵横家书》__春秋战国
143	其虚其 [徐] ，威仪容止也。		《尔雅》__汉
144	令田贤急守薛公，非是毋有使于薛公 [徐] 之所，它（他）人将非之以败臣。		《纵横家书》__春秋战国
