语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：得
2022/7/12 22:08:18

序号	语句	书名	朝代
1	足迹如空我 [得] 寻。		《禅林僧宝传卷第二十七》__宋
2	颖曰、事如函 [得] 盖、理如箭直锋。		《禅林僧宝传卷第二十七》__宋
3	而公独献诗、 [得] 奏名。		《禅林僧宝传卷第二十三》__宋
4	公曰、彼以有 [得] 之 [得] 、护前遮後。		《禅林僧宝传卷第二十三》__宋
5	情与无情、如何 [得] 成一体。		《禅林僧宝传卷第二十三》__宋
6	五求解去、乃 [得] 谢事闲居。		《禅林僧宝传卷第二十三》__宋
7	此事须是和尚始 [得] 。		《禅林僧宝传卷第二十三》__宋
8	谁云物理齐、种麻还 [得] 粟。		《禅林僧宝传卷第二十三》__宋
9	曰、若然者、学人亦 [得] 自在去也。		《禅林僧宝传卷第二十三》__宋
10	南公曰、脚下鞋是何处 [得] 来。		《禅林僧宝传卷第二十三》__宋
11	曰、庐山七百钱唱 [得] 。		《禅林僧宝传卷第二十三》__宋
12	师曰、和尚替侍者、下涅槃堂始 [得] 。		《禅林僧宝传卷第二十三》__宋
13	道俗千馀人、皆 [得] 之。		《禅林僧宝传卷第二十三》__宋
14	不由师训、自然 [得] 道。		《禅林僧宝传卷第二十三》__宋
15	 [得] 解一切众生语言陀罗尼。		《禅林僧宝传卷第二十四》__宋
16	伟色庄使搜 [得] 之。		《禅林僧宝传卷第二十四》__宋
17	 [得] 死不愈于生乎。		《禅林僧宝传卷第二十四》__宋
18	後三日阇维、 [得] 五色舍利。		《禅林僧宝传卷第二十四》__宋
19	但一柄 [得] 、馀委地。		《禅林僧宝传卷第二十四》__宋
20	竟 [得] 之新淦殊山穷谷中、遂应命。		《禅林僧宝传卷第二十四》__宋
21	]凡两月而 [得] 旨、如所乞。		《禅林僧宝传卷第二十四》__宋
22	其 [得] 众心如此。		《禅林僧宝传卷第二十四》__宋
23	试所习、 [得] 度具戒。		《禅林僧宝传卷第二十五》__宋
24	汝安 [得] 不祥之言哉。		《禅林僧宝传卷第二十五》__宋
25	阇维 [得] 舍利。		《禅林僧宝传卷第二十五》__宋
26	二十四 [得] 度具戒。		《禅林僧宝传卷第二十五》__宋
27	昔本不成、今安 [得] 坏。		《禅林僧宝传卷第二十五》__宋
28	阇维 [得] 五色舍利。		《禅林僧宝传卷第二十五》__宋
29	十七 [得] 度、二十远游。		《禅林僧宝传卷第二十五》__宋
30	闲曰、也不消 [得] 。		《禅林僧宝传卷第二十五》__宋
31	闲曰、甚处学 [得] 这虚头来。		《禅林僧宝传卷第二十五》__宋
32	若到同安如何过 [得] 。		《禅林僧宝传卷第二十五》__宋
33	]对曰、渠也须到这个田地、始 [得] 。		《禅林僧宝传卷第二十五》__宋
34	南公以手指曰、这柱 [得] 与么圆。		《禅林僧宝传卷第二十五》__宋
35	那枋 [得] 与么扁。		《禅林僧宝传卷第二十五》__宋
36	须是和尚始 [得] 。		《禅林僧宝传卷第二十五》__宋
37	乃问、 [得] 坐披衣、向後如何施设。		《禅林僧宝传卷第二十五》__宋
38	皆 [得] 舍利如金色、碎之如金沙。		《禅林僧宝传卷第二十五》__宋
39	年二十三 [得] 度。		《禅林僧宝传卷第二十五》__宋
40	遇曰、吴中石佛、大有人不曾 [得] 见。		《禅林僧宝传卷第二十五》__宋
41	太守以职事、不 [得] 入山。		《禅林僧宝传卷第二十五》__宋
42	智心知堕其计、不 [得] 辞乃受之。		《禅林僧宝传卷第二十五》__宋
43	阇维 [得] 五色舍利、经旬。		《禅林僧宝传卷第二十五》__宋
44	细民拨灰、烬中犹 [得] 之。		《禅林僧宝传卷第二十五》__宋
45	年二十二、依城南湘山隐静寺[或云依金地寺] [得] 度。		《禅林僧宝传卷第二十一》__宋
46	公曰、也不消 [得] 。		《禅林僧宝传卷第二十一》__宋
47	公拍掌曰、不 [得] 放过。		《禅林僧宝传卷第二十一》__宋
48	曰、近 [得] 一道人、真西河师子。		《禅林僧宝传卷第二十一》__宋
49	政以法不 [得] 。		《禅林僧宝传卷第二十一》__宋
50	道 [得] 即与上座相见。		《禅林僧宝传卷第二十一》__宋
51	公曰、什么处 [得] 此消息。		《禅林僧宝传卷第二十一》__宋
52	第一句荐 [得] 、堪与祖佛为师。		《禅林僧宝传卷第二十一》__宋
53	第二句荐 [得] 、堪与人天为师。		《禅林僧宝传卷第二十一》__宋
54	第三句荐 [得] 、自救不了。		《禅林僧宝传卷第二十一》__宋
55	第一句荐 [得] 和泥合水。		《禅林僧宝传卷第二十一》__宋
56	第二句荐 [得] 、无绳自缚。		《禅林僧宝传卷第二十一》__宋
57	第三句荐 [得] 、四棱著地。		《禅林僧宝传卷第二十一》__宋
58	还有分 [得] 者么。		《禅林僧宝传卷第二十一》__宋
59	若也分 [得] 、朝打三千暮打八百。		《禅林僧宝传卷第二十一》__宋
60	既 [得] 凉风便、休将橹棹施。		《禅林僧宝传卷第二十一》__宋
61	有众之累、不 [得] 躬造。		《禅林僧宝传卷第二十一》__宋
62	觉默 [得] 其游戏三昧。		《禅林僧宝传卷第二十一》__宋
63	我忽 [得] 风痹疾。		《禅林僧宝传卷第二十一》__宋
64	黑黑黑、道道道、明明明、 [得]  [得]  [得] 。		《禅林僧宝传卷第二十一》__宋
65	若人识 [得] 、不离四威仪中。		《禅林僧宝传卷第二十一》__宋
66	究竟无法可 [得] 、无道可修。		《禅林僧宝传卷第九》__宋
67	又可作意、 而修 [得] 哉。		《禅林僧宝传卷第九》__宋
68	遁曰、 六祖为什么将 [得] 去。		《禅林僧宝传卷第九》__宋
69	君若随缘 [得] 似风。		《禅林僧宝传卷第九》__宋
70	若言他生、即不 [得] 自。		《禅林僧宝传卷第九》__宋
71	因缘生六受、 [得] 一切法。		《禅林僧宝传卷第九》__宋
72	僧曰、如何 [得] 形迹俱忘。		《禅林僧宝传卷第九》__宋
73	不待功成、岂假修 [得] 。		《禅林僧宝传卷第九》__宋
74	曰随处 [得] 自在。		《禅林僧宝传卷第九》__宋
75	曰 还盖 [得] 么。		《禅林僧宝传卷第九》__宋
76	问诸佛道不 [得] 处、和尚还道  [得] 么。		《禅林僧宝传卷第九》__宋
77	曰汝道、什么处诸圣道不 [得] 。		《禅林僧宝传卷第九》__宋
78	其 儿孙遵承之、以为妙 [得] 其旨。		《禅林僧宝传卷第九》__宋
79	说法其下曰、佛法有什么多事、行 [得] 即是。		《禅林僧宝传卷第六》__宋
80	欲 [得] 如是事、还须如是人。		《禅林僧宝传卷第六》__宋
81	若无如是事、 饶汝说 [得] 、簇华簇锦相似。		《禅林僧宝传卷第六》__宋
82	汝等譬如猎狗、但寻 [得] 有踪迹底。		《禅林僧宝传卷第六》__宋
83	须教相续不断、始 [得] 。		《禅林僧宝传卷第六》__宋
84	岂不是 [得] 妙底事。		《禅林僧宝传卷第六》__宋
85	向去底 人、须常惨悚戢翼、始 [得] 。		《禅林僧宝传卷第六》__宋
86	体 [得] 底人、心若猎月扇、口边直 [得] 醭出。		《禅林僧宝传卷第六》__宋
87	欲 [得] 与么事、须是与么人。		《禅林僧宝传卷第六》__宋
88	又曰、汝等直饶学 [得] 佛边事。		《禅林僧宝传卷第六》__宋
89	不见古人、讲 [得] 天花 落、石点头。		《禅林僧宝传卷第六》__宋
90	饶汝说 [得] 、簇花簇锦、 也无用处。		《禅林僧宝传卷第六》__宋
91	始 [得] 无过、方 [得] 出身。		《禅林僧宝传卷第六》__宋
92	并尽一切事、始 [得] 无过。		《禅林僧宝传卷第六》__宋
93	不 [得] 将来、向尊贵边。		《禅林僧宝传卷第六》__宋
94	又 曰、 [得] 者不轻微、明者不贱用。		《禅林僧宝传卷第六》__宋
95	曰不贵 [得] 。		《禅林僧宝传卷第六》__宋
96	又曰、了无所 有、 [得] 无所图。		《禅林僧宝传卷第六》__宋
97	心无所托、及尽始 [得] 无过。		《禅林僧宝传卷第六》__宋
98	脱一切羁 锁、千人万人 [得] 。		《禅林僧宝传卷第六》__宋
99	如今若 [得] 、共起初一般。		《禅林僧宝传卷第六》__宋
100	古人曰、体 [得] 那边事、 却来这边行李。		《禅林僧宝传卷第六》__宋
101	若体 [得] 这个人意。		《禅林僧宝传卷第六》__宋
102	如今若 [得] 、久远亦 [得] 。		《禅林僧宝传卷第六》__宋
103	直 [得] 顶上光焰生、亦不是。		《禅林僧宝传卷第六》__宋
104	曰、直 [得] 琉璃殿上。		《禅林僧宝传卷第六》__宋
105	 [得] 人岂向说中求。		《禅林僧宝传卷第六》__宋
106	非但恶眷属、善眷属、 也觅不 [得] 。		《禅林僧宝传卷第六》__宋
107	始脱 [得] 诸有门去。		《禅林僧宝传卷第六》__宋
108	去 [得] 牢笼、脱 险难、异常徒。		《禅林僧宝传卷第六》__宋
109	千万之中、难为一二、一二不可 [得] 。		《禅林僧宝传卷第六》__宋
110	不见道、显照底人即易 [得] 。		《禅林僧宝传卷第六》__宋
111	若未 [得] 如此、不受强为。		《禅林僧宝传卷第六》__宋
112	即见不 [得] 、说什么大话。		《禅林僧宝传卷第六》__宋
113	 [得] 在佛法中。		《禅林僧宝传卷第六》__宋
114	此僧 [得] 书不发、明日当来。		《禅林僧宝传卷第六》__宋
115	安 [得] 书果置之不答。		《禅林僧宝传卷第六》__宋
116	学道先须识 [得] 自己宗旨。		《禅林僧宝传卷第六》__宋
117	欲 [得] 大用现前、但可 顿忘诸见。		《禅林僧宝传卷第六》__宋
118	所以是非欣厌贯系、不 [得] 脱坼自由。		《禅林僧宝传卷第六》__宋
119	有问问诸人、若对 [得] 、分付 钵袋子。		《禅林僧宝传卷第六》__宋
120	据汝合体 [得] 先师意旨。		《禅林僧宝传卷第六》__宋
121	雄雄之尊、因什么亲近不 [得] 。		《禅林僧宝传卷第七》__宋
122	十二时中、如何 [得] 顿息 万缘去。		《禅林僧宝传卷第七》__宋
123	若於此明 [得] 寂静法、不寂静法也收尽。		《禅林僧宝传卷第七》__宋
124	明 [得] 远离法、 不远离法亦收尽。		《禅林僧宝传卷第七》__宋
125	或问、自心他心、 [得] 相见否。		《禅林僧宝传卷第七》__宋
126	如何了达、 [得] 无同异。		《禅林僧宝传卷第七》__宋
127	垂 [得] 阿耨多罗三藐三菩提。		《禅林僧宝传卷第七》__宋
128	佛於此座、当 [得] 阿耨多罗 三藐三菩提。		《禅林僧宝传卷第七》__宋
129	幼依百丈明照禅师 [得] 度。		《禅林僧宝传卷第七》__宋
130	如何 [得] 句句无前後耶。		《禅林僧宝传卷第七》__宋
131	则 於生死之际、超然自 [得] 如此。		《禅林僧宝传卷第七》__宋
