语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：徙
2022/7/10 23:09:22

序号	语句	书名	朝代
1	夫神壹不远 [徙] 迁，若由是观之，其丹朱之神乎？”		《国语》__春秋战国
2	请从司徒以班 [徙] 次。”		《国语》__春秋战国
3	越王句践乃率中军☆江以袭吴，入其郛，焚其姑苏， [徙] 其大舟。		《国语》__春秋战国
4	明日 [徙] 舍，至于儿，斩有罪者以徇，曰：“莫如此淫逸不可禁也。”		《国语》__春秋战国
5	明日 [徙] 舍，斩有罪者以徇，曰：“莫如此不用王命。”		《国语》__春秋战国
6	明日 [徙] 舍，斩有罪者以徇，曰：“莫如此不从其伍之令。”		《国语》__春秋战国
7	故事《诗》、《书》谈说之士，则民游而轻其君；事处士，则民远而非其上；事勇士，则民竞而轻其禁；技艺之士用，则民剽而易 [徙] ；商贾之士佚且利，则民缘而议其上。		《商君书》__春秋战国
8	将御者，齐，漱浣，慎衣服，栉纟 [徙] 笄总，角拂髦，衿缨綦屦。		《礼记》__春秋战国
9	吾将 [徙] 之，其父曰：‘吾恃为鞔以食三世矣，今 [徙] 之，是宋国之求鞔者不知吾处也，吾将不食。		《吕氏春秋》__春秋战国
10	’为是故，吾弗 [徙] 也。		《吕氏春秋》__春秋战国
11	易无楚者，坏宗庙， [徙] 陈器，挞平王之墓。		《榖梁传》__春秋战国
12	有小人之辯者，有士君子之辯者，有聖人之辯者∶不先慮，不早謀，發之而當，成文而類，居錯遷 [徙] ，應變不窮，是聖人之辯者也。		《荀子》__春秋战国
13	「仲尼將為司寇，沈猶氏不敢朝飲其羊，公慎氏出其妻， 慎潰氏逾境而 [徙] ，魯之粥牛馬者不豫賈，修正以待之也。		《荀子》__春秋战国
14	與時遷 [徙] ，與世偃仰，千舉萬變，其道一也。		《荀子》__春秋战国
15	此褒姒之所用死，而平王所以东 [徙] 也，秦襄晋文之所以劳王劳而赐地也。		《吕氏春秋》__春秋战国
16	使民重死而不远 [徙] 。		《老子》__春秋战国
17	君王若伐齐而胜之， [徙] 其兵以临晋，晋必听命矣。		《吕氏春秋》__春秋战国
18	 [徙] 壞墮落，必反無功。		《荀子》__春秋战国
19	公孙枝 [徙] ，自敷於街。		《吕氏春秋》__春秋战国
20	故制號政令欲嚴以威慶賞刑罰欲必以信，處舍收藏欲周以固， [徙] 舉進退欲安以重，欲疾以速；窺敵觀變欲潛以深，欲伍以參；遇敵決戰必道吾所明，無道吾所疑∶夫是之謂六術。		《荀子》__春秋战国
21	既，楚發其賞，子發辭曰∶「發誡布令而敵退，是主威也； [徙] 舉相攻而敵退，是將威也；合戰用力而敵退，是眾威也。		《荀子》__春秋战国
22	使人日 [徙] 善远罪而不自知也，是以先王 隆之也。		《礼记》__春秋战国
23	子曰：“主忠信， [徙] 义，崇德也。		《论语》__春秋战国
24	唯其 [徙] 朝改制為難。		《荀子》__春秋战国
25	具生器以適墓，象 [徙] 道也。		《荀子》__春秋战国
