语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：微
2022/7/10 23:02:04

序号	语句	书名	朝代
1	人心惟危，道心惟 [微] ，惟精惟一，允执厥中。		《尚书》__周
2	絷敏且知礼，敬以知 [微] 。		《国语》__春秋战国
3	敏能窜谋，知礼可使；敬不坠命， [微] 知可否。		《国语》__春秋战国
4	君子曰：“善以 [微] 劝也。”		《国语》__春秋战国
5	虞舜侧 [微] ，尧闻之聪明，将使嗣位，历试诸难，作《舜典》。		《尚书》__周
6	是故圣王之德，融乎若日之始出，极烛六合，而无所穷屈；昭乎若日之光，变化万物，而无所不行；神合乎太一，生无所屈，而意不可障；精通乎鬼神，深 [微] 玄妙。		《吕氏春秋》__春秋战国
7	谋而不犯， [微] 而昭矣。		《国语》__春秋战国
8	几 [微] 之际，圣人所谨。		《周易》__周
9	天子 [微] ，诸侯不享觐。		《榖梁传》__春秋战国
10	天子 [微] ，诸侯不享觐。		《榖梁传》__春秋战国
11	其不日， [微] 国也。		《榖梁传》__春秋战国
12	日月岁时既易，百谷用不成，乂用昏不明，俊民用 [微] ，家用不宁。		《尚书》__周
13	天道皇皇，日月以为常，明者以为法， [微] 者则是行。		《国语》__春秋战国
14	对曰：“ [微] 君王之言，臣故将谒之。		《国语》__春秋战国
15	子曰：石，无知之物，兒， [微] 有知之物。		《榖梁传》__春秋战国
16	石无知，故日之；兒 [微] 有知之物，故月之。		《榖梁传》__春秋战国
17	 [微] 国之君，因邾以求与之盟。		《榖梁传》__春秋战国
18	其居处不淫，其 饮食不溽；其过失可 [微] 辨而不可面数也。		《礼记》__春秋战国
19	人， [微] 者也。		《榖梁传》__春秋战国
20	 [微] 二人，寡人几过。”		《吕氏春秋》__春秋战国
21	不日， [微] 国也。		《榖梁传》__春秋战国
22	然而以理义斫削，神农、黄帝犹有可非， [微] 独舜、汤。		《吕氏春秋》__春秋战国
23	葛卢， [微] 国之君未爵者也。		《榖梁传》__春秋战国
24	三王亦宪，既养老而后乞言，亦 [微] 其礼，皆有史。		《礼记》__春秋战国
25	 [微] 之也。		《榖梁传》__春秋战国
26	何为 [微] 之？		《榖梁传》__春秋战国
27	商书· [微] 子		《尚书》__周
28	殷既错天命， [微] 子作诰父师、小师。		《尚书》__周
29	 [微] 子若曰：“父师、少师！		《尚书》__周
30	臣非非难言孔，所以难言者：言顺比滑泽，洋洋纚々然，则见以为华而不实；敦祗恭厚，鲠固慎完，则见以为掘而不伦；多言繁称，连类比物，则见以为虚而无用；总 [微] 说约，径省而不饰，则见以为刿而不辩；激急亲近，探知人情，则见以为谮为不让；闳大广博，妙远不测，则见以为夸而无用；家计小谈，以具数言，则见以为陋；言而近世，辞不悖逆，则见以为贪生而谀上；言而远俗，诡躁人间，则见以为诞；捷敏辩给，繁于文采，则见以为史；殊释文学，以质信言，则见以为鄙；时称诗书，道法往古，则见以为诵。		《韩非子》__春秋战国
31	厉王，天子也，有雠而众，故流于彘，祸及子孙， [微] 召公虎而绝无後嗣。		《吕氏春秋》__春秋战国
32	 [微] 之也。		《榖梁传》__春秋战国
33	何为 [微] 之也？		《榖梁传》__春秋战国
34	孟孙阳曰：“一毛 [微] 于肌肤，肌肤 [微] 于一节，省矣。		《列子》__春秋战国
35	夷、 [微] 、卢烝。		《尚书》__周
36	欲内相存之言，则必以美名明之，而 [微] 见其合於私利也。		《韩非子》__春秋战国
37	欲陈危害之事，则显其毁诽而 [微] 见其合於私患也。		《韩非子》__春秋战国
38	故 [微] 其君臣而著其父子，不正父在子代仕之辞也。		《榖梁传》__春秋战国
