语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：忘
2022/7/10 23:16:53

序号	语句	书名	朝代
1	顾其为书犹颇放失，是以 [忘] 其固陋，采而辑之，闲亦窃附己意，补其阙略，以俟后之君子。		《大学中庸》__春秋战国
2	公曰：“吾不 [忘] 也，抑未有以致罪焉。”		《国语》__春秋战国
3	此通下三章至“止于信”，旧本误在“没世不 [忘] ”之下。		《大学中庸》__春秋战国
4	如切如磋者，道学也；如琢如磨者，自修也；瑟兮僩兮者，恂栗也；赫兮喧兮者，威仪也；有斐君子，终不可諠兮者，道盛德至善，民之不能 [忘] 也。		《大学中庸》__春秋战国
5	諠， [忘] 也。		《大学中庸》__春秋战国
6	诗云：“于戏前王不 [忘] ！”		《大学中庸》__春秋战国
7	君子贤其贤而亲其亲，小人乐其乐而利其利，此以没世不 [忘] 也。		《大学中庸》__春秋战国
8	此言前王所以新民者止于至善，能使天下后世无一物不得其所，所以既没世而人思慕之，愈久而不 [忘] 也。		《大学中庸》__春秋战国
9	君若惠顾社稷，不 [忘] 先君之好，辱收其逋迁裔胄而建立之，以主其祭祀，且镇抚其国家及其民人，虽四邻诸侯之闻之也，其谁不儆惧于君之威，而欣喜于君之德？		《国语》__春秋战国
10	故得道 [忘] 人，乃大得人也，夫其非道也？		《吕氏春秋》__春秋战国
11	知德 [忘] 知，乃大得知也，夫其非德也？		《吕氏春秋》__春秋战国
12	师存侍，曰：“藏罟不如置里革欲侧之不 [忘] 也。”		《国语》__春秋战国
13	故至智弃智，至仁 [忘] 仁，至德不德。		《吕氏春秋》__春秋战国
14	使有司藏之，使吾无 [忘] ☆。”		《国语》__春秋战国
15	以 [忘] 其固陋，采而辑之，闲亦窃附己意，补其阙略，以俟后之君子。		《大学中庸》__春秋战国
16	恂栗也；赫兮喧兮者，威仪也；有斐君子，终不可諠兮者，道盛德至善，民之不能 [忘] 也。		《大学中庸》__春秋战国
17	于戏前王不 [忘] ！”		《大学中庸》__春秋战国
18	君子贤其贤而亲其亲，小人乐其乐而利其利，此以没世不 [忘] 也。		《大学中庸》__春秋战国
19	敷贲敷前人受命，兹不 [忘] 大功。		《尚书》__周
20	昔武王克商，通道于九夷、百蛮，使各以其方贿来贡，使无 [忘] 职业。		《国语》__春秋战国
21	古者，分同姓以珍玉，展秦也；分异姓以远方之职贡，使无 [忘] 服也。		《国语》__春秋战国
22	夫民劳则思，思则善心生；逸则淫，淫则 [忘] 善， [忘] 善则恶心生。		《国语》__春秋战国
23	今我，寡也，尔又在下位，朝夕处事，犹恐 [忘] 先人之业。		《国语》__春秋战国
24	范蠡对曰：“君王其 [忘] 之乎？		《国语》__春秋战国
25	夫差对曰：“寡人礼先壹饭矣，君若不 [忘] 周室，而为弊邑宸宇，亦寡人之愿也。		《国语》__春秋战国
26	’今君王不断，其 [忘] 会稽之事乎？”		《国语》__春秋战国
27	又一年，王召范蠡而问焉，曰：“吾与子谋吴，子曰‘未可也’，今吴王因于乐而 [忘] 其百姓，乱民功，逆天时；信谗喜优，憎辅远弼，圣人不出，忠臣解骨；皆曲相御，莫适相非，上下相偷。		《国语》__春秋战国
28	王其且驰骋弋猎，无至禽荒；宫中之乐，无至酒荒；肆与大夫觞饮，无 [忘] 国常。		《国语》__春秋战国
29	兹亦惟天若元德，永不 [忘] 在王家。”		《尚书》__周
30	昔周室逢天之降祸，遭民之不祥，余心岂 [忘] 忧恤，不唯下土之不康靖。		《国语》__春秋战国
31	立辞而不明于其所生 [忘] 也。		《墨子》__春秋战国
32	三年 之丧，二十五月而毕，哀痛未尽，思慕未 [忘] ，然而服以是断之者，岂不送死者有 已，复生有节哉？		《礼记》__春秋战国
33	将由夫患 邪淫之人与，则彼朝死而夕 [忘] 之，然而从之，则是曾鸟兽之不若也，夫焉与相与 群居而不乱乎？		《礼记》__春秋战国
34	儒有今人与居，古人与稽；今世行之，后世以为楷；适弗逢世，上弗援，下 弗推，谗谄之民，有比党而危之者，身可危也，而志不可夺也，虽危起居，竟信 其志，犹将不 [忘] 百姓之病也。		《礼记》__春秋战国
35	赏使之 [忘] 死，而威使之苦生，而淫道又塞，以此遇敌，是以百石之弩射飘叶也，何不陷之有哉？		《商君书》__春秋战国
