语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：忠
2022/7/10 23:13:12

序号	语句	书名	朝代
1	太子闻之，曰：“子舆之为我谋， [忠] 矣。		《国语》__春秋战国
2	尹文曰：“今有人於此，事亲则孝，事君则 [忠] ，交友则信，居乡则悌。		《吕氏春秋》__春秋战国
3	夫人主亦有居车，无去车，则众善皆尽力竭能矣，谄谀诐贼巧佞之人无所窜其奸矣，坚穷廉直 [忠] 敦之士毕竞劝骋骛矣。		《吕氏春秋》__春秋战国
4	尧、舜之臣不独义，汤、禹之臣不独 [忠] ，得其数也；桀、纣之臣不独鄙，幽、厉之臣不独辟，失其理也。		《吕氏春秋》__春秋战国
5	’我对曰：‘可以利公室，力有所能，无不为， [忠] 也。		《国语》__春秋战国
6	除☆以应外谓之 [忠] ，定身以行事谓之信。		《国语》__春秋战国
7	夫国非 [忠] 不立，非信不固。		《国语》__春秋战国
8	发己自尽为 [忠] ，循物无违谓信。		《大学中庸》__春秋战国
9	上好仁以爱其下，则下好义以 [忠] 其上；所以事必有终，而府库之财无悖出之患也。		《大学中庸》__春秋战国
10	蚤入晏出，犯君颜色，进谏必 [忠] ，不辟死亡，不重贵富，臣不如东郭牙，请置以为大谏臣。		《吕氏春秋》__春秋战国
11	佑贤辅德，显 [忠] 遂良，兼弱攻昧，取乱侮亡，推亡固存，邦乃其昌。		《尚书》__周
12	王曰：“越国之中，吾宽民以子之， [忠] 惠以善之。		《国语》__春秋战国
13	尔尚盖前人之愆，惟 [忠] 惟孝；尔乃迈迹自身，克勤无怠，以垂宪乃后；率乃祖文王之遗训，无若尔考之违王命。		《尚书》__周
14	此无异故，其谋臣皆不尽其 [忠] 也。		《韩非子》__春秋战国
15	如此，则臣 [忠] 、君明，治著而兵强矣。		《商君书》__春秋战国
16	闻于诸候也，赵氏破胆，荆人狐疑，必有 [忠] 计。		《韩非子》__春秋战国
17	曾子曰：“孝子之养老也，乐其心不违其志，乐其耳目，安其寝处，以其饮 食 [忠] 养之，孝子之身终，终身也者，非终父母之身，终其身也。		《礼记》__春秋战国
18	正法枉必死，父犯法而不忍，王赦之而不肯，石渚之为人臣也，可谓 [忠] 且孝矣。		《吕氏春秋》__春秋战国
19	重人不能 [忠] 主而进其仇，人主不能越四助而烛察其臣，故人主愈弊而大臣愈重。		《韩非子》__春秋战国
20	被瞻入晋军，文公将烹之，被瞻据镬而呼曰：“三军之士皆听瞻也：自今以来，无有 [忠] 於其君， [忠] 於其君者将烹。”		《吕氏春秋》__春秋战国
21	且被瞻 [忠] 於其君，而君免於晋患也；行义於郑，而见说於文公也。		《吕氏春秋》__春秋战国
22	国有擅主之臣，则群下不得尽其智力以陈其 [忠] ，百官之吏不得奉法以致其功矣。		《韩非子》__春秋战国
23	今为臣尽力以致功，竭智以陈 [忠] 者，其身困而家贫，父子罹其害；为奸利以弊人主，行财货以事贵重之臣者，身尊家富，父子被其泽：人焉能去安利之道而就危害之处哉？		《韩非子》__春秋战国
24	是以臣得陈其 [忠] 而不弊，下得守其职而不怨。		《韩非子》__春秋战国
25	此吾之所下也，而世主以为 [忠] 而高之。		《韩非子》__春秋战国
26	十过：一曰行小 [忠] ，则大 [忠] 之贼也。		《韩非子》__春秋战国
27	奚谓小 [忠] ？		《韩非子》__春秋战国
28	故竖阳之进酒，不以仇子反也，其心 [忠] 爱之而适足以杀之。		《韩非子》__春秋战国
29	故曰：行小 [忠] ，则大 [忠] 之贼也。		《韩非子》__春秋战国
