语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：念
2022/7/10 23:05:19

序号	语句	书名	朝代
1	洪惟图天之命，弗永寅 [念] 于祀，惟帝降格于夏。		《尚书》__周
2	惟圣罔 [念] ，作狂；惟狂克 [念] ，作圣。		《尚书》__周
3	天惟五年须暇之子孙，诞作民主，罔可 [念] 听。		《尚书》__周
4	帝 [念] 哉！		《尚书》__周
5	帝 [念] 哉！		《尚书》__周
6	 [念] 兹在兹，释兹在兹，名言兹在兹，允出兹在兹，惟帝 [念] 功。”		《尚书》__周
7	州十有二师，外薄四海，咸建五长，各迪有功，苗顽弗即工，帝其 [念] 哉！”		《尚书》__周
8	皋陶拜手稽首飏言曰：“ [念] 哉！		《尚书》__周
9	商俗靡靡，利口惟贤，余风未殄，公其 [念] 哉！		《尚书》__周
10	予永 [念] 曰：天惟丧殷，若穑夫，予曷敢不终朕亩？		《尚书》__周
11	惟时天罔 [念] 闻，厥惟废元命，降致罚；乃命尔先祖成汤革夏，俊民甸四方。		《尚书》__周
12	在今后嗣王，诞罔显于天，矧曰其有听 [念] 于先王勤家？		《尚书》__周
13	予亦 [念] 天，即于殷大戾，肆不正。”		《尚书》__周
14	初一曰五行，次二曰敬用五事，次三曰农用八政，次四曰协用五纪，次五曰建用皇极，次六曰乂用三德，次七曰明用稽疑，次八曰 [念] 用庶征，次九曰向用五福，威用六极。		《尚书》__周
15	凡厥庶民，有猷有为有守，汝则 [念] 之。		《尚书》__周
16	予小子新命于三王，惟永终是图；兹攸俟，能 [念] 予一人。”		《尚书》__周
17	君已曰时我，我亦不敢宁于上帝命，弗永远 [念] 天威越我民；罔尤违，惟人。		《尚书》__周
18	今汝永 [念] ，则有固命，厥乱明我新造邦。”		《尚书》__周
19	其汝克敬以予监于殷丧大否，肆 [念] 我天威。		《尚书》__周
20	予其懋简相尔 [念] 敬我众。		《尚书》__周
21	汝曷弗 [念] 我古后之闻？		《尚书》__周
22	汝不忧朕心之攸困，乃咸大不宣乃心，钦 [念] 以忱动予一人。		《尚书》__周
23	予 [念] 我先神后之劳尔先，予丕克羞尔，用怀尔，然。		《尚书》__周
24	汝分猷 [念] 以相従，各设中于乃心。		《尚书》__周
25	惟斅学半， [念] 终始典于学，厥德修罔觉。		《尚书》__周
26	王惟庸罔 [念] 闻。		《尚书》__周
27	嗣王祗厥身， [念] 哉！		《尚书》__周
28	凡生之难遇，而死之易及；以难遇之生，俟易及之死，可孰 [念] 哉？		《列子》__春秋战国
29	自吾之事夫子友若人 也，三年之后，心不敢 [念] 是非，口不敢言利害，始得夫子一眄而已。		《列子》__春秋战国
30	五年之后， 心庚 [念] 是非，口庚言利害，夫子始一解颜而笑。		《列子》__春秋战国
31	七年之后，从心之所 [念] ， [念] 庚无 是非；从口之所言，庚无利害，夫子始一引吾并席而坐。		《列子》__春秋战国
32	九年之后，横心之所 [念] ， 横口之所言，亦不知我之是非利害欤，亦不知彼之是非利害欤；亦不知夫子之为 我师，若人之为我友：内外进矣。		《列子》__春秋战国
33	 [念] 之哉。		《尚书》__周
34	此厥不听，人乃或诪张为幻，曰小人怨汝詈汝，则信之，则若时，不永 [念] 厥辟，不宽绰厥心，乱罚无罪，杀无辜。		《尚书》__周
35	封，汝 [念] 哉！		《尚书》__周
36	又曰：“要囚，服 [念] 五、六日至于旬时，丕蔽要囚。”		《尚书》__周
37	于弟弗 [念] 天显，乃弗克恭厥兄；兄亦不 [念] 鞠子哀，大不友于弟。		《尚书》__周
38	乃别播敷，造民大誉，弗 [念] 弗庸，瘝厥君，时乃引恶，惟朕憝。		《尚书》__周
39	惟命不于常，汝 [念] 哉！		《尚书》__周
40	 [念] 君子，温其如玉。		《诗经》__周
41	言 [念] 君子，温其在邑。		《诗经》__周
42	胡然我 [念] 之！		《诗经》__周
43	言 [念] 君子，载寝载兴。		《诗经》__周
44	精结成神，阳炁有余，务当自爱，闭心绝 [念] ，不可骄欺阴也。		《老子想尔注》__春秋战国
45	愚者得车，贪利而已，不 [念] 行道，不觉道神。		《老子想尔注》__春秋战国
46	心不 [念] 正，但 [念] 煞无罪之兽，当得故狂。“		《老子想尔注》__春秋战国
