语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：怜
2022/7/10 22:58:36

序号	语句	书名	朝代
1	昔出公之後声氏为晋公，拘於铜鞮，大国弗 [怜] 也，而使弊邑存亡继绝，弊邑不敢当也。”		《吕氏春秋》__春秋战国
2	壮男壮女过老弱之军，则老使壮悲，弱使强 [怜] ；悲 [怜] 在心，则使勇民更虑，而怯民不战。		《商君书》__春秋战国
3	杨朱曰：“古语有之：‘生相 [怜] ，死相捐。		《列子》__春秋战国
4	相 [怜] 之道，非唯情 也；勤能使逸，饥能使饱，寒能使温，穷能使达也。		《列子》__春秋战国
5	冬涉川者，恐惧也；畏四 [怜] ，不敢为非，恐邻里知也。		《老子想尔注》__春秋战国
6	今父之亲 子也，亲贤而下无能；母之亲子也，贤则亲之，无能则 [怜] 之。		《礼记》__春秋战国
7	人之困穷，甚如饥寒，故贤主必 [怜] 人之困也，必哀人之穷也。		《吕氏春秋》__春秋战国
8	谓晋公子之亡，不可不 [怜] 也。		《国语》__春秋战国
9	景公 [怜] 饥者晏子称治国之本以长其意第八                               311		《晏子春秋》__春秋战国
10	志蓄积兮未通，怅敞罔兮自 [怜] 。		《楚辞》__春秋战国
11	俛念兮子胥，仰 [怜] 兮比干。		《楚辞》__春秋战国
12	管子曰：“不可，夫国人恶公子纠之母，以及公子纠，公子小白无母，而国人 [怜] 之。		《吕氏春秋》__春秋战国
13	抚余佩兮缤纷，高太息兮自 [怜] 。		《楚辞》__春秋战国
14	阴忧兮感余，惆怅兮自 [怜] 。		《楚辞》__春秋战国
15	廓落兮，羁旅而无友生；惆怅兮，而私自 [怜] 。		《楚辞》__春秋战国
16	私自 [怜] 兮何极？		《楚辞》__春秋战国
17	心闵 [怜] 之惨忄妻兮，原一见而有明。		《楚辞》__春秋战国
18	眇远志之所及兮， [怜] 浮云之相羊。		《楚辞》__春秋战国
19	伤太息之愍 [怜] 兮，气於邑而不可止。		《楚辞》__春秋战国
20	 [怜] 思心之不可惩兮，证此言之不可聊。		《楚辞》__春秋战国
21	 [怜] 余身不足以卒意兮，冀一见而复归。		《楚辞》__春秋战国
22	天子闻而 [怜] 之，间岁遣使者持帷帐锦绣给遗焉。		《汉书》__汉
23	太子 [怜] 之，且以为然。		《汉书》__汉
