语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：思
2023/1/20 16:09:09

序号	语句	书名	朝代
1	子 [思] 因前章极致之言，反求其本，复自下学为己谨独之事，推而言之，		《大学中庸》__春秋战国
2	慎厥身，修 [思] 永。		《尚书》__周
3	皋陶曰：“予未有知， [思] 曰赞赞襄哉！”		《尚书》__周
4	死必遗爱，死民之 [思] ，不亦可乎？”		《国语》__春秋战国
5	曰若稽古帝尧，曰放勋，钦、明、文、 [思] 、安安，允恭克让，光被四表，格于上下。		《尚书》__周
6	无言无 [思] ，静以待时，时至而应，心暇者胜。		《吕氏春秋》__春秋战国
7	予 [思] 日孜孜。”		《尚书》__周
8	军旅 [思] 险，隐情以虞。		《礼记》__春秋战国
9	肆予冲人永 [思] 艰，曰：呜呼！		《尚书》__周
10	王曰：“若昔朕其逝，朕言艰日 [思] 。		《尚书》__周
11	大夫吊之， [思] 缌必稽		《礼记》__春秋战国
12	孔 [思] 请行，鲁君曰：“天下主亦犹寡人也，将焉之？”		《吕氏春秋》__春秋战国
13	孔 [思] 对曰： “盖闻君子犹鸟也，骇则举。”		《吕氏春秋》__春秋战国
14	孔 [思] 之对鲁君也，亦过矣。		《吕氏春秋》__春秋战国
15	夫民劳则 [思] ， [思] 则善心生；逸则淫，淫则忘善，忘善则恶心生。		《国语》__春秋战国
16	 [思] 夫人自乱于威仪。		《尚书》__周
17	二、五事：一曰貌，二曰言，三曰视，四曰听，五曰 [思] 。		《尚书》__周
18	貌曰恭，言曰従，视曰明，听曰聪， [思] 曰睿。		《尚书》__周
19	进则 [思] 赏，退则 [思] 刑，如此则有常赏。		《国语》__春秋战国
20	子而 [思] 报父母之仇，臣而 [思] 报君之雠，其有敢不尽力者乎？		《国语》__春秋战国
21	王若曰：“伯冏，惟予弗克于德，嗣先人宅丕后，怵惕惟厉，中夜以兴， [思] 免厥愆。		《尚书》__周
22	夫民忧则 [思] ， [思] 则出度；乐则淫，淫则生佚。		《商君书》__春秋战国
23	汝不谋长以 [思] 乃灾，汝诞劝忧。		《尚书》__周
24	父母虽没，将为善， [思] 贻父母令名，必果。		《礼记》__春秋战国
25	将为不善， [思] 贻父母羞辱，必不 果。		《礼记》__春秋战国
26	三年复归于亳， [思] 庸，伊尹作《太甲》三篇。		《尚书》__周
27	《象》曰：兼山，艮，君子以 [思] 不出其位。		《周易》__周
28	奉先 [思] 孝，接下 [思] 恭。		《尚书》__周
29	古之君民者，仁义以治之，爱利以安之，忠信以导之，务除其灾， [思] 致其福。		《吕氏春秋》__春秋战国
30	恭默 [思] 道，梦帝赉予良弼，其代予言。”		《尚书》__周
31	 [思] 其艰以图其易，民乃宁。		《尚书》__周
32	黄帝既寤，怡然自得，召天老、力牧、太山稽， 告之，曰：“朕闲居三月，斋心服形， [思] 有以养身治物之道，弗获其术。		《列子》__春秋战国
33	大夫关其 [思] 对曰：“胡可伐。”		《韩非子》__春秋战国
34	挫辱大臣而 狎其身，刑戮小民而逆其使，怀怒 [思] 耻而专习则贼生，贼生者，可亡也。		《韩非子》__春秋战国
35	故游吾园者，不 [思] 高林旷泽；寝吾庭者，不愿深山幽谷，理使然也。”		《列子》__春秋战国
36	昧昧我 [思] 之，如有一介臣，断断猗无他技，其心休休焉，其如有容。		《尚书》__周
37	吾嘗終日而 [思] 矣，不如須臾之所學也。		《荀子》__春秋战国
38	居宠 [思] 危，罔不惟畏，弗畏入畏。		《尚书》__周
39	《象》曰：水在火上，既济，君子以 [思] 患而预防之。		《周易》__周
40	掛於患而 [思] 謹，則無益矣。		《荀子》__春秋战国
41	楚之孫叔敖，期 [思] 之鄙人也，突禿長左，軒較之下，而以楚霸。		《荀子》__春秋战国
42	兕觥其觩，旨酒 [思] 柔。		《诗经》__周
43	子 [思] 唱之，孟軻和之。		《荀子》__春秋战国
44	间关车之[B144]兮， [思] 娈季女逝兮。		《诗经》__周
45	詩曰∶「媚茲一人，應侯順德，永言孝 [思] ，昭哉嗣服。」		《荀子》__春秋战国
46	詩曰∶『自西自東，自南自北，無 [思] 不服。』		《荀子》__春秋战国
47	我送舅氏，悠悠我 [思] 。		《诗经》__周
48	无已大康，职 [思] 其居。		《诗经》__周
49	无已大康，职 [思] 其外。		《诗经》__周
50	职 [思] 其忧。		《诗经》__周
51	子产为之诗曰：“子惠 [思] 我，蹇裳涉洧，子不我 [思] ，岂无他士！”		《吕氏春秋》__春秋战国
52	小人而乘君子之器，盗 [思] 夺之矣。		《周易》__周
53	上慢下暴，盗 [思] 伐之矣。		《周易》__周
54	求长生者，不劳精 [思] 求财以养身，不以无功劫君取禄以荣身，不食五味以恣，衣弊履穿，不与俗争，即为後其身也。		《老子想尔注》__春秋战国
55	如之何勿 [思] ！		《诗经》__周
56	 [思] 还精补脑，心神不一，失其所守，为揣悦，不可长宝。		《老子想尔注》__春秋战国
57	岂不尔 [思] ？		《诗经》__周
58	大车啍々，毳衣如璊，岂不尔 [思] ？		《诗经》__周
59	《易》，无 [思] 也，无为也，寂然不动，感而遂通天下之故。		《周易》__周
60	无 [思] 、无为，言其无心也。		《周易》__周
61	 [思] 欲损身，彼贪宠之人，身岂能胜道乎！		《老子想尔注》__春秋战国
62	贪荣宠，劳精 [思] ，以求财，美食以恣身，此为爱身者也，不合於道也。“		《老子想尔注》__春秋战国
63	静言 [思] 之，躬自悼矣。		《诗经》__周
64	旦，不 [思] 其反。		《诗经》__周
65	真 [思] 志道，学知清静，意当时如痴浊也。		《老子想尔注》__春秋战国
66	反是不 [思] ，亦已焉哉！		《诗经》__周
67	岂不尔 [思] ？		《诗经》__周
68	安 [思] 其义，不犯道，乃徐施之，生道不去。“		《老子想尔注》__春秋战国
69	愿言 [思] 伯，甘心首疾。		《诗经》__周
70	愿言 [思] 伯。		《诗经》__周
71	詩曰∶「自西自東，自南自北，無 [思] 不服。」		《荀子》__春秋战国
72	履信 [思] 乎顺，又以尚贤也。		《周易》__周
73	其谁知之，盖亦勿 [思] ！		《诗经》__周
74	其谁知之，盖亦勿 [思] ！		《诗经》__周
75	沈尹茎游於郢五年，荆王欲以为令尹，沈尹茎辞曰：“期 [思] 之鄙人有孙叔敖者，圣人也。		《吕氏春秋》__春秋战国
76	仙士意志道如晦， [思] 卧安床，不复杂俗事也。		《老子想尔注》__春秋战国
77	精 [思] 止於道，不止於俗事也。“		《老子想尔注》__春秋战国
78	若夫教者标然若秋云之远助人心之悲蔼然若夏之静云乃及人之体然若之静动人意以怨荡荡若流水使人 [思] 之，		《管子》__春秋战国
79	云谁之 [思] ？		《诗经》__周
80	王自以居数十年不 [思]  其国也。		《列子》__春秋战国
81	云谁之 [思] ？		《诗经》__周
82	云谁之 [思] ？		《诗经》__周
