语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：怠
2022/7/10 22:55:31

序号	语句	书名	朝代
1	国之将亡，其君贪冒、辟邪、淫佚、荒 [怠] 、粗秽、暴虐；其政腥臊，馨香不登，其刑矫诬，百姓携贰，明神不蠲而民有远志，民神怨痛，无所依怀，故神亦往焉，观其苛慝而降之祸。		《国语》__春秋战国
2	桓公曰：“各保治尔所，无或淫 [怠] 而不听治者！”		《国语》__春秋战国
3	无 [怠] 无荒，四夷来王。”		《尚书》__周
4	汝惟不 [怠] ，总朕师。”		《尚书》__周
5	因乱以入，则必喜乱，喜乱必 [怠] 德。		《国语》__春秋战国
6	程子云：“当作 [怠] 。”		《大学中庸》__春秋战国
7	终则讲于会，以正班爵之义，帅长幼之序，训上下之则，制采用之节，其间无由荒 [怠] 。		《国语》__春秋战国
8	为人臣下者，有谏而无讪，有亡而无疾；颂而无讠阎，谏而无骄； [怠] 则张而 相之，废则埽而更之。		《礼记》__春秋战国
9	六事之人，予誓告汝：有扈氏威侮五行， [怠] 弃三正，天用剿绝其命，今予惟恭行天之罚。		《尚书》__周
10	自庶人以下，明而动，晦而休，无日以 [怠] 。		《国语》__春秋战国
11	卿大夫必 [怠] 乎治官府矣。		《墨子》__春秋战国
12	以实官府而不敢 [怠] 倦者。		《墨子》__春秋战国
13	则必 [怠] 乎听狱治政矣。		《墨子》__春秋战国
14	农夫必 [怠] 乎耕稼树艺矣。		《墨子》__春秋战国
15	妇人必 [怠] 乎纺绩织矣。		《墨子》__春秋战国
16	王公大人 [怠] 乎听狱治政。		《墨子》__春秋战国
17	臣闻之，得时无 [怠] ，时不再来，天予不取，反为之灾。		《国语》__春秋战国
18	越大夫种乃唱谋曰：“吾谓吴王将涉吾地，今罢师而不戒以忘我，我不可以 [怠] 。		《国语》__春秋战国
19	不 [怠] 丕冒，海隅出日，罔不率俾。”		《尚书》__周
20	民有余粮，使民以粟出官爵，官爵必以其力，则农不 [怠] 。		《商君书》__春秋战国
21	尔尚盖前人之愆，惟忠惟孝；尔乃迈迹自身，克勤无 [怠] ，以垂宪乃后；率乃祖文王之遗训，无若尔考之违王命。		《尚书》__周
22	曰：“无戏 [怠] ，懋建大命！		《尚书》__周
23	民畏死、事乱而战，故兵农 [怠] 而国弱。		《商君书》__春秋战国
24	子妇孝者敬者，父母舅姑之命，勿逆勿 [怠] 。		《礼记》__春秋战国
25	舅姑使冢妇 毋 [怠] ，不友无礼于介妇。		《礼记》__春秋战国
26	’王懋乃德，视乃厥祖，无时豫 [怠] 。		《尚书》__周
27	有众率 [怠] 弗协，曰：‘时日曷丧？		《尚书》__周
28	降监殷民，用乂仇敛，召敌仇不 [怠] 。		《尚书》__周
29	农战之民百人，而有技艺者一人焉，百人者皆 [怠] 于农战矣。		《商君书》__春秋战国
30	故曰：农战之民千人，而有《诗》、《书》辩慧者一人焉，千人者皆 [怠] 于农战矣。		《商君书》__春秋战国
31	壮而 [怠] 则失时，老而解则无名。		《吕氏春秋》__春秋战国
32	今商王受，狎侮五常，荒 [怠] 弗敬。		《尚书》__周
33	故良農不為水旱不耕，良賈不為折閱不市，士君子不為貧窮 [怠] 乎道。		《荀子》__春秋战国
34	疏贱必赏，近爱必诛，则疏贱者不 [怠] ，而近爱者不骄也。		《韩非子》__春秋战国
35	蓄疑败谋， [怠] 忽荒政，不学墙面，莅事惟烦。		《尚书》__周
36	法後王，一制度，隆禮義而殺詩書；其言行已有大法矣，然而明不能齊法教之所不及，聞見之所未至，則知不能類也；知之曰知之，不知曰不知，內不自以誣，外不自以欺，以是尊賢畏法而不敢 [怠] 傲∶是雅儒者也。		《荀子》__春秋战国
37	此百姓之 [怠] 生百振而食非独自为也，		《管子》__春秋战国
38	疑则 [怠] ，决故勉。		《周易》__周
39	虽有敦忠信者不得善也而戏豫 [怠] 傲者不得败也，		《管子》__春秋战国
40	审行之身毋 [怠] 虽夷貉之民可化而使之爱审去之身毋泽虽兄弟父母可化而使之恶，		《管子》__春秋战国
41	至道大形∶隆禮至法則國有常，尚賢使能則民知方， 纂論公察則民不疑，賞克罰偷則民不 [怠] ，兼聽齊明則天下歸之；然後明分職，序事業，材技官能，莫不治理，則公道達而私門塞矣，公義明而私事息矣∶如是，則德厚者進而佞說者止，貪利者退而廉節者起。		《荀子》__春秋战国
42	故敬勝 [怠] 則吉， [怠] 勝敬則滅；計勝欲則從，欲勝計則兇。		《荀子》__春秋战国
43	祭不欲疏，疏则 [怠] ， [怠] 则忘。		《礼记》__春秋战国
44	不僭不滥，不敢 [怠] 遑。		《诗经》__周
45	人心之变有馀则骄骄则缓 [怠] 夫骄者骄诸候骄诸候者诸候失于外缓 [怠] 者民乱于内，		《管子》__春秋战国
46	轻而《豫》 [怠] 也。		《周易》__周
47	下卿進曰∶「敬戒無 [怠] ，慶者在堂，吊者在閭。		《荀子》__春秋战国
48	荒 [怠] 傲慢，固民是尽，午其众以伐有道；求得当欲，不以其所。		《礼记》__春秋战国
49	于是乎君伐智而多力， [怠] 教而重敛，大其私☆，杀三☆而尸诸朝，纳其室以分妇人，于是乎国人不蠲，遂弑诸翼，葬于翼东门之外，以车一乘。		《国语》__春秋战国
50	對曰∶「執一無失， 行微無 [怠] ，忠信無□，而天下自來。		《荀子》__春秋战国
51	今我战又胜荆与郑，吾君将伐智而多力， [怠] 教而重敛，大其私☆而益妇人田，不夺诸大夫田，则焉取以益此？		《国语》__春秋战国
52	子之在上无道，据傲荒 [怠] ，贪戾虐众，恣睢自用也，辟远圣制，謷丑先王，排訾旧典，上不顺天，下不惠民，徵敛无期，求索无厌，罪杀不辜，庆赏不当。		《吕氏春秋》__春秋战国
53	今又击之，秦莫不愠，晋莫不 [怠] ，斗士是故众。		《国语》__春秋战国
54	谗鼎之铭曰：‘昧旦丕显，後世犹 [怠] ’，况日不悛，其☆久乎！”		《晏子春秋》__春秋战国
55	父虽死，孝子之重之不 [怠] ；子虽死，慈亲之爱之不懈。		《吕氏春秋》__春秋战国
56	且死者弥久，生者弥疏；生者弥疏，则守者弥 [怠] ；守者弥 [怠] 而葬器如故，其势固不安矣。		《吕氏春秋》__春秋战国
57	《谦》轻而《豫》 [怠] 也。		《周易》__周
58	晏子辞曰：“昔圣王论功而赏贤，贤者得之，不肖者失之，御德修礼，无有荒 [怠] 。		《晏子春秋》__春秋战国
59	孔子曰：“少连大连善居丧，三日不 [怠] ，三月不解，期悲哀，三年忧， 东夷之子也。”		《礼记》__春秋战国
60	’今国家闲暇，及是时，般乐 [怠] 敖，是自求祸也。		《孟子》__春秋战国
61	今赵孟相晋国，以主诸侯之盟，思长世之德，历远年之数，犹惧不终其身；今☆日而☆岁， [怠] 偷甚矣，非死逮之，必有大咎。”		《国语》__春秋战国
