语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：性
2022/7/10 23:15:17

序号	语句	书名	朝代
1	盖自天降生民，则既莫不与之以仁义礼智之 [性] 矣。		《大学中庸》__春秋战国
2	然其气质之禀或不能齐，是以不能皆有以知其 [性] 之所有而全之也。		《大学中庸》__春秋战国
3	一有聪明睿智能尽其 [性] 者出于其闲，则天必命之以为亿兆之君师，使之治而教之，以复其 [性] 。		《大学中庸》__春秋战国
4	其学焉者，无不有以知其 [性] 分之所固有，职分之所当为，而各俛焉以尽其力。		《大学中庸》__春秋战国
5	为卦上火下泽， [性] 相违异；中女、少女，志不同归，故为睽。		《周易》__周
6	二卦合体而 [性] 不同。		《周易》__周
7	若此则能顺其天，意气得游乎寂寞之宇矣，形 [性] 得安乎自然之所矣。		《吕氏春秋》__春秋战国
8	好人之所恶，恶人之所好，是谓拂人之 [性] ，菑必逮夫身。		《大学中庸》__春秋战国
9	好善而恶恶，人之 [性] 也；至于拂人之 [性] ，则不仁之甚者也。		《大学中庸》__春秋战国
10	今日南面，百邪自正，而天下皆反其情，黔首毕乐其志，安育其 [性] ，而莫为不成。		《吕氏春秋》__春秋战国
11	盖自天降生民，则既莫不与之以仁义礼智之 [性] 		《大学中庸》__春秋战国
12	然其气质之禀或不能齐，是以不能皆有以知其 [性] 之所有而全之也。		《大学中庸》__春秋战国
13	 [性] 者出于其闲，则天必命之以为亿兆之君师，使之治而教之，以复其 [性] 。		《大学中庸》__春秋战国
14	不有以知其 [性] 分之所固有，职分之所当为，而各俛焉以尽其力。		《大学中庸》__春秋战国
15	 [性] 之直者则有之矣。		《礼记》__春秋战国
16	若此则形 [性] 弥羸，而耳目愈精；百官慎职，而莫敢愉綖；人事其事，以充其名。		《吕氏春秋》__春秋战国
17	故子华子曰：“厚而不博，敬守一事，正 [性] 是喜。		《吕氏春秋》__春秋战国
18	好，是谓拂人之 [性] ，菑必逮夫身。		《大学中庸》__春秋战国
19	变化应来而皆有章，因 [性] 任物而莫不宜当，彭祖以寿，三代以昌，五帝以昭，神农以鸿。		《吕氏春秋》__春秋战国
20	暴人为我为天之以人非为是也而 [性] 。		《墨子》__春秋战国
21	乃通於天，水木石之 [性] ，皆可动也，又况於有血气者乎？		《吕氏春秋》__春秋战国
22	务胜则争，力征则讼，讼而无正，则莫得其 [性] 也。		《商君书》__春秋战国
23	若有恒 [性] ，克绥厥猷惟后。		《尚书》__周
24	从 [性] 而游，不逆 万物所好，死后之名，非所取也，故不为刑所及。		《列子》__春秋战国
25	故乱国之使其民，不论人之 [性] ，不反人之情，烦为教而过不识，数为令而非不从，巨为危而罪不敢，重为任而罚不胜。		《吕氏春秋》__春秋战国
26	久湛而不去则若 [性] 。		《吕氏春秋》__春秋战国
27	夫耳之所欲闻者音声，而不得听，谓 之阏聪；目之所欲见者美色，而不得视，谓之阏明；鼻之所欲向者椒兰，而不得 嗅，谓之阏颤；口之所欲道者是非，而不得言，谓之阏智；体之所欲安者美厚， 而不得从，谓之阏适；意之所为者放逸，而不得行，谓之阏 [性] 。		《列子》__春秋战国
28	 [性] 异非 [性] ，不可不熟。		《吕氏春秋》__春秋战国
29	不闻道者，何以去非 [性] 哉？		《吕氏春秋》__春秋战国
30	无以去非 [性] ，则欲未尝正矣。		《吕氏春秋》__春秋战国
31	而欲尊礼义以 夸人，矫情 [性] 以招名，吾以此为弗若死矣。		《列子》__春秋战国
32	圣人有必信之 [性] ，又有使天下不得不信之法。		《商君书》__春秋战国
33	杨朱曰：“人肖天地之类，怀五常之 [性] ，有生之最灵者也。		《列子》__春秋战国
34	一曰：凡人之 [性] ，爪牙不足以自守卫，肌肤不足以捍寒暑，筋骨不足以从利辟害，勇敢不足以却猛禁悍。		《吕氏春秋》__春秋战国
