语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：怨
2022/7/10 23:06:15

序号	语句	书名	朝代
1	神飨而民听，民神无 [怨] ，故明神降之，观其政德而均布福焉。		《国语》__春秋战国
2	国之将亡，其君贪冒、辟邪、淫佚、荒怠、粗秽、暴虐；其政腥臊，馨香不登，其刑矫诬，百姓携贰，明神不蠲而民有远志，民神 [怨] 痛，无所依怀，故神亦往焉，观其苛慝而降之祸。		《国语》__春秋战国
3	又曰：“时惟尔初，不克敬于和，则无我 [怨] 。”		《尚书》__周
4	礼：君不使无耻，不近刑人，不狎敌，不迩 [怨] 。		《榖梁传》__春秋战国
5	王曰：“使寡人治信若是，则民虽不治，寡人弗 [怨] 也。		《吕氏春秋》__春秋战国
6	故出亡无 [怨] 于国，而众安之。		《国语》__春秋战国
7	废义则利不立，厚贪则 [怨] 生，夫孺子岂获罪于民？		《国语》__春秋战国
8	今有人於此，求牛则名马，求马则名牛，所求必不得矣，而因用威怒，有司必诽 [怨] 矣，牛马必扰乱矣。		《吕氏春秋》__春秋战国
9	夫狄近晋而不通，愚陋而多 [怨] ，走之易达。		《国语》__春秋战国
10	不通可以窜恶，多 [怨] 可与共忧。		《国语》__春秋战国
11	去而罪释，必归于君，是 [怨] 君也。		《国语》__春秋战国
12	吾闻之：‘仁不 [怨] 君，智不重困，勇不逃死。		《国语》__春秋战国
13	去而厚 [怨] ，恶不可重，死不可避，吾将伏以俟命。”		《国语》__春秋战国
14	不弟弟必将 [怨] 其兄矣。		《墨子》__春秋战国
15	求其亲而不得不孝子必是 [怨] 其亲矣。		《墨子》__春秋战国
16	不遍不报，卒于 [怨] 雠。		《国语》__春秋战国
17	克闻之，夫义者，利之足也；贪者， [怨] 之本也。		《国语》__春秋战国
18	苦成氏有三亡：少德而多宠，位下而欲上政，无大功而欲大禄，皆 [怨] 府也。		《国语》__春秋战国
19	立新家，不因民不能去旧；因民，非多 [怨] 民无所始。		《国语》__春秋战国
20	为 [怨] 三府，可谓多矣。		《国语》__春秋战国
21	射求正诸己，己正然后发，发而不中，则不 [怨] 胜己者，反 求诸己而已矣。		《礼记》__春秋战国
22	然，故上无  [怨] ，而下远罪也。		《礼记》__春秋战国
23	内之父子兄弟作 [怨] 他。		《墨子》__春秋战国
24	乃葛伯仇饷，初征自葛，东征，西夷 [怨] ；南征，北狄 [怨] ，曰：‘奚独后予？		《尚书》__周
25	无违，朕不敢有后，无我 [怨] 。		《尚书》__周
26	是以内者父子史弟作 [怨] 恶。		《墨子》__春秋战国
27	我闻亦惟曰：‘在今后嗣王，酣，身厥命，罔显于民祗，保越 [怨] 不易。		《尚书》__周
28	不以爵禄便近亲，则劳臣不 [怨] ；不以刑罚隐疏远，则下亲上。		《商君书》__春秋战国
29	盘庚五迁，将治亳殷，民咨胥 [怨] 。		《尚书》__周
30	儒有内称不辟亲，外举不辟 [怨] 。		《礼记》__春秋战国
31	秦特出锐师取地而韩随之， [怨] 悬于天下，功归于强秦。		《韩非子》__春秋战国
32	子妇未孝未敬，勿庸疾  [怨] ，姑教之；若不可教，而后怒之；不可怒，子放妇出，而不表礼焉。		《礼记》__春秋战国
33	父母怒不说，而挞之流血，不敢疾 [怨] ，起敬起孝。		《礼记》__春秋战国
34	胜而不骄者，术明也；败而不 [怨] 者，知所失也。		《商君书》__春秋战国
35	杜仓相秦，起兵发将以报天下之 [怨] 而先攻荆。		《韩非子》__春秋战国
36	五子咸 [怨] ，述大禹之戒以作歌。		《尚书》__周
37	予视天下愚夫愚妇一能胜予，一人三失， [怨] 岂在明，不见是图。		《尚书》__周
38	是以臣得陈其忠而不弊，下得守其职而不 [怨] 。		《韩非子》__春秋战国
39	于是犯之者其诛重而必，告之者其赏厚而信，故奸莫不得而被刑者众，民疾 [怨] 而众过日闻。		《韩非子》__春秋战国
40	骄则恣，恣则极物；罢则 [怨] ， [怨] 则极虑。		《吕氏春秋》__春秋战国
41	交友不信，则离散郁 [怨] ，不能相亲。		《吕氏春秋》__春秋战国
42	夏暑雨，小民惟曰 [怨] 咨：冬祁寒，小民亦惟曰 [怨] 咨。		《尚书》__周
43	然民虽有圣知，弗敢我谋；勇力，弗敢我杀；虽众，不敢胜其主；虽民至亿万之数，县重赏而民不敢争，行罚而民不敢 [怨] 者，法也。		《商君书》__春秋战国
44	乡豪取而尝之，蜇于口，惨于腹，众哂而 [怨] 之，其 人大惭。		《列子》__春秋战国
45	民不知 [怨] ，不知说，愉愉其如赤子。		《吕氏春秋》__春秋战国
46	贵 臣相妒，大臣隆盛，外藉敌国，内困百姓，以攻 [怨] 雠，而人主弗诛者，可亡也。		《韩非子》__春秋战国
47	亲臣进而故人退，不 肖用事而贤良伏，无功贵而劳苦贱，如是则下 [怨] ；下 [怨] 者，可亡也。		《韩非子》__春秋战国
48	喜之，则多事；恶之，则生 [怨] 。		《韩非子》__春秋战国
49	邪穢在身， [怨] 之所構。		《荀子》__春秋战国
50	外使诸候，内耗其国，伺其危险之陂，以恐其主曰；“交非我不亲， [怨] 非我不解”。		《韩非子》__春秋战国
51	禹不敢 [怨] ，而反事之。		《吕氏春秋》__春秋战国
52	至于小大，无时或 [怨] 。		《尚书》__周
53	民否则厥心违 [怨] ，否则厥口诅祝。”		《尚书》__周
54	厥或告之曰：‘小人 [怨] 汝詈汝。		《尚书》__周
55	此厥不听，人乃或诪张为幻，曰小人 [怨] 汝詈汝，则信之，则若时，不永念厥辟，不宽绰厥心，乱罚无罪，杀无辜。		《尚书》__周
56	 [怨] 有同，是丛于厥身。”		《尚书》__周
57	族大多 [怨] ，去大族不逼。		《吕氏春秋》__春秋战国
58	我闻曰：‘ [怨] 不在大，亦不在小；惠不惠，懋不懋。		《尚书》__周
59	自知者不 [怨] 人，知命者不 [怨] 天； [怨] 人者窮， [怨] 天者無志。		《荀子》__春秋战国
60	今惟民不静，未戾厥心，迪屡未同，爽惟天其罚殛我，我其不 [怨] 。		《尚书》__周
61	无作 [怨] ，勿用非谋非彝蔽时忱。		《尚书》__周
62	 [怨] 夭折者，不知命者也；  [怨] 贫穷者，不知时者也。		《列子》__春秋战国
63	君雖不知，無 [怨] 疾之心；功雖甚大，無伐德之色；省求多功，愛敬不倦∶如是則常無不順矣。		《荀子》__春秋战国
64	对曰： “以妻事 [怨] ，且自以为犹宋也。		《吕氏春秋》__春秋战国
65	国人大 [怨] ．动作者莫不非令尹。		《吕氏春秋》__春秋战国
66	詩曰∶「民之無良，相 [怨] 一方，受爵不讓，至于己斯亡。」		《荀子》__春秋战国
67	狐丘丈人谓孙叔敖曰：“人有三 [怨] ，子知之乎？”		《列子》__春秋战国
68	对曰：“爵高者人妒之，官大者主恶之，禄厚者 [怨] 逮之。”		《列子》__春秋战国
69	以是免于三 [怨] ，可 乎？”		《列子》__春秋战国
70	杨朱曰：“利出者实及， [怨] 往者害来。		《列子》__春秋战国
71	79.和大 [怨] 必有馀 [怨] ，安可以为善。		《老子》__春秋战国
72	諸侯莫不懷交接 [怨] ，而不忘其敵，伺強大之間，承強大之敝，此強大之殆時也。		《荀子》__春秋战国
73	勤力之计，出愚人之心耳，岂可 [怨] 道乎！		《老子想尔注》__春秋战国
74	故周公南征而北國 [怨] ，曰∶「何獨不來也！」		《荀子》__春秋战国
75	東征而西國 [怨] ，曰∶「何獨後我也！」		《荀子》__春秋战国
76	亲左有用无用则辟之若相为有兆 [怨] ，		《管子》__春秋战国
77	及尔偕老，老使我 [怨] 。		《诗经》__周
78	多 [怨] 争利相为不逊则不得其身，		《管子》__春秋战国
79	来丹之友申他曰：“子 [怨] 黑卵至 矣，黑卵之易子过矣，将奚谋焉？”		《列子》__春秋战国
80	秦小主夫人用奄变，群贤不说自匿，百姓郁 [怨] 非上。		《吕氏春秋》__春秋战国
81	故君子之於禮，敬而安之；其於事也，徑而不失；其於人也，寡 [怨] 寬裕而無阿；其為身也，謹修飾而不危；其應變故也，齊給便捷而不惑；其於天地萬物也，不務說其所以然，而致善用其材；其於百官之事伎藝之人也，不與之爭能，而致善用其功；其待上也，忠順而不懈；其使下也，均遍而不偏；其交游也，緣類而有義；其居鄉里也，容而不亂。		《荀子》__春秋战国
82	是以下之人无谏死之而聚立者无郁 [怨] 之心，		《管子》__春秋战国
83	 [怨] 右主然，而将重罪之；德菌改，而欲厚赏之。		《吕氏春秋》__春秋战国
84	若夫教者标然若秋云之远助人心之悲蔼然若夏之静云乃及人之体然若之静动人意以 [怨] 荡荡若流水使人思之，		《管子》__春秋战国
85	民衣食而徭下安无 [怨] 咎。		《管子》__春秋战国
86	今使污邪之人，論其 [怨] 賊，而求其無偏，得乎哉！		《荀子》__春秋战国
