语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：总
2023/1/20 16:05:00

序号	语句	书名	朝代
1	五百里甸服：百里赋纳 [总] ，二百里纳铚，三百里纳秸服，四百里粟，五百里米。		《尚书》__周
2	汝惟不怠， [总] 朕师。”		《尚书》__周
3	今蔺、离石入秦，而王缟素布 [总] ；东攻齐得城，而王加膳置酒。		《吕氏春秋》__春秋战国
4	秦得地而王布 [总] ，齐亡地而王加膳，所非兼爱之心也。		《吕氏春秋》__春秋战国
5	王 [总] 其百执事，以奉其社稷之祭。		《国语》__春秋战国
6	惟说命 [总] 百官，乃进于王曰：“呜呼！		《尚书》__周
7	子事父母，鸡初鸣，咸盥漱，栉纟徒笄 [总] ，拂 髦冠缨，端绅，笏。		《礼记》__春秋战国
8	鸡初鸣，咸盥漱，栉纟徒，笄 [总] ，衣绅。		《礼记》__春秋战国
9	男女未冠笄者，鸡初鸣，咸盥漱，栉纟徒，拂髦 [总] 角，衿缨，皆佩容臭，昧 爽而朝，问何食饮矣。		《礼记》__春秋战国
10	无 [总] 于货宝，生生自庸。		《尚书》__周
11	将御者，齐，漱浣，慎衣服，栉纟徙笄 [总] ，角拂髦，衿缨綦屦。		《礼记》__春秋战国
12	臣非非难言孔，所以难言者：言顺比滑泽，洋洋纚々然，则见以为华而不实；敦祗恭厚，鲠固慎完，则见以为掘而不伦；多言繁称，连类比物，则见以为虚而无用； [总] 微说约，径省而不饰，则见以为刿而不辩；激急亲近，探知人情，则见以为谮为不让；闳大广博，妙远不测，则见以为夸而无用；家计小谈，以具数言，则见以为陋；言而近世，辞不悖逆，则见以为贪生而谀上；言而远俗，诡躁人间，则见以为诞；捷敏辩给，繁于文采，则见以为史；殊释文学，以质信言，则见以为鄙；时称诗书，道法往古，则见以为诵。		《韩非子》__春秋战国
13	奉嗣王祗见厥祖，侯、甸群后咸在，百官 [总] 已以听冢宰。		《尚书》__周
14	综者， [总] 而挈之，一低一昂之谓也。		《周易》__周
15	 [总] 角之宴，言笑晏晏，信誓旦		《诗经》__周
16	将终，命 宫而 [总] 四弦，则景风翔，庆云浮，甘露降，澧泉涌。		《列子》__春秋战国
17	居人民之上，  [总] 一国之事。		《列子》__春秋战国
18	羔羊之缝，素丝五 [总] 。		《诗经》__周
19	兼三才而两之， [总] 言六画。		《周易》__周
20	不震不动，不戁不竦，百禄是 [总] 。		《诗经》__周
21	食三老五更于大学，天子袒而割牲，执酱而馈，执爵而，冕而 [总] 干，所以 教诸侯之弟也。		《礼记》__春秋战国
22	及入舞，君执干戚就舞位，君为东上，冕而 [总] 干，率其群臣，以乐皇尸。		《礼记》__春秋战国
23	冕而 [总] 干，率其群臣，以 乐皇尸，此与竟内乐之之义也。		《礼记》__春秋战国
24	汤有 [总] 街之庭以观民诽也，		《管子》__春秋战国
25	仲春行秋令，则其国大水，寒气 [总] 至，寇戎来征；行冬令，则阳气不胜，麦乃不熟，民多相掠；行夏令，则国乃大旱，暖气早来，虫螟为害。		《吕氏春秋》__春秋战国
26	君薨，百官 [总] 己以听于冢宰，三年。”		《论语》__春秋战国
27	九穷十二舍者，气之门户，心之 [总] 摄也。		《鬼谷子》__春秋战国
28	昔葛天氏之乐，三人操牛尾，投足以歌八阕：一曰载民，二曰玄鸟，三曰遂草木，四曰奋五谷，五曰敬天常，六曰达帝功，七曰依地德，八曰 [总] 万物之极。		《吕氏春秋》__春秋战国
29	 [总] 干而山立，武 王之事也；发扬蹈厉，大公之志也。		《礼记》__春秋战国
30	食三老五更于大学，天子袒而割牲，执酱而馈，执爵而，冕而 [总] 干， 所以教诸侯之弟也。		《礼记》__春秋战国
31	是月也，霜始降，则百工休，乃命有司曰： “寒气 [总] 至，民力不堪，其皆入室。”		《吕氏春秋》__春秋战国
32	 [总] 角丱兮。		《诗经》__周
33	乃命有司曰，寒气 [总] 至，民力不堪，其皆入室。		《逸周书》__春秋战国
34	前 [总] 唱功，虑诚弗及，佯为不言，诚不足，色示有余。		《逸周书》__春秋战国
35	举霓旌之墆翳兮，建黄纁之 [总] 旄。		《楚辞》__春秋战国
36	罽蕠兮青{艹 [总] }，槁本兮萎落。		《楚辞》__春秋战国
37	宾觌，奉束锦， [总] 乘马，二人赞。		《仪礼》__春秋战国
38	陶嘉月兮 [总] 驾，搴玉英兮自脩。		《楚辞》__春秋战国
39	朝发兮{艹 [总] }岭，夕至兮明光。		《楚辞》__春秋战国
40	故德 [总] 乎道		《庄子》__春秋战国
41	纷 [总]  [总] 兮九州，何寿夭兮在予！		《楚辞》__春秋战国
42	饮余马於咸池兮， [总] 余辔乎扶桑。		《楚辞》__春秋战国
43	纷 [总]  [总] 其离合兮，斑陆离其上下。		《楚辞》__春秋战国
44	纷 [总]  [总] 其离合兮，忽纬繣其难迁。		《楚辞》__春秋战国
45	职内掌邦之赋入，辨其财用之物而执其 [总] 。		《周礼》__春秋战国
46	国分为三，大 [总] 羁属昆莫。		《汉书》__汉
47	妻为夫，妾为君，女子子在室为父，布 [总] ，箭笄，髽，衰，三年。		《仪礼》__春秋战国
48	卒哭，子折笄首以笄，布 [总] 。		《仪礼》__春秋战国
49	妾为女君、君之长子，恶笄有首，布 [总] 。		《仪礼》__春秋战国
50	而康居、大月氏、安息、E47B宾、乌弋之属，皆以绝远不在数中，其来贡献则相与报，不督录 [总] 领也。		《汉书》__汉
51	非其事而事之，谓之 [总] ；		《庄子》__春秋战国
52	，吾子亦放风而动， [总] 德而立矣！		《庄子》__春秋战国
53	至孝成世，刘向 [总] 六历，列是非，作《五纪论》。		《汉书》__汉
54	维武王胜殷，抚国绥民，乃观于殷政，告周公旦曰：“呜呼，殷政 [总]  [总] ，若风草有所积，有所虚，和此如何？”		《逸周书》__春秋战国
55	曰：“不谷不德，政事不时，国家罢病，不能胥匡，二三子不尚助不谷，官考厥职，乡问其人，因其耆老，及其 [总] 害，慎问其故，无隐乃情。”		《逸周书》__春秋战国
