语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：息
2023/1/20 16:06:12

序号	语句	书名	朝代
1	但为气禀所拘，人欲所蔽，则有时而昏；然其本体之明，则有未尝 [息] 者。		《大学中庸》__春秋战国
2	《象》曰：箕子之贞，明不可 [息] 也。		《周易》__周
3	晋献公欲伐虢，荀 [息] 曰：“君何不以屈产之乘、垂棘之璧而借道乎虞也？”		《榖梁传》__春秋战国
4	荀 [息] 曰：“此小国之所以事大国也。		《榖梁传》__春秋战国
5	荀 [息] 曰：“宫之奇之为人也，达心而懦，又少长于君，达心则其言略，懦则不能强谏，少长于君则君轻之。		《榖梁传》__春秋战国
6	荀 [息] 牵马操璧而前曰：“璧则犹是也，而马齿加长矣！”		《榖梁传》__春秋战国
7	既杀奚齐，荀 [息] 将死之。		《国语》__春秋战国
8	里克又杀卓子，荀 [息] 死之。		《国语》__春秋战国
9	一曰：凡人主必审分，然後治可以至，奸伪邪辟之涂可以 [息] ，恶气苛疾无自至。		《吕氏春秋》__春秋战国
10	里克将杀奚齐，先告荀 [息] 曰：“三公子之徒将杀孺子，子将如何？”		《国语》__春秋战国
11	荀 [息] 曰：“死吾君而杀其孤，吾有死而已，吾蔑从之矣！”		《国语》__春秋战国
12	丕郑曰：“荀 [息] 谓何？”		《国语》__春秋战国
13	对曰：“荀 [息] 曰‘死之。		《国语》__春秋战国
14	荀 [息] 曰：“昔君问臣事君于我，我对以忠贞。		《国语》__春秋战国
15	晋里克弑其君卓，及其大夫荀 [息] 。		《榖梁传》__春秋战国
16	以尊及卑也，荀 [息] 闲也。		《榖梁传》__春秋战国
17	丧， [息] 浪反。		《周易》__周
18	相， [息] 亮反。		《周易》__周
19	吴王夫差还自黄池， [息] 民不戒。		《国语》__春秋战国
20	惟荒腆于酒，不惟自 [息] 乃逸，厥心疾很，不克畏死。		《尚书》__周
21	渫， [息] 列反。		《周易》__周
22	《彖》曰：“革”，水火相 [息] ，二女同居，其志不相得，曰革。		《周易》__周
23	以相违而为睽，相 [息] 而为革也。		《周易》__周
24	 [息] ，灭 [息] 也，又为生 [息] 之义。		《周易》__周
25	灭 [息] 而后生 [息] 也。“		《周易》__周
26	彼土狭而民众，其宅参居而并处；其寡萌贾 [息] 民，上无通名，下无田宅，而恃奸务末作以处；人之复阴阳泽水者过半。		《商君书》__春秋战国
27	丧， [息] 浪反。		《周易》__周
28	丧， [息] 浪反。		《周易》__周
