语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：恶
2022/7/10 23:02:00

序号	语句	书名	朝代
1	 [恶] 之，弗有也。		《榖梁传》__春秋战国
2	 [恶] 其心，必内险之；害其身，必外危之。		《国语》__春秋战国
3	使之出征，先以观之，故告之以离心，而示之以坚忍之权，则必 [恶] 其心而害其身矣。		《国语》__春秋战国
4	夏，叔孙豹会晋赵武、楚屈建、蔡公孙归生、卫石 [恶] 、陈孔奂、郑良霄、许人、曹人于宋。		《榖梁传》__春秋战国
5	宁喜由君弑君，而不以弑君之罪罪之者， [恶] 献公也。		《榖梁传》__春秋战国
6	以众故不敢爱亲，众况厚之，彼将 [恶] 始而美终，以晚盖者也。		《国语》__春秋战国
7	杀亲无 [恶] 于人，人孰去之？		《国语》__春秋战国
8	虽欲爱君，惑不释也，今夫以君为纣，若纣有良子，而先丧纣，无章其 [恶] 而厚其败。		《国语》__春秋战国
9	夏，卫石 [恶] 出奔晋。		《榖梁传》__春秋战国
10	汤以人之洗濯其心以去 [恶] ，如沐浴其身以去垢。		《大学中庸》__春秋战国
11	不言大夫， [恶] 之也。		《榖梁传》__春秋战国
12	 [恶] 公子之绐。		《榖梁传》__春秋战国
13	然则何以 [恶] 乎绐也？		《榖梁传》__春秋战国
14	所谓诚其意者：毋自欺也，如 [恶]  [恶] 臭，如好好色，此之谓自谦，故君子必慎其独也！		《大学中庸》__春秋战国
15	 [恶] 、好上字，皆去声。		《大学中庸》__春秋战国
16	自欺云者，知为善以去 [恶] ，而心之所发有未实也。		《大学中庸》__春秋战国
17	言欲自修者知为善以去其 [恶] ，则当实用其力，而禁止其自欺。		《大学中庸》__春秋战国
18	使其 [恶]  [恶] 则如 [恶]  [恶] 臭，好善则如好好色，皆务决去，而求必得之，以自快足于己，不可徒苟且以殉外而为人也。		《大学中庸》__春秋战国
19	美金以铸剑戟，试诸狗马； [恶] 金以铸☆夷斤☆，试诸壤土。”		《国语》__春秋战国
20	此言小人阴为不善，而阳欲揜之，则是非不知善之当为与 [恶] 之当去也；但不能实用其力以至此耳。		《大学中庸》__春秋战国
21	然欲揜其 [恶] 而卒不可揜，欲诈为善而卒不可诈，则亦何益之有哉！		《大学中庸》__春秋战国
22	言虽幽独之中，而其善 [恶] 之不可揜如此。		《大学中庸》__春秋战国
23	各以长短大小 [恶] 美形相从。		《墨子》__春秋战国
24	盖意诚则真无 [恶] 而实有善矣，所以能存是心以检其身。		《大学中庸》__春秋战国
25	所谓齐其家在修其身者：人之其所亲爱而辟焉，之其所贱 [恶] 而辟焉，之其所畏敬而辟焉，之其所哀矜而辟焉，之其所敖惰而辟焉。		《大学中庸》__春秋战国
