语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：悉
2022/7/10 23:02:19

序号	语句	书名	朝代
1	我先君襄公不敢宁处，使叔孙豹 [悉] 帅敝赋，☆☆毕行，无有处人，以从军吏，次于雍渝，与邯郸胜击齐之左，掎止晏莱焉，齐师退而后敢还。		《国语》__春秋战国
2	公曰：“前人敷乃心，乃 [悉] 命汝，作汝民极。		《尚书》__周
3	虽然，臣愿 [悉] 言所闻，唯大王裁其罪。		《韩非子》__春秋战国
4	今天下之府库不盈，囷仓空虚， [悉] 其士民，张军数 十百万，其顿首戴羽为将军，断死于前不至千人，皆以言死。		《韩非子》__春秋战国
5	彼固亡国之形也，而不忧民萌， [悉] 其士民军于长平 之下，以争韩上党。		《韩非子》__春秋战国
6	乃复 [悉] 士卒以攻邯郸，不能拔也，弃甲兵弩，战竦而 却，天下固已量秦力二矣。		《韩非子》__春秋战国
7	王命众， [悉] 至于庭。		《尚书》__周
8	塞， [悉] 则反。		《周易》__周
9	以臣观之，则齐、赵之交未必以荆苏绝也；若不绝，是 [悉] 赵而应二万乘也。		《韩非子》__春秋战国
10	省， [悉] 井反。		《周易》__周
11	王曰：“格尔众庶， [悉] 听朕言，非台小子，敢行称乱！		《尚书》__周
12	臣之所谓兵者，非谓 [悉] 兴尽起也，论竟内所能给军卒车骑，令故秦兵，新民给刍食。		《商君书》__春秋战国
13	古之人，损一毫利天下，不与也， [悉] 天下奉一身，不取也。		《列子》__春秋战国
14	’惟命曰：‘汝受命笃弼，丕视功载，乃汝其 [悉] 自教工。		《尚书》__周
15	王其趣发信臣，多其车，重其币，以奉韩曰：‘不谷之国虽小，卒已 [悉] 起，愿大国之信意于秦也。		《韩非子》__春秋战国
16	卑，而二又居中，不至已甚，故其占为能过于巽，而丁宁烦 [悉] 其辞，以自道达，则可以吉而无咎，亦竭诚意以祭祀		《周易》__周
17	塞， [悉] 则反。		《周易》__周
18	今东方介氏之国， 其国人数数解六畜之语者，盖偏知之所得，太古神圣之人，备知万物情态， [悉] 解 异类音声。		《列子》__春秋战国
19	其日，或曰日其战也，或曰日其 [悉] 也。		《榖梁传》__春秋战国
20	无贤则不闻极言，不闻极言，则奸人比周，百邪 [悉] 起。		《吕氏春秋》__春秋战国
21	身皆尸行耳，非道所行， [悉] 尸行也。		《老子想尔注》__春秋战国
22	 [悉] 世间常伪伎，非真道也。		《老子想尔注》__春秋战国
23	都皮里 [悉] 是，非独一处。		《老子想尔注》__春秋战国
24	四方 [悉] 平，周以乔陟。		《列子》__春秋战国
25	经营一国，亡不 [悉] 遍。		《列子》__春秋战国
26	 [悉] 耶伪耳。“		《老子想尔注》__春秋战国
27	何以知此道今端有，观古得仙寿者 [悉] 行之，以得知今俗有不绝也。“		《老子想尔注》__春秋战国
28	世间常伪伎，不知常意，妄有指书，故 [悉] 凶。“		《老子想尔注》__春秋战国
29	韩娥因曼声哀哭，一里老幼悲 [悉] ， 垂涕相对，三日不食。		《列子》__春秋战国
30	今道不用，人 [悉] 弊薄，时有一人行义，便共表别之，故言有也。“		《老子想尔注》__春秋战国
31	其五经半入耶，其五经以外，众书传记，尸人所作 [悉] 耶耳。“		《老子想尔注》__春秋战国
32	世人察之不审，故绝之勿赏，民 [悉] 自复慈孝矣。		《老子想尔注》__春秋战国
33	夫欲宝精，百行当备，万善当著，调和五行，喜怒 [悉] 去。		《老子想尔注》__春秋战国
34	心三川，阳耶阴害， [悉] 当闭之勿用。		《老子想尔注》__春秋战国
35	行《玄女经》、龚子、容成之法， [悉] 欲贷，何人主当贷若者乎？		《老子想尔注》__春秋战国
36	吏民怀慕，则易治矣， [悉] 如信道，皆仙寿矣，不可攵兵彊也。		《老子想尔注》__春秋战国
37	诸与天灾变怪，日月运珥，倍臣纵横，刺贯之咎，过罪所致；五星顺轨，客逆不曜，疾疫之气，都 [悉] 止矣。“		《老子想尔注》__春秋战国
38	王者法道为政，吏民庶孽子， [悉] 化为道。“		《老子想尔注》__春秋战国
39	今王者法道，民 [悉] 从正，斋正而止，不可复变，变为耶矣。		《老子想尔注》__春秋战国
40	王者亦当法道镇制之，而不能制者，世俗 [悉] 变为耶矣，下古世是也。“		《老子想尔注》__春秋战国
41	天地道臣也，王者法道行诫，臣下 [悉] 皆自正矣。		《老子想尔注》__春秋战国
42	畜之以道养之以德畜之以道则民和养之以德则民合和合故能习习故能偕偕习以 [悉] ，		《管子》__春秋战国
43	《易》之为书也，广大 [悉] 备。		《周易》__周
44	《易》之为书也，广大 [悉] 备。		《周易》__周
45	故谋莫难於周密，说莫难於 [悉] 听，事莫难於必成；此三者唯圣人然後能任之。		《鬼谷子》__春秋战国
46	三曰：神农师 [悉] 诸，黄帝师大挠，帝颛顼师伯夷父，帝喾师伯招，帝尧师子州支父，帝舜师许由，禹师大成贽，汤师小臣，文王、武王师吕望、周公旦，齐桓公师管夷吾，晋文公师咎犯、随会，秦穆公师百里奚、公孙枝，楚庄王师孙叔敖、沈尹巫，吴王阖闾师伍子胥、文之仪，越王句践师范蠡、大夫种。		《吕氏春秋》__春秋战国
47	 [悉] 率左右，以燕天子。		《诗经》__周
48	威仪 [悉] 备曰钦。		《逸周书》__春秋战国
49	王拜儆无后人，谋竞不可以藏，戒后人其用汝谋，维宿不 [悉] ，日不足。		《逸周书》__春秋战国
50	维周于民，人谋竞，不可以后戒，后戒宿，不 [悉] 日，不足。”		《逸周书》__春秋战国
51	登昆仑而北首兮， [悉] 灵圉而来谒。		《楚辞》__春秋战国
52	夫五割而与赵， [悉] 起而距军乎济上，未有益也。		《吕氏春秋》__春秋战国
53	故凡战必 [悉] 熟偏备，知彼知己，然後可也。		《吕氏春秋》__春秋战国
54	鲜虞人闻晋师之 [悉] 起也，而不警边，且不修备。		《左传》__春秋战国
55	左司马戌谓子常曰：“子氵公汉而与之上下，我 [悉] 方城外以毁其舟，还塞大隧、直辕、冥厄，子济汉而伐之，我自后击之，必大败之。”		《左传》__春秋战国
56	省， [悉] 井反。		《周易》__周
57	’”乃大户，已责，逮鳏，救乏，赦罪， [悉] 师，王卒尽行。		《左传》__春秋战国
58	佛告☆陀和：有三昧名十方诸佛 [悉] 在前立，能行是法，汝之所问 [悉] 可得也。		《佛说般舟》__汉
59	云何行，心一等念十方诸佛 [悉] 现在前？		《佛说般舟》__汉
60	古之治天下，至ED54至 [悉] 也，故其畜积足恃。		《汉书》__汉
61	明年，河平二年，上 [悉] 封舅谭为平阿侯，商成都侯，立红阳侯，根曲阳侯，逢时高平侯。		《汉书》__汉
62	乃部户曹掾史，与乡吏、亭长、里正、父老、伍人，杂举长安中轻薄少年恶子，无市籍商贩作务，而鲜衣凶服被铠扞持刀兵者， [悉] 籍记之，得数百人。		《汉书》__汉
63	其 [悉] 意陈朕过，靡有所讳。”		《汉书》__汉
64	各 [悉] 意对。”		《汉书》__汉
65	’蔡人不従，敝邑之人，不敢宁处， [悉] 索敝赋，以讨于蔡，获司马燮，献于邢丘。		《左传》__春秋战国
66	九月，诸侯 [悉] 师以复伐郑。		《左传》__春秋战国
67	使解扬如宋，使无降楚，曰：“晋师 [悉] 起，将至矣。”		《左传》__春秋战国
68	出甲于甲，奋轧于乙，明炳于丙，大盛于丁，丰茂于戊，理纪于己，敛更于庚， [悉] 新于辛，怀任于壬，陈揆于癸。		《汉书》__汉
69	二御：一树惠不<疒 [悉] >，二既用兹忧，。		《逸周书》__春秋战国
70	山上举火，下 [悉] 应之。		《汉书》__汉
71	八月丁巳， [悉] 复蠲除之，贺良及党与皆伏诛流放。		《汉书》__汉
72	及诸名山川用驹者， [悉] 以木寓马代。		《汉书》__汉
73	 [悉] 召故秦祀官，复置太祝、太宰，如其故仪礼。		《汉书》__汉
74	余小臣不得上，乃 [悉] 持龙髯，龙髯拔，堕，堕黄帝之弓。		《汉书》__汉
75	其后三百有余岁，戎狄攻太王亶父，亶父亡走于岐下，E1D9人 [悉] 从亶父而邑焉，作周。		《汉书》__汉
76	后秦灭六国，而始皇帝使蒙恬将数十万之众北击胡， [悉] 收河南地，因河为塞，筑四十四县城临河，徙適戍以充之。		《汉书》__汉
