语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：悦
2023/1/20 16:08:35

序号	语句	书名	朝代
1	苟交利而得宠，志行而众 [悦] ，欲其甚矣，孰不惑焉？		《国语》__春秋战国
2	说，音 [悦] 。		《周易》__周
3	说，音 [悦] 。		《周易》__周
4	说，音 [悦] 。		《周易》__周
5	说，音 [悦] 。		《周易》__周
6	说，音 [悦] 。		《周易》__周
7	说，音 [悦] ，当去声。		《周易》__周
8	说，音 [悦] 。		《周易》__周
9	使者还报韩君，韩君大大 [悦] ，止公仲。		《韩非子》__春秋战国
10	说，音 [悦] 。		《周易》__周
11	说，音 [悦] 。		《周易》__周
12	崇信奸回，放黜师保，屏弃典刑，囚奴正士，郊社不修，宗庙不享，作奇技淫巧以 [悦] 妇人。		《尚书》__周
13	说，音 [悦] 。		《周易》__周
14	好兵者之楚，以法干楚王；王 [悦] 之，以为军正。		《列子》__春秋战国
15	曰：“臣笑邻之人有送 其妻适私家者，道见桑妇， [悦] 而与言。		《列子》__春秋战国
16	邯郸之民，以正月之旦献鸠于简子，简子大 [悦] ，厚赏之。		《列子》__春秋战国
17	“持而满之，不若其己，揣而 [悦] 之，不可长宝。”		《老子想尔注》__春秋战国
18	思还精补脑，心神不一，失其所守，为揣 [悦] ，不可长宝。		《老子想尔注》__春秋战国
19	穆王始 [悦] 而叹 曰：“人之巧乃可与造化者同功乎？”		《列子》__春秋战国
20	故施舍优犹以济乱则百姓 [悦] ，		《管子》__春秋战国
21	王大 [悦] 。		《列子》__春秋战国
22	鲁侯大 [悦] 。		《列子》__春秋战国
23	说，音 [悦] 。		《周易》__周
24	说，音 [悦] 。		《周易》__周
25	说，音 [悦] 。		《周易》__周
26	说，音 [悦] 。		《周易》__周
27	好与贤人游，不恤国事；而 [悦] 赵人公孙龙。		《列子》__春秋战国
28	公子牟曰：“子何笑牟之 [悦] 公孙龙也？”		《列子》__春秋战国
29	 [悦] 。		《周易》__周
30	损 [悦] 者，机危之决也。		《鬼谷子》__春秋战国
31	 [悦] ，喜 [悦] ；本文引伸为增益，增益言辞或事物能使人喜 [悦] 。		《鬼谷子》__春秋战国
32	故善损 [悦] 者，誓若决水於千仞之堤，转圆石於万仞之谷。		《鬼谷子》__春秋战国
33	用分威散势之权，以见其 [悦] 威，其机危乃为之决。		《鬼谷子》__春秋战国
34	众皆 [悦] 之，其为士者笑之。”		《孟子》__春秋战国
35	曰：“非之无举也，刺之无刺也，同乎流俗，合乎污世，居之似忠信，行之似廉洁，众皆 [悦] 之，自以为是，而不可与入尧舜之道，故曰‘德之贼’也。		《孟子》__春秋战国
36	曰：“吾弟则爱之，秦人之弟则不爱也，是以我为 [悦] 者也，故谓之内。		《孟子》__春秋战国
37	长楚人之长，亦长吾之长，是以长为 [悦] 者也，故谓之外也。”		《孟子》__春秋战国
38	’”且赏以 [悦] 众，众皆哭，焉作辕田。		《国语》__春秋战国
39	故理义之 [悦] 我心，犹刍豢之 [悦] 我口。”		《孟子》__春秋战国
40	先生以利说秦楚之王，秦楚之王 [悦] 于利，以罢三军之师，是三军之士乐罢而 [悦] 于利也。		《孟子》__春秋战国
41	先生以仁义说秦楚之王，秦楚之王 [悦] 于仁义，而罢三军之师，是三军之士乐罢而 [悦] 于仁义也。		《孟子》__春秋战国
42	屋庐子 [悦] 。		《孟子》__春秋战国
43	’当今之时，万乘之国行仁政，民之 [悦] 之，犹解倒悬也。		《孟子》__春秋战国
44	以力服人者，非心服也，力不赡也；以德服人者，中心 [悦] 而诚服也，如七十子之服孔子也。		《孟子》__春秋战国
45	孟子曰：“尊贤使能，俊杰在位，则天下之士皆 [悦] ，而愿立于其朝矣；市，廛而不征，法而不廛，则天下之商皆 [悦] ，而愿藏于其市矣；关，讥而不征，则天下之旅皆 [悦] ，而愿出于其路矣；耕者，助而不税，则天下之农皆 [悦] ，而愿耕于其野矣；廛，无夫里之布，则天下之民皆 [悦] ，而愿为之氓矣。		《孟子》__春秋战国
46	孟子曰：“有事君人者，事是君则为容 [悦] 者也；有安社稷臣者，以安社稷为 [悦] 者也；有天民者，达可行于天下而后行之者也；有大人者，正己而物正者也。”		《孟子》__春秋战国
47	公孙丑曰：“伊尹曰：‘予不狎于不顺，放太甲于桐，民大 [悦] 。		《孟子》__春秋战国
48	太甲贤，又反之，民大 [悦] 。		《孟子》__春秋战国
49	信于友有道，事亲弗 [悦] ，弗信于友矣。		《孟子》__春秋战国
50	 [悦] 亲有道，反身不诚，不 [悦] 于亲矣。		《孟子》__春秋战国
51	故为政者，每人而 [悦] 之，日亦不足矣。”		《孟子》__春秋战国
52	孟子对曰：“取之而燕民 [悦] ，则取之。		《孟子》__春秋战国
53	民大 [悦] 。		《孟子》__春秋战国
54	士☆以告，公 [悦] ，乃伐翟☆。		《国语》__春秋战国
55	及至葬，四方来观之，颜色之戚，哭泣之哀，吊者大 [悦] 。		《孟子》__春秋战国
56	陈相见许行而大 [悦] ，尽弃其学而学焉。		《孟子》__春秋战国
57	陈良，楚产也， [悦] 周公、仲尼之道，北学于中国。		《孟子》__春秋战国
58	民大 [悦] 。		《孟子》__春秋战国
59	周公相武王诛纣，伐奄三年讨其君，驱飞廉于海隅而戮之，灭国者五十，驱虎、豹、犀、象而远之，天下大 [悦] 。		《孟子》__春秋战国
60	天下之士 [悦] 之，人之所欲也，而不足以解忧；好色，人之所欲，妻帝之二女，而不足以解忧；富，人之所欲，富有天下，而不足以解忧；贵，人之所欲，贵为天子，而不足以解忧。		《孟子》__春秋战国
61	人 [悦] 之、好色、富贵，无足以解忧者，惟顺于父母可以解忧。		《孟子》__春秋战国
62	 [悦] 贤不能举，又不能养也，可谓 [悦] 贤乎？”		《孟子》__春秋战国
63	不得，不可以为 [悦] ；无财，不可以为 [悦] 。		《孟子》__春秋战国
64	有仕于此，而子 [悦] 之，不告于王而私与之吾子之禄爵；夫士也，亦无王命而私受之于子，则可乎？		《孟子》__春秋战国
65	武侯大 [悦] 而笑。		《庄子》__春秋战国
66	舜有ｓｈａｎ４行，百姓 [悦] 之，故三徙成都，至		《庄子》__春秋战国
67	其有是才德，是以民 [悦] 而从之也。		《周易》__周
68	心摇 [悦] 而日幸兮，然怊怅而无冀。		《楚辞》__春秋战国
69	说，音 [悦] 。		《周易》__周
70	说，音 [悦] 。		《周易》__周
71	说，音 [悦] 。		《周易》__周
72	说，音 [悦] 。		《周易》__周
73	众狙皆 [悦] 。		《庄子》__春秋战国
74	说，音 [悦] 。“		《周易》__周
75	且苟为人 [悦] 贤而恶不肖，恶用而求有以异？		《庄子》__春秋战国
76	事之情而忘其身，何暇至于 [悦] 生而恶死！		《庄子》__春秋战国
77	今长大美好，人见而 [悦] 之者，此吾父母之遗德也，丘虽不吾誉		《庄子》__春秋战国
78	王大 [悦] 之，曰：“天下无敌矣。”		《庄子》__春秋战国
79	舍夫种种之机而 [悦] 夫役役之佞；释夫恬淡无为		《庄子》__春秋战国
80	而 [悦] 夫囗囗（左“口”右“享”）之意，囗囗（左“口”右“享”）		《庄子》__春秋战国
81	左“金”右“开”音ｊｉａｎ１）、尹文闻其风而 [悦] 之。		《庄子》__春秋战国
82	四海之内共利之之谓 [悦] ，共给之之谓安		《庄子》__春秋战国
83	闻其风而 [悦] 之。		《庄子》__春秋战国
84	有在于是者，关尹、老聃闻其风而 [悦] 之。		《庄子》__春秋战国
85	其风而 [悦] 之。		《庄子》__春秋战国
86	王子应之曰：“声之君子，其行至慎，委积施关，道路无限，百姓 [悦] 之，相将而远，远人来欢，视道如咫。”		《逸周书》__春秋战国
87	燕王甚兑（ [悦] ），亓（其）于齐循善。		《纵横家书》__春秋战国
88	臣以□告奉阳君，奉阳君甚兑（ [悦] ），曰：“王有（又）使周湿、长驷重令（命）☆（兑），☆（兑）也敬受令（命）。”		《纵横家书》__春秋战国
89	夷， [悦] 也。		《尔雅》__汉
90	〔韩王〕说（ [悦] ），止公中（仲）之行。		《纵横家书》__春秋战国
91	怡、怿、 [悦] 、欣、衎、喜、愉、豫、恺、康、、般，乐也。		《尔雅》__汉
92	 [悦] 、怿、愉、释、宾、协，服也。		《尔雅》__汉
93	自汉所称，王、贡弹冠，萧、朱结绶，博、育复隙其终，始以交为难，况容 [悦] 偶合而能申固其好者哉！		《风俗通义》__汉
94	上 [悦] 其逊，即日免况，拜统侍中。		《风俗通义》__汉
95	敬意之至，犹用夷 [悦] ，况于宠族乎！		《风俗通义》__汉
96	孝经曰：“敬其父则子 [悦] 。”		《风俗通义》__汉
97	秦王大 [悦] ，礼而见之。		《风俗通义》__汉
98	尝试使之施芳泽，正娥眉，设笄珥，衣阿锡，曳齐纨，粉白黛黑，佩玉环，揄步， 杂芝若，笼蒙目视，冶由笑，目流眺，口曾挠，奇牙出，<面厌><面甫>摇，则虽 王公大人，有严志颉颃之行者，无不惮悇痒心而 [悦] 其色矣。		《淮南子》__汉
99	太守沈酆遗门下掾衍盛奉献，皇帝 [悦] 怿，赐钱衣食。		《论衡》__汉
100	有士於此，而子 [悦] 之，不告於王，而私与之子之爵禄。		《论衡》__汉
101	今目 [悦] 五色，口嚼滋味，耳淫五声，七窍交争以害其性，日引邪欲而浇其身 夫调和，身弗能治，奈天下何！		《淮南子》__汉
102	上亦稍厌游宴，复修经书之业，太后甚 [悦] 。		《汉书》__汉
103	成子欲专齐政，以大斗贷、小斗收而民 [悦] 。		《论衡》__汉
104	客有言之楚王者，往见楚王，楚王甚 [悦] 之。		《淮南子》__汉
105	 [悦] 于目， [悦] 于心，愚者之所利也，然而有道者之所辟也。		《淮南子》__汉
106	楚王 [悦] 之，因命太子建守城父，命伍子奢傅之。		《淮南子》__汉
107	哀公大 [悦] 而喜。		《淮南子》__汉
108	太宰嚭甚 [悦] 之，欲荐之于王。		《淮南子》__汉
109	天子建其国，诸侯祚之土，赐之姓，命之氏，其敬 [悦] 天子之德既先，又不距违我天子政教所行。”		《史记》__汉
110	怀王大 [悦] ，乃置相玺於张仪，日与置酒，宣言“吾复得吾商於之地”。		《史记》__汉
111	荀 [悦] 汉纪云：“范增，阜陵人也。”		《史记》__汉
112	仇犹大 [悦] ，除涂内之。		《史记》__汉
113	楚王乃 [悦] 。		《史记》__汉
114	高祖乃作新丰，徙诸故人实之，太上皇乃 [悦] 。”		《史记》__汉
115	说音 [悦] ，凡人名皆音 [悦] 。		《史记》__汉
116	邓 [悦] 是阳城人，阳城河南府县，与郏城县相近，又走陈，盖“郏”字误作“郯”耳。		《史记》__汉
117	谓死人有知，鬼神饮食，犹相宾客，宾客 [悦] 喜，报主人恩矣。		《论衡》__汉
118	平公大 [悦] ，坐者皆喜。		《论衡》__汉
119	荀 [悦] 云：“傅，正卒也。”		《史记》__汉
120	○索隐荀 [悦] 云：“大横，龟兆横理也。”		《史记》__汉
121	荀 [悦] 云“繇，抽也，所以抽出吉凶之情也”。		《史记》__汉
122	巫臣使於吴，吴子寿梦 [悦] 之，乃通吴于晋，教吴乘车，教之战阵，教之叛楚，寘其子狐庸焉，使为行人。		《史记》__汉
123	 [悦] 也。		《史记》__汉
124	天子既诛文成，後悔恨其早死，惜其方不尽，及见栾大，大 [悦] 。		《史记》__汉
125	元王大 [悦] 而喜。		《史记》__汉
126	□正义啜，穿 [悦] 反。		《史记》__汉
127	油油者，禾黍之苗光 [悦] 貌。		《史记》__汉
128	平公大 [悦] ，坐者皆喜”。		《论衡》__汉
129	见吕不韦姬， [悦] 而取之，○索隐按：不韦传云不韦，阳翟大贾也。		《史记》__汉
