语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：情
2022/7/10 23:15:57

序号	语句	书名	朝代
1	公曰：“余听狱虽不能察，必以 [情] 断之。”		《国语》__春秋战国
2	 [情] ，实也。		《大学中庸》__春秋战国
3	五者，在人本有当然之则；然常人之 [情] 惟其所向而不加审焉，则必陷于一偏而身不修矣。		《大学中庸》__春秋战国
4	故按其实而审其名，以求其 [情] ；听其言而察其类，无使方悖。		《吕氏春秋》__春秋战国
5	且夫偕出偕入难，聚居异 [情] 恶，不若走梁。		《国语》__春秋战国
6	吾闻君子不去 [情] ，不反谗，谗行身死可也，犹有令名焉。		《国语》__春秋战国
7	中 [情] 将欲求与天下之利。		《墨子》__春秋战国
8	此则奸邪之 [情] 得，而险陂谗慝谄谀巧佞之人无由入。		《吕氏春秋》__春秋战国
9	惟彼君道，得命之 [情] ，故任天下而不强，此之谓全人。		《吕氏春秋》__春秋战国
10	今日南面，百邪自正，而天下皆反其 [情] ，黔首毕乐其志，安育其性，而莫为不成。		《吕氏春秋》__春秋战国
11	故善为君者，矜服性命之 [情] ，而百官已治矣，黔首已亲矣，名号已章矣。		《吕氏春秋》__春秋战国
12	圣王以焉不中人之 [情] 。		《墨子》__春秋战国
13	何也得其所以自养之 [情] 。		《墨子》__春秋战国
14	奸止则说者不来，而 [情] 谕矣。		《吕氏春秋》__春秋战国
15	 [情] 者不饰，而事实见矣。		《吕氏春秋》__春秋战国
16	贤不肖各反其质，行其 [情] ，不雕其素，蒙厚纯朴，以事其上。		《吕氏春秋》__春秋战国
17	君服性命之 [情] ，去爱恶之心，用虚无为本，以听有用之言，谓之朝。		《吕氏春秋》__春秋战国
18	上服性命之 [情] ，则理义之士至矣，法则之用植矣，枉辟邪挠之人退矣，贪得伪诈之曹远矣。		《吕氏春秋》__春秋战国
19	其所聚，而天地万物之 [情] 可见矣。		《周易》__周
20	然胡不尝考之百姓之 [情] 。		《墨子》__春秋战国
21	句践愿诸大夫言之，皆以 [情] 告，无阿孤，孤将以举大事。”		《国语》__春秋战国
22	曰：称 [情] 而立文，因以饰群，则亲疏贵贱之节，而弗可损益 也。		《礼记》__春秋战国
23	创钜者其日久，痛甚者其愈迟，三年者，称 [情] 而立文， 所以为至痛极也。		《礼记》__春秋战国
24	意民之 [情] ，其所欲者田宅也，而晋之无有也信，秦之有余也必。		《商君书》__春秋战国
25	曩者臣言曰：“意民之 [情] ，其所欲者田宅也，晋之无有也信，秦之有余也必。		《商君书》__春秋战国
26	故诚有诚乃合於 [情] 。		《吕氏春秋》__春秋战国
27	民之 [情] ，贵所不足，贱所有馀，故布衣、人臣之行，洁白清廉中绳，愈穷愈荣，虽死，天下愈高之，所不足也。		《吕氏春秋》__春秋战国
