语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：想
2023/1/20 16:09:13

序号	语句	书名	朝代
1	故有道之主，因而不为，责而不诏，去 [想] 去意，静虚以待，不伐之言，不夺之事，督名审实，官使自司，以不知为道，以柰何为实。		《吕氏春秋》__春秋战国
2	老子 [想] 尔注		《老子想尔注》__春秋战国
3	故昼 [想] 夜梦，神形所遇。		《列子》__春秋战国
4	故神凝者 [想] 梦自消。		《列子》__春秋战国
5	耳不可以听，目不可以视，口不可以食，胸中大扰，妄言 [想] 见，临死之上，颠倒惊惧，不知所为。		《吕氏春秋》__春秋战国
6	一曰祲，二曰象，三曰镌，四曰监，五曰暗，六曰瞢，七曰弥，八曰叙，九曰隮，十曰 [想] ，掌安宅叙降。		《周礼》__春秋战国
7	入景响之无应兮，闻省 [想] 而不可得。		《楚辞》__春秋战国
8	思旧故以 [想] 像兮，长太息而掩涕。		《楚辞》__春秋战国
9	精进行  勿懈怠  勿起 [想]   有与无  勿念进  勿念退  勿念前  勿念後		《佛说般舟》__汉
10	立一念  信是法  随所闻  念其方  宜一念  断诸 [想]   立定信  勿狐疑		《佛说般舟》__汉
11	佛告☆陀和：菩萨欲疾得是定者，常立大信，如法行之则可得也，勿有疑 [想] 如毛发许，是定意法，名为菩萨超众行。		《佛说般舟》__汉
12	呜呼哀哉， [想] 魂灵兮！		《汉书》__汉
13	其 [想] 建德、内史王悍谏，不听。		《汉书》__汉
14	初辅幼主，政自己出，天下 [想] 闻其风采。		《汉书》__汉
15	谨按太史记：秦始皇欺於徐市之属，求三山於海中，通甬道，隐形体，弦诗 [想] 蓬莱，而不免沙丘之祸。		《风俗通义》__汉
16	是法无坚固  常立在於念  以解见空者  一切无 [想] 愿		《佛说般舟》__汉
17	菩萨在三昧中立者，所见如是，佛尔时说偈言：  心者不自知  有心不见心  心起 [想] 则痴  无心是涅盘		《佛说般舟》__汉
18	心见佛，心不自知心，心不自见心，心有 [想] 为痴心，无 [想] 是涅盘，是法无可乐者，设使念为空耳，无所有也。		《佛说般舟》__汉
19	佛言：菩萨闻佛名字欲得见者，常念其方即得见之，譬如比丘观死人骨，著前观之，有青时有白时，有赤时有黑时，其色无有持来者，是意所 [想] 耳。		《佛说般舟》__汉
20	如是☆陀和，欲得见十方诸现在佛者，当一心念其方莫得异 [想] ，甘是即可得见。		《佛说般舟》__汉
21	勿念舍  勿念取  勿念 [想]   勿念识  勿念断  勿念著  勿念空  勿念实		《佛说般舟》__汉
22	风傱々而扶辖兮，鸾凤纷其御蕤，梁弱水之濎濴兮，蹑不周之逶蛇， [想] 西王母欣然而上寿兮，屏玉女而却虙妃。		《汉书》__汉
23	今单于归义，怀款诚之心，欲离其庭，陈见于前，此乃上世之遗策，神灵之所 [想] 望，国家虽费，不得已者也。		《汉书》__汉
