语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：愁
2023/1/20 16:06:28

序号	语句	书名	朝代
1	养其神、修其德而化矣，岂必劳形 [愁] 弊耳目哉？		《吕氏春秋》__春秋战国
2	天下之贤主，岂必苦形 [愁] 虑哉！		《吕氏春秋》__春秋战国
3	君固 [愁] 身伤生以忧之，戚不得也。”		《吕氏春秋》__春秋战国
4	故 [愁] 其治言含 [愁] 而藏之也，		《管子》__春秋战国
5	不能为君者，伤形费神， [愁] 心劳耳目，国愈危，身愈辱，不知要故也。		《吕氏春秋》__春秋战国
6	西方者秋，秋之为言 [愁] 也， [愁] 之以时察，守义 者也。		《礼记》__春秋战国
7	时出行路，从车载食，以视孤寡老弱之渍病、困穷、颜色 [愁] 悴、不赡者，必身自食之。		《吕氏春秋》__春秋战国
8	王欲杀太子以成伯服， [愁] 求之申，申人弗畀， [愁] 伐之。		《国语》__春秋战国
9	六二，晋如， [愁] 如，贞吉。		《周易》__周
10	今君侈为宫室，夺人之居，广为台榭，残人之墓，是生者 [愁] 忧，不得安处，死者离易，不得合骨。		《晏子春秋》__春秋战国
11	志隐隐而郁怫兮， [愁] 独哀而冤结。		《楚辞》__春秋战国
12	忧心展转 [愁] 怫郁兮，冤结未舒长隐忿兮，		《楚辞》__春秋战国
13	悲余生之无欢兮， [愁] 倥傯於山陆。		《楚辞》__春秋战国
14	天下之民，其苦 [愁] 劳务从此生。		《吕氏春秋》__春秋战国
15	立江界而长吟兮， [愁] 哀哀而累息。		《楚辞》__春秋战国
16	欲静居兮自娱，心 [愁] 慼兮不能。		《楚辞》__春秋战国
17	含忧强老兮 [愁] 无乐。		《楚辞》__春秋战国
18	声哀哀而怀高丘兮，心 [愁]  [愁] 而思旧邦。		《楚辞》__春秋战国
19	身永流而不还兮，魂长逝而常 [愁] 。		《楚辞》__春秋战国
20	帝子降兮北渚，目眇眇兮 [愁] 予。		《楚辞》__春秋战国
21	悲兮 [愁] ，哀兮忧，天生我兮当闇时，被诼谮兮虚获尤。		《楚辞》__春秋战国
22	修德兮困控， [愁] 不聊兮遑生。		《楚辞》__春秋战国
23	身去兮意存，怆恨兮怀 [愁] 。		《楚辞》__春秋战国
24	不知乎人谓我朱愚，知乎反 [愁] 我躯；不仁则害人，仁则反 [愁] 我身；不		《庄子》__春秋战国
25	义则伤彼，义则反 [愁] 我己。		《庄子》__春秋战国
26	十日自 [愁] ，复见老子		《庄子》__春秋战国
27	 [愁] 叹苦神，灵遥思兮。		《楚辞》__春秋战国
28	心不怡之长久兮，忧与 [愁] 其相接。		《楚辞》__春秋战国
29	故智士贤者相与积心 [愁] 虑以求之，犹尚有管叔、蔡叔之事与东夷八国不听之谋。		《吕氏春秋》__春秋战国
30	欿 [愁] 悴而委惰兮，老冉冉而逮之。		《楚辞》__春秋战国
31	居处 [愁] 以隐约兮，志沉抑而不扬。		《楚辞》__春秋战国
32	 [愁] 修夜而宛转兮，气涫沸沛其若波。		《楚辞》__春秋战国
33	之所以存，唯种也不知其身之所以 [愁] 。		《庄子》__春秋战国
34	邅翼翼而无终兮，忳惛々而 [愁] 约。		《楚辞》__春秋战国
35	结桂枝兮延伫，羌愈思兮 [愁] 人。		《楚辞》__春秋战国
36	 [愁] 人兮奈何！		《楚辞》__春秋战国
37	宁溘死而流亡兮，不忍此心之常 [愁] 。		《楚辞》__春秋战国
38	 [愁] 郁郁之无快兮，居戚戚而不可解。		《楚辞》__春秋战国
39	 [愁] 悄悄之常悲兮，翩冥冥之不可娱。		《楚辞》__春秋战国
40	独便悁而怀毒兮， [愁] 郁郁之焉极？		《楚辞》__春秋战国
41	身寝疾而日 [愁] 兮，情沉抑而不扬。		《楚辞》__春秋战国
42	居 [愁] 懃其谁告兮，独永思而忧悲。		《楚辞》__春秋战国
43	意荒忽而流荡兮，心 [愁] 忄妻而增悲。		《楚辞》__春秋战国
44	易觏则民 [愁] ，民 [愁] 则垫隘，于是乎有沉溺重膇之疾。		《左传》__春秋战国
45	 [愁] 身伤生以忧戚不得也。”		《庄子》__春秋战国
